PRCP       016083 18910601 20171231 missing_value=99999.9 HAMILTON STATION                          
19481201 19481231    68.6
19490101 19490131     0.0
19490201 19490228    12.7
19490301 19490331     0.0
19490401 19490430     0.0
19490501 19490531    23.6
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930    16.5
19491001 19491031     0.0
19491101 19491130     0.0
19491201 19491231     0.0
19500101 19500131     0.0
19500201 19500228    50.8
19500301 19500331     7.4
19500401 19500430     0.0
19500501 19500531    61.0
19500601 19500630    68.8
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930    15.2
19501001 19501031    39.7
19501101 19501130    45.5
19501201 19501231    81.7
19510101 19510131    34.4
19510201 19510228    26.7
19510301 19510331     0.0
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630     6.1
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930    15.5
19511001 19511031     0.0
19511101 19511130     0.0
19511201 19511231     6.4
19520101 19520131    33.2
19520201 19520229     4.6
19520301 19520331     0.0
19520401 19520430     5.1
19520501 19520531    62.2
19520601 19520630     8.1
19520701 19520731    43.4
19520801 19520831     4.1
19520901 19520930     0.0
19521001 19521031    60.2
19521101 19521130    23.7
19521201 19521231     0.0
19530101 19530131    38.1
19530201 19530228    70.6
19530301 19530331    53.8
19530401 19530430    55.9
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831     4.6
19530901 19530930     0.0
19531001 19531031     0.0
19531101 19531130    10.2
19531201 19531231    15.2
19540101 19540131     0.0
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    22.3
19540501 19540531     0.0
19540601 19540630     0.0
19540701 19540731     0.0
19540801 19540831     0.0
19540901 19540930    10.7
19541001 19541031    59.2
19541101 19541130     7.9
19541201 19541231    13.2
19550101 19550131     4.6
19550201 19550228    22.1
19550301 19550331   192.3
19550401 19550430    12.7
19550501 19550531    30.3
19550601 19550630     0.0
19550701 19550731    28.2
19550801 19550831     0.0
19550901 19550930     0.0
19551001 19551031     1.0
19551101 19551130     0.0
19551201 19551231     0.0
19560101 19560131     5.1
19560201 19560229     0.0
19560301 19560331     0.0
19560401 19560430     0.0
19560501 19560531    36.6
19560601 19560630     3.8
19560701 19560731    80.0
19560801 19560831     0.0
19560901 19560930     0.0
19561001 19561031     8.4
19561101 19561130     0.0
19561201 19561231     0.0
19570101 19570131     8.9
19570201 19570228     0.0
19570301 19570331     7.6
19570401 19570430     0.0
19570501 19570531     0.0
19570601 19570630    20.3
19570701 19570731     0.0
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     0.0
19571101 19571130     0.0
19571201 19571231    29.3
19580101 19580131    20.3
19580201 19580228     0.0
19580301 19580331     5.6
19580401 19580430     0.0
19580501 19580531     0.0
19580601 19580630     0.0
19580701 19580731    15.2
19580801 19580831     3.3
19580901 19580930     0.0
19581001 19581031     5.3
19581101 19581130     8.4
19581201 19581231     1.3
19590101 19590131     1.3
19590201 19590228     0.0
19590301 19590331     1.8
19590401 19590430     0.0
19590501 19590531    15.7
19590601 19590630     0.0
19590701 19590731     0.0
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     4.3
19591101 19591130     3.8
19591201 19591231    13.5
19600101 19600131    56.9
19600201 19600229     0.0
19600301 19600331     0.0
19600401 19600430    54.6
19600501 19600531     6.9
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     0.0
19601001 19601031     0.0
19601101 19601130     0.0
19601201 19601231     4.6
19610101 19610131     5.1
19610201 19610228     1.8
19610301 19610331     0.0
19610401 19610430    48.0
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     5.5
19611001 19611031     0.0
19611101 19611130     5.6
19611201 19611231     3.0
19620101 19620131    24.1
19620201 19620228     0.0
19620301 19620331     6.1
19620401 19620430     0.0
19620501 19620531     7.6
19620601 19620630    18.0
19620701 19620731    24.1
19620801 19620831     2.5
19620901 19620930     0.0
19621001 19621031     2.5
19621101 19621130     0.0
19621201 19621231     3.8
19630101 19630131     6.4
19630201 19630228     0.0
19630301 19630331     3.3
19630401 19630430    52.3
19630501 19630531     4.6
19630601 19630630     8.4
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     3.3
19631101 19631130     0.0
19631201 19631231     2.3
19640101 19640131     0.0
19640201 19640229     0.0
19640301 19640331     0.0
19640401 19640430     6.9
19640501 19640531     5.8
19640601 19640630     0.0
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930    30.5
19641001 19641031     7.1
19641101 19641130     5.1
19641201 19641231     4.1
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     0.0
19650401 19650430     0.0
19650501 19650531     7.6
19650601 19650630     2.0
19650701 19650731     3.0
19650801 19650831    47.0
19650901 19650930     6.1
19651001 19651031     0.0
19651101 19651130     9.9
19651201 19651231     7.1
19660101 19660131     8.1
19660201 19660228     0.0
19660301 19660331     0.0
19660401 19660430     2.0
19660501 19660531     0.0
19660601 19660630    75.7
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031    13.5
19661101 19661130    29.0
19661201 19661231    31.5
19670101 19670131     0.0
19670201 19670228    28.2
19670301 19670331   138.2
19670401 19670430     0.0
19670501 19670531     8.9
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130     0.0
19671201 19671231     0.0
19680101 19680131    55.6
19680201 19680229     0.0
19680301 19680331     0.0
19680401 19680430    36.1
19680501 19680531     9.6
19680601 19680630    31.2
19680701 19680731    27.2
19680801 19680831     5.9
19680901 19680930     0.0
19681001 19681031     6.9
19681101 19681130    33.8
19681201 19681231     2.5
19690101 19690131     0.0
19690201 19690228    28.7
19690301 19690331     4.6
19690401 19690430     0.0
19690501 19690531    11.7
19690601 19690630     5.1
19690701 19690731    21.6
19690801 19690831     5.6
19690901 19690930     4.3
19691001 19691031    23.7
19691101 19691130     0.0
19691201 19691231     6.4
19700101 19700131     0.0
19700201 19700228     0.0
19700301 19700331     0.0
19700401 19700430     0.0
19700501 19700531    15.8
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930     0.0
19701001 19701031     0.0
19701101 19701130     9.4
19701201 19701231     1.8
19710101 19710131     0.0
19710201 19710228     0.0
19710301 19710331    15.5
19710401 19710430     0.0
19710501 19710531     0.0
19710601 19710630     5.3
19710701 19710731     0.0
19710801 19710831    29.2
19710901 19710930     4.6
19711001 19711031     0.0
19711101 19711130    46.7
19711201 19711231     3.8
19720101 19720131    14.7
19720201 19720229     1.6
19720301 19720331    58.9
19720401 19720430     0.0
19720501 19720531     0.0
19720601 19720630     3.6
19720701 19720731     0.0
19720801 19720831     0.8
19720901 19720930    32.5
19721001 19721031     0.0
19721101 19721130    10.2
19721201 19721231     0.0
19730101 19730131    16.5
19730201 19730228     5.1
19730301 19730331     6.4
19730401 19730430     5.1
19730501 19730531     1.5
19730601 19730630    40.3
19730701 19730731    72.1
19730801 19730831    55.9
19730901 19730930     7.2
19731001 19731031    16.7
19731101 19731130    11.9
19731201 19731231     9.1
19740101 19740131   137.4
19740201 19740228     3.6
19740301 19740331     2.6
19740401 19740430    82.8
19740501 19740531    25.6
19740601 19740630     0.0
19740701 19740731     2.6
19740801 19740831     9.6
19740901 19740930    77.8
19741001 19741031    46.0
19741101 19741130     7.0
19741201 19741231     0.0
19750101 19750131     8.2
19750201 19750228    48.6
19750301 19750331     0.6
19750401 19750430     0.0
19750501 19750531     3.0
19750601 19750630     1.0
19750701 19750731     2.2
19750801 19750831    75.0
19750901 19750930    42.7
19751001 19751031    79.0
19751101 19751130    27.0
19751201 19751231    92.0
19760101 19760131    31.0
19760201 19760229   365.9
19760301 19760331    35.5
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     3.0
19760801 19760831     3.5
19760901 19760930     0.0
19761001 19761031    69.5
19761101 19761130    10.0
19761201 19761231     4.0
19770101 19770131    11.0
19770201 19770228    88.3
19770301 19770331     7.6
19770401 19770430     0.0
19770501 19770531    17.0
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     7.1
19771001 19771031    24.0
19771101 19771130    63.0
19771201 19771231    26.0
19780101 19780131    11.9
19780201 19780228     0.0
19780301 19780331     2.0
19780401 19780430     0.0
19780501 19780531    69.3
19780601 19780630    64.2
19780701 19780731    39.5
19780801 19780831     5.5
19780901 19780930     8.0
19781001 19781031    28.0
19781101 19781130    34.0
19781201 19781231     0.0
19790101 19790131    88.2
19790201 19790228    12.0
19790301 19790331    54.2
19790401 19790430    72.8
19790501 19790531   120.4
19790601 19790630     9.0
19790701 19790731     0.0
19790801 19790831     3.0
19790901 19790930    32.0
19791001 19791031     2.0
19791101 19791130    62.4
19791201 19791231    10.0
19800101 19800131    27.0
19800201 19800229     0.0
19800301 19800331     0.0
19800401 19800430    79.0
19800501 19800531     0.0
19800601 19800630     9.0
19800701 19800731     1.0
19800801 19800831     8.0
19800901 19800930     0.0
19801001 19801031     4.0
19801101 19801130     3.0
19801201 19801231    10.4
19810101 19810131   123.0
19810201 19810228    11.0
19810301 19810331    20.0
19810401 19810430     0.0
19810501 19810531    19.4
19810601 19810630     1.4
19810701 19810731    12.2
19810801 19810831     0.0
19810901 19810930    18.6
19811001 19811031     8.4
19811101 19811130    27.6
19811201 19811231    38.0
19820101 19820131     2.0
19820201 19820228    26.0
19820301 19820331    24.0
19820401 19820430     0.0
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930    22.0
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231    14.0
19830101 19830131    20.0
19830201 19830228     0.0
19830301 19830331    16.2
19830401 19830430     6.6
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831    11.2
19830901 19830930     0.0
19831001 19831031    23.0
19831101 19831130     6.0
19831201 19831231    28.0
19840101 19840131   256.0
19840201 19840229     0.0
19840301 19840331     0.0
19840401 19840430     8.0
19840501 19840531     7.9
19840601 19840630     0.0
19840701 19840731    15.7
19840801 19840831     0.8
19840901 19840930    10.4
19841001 19841031    14.2
19841101 19841130     3.1
19841201 19841231    18.5
19850101 19850131     0.2
19850201 19850228     6.1
19850301 19850331    64.7
19850401 19850430     0.0
19850501 19850531     3.9
19850601 19850630     6.7
19850701 19850731     0.0
19850801 19850831     4.3
19850901 19850930     0.0
19851001 19851031    32.5
19851101 19851130     8.9
19851201 19851231     0.0
19860101 19860131     0.0
19860201 19860228     0.0
19860301 19860331     0.0
19860401 19860430     3.6
19860501 19860531     0.0
19860601 19860630    24.2
19860701 19860731    14.6
19860801 19860831     2.2
19860901 19860930     5.0
19861001 19861031    31.2
19861101 19861130     0.0
19861201 19861231    30.0
19870101 19870131     6.8
19870201 19870228    24.6
19870301 19870331     6.0
19870401 19870430     2.4
19870501 19870531     4.0
19870601 19870630     8.2
