PRCP       070027 18890701 20180131 missing_value=99999.9 DELEGATE (WEEWALLA)                       
19430301 19430331    12.0
19430401 19430430    31.7
19430501 19430531    27.7
19430601 19430630    39.1
19430701 19430731     7.2
19430801 19430831    75.7
19430901 19430930    31.5
19431001 19431031    64.9
19431101 19431130    30.6
19431201 19431231    68.6
19440101 19440131    11.2
19440201 19440229     1.5
19440301 19440331    51.1
19440401 19440430    89.4
19440501 19440531   114.3
19440601 19440630    14.8
19440701 19440731    20.9
19440801 19440831    23.1
19440901 19440930     6.2
19441001 19441031    51.0
19441101 19441130    14.0
19441201 19441231    28.9
19450101 19450131    68.1
19450201 19450228    56.1
19450301 19450331    33.8
19450401 19450430    26.6
19450501 19450531    26.4
19450601 19450630    36.4
19450701 19450731    32.8
19450801 19450831    48.8
19450901 19450930    18.3
19451001 19451031    58.0
19451101 19451130    72.8
19451201 19451231    35.4
19460101 19460131    27.7
19460201 19460228   135.0
19460301 19460331    48.5
19460401 19460430    52.6
19460501 19460531    69.9
19460601 19460630   142.4
19460701 19460731    12.5
19460801 19460831    37.1
19460901 19460930    34.8
19461001 19461031    43.8
19461101 19461130    42.6
19461201 19461231    61.0
19470101 19470131    10.5
19470201 19470228    64.9
19470301 19470331   117.9
19470401 19470430    90.2
19470501 19470531    13.0
19470601 19470630    18.3
19470701 19470731    42.7
19470801 19470831    42.4
19470901 19470930    24.2
19471001 19471031    34.4
19471101 19471130    78.5
19471201 19471231    92.7
19480101 19480131    84.8
19480201 19480229    74.8
19480301 19480331     6.9
19480401 19480430   159.3
19480501 19480531    46.5
19480601 19480630    15.5
19480701 19480731    12.4
19480801 19480831     6.7
19480901 19480930    24.2
19481001 19481031    89.4
19481101 19481130    33.2
19481201 19481231    95.4
19490101 19490131    56.2
19490201 19490228    60.1
19490301 19490331    63.7
19490401 19490430     8.5
19490501 19490531    61.4
19490601 19490630   160.0
19490701 19490731    59.5
19490801 19490831    10.2
19490901 19490930    27.8
19491001 19491031    65.3
19491101 19491130    98.0
19491201 19491231    32.3
19500101 19500131    59.7
19500201 19500228   136.5
19500301 19500331   118.7
19500401 19500430    81.0
19500501 19500531    43.1
19500601 19500630    21.4
19500701 19500731    33.4
19500801 19500831    37.6
19500901 19500930    24.6
19501001 19501031   129.3
19501101 19501130    68.9
19501201 19501231    40.7
19510101 19510131    38.1
19510201 19510228   147.3
19510301 19510331     6.1
19510401 19510430    56.7
19510501 19510531    15.3
19510601 19510630    96.7
19510701 19510731    58.4
19510801 19510831    79.0
19510901 19510930    70.1
19511001 19511031    67.3
19511101 19511130    91.6
19511201 19511231    38.6
19520101 19520131     8.4
19520201 19520229    38.5
19520301 19520331    61.5
19520401 19520430   115.9
19520501 19520531    53.7
19520601 19520630   165.8
19520701 19520731    32.9
