PRCP       017004 19100101 20160630 missing_value=99999.9 ANNA CREEK                                
19710901 19710930     0.0
19711001 19711031     0.0
19711101 19711130    28.7
19711201 19711231     0.0
19720101 19720131    11.4
19720201 19720229     0.0
19720301 19720331     0.0
19720401 19720430     0.0
19720501 19720531     0.0
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831    13.7
19720901 19720930     1.0
19721001 19721031     0.0
19721101 19721130     6.4
19721201 19721231     0.0
19730101 19730131    17.8
19730201 19730228   119.7
19730301 19730331     0.0
19730401 19730430    26.4
19730501 19730531     0.0
19730601 19730630    41.3
19730701 19730731    34.1
19730801 19730831    49.8
19730901 19730930    15.2
19731001 19731031    42.0
19731101 19731130     5.6
19731201 19731231    40.4
19740101 19740131   230.8
19740201 19740228    29.0
19740301 19740331     0.0
19740401 19740430    41.8
19740501 19740531    39.2
19740601 19740630     0.0
19740701 19740731     2.3
19740801 19740831     1.8
19740901 19740930    29.8
19741001 19741031    45.3
19741101 19741130     5.6
19741201 19741231     0.0
19750101 19750131     1.4
19750201 19750228    50.0
19750301 19750331     0.0
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630     9.0
19750701 19750731     0.0
19750801 19750831    35.0
19750901 19750930    46.2
19751001 19751031    49.2
19751101 19751130     4.0
19751201 19751231    15.0
19760101 19760131    55.0
19760201 19760229   113.0
19760301 19760331     0.0
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031    38.0
19761101 19761130     0.0
19761201 19761231     8.0
19770101 19770131     3.0
19770201 19770228     0.0
19770301 19770331     0.0
19770401 19770430     0.0
19770501 19770531     3.0
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     8.0
19771001 19771031    23.0
19771101 19771130    40.0
19771201 19771231    10.0
19780101 19780131     4.0
19780201 19780228     0.0
19780301 19780331     0.0
19780401 19780430     0.0
19780501 19780531     3.0
19780601 19780630    51.0
19780701 19780731    38.0
19780801 19780831    18.0
19780901 19780930    14.0
19781001 19781031     8.0
19781101 19781130     0.0
19781201 19781231    32.0
19790101 19790131     2.0
19790201 19790228    13.0
19790301 19790331     8.0
19790401 19790430    23.0
19790501 19790531    70.0
19790601 19790630     1.0
19790701 19790731     0.0
19790801 19790831    37.0
19790901 19790930    28.0
19791001 19791031     0.0
19791101 19791130    21.0
19791201 19791231    17.0
19800101 19800131    35.0
19800201 19800229     0.0
19800301 19800331     0.0
19800401 19800430    42.0
19800501 19800531     0.0
19800601 19800630     8.0
19800701 19800731     0.0
19800801 19800831     5.0
19800901 19800930     0.0
19801001 19801031     0.0
19801101 19801130     0.0
19801201 19801231    12.0
19810101 19810131    59.0
19810201 19810228     0.0
19810301 19810331     4.0
19810401 19810430     3.0
19810501 19810531    12.2
19810601 19810630     3.2
19810701 19810731     0.0
19810801 19810831     0.0
19810901 19810930     4.0
19811001 19811031     0.0
19811101 19811130     5.0
19811201 19811231     0.0
19820101 19820131     8.0
19820201 19820228    20.6
19820301 19820331     0.0
19820401 19820430     0.0
19820501 19820531     0.0
19820601 19820630     2.6
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930    16.0
19821001 19821031     0.0
19821101 19821130     4.0
