PRCP       035070 18850101 20180131 missing_value=99999.9 TAROOM POST OFFICE                        
19420301 19420331    20.8
19420401 19420430    88.9
19420501 19420531    49.8
19420601 19420630    17.8
19420701 19420731    48.9
19420801 19420831    16.5
19420901 19420930     8.4
19421001 19421031    70.9
19421101 19421130    56.0
19421201 19421231   296.4
19430101 19430131   128.4
19430201 19430228    20.1
19430301 19430331    19.8
19430401 19430430    29.1
19430501 19430531    11.5
19430601 19430630    32.3
19430701 19430731     0.5
19430801 19430831    38.6
19430901 19430930    72.3
19431001 19431031   149.7
19431101 19431130   103.4
19431201 19431231   103.1
19440101 19440131   113.2
19440201 19440229    55.2
19440301 19440331     0.8
19440401 19440430     8.0
19440501 19440531    23.4
19440601 19440630    57.3
19440701 19440731    14.8
19440801 19440831    39.1
19440901 19440930    21.1
19441001 19441031     9.2
19441101 19441130    60.8
19441201 19441231   133.2
19450101 19450131   144.8
19450201 19450228    98.6
19450301 19450331    23.1
19450401 19450430    52.6
19450501 19450531    25.4
19450601 19450630     9.2
19450701 19450731    41.7
19450801 19450831    24.6
19450901 19450930    58.3
19451001 19451031    42.6
19451101 19451130    42.6
19451201 19451231    64.0
19460101 19460131   136.6
19460201 19460228    19.4
19460301 19460331    31.9
19460401 19460430     8.6
19460501 19460531     2.5
19460601 19460630     0.0
19460701 19460731     0.8
19460801 19460831     5.3
19460901 19460930    42.4
19461001 19461031    31.7
19461101 19461130    70.6
19461201 19461231    94.1
19470101 19470131    44.8
19470201 19470228   250.3
19470301 19470331   120.4
19470401 19470430    41.5
19470501 19470531    12.2
19470601 19470630     3.3
19470701 19470731     1.3
19470801 19470831    18.5
19470901 19470930    67.3
19471001 19471031    57.0
19471101 19471130    95.3
19471201 19471231    82.3
19480101 19480131    13.7
19480201 19480229    28.4
19480301 19480331    30.7
19480401 19480430    19.0
19480501 19480531    66.0
19480601 19480630    65.3
19480701 19480731    38.6
19480801 19480831     0.0
19480901 19480930    50.6
19481001 19481031     0.0
19481101 19481130    30.1
19481201 19481231   125.3
19490101 19490131    69.8
19490201 19490228   119.8
19490301 19490331   109.6
19490401 19490430    18.3
19490501 19490531     0.5
19490601 19490630    33.5
19490701 19490731    12.7
19490801 19490831     2.0
19490901 19490930    36.7
19491001 19491031   204.5
19491101 19491130    57.8
19491201 19491231    21.6
19500101 19500131   103.3
19500201 19500228   237.5
19500301 19500331    19.3
19500401 19500430    83.8
19500501 19500531    30.2
19500601 19500630    57.7
19500701 19500731    67.7
19500801 19500831     5.8
19500901 19500930    26.9
19501001 19501031   153.2
