PRCP       010536 19100101 20171231 missing_value=99999.9 CORRIGIN                                  
19650601 19650630    81.8
19650701 19650731    67.6
19650801 19650831    58.0
19650901 19650930    18.7
19651001 19651031    53.4
19651101 19651130    33.8
19651201 19651231    24.1
19660101 19660131     4.8
19660201 19660228    19.3
19660301 19660331     0.5
19660401 19660430    61.2
19660501 19660531     7.9
19660601 19660630    86.6
19660701 19660731    88.7
19660801 19660831    22.3
19660901 19660930    25.6
19661001 19661031    41.2
19661101 19661130     0.3
19661201 19661231     3.3
19670101 19670131     0.3
19670201 19670228     5.8
19670301 19670331     6.1
19670401 19670430    11.2
19670501 19670531    91.0
19670601 19670630    65.4
19670701 19670731    48.8
19670801 19670831    29.7
19670901 19670930    10.2
19671001 19671031     9.2
19671101 19671130     3.8
19671201 19671231    10.0
19680101 19680131    59.4
19680201 19680229    31.2
19680301 19680331    61.0
19680401 19680430    32.7
19680501 19680531    38.2
19680601 19680630   149.3
19680701 19680731    44.2
19680801 19680831    25.8
19680901 19680930    32.5
19681001 19681031    15.3
19681101 19681130     2.5
19681201 19681231     0.0
19690101 19690131     0.5
19690201 19690228     3.8
19690301 19690331    16.7
19690401 19690430    18.1
19690501 19690531    28.7
19690601 19690630    51.8
19690701 19690731    27.2
19690801 19690831    14.6
19690901 19690930    46.0
19691001 19691031     1.5
19691101 19691130     8.8
19691201 19691231     6.1
19700101 19700131     6.6
19700201 19700228    83.9
19700301 19700331     0.5
19700401 19700430    28.8
19700501 19700531    39.2
19700601 19700630    65.6
19700701 19700731    27.1
19700801 19700831    23.7
19700901 19700930    61.1
19701001 19701031    13.0
19701101 19701130     3.8
19701201 19701231     3.8
19710101 19710131     7.9
19710201 19710228    10.2
19710301 19710331    82.0
19710401 19710430     3.0
19710501 19710531    29.3
19710601 19710630    29.1
19710701 19710731    20.3
19710801 19710831    38.5
19710901 19710930    41.7
19711001 19711031    26.3
19711101 19711130    43.4
19711201 19711231     0.5
19720101 19720131     0.8
19720201 19720229     3.6
19720301 19720331   129.6
19720401 19720430    10.5
19720501 19720531    28.0
19720601 19720630    49.2
19720701 19720731    40.7
19720801 19720831    32.7
19720901 19720930    16.9
19721001 19721031    11.4
19721101 19721130     3.8
19721201 19721231     0.5
19730101 19730131    16.1
19730201 19730228     0.0
19730301 19730331     0.6
19730401 19730430    26.8
19730501 19730531    28.9
19730601 19730630    99.4
19730701 19730731    75.3
19730801 19730831    43.6
19730901 19730930    85.6
19731001 19731031    16.1
19731101 19731130    40.4
19731201 19731231     1.6
19740101 19740131     1.4
19740201 19740228     0.8
19740301 19740331    30.4
19740401 19740430    72.2
19740501 19740531   114.2
19740601 19740630    55.2
19740701 19740731    84.0
19740801 19740831    62.6
19740901 19740930    28.0
19741001 19741031    34.4
19741101 19741130    40.8
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228     3.0
19750301 19750331     2.8
19750401 19750430    65.7
19750501 19750531    29.6
19750601 19750630    43.6
19750701 19750731    52.4
19750801 19750831    49.0
19750901 19750930    34.0
19751001 19751031    17.6
19751101 19751130     6.4
19751201 19751231     4.8
19760101 19760131    12.0
19760201 19760229    32.4
19760301 19760331     4.6
19760401 19760430    29.0
19760501 19760531    44.8
19760601 19760630    29.6
19760701 19760731    14.6
19760801 19760831   116.8
19760901 19760930    41.2
19761001 19761031    22.8
19761101 19761130    25.2
19761201 19761231     0.0
19770101 19770131     0.4
19770201 19770228     2.2
19770301 19770331     0.0
19770401 19770430     5.0
19770501 19770531    62.8
19770601 19770630    29.6
19770701 19770731    39.4
19770801 19770831    64.8
19770901 19770930    37.2
19771001 19771031    46.8
19771101 19771130    11.8
19771201 19771231    30.8
19780101 19780131    33.2
19780201 19780228    38.8
19780301 19780331     0.4
19780401 19780430    27.8
19780501 19780531    31.4
19780601 19780630    73.8
19780701 19780731    89.7
19780801 19780831    36.6
19780901 19780930    25.8
19781001 19781031    19.4
19781101 19781130     3.8
19781201 19781231    28.8
19790101 19790131    15.6
19790201 19790228    36.4
19790301 19790331    17.2
19790401 19790430    20.6
19790501 19790531    27.8
19790601 19790630    58.8
19790701 19790731    29.6
19790801 19790831    59.0
19790901 19790930    13.8
19791001 19791031     8.8
19791101 19791130    11.2
19791201 19791231     0.0
19800101 19800131     4.8
19800201 19800229    77.6
19800301 19800331     0.2
19800401 19800430    18.4
19800501 19800531    13.6
19800601 19800630    30.0
19800701 19800731    43.8
19800801 19800831    31.0
19800901 19800930    10.0
19801001 19801031    30.0
19801101 19801130     3.8
19801201 19801231    21.4
19810101 19810131     3.0
19810201 19810228    44.6
19810301 19810331     2.8
19810401 19810430    17.4
19810501 19810531    73.8
19810601 19810630    47.0
19810701 19810731    39.4
19810801 19810831    39.4
19810901 19810930    14.4
19811001 19811031    13.2
19811101 19811130    40.8
19811201 19811231     3.4
19820101 19820131   112.2
19820201 19820228     0.2
19820301 19820331     4.2
19820401 19820430     0.0
19820501 19820531    32.0
19820601 19820630    46.8
19820701 19820731    47.8
19820801 19820831    89.2
19820901 19820930    38.2
19821001 19821031    13.6
19821101 19821130    20.0
19821201 19821231     1.2
19830101 19830131     0.4
19830201 19830228     4.4
19830301 19830331     7.0
19830401 19830430     4.6
19830501 19830531     4.8
19830601 19830630   123.2
19830701 19830731   102.2
19830801 19830831    32.2
19830901 19830930    53.0
19831001 19831031     7.2
19831101 19831130    52.6
19831201 19831231    44.8
19840101 19840131     0.0
19840201 19840229     5.6
19840301 19840331    37.4
19840401 19840430    63.2
19840501 19840531    87.4
19840601 19840630    22.4
19840701 19840731    51.2
19840801 19840831    48.6
19840901 19840930    35.0
19841001 19841031    11.8
19841101 19841130    26.0
19841201 19841231     5.6
19850101 19850131     0.0
19850201 19850228    11.6
19850301 19850331    10.0
19850401 19850430    12.0
19850501 19850531    16.8
19850601 19850630    23.8
19850701 19850731    64.4
19850801 19850831    63.4
19850901 19850930    29.0
19851001 19851031    11.4
19851101 19851130    56.8
19851201 19851231     0.0
19860101 19860131     5.4
19860201 19860228    51.2
19860301 19860331     7.2
19860401 19860430     4.0
19860501 19860531    58.2
19860601 19860630    95.2
19860701 19860731    28.2
19860801 19860831    54.0
19860901 19860930    20.6
19861001 19861031    14.2
19861101 19861130    21.0
19861201 19861231     2.0
19870101 19870131     0.0
19870201 19870228     0.0
19870301 19870331     4.6
19870401 19870430    30.6
19870501 19870531    52.8
19870601 19870630    40.0
19870701 19870731    48.8
19870801 19870831    27.8
19870901 19870930    26.6
19871001 19871031     2.6
19871101 19871130    18.2
19871201 19871231    33.6
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331    38.2
19880401 19880430    39.2
19880501 19880531    57.4
19880601 19880630    41.8
19880701 19880731    60.4
19880801 19880831    44.0
19880901 19880930    40.8
19881001 19881031    14.6
19881101 19881130    18.6
19881201 19881231    31.2
19890101 19890131    13.6
19890201 19890228    25.2
19890301 19890331     1.4
19890401 19890430    31.2
19890501 19890531   102.8
19890601 19890630    54.2
19890701 19890731    35.6
19890801 19890831    30.0
19890901 19890930    15.4
19891001 19891031    15.0
19891101 19891130     0.0
19891201 19891231     0.0
19900101 19900131   138.4
19900201 19900228    16.4
19900301 19900331    34.0
19900401 19900430    29.4
19900501 19900531    36.8
19900601 19900630    34.0
19900701 19900731    59.0
19900801 19900831    25.4
19900901 19900930    20.0
19901001 19901031    23.4
19901101 19901130     3.0
19901201 19901231     4.6
19910101 19910131    25.2
19910201 19910228     4.6
19910301 19910331     7.2
19910401 19910430    23.4
19910501 19910531    28.8
19910601 19910630    68.2
19910701 19910731    88.8
19910801 19910831    20.0
19910901 19910930    20.6
19911001 19911031    19.5
19911101 19911130    29.6
19911201 19911231    29.0
19920101 19920131     3.2
19920201 19920229    41.7
19920301 19920331    30.8
19920401 19920430    45.6
19920501 19920531    14.4
19920601 19920630    83.4
19920701 19920731    37.2
19920801 19920831    82.2
19920901 19920930    43.0
19921001 19921031    12.0
19921101 19921130    31.1
19921201 19921231     3.8
19930101 19930131     0.0
19930201 19930228     0.6
19930301 19930331    29.4
19930401 19930430     3.4
19930501 19930531    83.4
19930601 19930630    58.4
19930701 19930731    34.6
19930801 19930831    45.4
19930901 19930930    31.8
19931001 19931031     9.6
19931101 19931130    36.0
19931201 19931231     2.4
19940101 19940131     0.0
19940201 19940228     1.8
19940301 19940331     0.0
19940401 19940430     0.2
19940501 19940531    93.4
19940601 19940630    51.4
19940701 19940731    31.2
