PRCP       087053 18840601 20170131 missing_value=99999.9 PORTARLINGTON                             
19620201 19620228    35.3
19620301 19620331    22.6
19620401 19620430    35.4
19620501 19620531   103.6
19620601 19620630    46.1
19620701 19620731    48.0
19620801 19620831    51.5
19620901 19620930    80.3
19621001 19621031    61.4
19621101 19621130    27.0
19621201 19621231    25.1
19630101 19630131   107.5
19630201 19630228    48.2
19630301 19630331    31.6
19630401 19630430    15.8
19630501 19630531    96.8
19630601 19630630    68.7
19630701 19630731   101.7
19630801 19630831    31.7
19630901 19630930    89.8
19631001 19631031    36.3
19631101 19631130     8.0
19631201 19631231    22.1
19640101 19640131     1.5
19640201 19640229   118.0
19640301 19640331    37.5
19640401 19640430   111.0
19640501 19640531    60.2
19640601 19640630    40.6
19640701 19640731    90.5
19640801 19640831    73.8
19640901 19640930    86.5
19641001 19641031   112.2
19641101 19641130    56.2
19641201 19641231   109.9
19650101 19650131    17.3
19650201 19650228     0.0
19650301 19650331    28.4
19650401 19650430    92.9
19650501 19650531    58.2
19650601 19650630    34.1
19650701 19650731    94.0
19650801 19650831    92.5
19650901 19650930    39.6
19651001 19651031    30.6
19651101 19651130    82.5
19651201 19651231    42.8
19660101 19660131    43.5
19660201 19660228    54.0
19660301 19660331    83.7
19660401 19660430    64.9
19660501 19660531    35.9
19660601 19660630    34.5
19660701 19660731    67.8
19660801 19660831    80.3
19660901 19660930   120.3
19661001 19661031    82.9
19661101 19661130    55.4
19661201 19661231    73.1
19670101 19670131    22.7
19670201 19670228     7.6
19670301 19670331    15.2
19670401 19670430    23.9
19670501 19670531    44.7
19670601 19670630    32.4
19670701 19670731    31.5
19670801 19670831    81.0
19670901 19670930    64.6
19671001 19671031     9.9
19671101 19671130    15.4
19671201 19671231    40.5
19680101 19680131    33.0
19680201 19680229     9.7
19680301 19680331    14.0
19680401 19680430   104.8
19680501 19680531    70.5
19680601 19680630    84.0
19680701 19680731    52.3
19680801 19680831    52.7
19680901 19680930    14.3
19681001 19681031    56.5
19681101 19681130    58.5
19681201 19681231    42.6
19690101 19690131    14.9
19690201 19690228   101.2
19690301 19690331    26.8
19690401 19690430    26.0
19690501 19690531    91.8
19690601 19690630     8.7
19690701 19690731    49.4
19690801 19690831    73.3
19690901 19690930    86.3
19691001 19691031    14.3
19691101 19691130    42.4
19691201 19691231    31.2
19700101 19700131    72.4
19700201 19700228     3.8
19700301 19700331   121.1
19700401 19700430    60.9
19700501 19700531   103.2
19700601 19700630    45.9
19700701 19700731    26.0
19700801 19700831    79.5
19700901 19700930    50.0
19701001 19701031    39.7
19701101 19701130    95.8
19701201 19701231    93.3
19710101 19710131    55.7
19710201 19710228    78.8
19710301 19710331    19.0
19710401 19710430    66.8
19710501 19710531    77.9
19710601 19710630    65.7
19710701 19710731    43.7
19710801 19710831    31.7
19710901 19710930    54.7
19711001 19711031    91.5
19711101 19711130    89.0
19711201 19711231    56.5
19720101 19720131    27.4
19720201 19720229   160.7
19720301 19720331    22.3
19720401 19720430    80.3
19720501 19720531    43.8
19720601 19720630    16.2
19720701 19720731    37.1
19720801 19720831    35.8
19720901 19720930    11.9
19721001 19721031    27.2
19721101 19721130    24.5
19721201 19721231     2.3
19730101 19730131    39.4
19730201 19730228   301.5
19730301 19730331    65.8
19730401 19730430    29.9
19730501 19730531    65.0
19730601 19730630    73.6
19730701 19730731    38.1
19730801 19730831    64.8
19730901 19730930    42.2
19731001 19731031   108.7
19731101 19731130    55.9
19731201 19731231    40.7
19740101 19740131    48.4
19740201 19740228    14.2
19740301 19740331    61.4
19740401 19740430   109.4
19740501 19740531    77.0
19740601 19740630    16.4
19740701 19740731    84.2
19740801 19740831    85.8
19740901 19740930    71.8
19741001 19741031    66.6
19741101 19741130    33.6
19741201 19741231    29.4
19750101 19750131    29.6
19750201 19750228     5.6
19750301 19750331    41.8
19750401 19750430    21.4
19750501 19750531    34.0
19750601 19750630    38.6
19750701 19750731    41.4
19750801 19750831    94.6
19750901 19750930   114.0
19751001 19751031   151.8
19751101 19751130    60.6
19751201 19751231    34.0
19760101 19760131     6.8
19760201 19760229    11.6
19760301 19760331    39.6
19760401 19760430    12.4
19760501 19760531    21.2
19760601 19760630    32.0
19760701 19760731    10.8
19760801 19760831    78.0
19760901 19760930   118.0
19761001 19761031    87.4
19761101 19761130    62.6
19761201 19761231    52.4
19770101 19770131    64.4
19770201 19770228    27.4
19770301 19770331    32.2
19770401 19770430    53.6
19770501 19770531    65.8
19770601 19770630   140.0
19770701 19770731    63.2
19770801 19770831    29.4
19770901 19770930    72.6
19771001 19771031    29.8
19771101 19771130    54.2
19771201 19771231    19.8
19780101 19780131    48.8
19780201 19780228    36.0
19780301 19780331    46.6
19780401 19780430    62.2
19780501 19780531    98.2
19780601 19780630    29.8
19780701 19780731    91.2
19780801 19780831    92.6
19780901 19780930    59.2
19781001 19781031    78.0
19781101 19781130   128.8
19781201 19781231   106.2
19790101 19790131    30.4
19790201 19790228    68.0
19790301 19790331    31.6
19790401 19790430    33.2
19790501 19790531    71.2
19790601 19790630    27.2
19790701 19790731    15.0
19790801 19790831    86.6
19790901 19790930    72.6
19791001 19791031    65.2
19791101 19791130    22.6
19791201 19791231    16.4
19800101 19800131    46.8
19800201 19800229     6.6
19800301 19800331     7.8
19800401 19800430    49.2
19800501 19800531    31.8
19800601 19800630    77.8
