PRCP       037051 18840101 20120531 missing_value=99999.9 WINTON POST OFFICE                        
19540401 19540430    45.5
19540501 19540531     0.0
19540601 19540630    33.0
19540701 19540731     2.8
19540801 19540831    18.8
19540901 19540930     0.8
19541001 19541031     7.4
19541101 19541130     3.6
19541201 19541231    23.4
19550101 19550131   130.3
19550201 19550228   175.4
19550301 19550331   191.0
19550401 19550430    29.7
19550501 19550531   214.9
19550601 19550630    16.8
19550701 19550731    12.7
19550801 19550831     0.8
19550901 19550930     0.0
19551001 19551031    39.7
19551101 19551130     2.8
19551201 19551231    13.0
19560101 19560131   107.0
19560201 19560229    66.9
19560301 19560331   115.7
19560401 19560430    16.2
19560501 19560531    38.1
19560601 19560630    35.6
19560701 19560731    90.6
19560801 19560831     0.8
19560901 19560930     7.4
19561001 19561031     4.8
19561101 19561130    40.6
19561201 19561231   147.9
19570101 19570131   212.9
19570201 19570228   100.4
19570301 19570331    68.6
19570401 19570430     3.5
19570501 19570531     2.3
19570601 19570630    14.7
19570701 19570731    16.5
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031    19.8
19571101 19571130     0.5
19571201 19571231    23.1
19580101 19580131    35.0
19580201 19580228     9.9
19580301 19580331    77.2
19580401 19580430   138.4
19580501 19580531     9.1
19580601 19580630    87.7
19580701 19580731     4.2
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031     4.1
19581101 19581130    26.2
19581201 19581231    16.5
19590101 19590131    46.5
19590201 19590228     6.1
19590301 19590331    35.3
19590401 19590430    14.5
19590501 19590531    83.3
19590601 19590630     0.0
19590701 19590731     2.8
19590801 19590831    16.0
19590901 19590930     3.5
19591001 19591031     4.8
19591101 19591130     8.1
19591201 19591231    23.4
19600101 19600131    11.1
19600201 19600229   160.4
19600301 19600331     6.6
19600401 19600430     9.1
19600501 19600531    35.4
19600601 19600630     3.8
19600701 19600731     6.6
19600801 19600831    17.3
19600901 19600930    20.6
19601001 19601031     1.0
19601101 19601130    11.2
19601201 19601231   173.5
19610101 19610131    11.4
19610201 19610228    43.5
19610301 19610331    14.7
19610401 19610430    30.4
19610501 19610531     0.3
19610601 19610630     0.0
19610701 19610731    19.8
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.5
19611101 19611130    17.2
19611201 19611231   121.7
