PRCP       050052 18800201 20180131 missing_value=99999.9 CONDOBOLIN AG RESEARCH STN                
19521001 19521031    51.8
19521101 19521130    20.7
19521201 19521231    10.4
19530101 19530131    77.9
19530201 19530228    31.1
19530301 19530331     0.0
19530401 19530430     0.8
19530501 19530531    22.8
19530601 19530630     8.7
19530701 19530731     0.0
19530801 19530831    60.7
19530901 19530930    24.6
19531001 19531031    45.8
19531101 19531130    47.5
19531201 19531231    17.5
19540101 19540131    93.7
19540201 19540228    63.6
19540301 19540331     0.0
19540401 19540430    24.5
19540501 19540531     3.7
19540601 19540630    21.9
19540701 19540731     0.0
19540801 19540831    22.2
19540901 19540930    16.4
19541001 19541031    55.4
19541101 19541130    86.5
19541201 19541231   102.9
19550101 19550131    24.4
19550201 19550228   143.2
19550301 19550331     7.2
19550401 19550430    34.3
19550501 19550531    38.6
19550601 19550630    39.2
19550701 19550731    31.2
19550801 19550831    53.5
19550901 19550930    24.3
19551001 19551031   159.8
19551101 19551130    28.1
19551201 19551231    20.8
19560101 19560131    71.1
19560201 19560229    83.0
19560301 19560331   204.1
19560401 19560430   114.9
19560501 19560531    67.2
19560601 19560630    63.7
19560701 19560731    68.3
19560801 19560831    29.4
19560901 19560930    13.8
19561001 19561031    98.0
19561101 19561130     9.1
19561201 19561231     0.5
19570101 19570131    11.2
19570201 19570228    36.4
19570301 19570331     3.6
19570401 19570430    12.2
19570501 19570531     1.0
19570601 19570630    22.4
19570701 19570731    64.2
19570801 19570831    26.9
19570901 19570930     0.0
19571001 19571031     3.1
19571101 19571130     8.1
19571201 19571231    24.2
19580101 19580131    47.0
19580201 19580228    56.4
19580301 19580331    56.5
19580401 19580430    21.1
19580501 19580531    24.1
19580601 19580630     5.9
19580701 19580731    41.8
19580801 19580831    39.7
19580901 19580930    31.6
19581001 19581031    33.2
19581101 19581130     5.4
19581201 19581231    28.1
19590101 19590131    30.2
19590201 19590228    45.7
19590301 19590331   130.3
19590401 19590430    18.8
19590501 19590531     9.9
19590601 19590630    14.8
19590701 19590731    47.0
19590801 19590831     3.3
19590901 19590930     8.2
19591001 19591031    67.2
19591101 19591130     7.9
19591201 19591231    33.1
19600101 19600131    99.2
19600201 19600229    37.3
19600301 19600331    13.8
19600401 19600430     6.3
19600501 19600531    31.3
19600601 19600630    10.2
19600701 19600731    39.1
19600801 19600831    63.6
19600901 19600930    34.2
19601001 19601031    31.2
19601101 19601130    35.6
19601201 19601231    18.3
19610101 19610131    22.7
19610201 19610228    11.0
19610301 19610331    26.4
19610401 19610430    85.3
19610501 19610531     2.0
19610601 19610630    35.4
19610701 19610731    31.0
19610801 19610831    74.3
19610901 19610930     4.3
19611001 19611031    74.9
19611101 19611130   114.9
19611201 19611231    98.9
19620101 19620131   124.0
19620201 19620228    24.4
19620301 19620331    20.9
19620401 19620430     2.3
19620501 19620531    43.5
19620601 19620630     8.0
19620701 19620731    26.7
19620801 19620831    52.8
19620901 19620930    13.4
19621001 19621031    47.3
19621101 19621130    19.5
19621201 19621231    96.7
19630101 19630131    36.4
19630201 19630228    49.8
19630301 19630331   100.3
19630401 19630430    58.6
19630501 19630531   122.0
19630601 19630630    39.7
19630701 19630731    45.7
19630801 19630831    20.8
19630901 19630930    29.7
19631001 19631031    32.3
19631101 19631130    23.9
19631201 19631231    60.4
19640101 19640131    24.9
19640201 19640229     6.9
19640301 19640331     4.6
19640401 19640430    44.6
19640501 19640531    35.8
19640601 19640630    40.3
19640701 19640731    19.5
19640801 19640831    14.8
19640901 19640930    62.1
19641001 19641031    46.0
19641101 19641130    36.6
19641201 19641231    10.7
19650101 19650131     0.0
19650201 19650228     1.6
19650301 19650331     2.4
19650401 19650430    24.1
19650501 19650531    28.5
19650601 19650630    22.0
19650701 19650731    25.7
19650801 19650831    41.5
19650901 19650930    19.9
19651001 19651031    75.1
19651101 19651130    19.1
19651201 19651231    90.4
19660101 19660131     6.9
19660201 19660228     8.4
19660301 19660331    50.3
19660401 19660430     1.1
19660501 19660531    43.1
19660601 19660630     9.8
19660701 19660731    35.8
19660801 19660831    55.7
19660901 19660930    48.5
19661001 19661031    90.4
19661101 19661130    68.0
19661201 19661231    75.7
19670101 19670131    26.7
19670201 19670228    10.8
19670301 19670331    54.9
19670401 19670430     0.0
19670501 19670531    21.6
19670601 19670630    33.4
19670701 19670731     1.7
19670801 19670831    38.9
19670901 19670930    13.5
19671001 19671031    45.8
19671101 19671130     9.4
19671201 19671231     1.3
19680101 19680131    43.2
19680201 19680229     8.9
19680301 19680331    52.2
19680401 19680430    19.6
19680501 19680531   104.2
19680601 19680630    10.9
19680701 19680731    39.3
19680801 19680831    32.4
19680901 19680930    19.8
19681001 19681031    26.7
19681101 19681130    50.1
19681201 19681231    57.6
19690101 19690131    18.4
19690201 19690228   116.1
19690301 19690331   108.2
19690401 19690430    46.7
19690501 19690531    63.0
19690601 19690630    32.9
19690701 19690731    67.2
19690801 19690831    28.3
19690901 19690930    28.1
19691001 19691031    67.1
19691101 19691130   112.5
19691201 19691231     6.0
19700101 19700131    27.6
19700201 19700228     5.4
19700301 19700331    45.3
19700401 19700430    45.0
19700501 19700531    24.0
19700601 19700630    13.7
19700701 19700731     3.3
19700801 19700831    29.6
19700901 19700930    95.6
19701001 19701031    37.7
19701101 19701130    25.4
19701201 19701231    34.8
19710101 19710131    50.6
19710201 19710228    71.6
19710301 19710331    33.5
19710401 19710430    11.7
19710501 19710531    14.3
19710601 19710630    20.0
19710701 19710731    29.3
19710801 19710831    32.5
19710901 19710930     6.0
19711001 19711031     3.3
19711101 19711130    70.3
19711201 19711231    80.5
19720101 19720131    96.7
19720201 19720229    14.7
19720301 19720331    21.6
19720401 19720430    16.8
19720501 19720531    41.2
19720601 19720630     7.6
19720701 19720731     8.2
19720801 19720831    26.2
19720901 19720930     6.4
19721001 19721031    22.9
19721101 19721130    18.6
19721201 19721231     6.4
19730101 19730131    43.7
19730201 19730228   103.5
19730301 19730331    22.6
19730401 19730430    10.3
19730501 19730531    25.9
19730601 19730630    35.0
19730701 19730731    24.5
19730801 19730831    52.1
19730901 19730930    19.8
19731001 19731031    95.3
19731101 19731130    87.3
19731201 19731231    77.7
19740101 19740131   145.4
19740201 19740228    58.5
19740301 19740331    18.1
19740401 19740430   141.6
19740501 19740531    13.6
19740601 19740630    21.2
19740701 19740731    36.0
19740801 19740831    46.8
19740901 19740930    53.7
19741001 19741031    94.0
19741101 19741130    12.2
19741201 19741231     0.9
19750101 19750131    17.6
19750201 19750228    45.0
19750301 19750331     6.0
19750401 19750430     6.8
19750501 19750531     7.4
19750601 19750630    28.4
19750701 19750731    24.0
19750801 19750831    31.9
19750901 19750930    69.8
19751001 19751031   132.4
19751101 19751130     0.4
