PRCP       082001 18760101 20180131 missing_value=99999.9 BEECHWORTH COMPOSITE                      
19271001 19271031   138.5
19271101 19271130    22.0
19271201 19271231    32.1
19280101 19280131    54.1
19280201 19280229   280.2
19280301 19280331   128.9
19280401 19280430    70.0
19280501 19280531   100.5
19280601 19280630    79.3
19280701 19280731    83.2
19280801 19280831    30.8
19280901 19280930    79.9
19281001 19281031   118.3
19281101 19281130     7.5
19281201 19281231    21.0
19290101 19290131    23.9
19290201 19290228    29.1
19290301 19290331    46.2
19290401 19290430   142.5
19290501 19290531    59.5
19290601 19290630    94.4
19290701 19290731    56.8
19290801 19290831    75.3
19290901 19290930   105.8
19291001 19291031    45.2
19291101 19291130    25.7
19291201 19291231    81.9
19300101 19300131     0.0
19300201 19300228    12.6
19300301 19300331    15.2
19300401 19300430    59.1
19300501 19300531   119.6
19300601 19300630    35.8
19300701 19300731    89.0
19300801 19300831   126.9
19300901 19300930    57.7
19301001 19301031   172.6
19301101 19301130    81.4
19301201 19301231   196.0
19310101 19310131    45.3
19310201 19310228    19.3
19310301 19310331   157.2
19310401 19310430   147.7
19310501 19310531   206.1
19310601 19310630   297.5
19310701 19310731   125.1
19310801 19310831   124.9
19310901 19310930    86.5
19311001 19311031    71.2
19311101 19311130   103.2
19311201 19311231    10.9
19320101 19320131     1.5
19320201 19320229    36.2
19320301 19320331   148.5
19320401 19320430   219.1
19320501 19320531    16.0
19320601 19320630   190.4
19320701 19320731    88.0
19320801 19320831   133.3
19320901 19320930    67.0
19321001 19321031    58.2
19321101 19321130    35.2
19321201 19321231    44.2
19330101 19330131    32.2
19330201 19330228     0.0
19330301 19330331    22.2
19330401 19330430    22.9
19330501 19330531   132.8
19330601 19330630    89.8
19330701 19330731   104.3
19330801 19330831    87.5
19330901 19330930   163.6
19331001 19331031    67.7
19331101 19331130    52.8
19331201 19331231   190.9
19340101 19340131   138.2
19340201 19340228    75.9
19340301 19340331    72.6
19340401 19340430    99.8
19340501 19340531     0.0
19340601 19340630    62.7
19340701 19340731   155.8
19340801 19340831   127.0
19340901 19340930    92.4
19341001 19341031   263.4
19341101 19341130   151.6
19341201 19341231    91.4
19350101 19350131    29.0
19350201 19350228    49.2
19350301 19350331    73.6
19350401 19350430   173.6
19350501 19350531    37.1
19350601 19350630    99.3
19350701 19350731   125.6
19350801 19350831   132.8
19350901 19350930   103.4
19351001 19351031   104.7
19351101 19351130    16.3
19351201 19351231    57.2
19360101 19360131    93.7
19360201 19360229    40.2
19360301 19360331    22.4
19360401 19360430    86.9
19360501 19360531    35.2
19360601 19360630   110.9
19360701 19360731   197.6
19360801 19360831   175.2
19360901 19360930    36.1
19361001 19361031    68.8
19361101 19361130    24.3
19361201 19361231   118.1
19370101 19370131    95.0
19370201 19370228     9.4
19370301 19370331    31.7
19370401 19370430    25.9
19370501 19370531    48.4
19370601 19370630    52.5
19370701 19370731    52.4
19370801 19370831    94.4
19370901 19370930   127.8
19371001 19371031   109.3
19371101 19371130    24.6
19371201 19371231    41.1
19380101 19380131    21.9
19380201 19380228    44.3
19380301 19380331     1.6
19380401 19380430    85.8
19380501 19380531    36.7
19380601 19380630   133.6
19380701 19380731    56.7
19380801 19380831    88.5
19380901 19380930    31.4
19381001 19381031    19.6
19381101 19381130     5.1
19381201 19381231     3.9
19390101 19390131    10.2
19390201 19390228   230.9
19390301 19390331   148.9
19390401 19390430   265.3
19390501 19390531    32.2
19390601 19390630   240.5
19390701 19390731    43.8
19390801 19390831   244.8
19390901 19390930    90.8
19391001 19391031   185.3
19391101 19391130   119.6
19391201 19391231    18.3
19400101 19400131    15.3
19400201 19400229     4.6
19400301 19400331     9.1
19400401 19400430   118.3
19400501 19400531    68.8
19400601 19400630    49.2
19400701 19400731    65.8
19400801 19400831    42.4
19400901 19400930    73.8
19401001 19401031    12.3
19401101 19401130    39.1
19401201 19401231    71.1
19410101 19410131   149.6
19410201 19410228    36.8
19410301 19410331   125.9
19410401 19410430    10.9
19410501 19410531    16.6
19410601 19410630    86.8
19410701 19410731   110.0
19410801 19410831    33.8
19410901 19410930    52.7
19411001 19411031    71.3
19411101 19411130    49.6
19411201 19411231    31.5
19420101 19420131    44.2
19420201 19420228    57.4
19420301 19420331    57.2
19420401 19420430    28.3
19420501 19420531   203.7
19420601 19420630   175.2
19420701 19420731    87.0
19420801 19420831   166.4
19420901 19420930    77.3
19421001 19421031   144.3
19421101 19421130    61.0
19421201 19421231    27.4
19430101 19430131    56.8
19430201 19430228    37.4
19430301 19430331    10.0
19430401 19430430   122.8
19430501 19430531    19.6
19430601 19430630    94.7
19430701 19430731    94.5
19430801 19430831   136.9
19430901 19430930    82.6
19431001 19431031    53.6
19431101 19431130    43.8
19431201 19431231     6.6
19440101 19440131     2.0
19440201 19440229     8.4
19440301 19440331    30.7
19440401 19440430    73.5
19440501 19440531   112.8
19440601 19440630    40.7
19440701 19440731    71.5
19440801 19440831     5.1
19440901 19440930    26.5
19441001 19441031    62.8
19441101 19441130    30.8
19441201 19441231    76.6
19450101 19450131    64.7
19450201 19450228    17.9
19450301 19450331     3.6
19450401 19450430    13.7
19450501 19450531    14.5
19450601 19450630   148.2
19450701 19450731    64.4
19450801 19450831   161.4
19450901 19450930    46.0
19451001 19451031    88.8
19451101 19451130    88.5
19451201 19451231    13.4
19460101 19460131   102.4
19460201 19460228   186.4
19460301 19460331   124.3
19460401 19460430    43.8
19460501 19460531    52.7
19460601 19460630    95.2
19460701 19460731   221.2
19460801 19460831    93.4
19460901 19460930    13.5
19461001 19461031    53.2
19461101 19461130    92.7
19461201 19461231    58.4
19470101 19470131     5.6
19470201 19470228    60.7
19470301 19470331    89.2
19470401 19470430    26.8
19470501 19470531    37.4
19470601 19470630   103.1
19470701 19470731   210.0
19470801 19470831   111.0
19470901 19470930    97.3
19471001 19471031   140.2
19471101 19471130    74.7
19471201 19471231   132.9
19480101 19480131    22.1
19480201 19480229   124.3
19480301 19480331     5.0
19480401 19480430    58.1
19480501 19480531   128.1
19480601 19480630    85.8
19480701 19480731    64.9
19480801 19480831    43.5
19480901 19480930    72.2
19481001 19481031   118.3
19481101 19481130   126.1
19481201 19481231    56.1
19490101 19490131    16.8
19490201 19490228    53.9
19490301 19490331   153.3
19490401 19490430    29.9
19490501 19490531    68.1
19490601 19490630    48.3
19490701 19490731    91.0
19490801 19490831    38.0
19490901 19490930    96.1
19491001 19491031   186.6
19491101 19491130   123.0
19491201 19491231    17.4
19500101 19500131    14.8
19500201 19500228    69.0
19500301 19500331   130.1
19500401 19500430    25.0
19500501 19500531    78.1
19500601 19500630    35.9
19500701 19500731    85.5
19500801 19500831    73.4
19500901 19500930   102.4
19501001 19501031   125.6
19501101 19501130    81.3
19501201 19501231    40.7
19510101 19510131    37.0
19510201 19510228    46.8
19510301 19510331    12.2
