PRCP       039250 19120601 20160229 missing_value=99999.9 ROCKLEY                                   
19810401 19810430   100.8
19810501 19810531   112.2
19810601 19810630    28.0
19810701 19810731    22.0
19810801 19810831     4.0
19810901 19810930     0.0
19811001 19811031    40.0
19811101 19811130   134.0
19811201 19811231    78.0
19820101 19820131    85.0
19820201 19820228    33.6
19820301 19820331    93.3
19820401 19820430    19.4
19820501 19820531    31.4
19820601 19820630     0.0
19820701 19820731    18.1
19820801 19820831     0.0
19820901 19820930    59.0
19821001 19821031    22.0
19821101 19821130     0.0
19821201 19821231   101.0
19830101 19830131   193.2
19830201 19830228    22.0
19830301 19830331   186.4
19830401 19830430   120.6
19830501 19830531   230.3
19830601 19830630     9.3
19830701 19830731    10.0
19830801 19830831    26.0
19830901 19830930    14.0
19831001 19831031    69.6
19831101 19831130    82.0
19831201 19831231    15.2
19840101 19840131   236.0
19840201 19840229    17.2
19840301 19840331    37.4
19840401 19840430    56.6
19840501 19840531     0.0
19840601 19840630    20.0
19840701 19840731    81.1
19840801 19840831     0.0
19840901 19840930    55.8
19841001 19841031   170.0
19841101 19841130    61.8
19841201 19841231   260.0
19850101 19850131    24.6
19850201 19850228    83.0
19850301 19850331    66.2
19850401 19850430    44.4
19850501 19850531     9.6
19850601 19850630    95.8
19850701 19850731    44.4
19850801 19850831    11.0
19850901 19850930    42.0
19851001 19851031    94.2
19851101 19851130    45.1
19851201 19851231   177.9
19860101 19860131   123.6
19860201 19860228   185.0
19860301 19860331    14.4
19860401 19860430    52.2
19860501 19860531    62.2
19860601 19860630    37.4
19860701 19860731    36.8
19860801 19860831    94.2
19860901 19860930    63.4
19861001 19861031   175.4
19861101 19861130    12.2
19861201 19861231    70.0
19870101 19870131    29.0
19870201 19870228    40.0
19870301 19870331    61.4
19870401 19870430    25.2
19870501 19870531    15.6
19870601 19870630     5.0
19870701 19870731    31.4
19870801 19870831     8.8
19870901 19870930     9.4
19871001 19871031   120.8
19871101 19871130   105.2
19871201 19871231    64.8
19880101 19880131    11.8
19880201 19880229    31.9
19880301 19880331    77.6
19880401 19880430    58.0
19880501 19880531    13.4
19880601 19880630    57.8
19880701 19880731   108.0
19880801 19880831   104.2
19880901 19880930     0.0
19881001 19881031     0.0
19881101 19881130    62.6
19881201 19881231   159.6
19890101 19890131    63.2
19890201 19890228    55.2
19890301 19890331   104.5
19890401 19890430   169.2
19890501 19890531    71.4
19890601 19890630    23.2
19890701 19890731    28.0
19890801 19890831    13.0
19890901 19890930     0.0
19891001 19891031    67.4
19891101 19891130   151.0
19891201 19891231    11.2
19900101 19900131     0.0
19900201 19900228    62.2
19900301 19900331   400.2
19900401 19900430   183.8
19900501 19900531    86.0
19900601 19900630    15.6
19900701 19900731     0.0
19900801 19900831     2.4
19900901 19900930     4.0
19901001 19901031    16.8
19901101 19901130     3.0
19901201 19901231   402.8
19910101 19910131   349.8
19910201 19910228   375.4
19910301 19910331     0.0
19910401 19910430    23.0
19910501 19910531    60.0
19910601 19910630     0.0
19910701 19910731     0.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031    19.0
19911101 19911130    31.8
19911201 19911231   210.5
19920101 19920131   131.8
19920201 19920229   218.2
19920301 19920331    58.4
19920401 19920430    51.4
19920501 19920531   125.4
19920601 19920630    11.8
19920701 19920731     3.0
19920801 19920831    25.2
19920901 19920930    47.2
19921001 19921031     2.2
19921101 19921130    58.0
19921201 19921231    15.2
19930101 19930131    90.9
19930201 19930228    15.4
19930301 19930331    17.2
19930401 19930430     3.2
19930501 19930531    13.5
19930601 19930630     2.2
19930701 19930731    91.8
19930801 19930831    25.0
19930901 19930930    47.2
19931001 19931031    36.6
19931101 19931130   118.0
19931201 19931231    35.4
19940101 19940131    48.1
19940201 19940228   127.2
19940301 19940331   177.8
19940401 19940430    24.2
19940501 19940531     6.4
19940601 19940630     0.0
19940701 19940731     5.0
19940801 19940831     0.0
19940901 19940930     4.2
19941001 19941031    22.6
19941101 19941130     0.0
19941201 19941231   116.6
19950101 19950131    82.8
19950201 19950228    45.4
19950301 19950331     0.0
19950401 19950430    44.0
19950501 19950531    33.6
19950601 19950630    15.0
19950701 19950731     8.4
19950801 19950831    33.8
19950901 19950930    16.6
19951001 19951031    40.0
19951101 19951130    83.6
19951201 19951231    86.4
19960101 19960131   513.4
19960201 19960229    34.4
19960301 19960331     0.0
19960401 19960430    55.5
19960501 19960531   113.0
19960601 19960630    22.6
19960701 19960731    16.5
19960801 19960831    14.2
19960901 19960930    24.6
19961001 19961031    56.3
19961101 19961130    80.8
19961201 19961231   222.0
19970101 19970131     0.0
19970201 19970228   140.0
19970301 19970331   168.6
19970401 19970430    21.0
19970501 19970531    60.6
19970601 19970630     2.6
19970701 19970731    16.0
19970801 19970831    12.2
19970901 19970930    37.2
19971001 19971031    26.6
19971101 19971130    86.8
19971201 19971231    91.0
19980101 19980131    13.0
19980201 19980228    93.5
19980301 19980331     9.0
19980401 19980430    63.4
19980501 19980531    37.8
19980601 19980630    12.4
19980701 19980731     0.0
19980801 19980831    90.4
19980901 19980930    94.8
19981001 19981031   106.0
19981101 19981130   103.2
19981201 19981231    48.6
19990101 19990131   206.8
19990201 19990228   299.4
19990301 19990331    34.6
19990401 19990430     0.0
19990501 19990531    21.6
19990601 19990630 99999.9
19990701 19990731    28.0
19990801 19990831    29.2
19990901 19990930    12.4
19991001 19991031    68.2
19991101 19991130   170.2
19991201 19991231    40.2
20000101 20000131    78.6
20000201 20000229    88.8
20000301 20000331    23.2
20000401 20000430    46.6
20000501 20000531    20.2
20000601 20000630    52.6
20000701 20000731     9.0
20000801 20000831     9.0
20000901 20000930     0.0
20001001 20001031   145.6
20001101 20001130   277.4
20001201 20001231    99.2
20010101 20010131    42.0
20010201 20010228    61.6
20010301 20010331    74.6
20010401 20010430     3.0
20010501 20010531    10.8
20010601 20010630    15.0
20010701 20010731    19.4
20010801 20010831     0.0
20010901 20010930    12.4
20011001 20011031    89.8
20011101 20011130    42.8
20011201 20011231    48.2
20020101 20020131   106.2
20020201 20020228   103.0
20020301 20020331    27.8
20020401 20020430     0.0
20020501 20020531     8.2
20020601 20020630   113.4
20020701 20020731     0.0
20020801 20020831    71.8
20020901 20020930    11.4
20021001 20021031     8.0
20021101 20021130    16.2
20021201 20021231   125.4
20030101 20030131     0.0
20030201 20030228   395.2
20030301 20030331    79.4
20030401 20030430     8.8
20030501 20030531    15.4
20030601 20030630    35.4
20030701 20030731    11.0
20030801 20030831    45.0
20030901 20030930     0.0
20031001 20031031   186.4
20031101 20031130    10.8
20031201 20031231   121.8
20040101 20040131   319.0
20040201 20040229   104.8
20040301 20040331     8.0
20040401 20040430    47.6
20040501 20040531     0.0
20040601 20040630     0.0
20040701 20040731     1.4
20040801 20040831     0.0
20040901 20040930    12.4
20041001 20041031    66.6
20041101 20041130    68.8
20041201 20041231   225.0
20050101 20050131   178.8
20050201 20050228    69.0
20050301 20050331    26.2
20050401 20050430    15.4
20050501 20050531    21.4
20050601 20050630    38.0
20050701 20050731     0.0
20050801 20050831    28.0
20050901 20050930    10.0
20051001 20051031    70.2
20051101 20051130   105.0
20051201 20051231    81.6
20060101 20060131    94.8
20060201 20060228     7.6
20060301 20060331    46.4
20060401 20060430    55.5
20060501 20060531     7.4
20060601 20060630   128.0
20060701 20060731    38.2
20060801 20060831    25.0
20060901 20060930    33.0
20061001 20061031     0.0
20061101 20061130    55.4
20061201 20061231    45.8
20070101 20070131    21.6
20070201 20070228    66.8
20070301 20070331     3.6
20070401 20070430    11.2
20070501 20070531    21.2
20070601 20070630   133.0
20070701 20070731     0.0
20070801 20070831    35.6
20070901 20070930    13.8
20071001 20071031    29.6
20071101 20071130    78.0
20071201 20071231   122.4
20080101 20080131   127.2
20080201 20080229   307.4
20080301 20080331    36.0
20080401 20080430    11.0
20080501 20080531    44.2
20080601 20080630    11.2
20080701 20080731   101.6
