PRCP       014902 18900701 20180131 missing_value=99999.9 KATHERINE COUNCIL                         
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930    39.7
19361001 19361031    22.1
19361101 19361130    81.8
19361201 19361231    99.0
19370101 19370131   686.7
19370201 19370228   116.9
19370301 19370331   133.8
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630     0.0
19370701 19370731     0.0
19370801 19370831     1.0
19370901 19370930     5.8
19371001 19371031    29.8
19371101 19371130    18.3
19371201 19371231   163.5
19380101 19380131   236.7
19380201 19380228   245.2
19380301 19380331     0.5
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630     0.0
19380701 19380731    12.4
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031    12.5
19381101 19381130   167.7
19381201 19381231    35.3
19390101 19390131   372.4
19390201 19390228   353.4
19390301 19390331    34.8
19390401 19390430    40.7
19390501 19390531     0.0
19390601 19390630    10.7
19390701 19390731     0.0
19390801 19390831     0.0
19390901 19390930     3.1
19391001 19391031    63.0
19391101 19391130    66.5
19391201 19391231   180.9
19400101 19400131   490.9
19400201 19400229   313.1
19400301 19400331   301.5
19400401 19400430    11.6
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130    57.7
19401201 19401231   147.1
19410101 19410131   229.4
19410201 19410228    82.2
19410301 19410331   353.7
19410401 19410430     0.0
19410501 19410531     5.8
19410601 19410630     0.0
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     9.9
19411101 19411130    87.4
19411201 19411231   246.2
19420101 19420131   215.5
19420201 19420228   201.1
19420301 19420331    24.9
19420401 19420430    56.8
19420501 19420531     0.0
19420601 19420630     0.0
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930    35.8
19421001 19421031    13.4
19421101 19421130    58.7
19421201 19421231   286.6
19430101 19430131   146.6
19430201 19430228   351.1
19430301 19430331   165.3
19430401 19430430    20.6
19430501 19430531     0.0
19430601 19430630     0.0
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930     3.3
19431001 19431031    80.3
19431101 19431130    70.1
19431201 19431231   128.6
19440101 19440131   281.1
19440201 19440229   123.9
19440301 19440331   492.0
19440401 19440430     0.0
19440501 19440531     0.0
19440601 19440630     0.0
19440701 19440731     0.0
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031     4.4
19441101 19441130   112.7
19441201 19441231   181.0
19450101 19450131   199.3
19450201 19450228   165.0
