PRCP       092037 19040101 20041031 missing_value=99999.9 SWAN ISLAND LIGHTHOUSE                    
19710901 19710930    59.7
19711001 19711031   108.9
19711101 19711130    64.9
19711201 19711231    45.7
19720101 19720131    52.7
19720201 19720229    29.2
19720301 19720331     3.9
19720401 19720430    36.3
19720501 19720531    14.3
19720601 19720630    44.8
19720701 19720731   128.7
19720801 19720831    66.5
19720901 19720930    25.8
19721001 19721031    14.5
19721101 19721130    73.5
19721201 19721231     8.7
19730101 19730131    22.6
19730201 19730228   116.9
19730301 19730331    71.0
19730401 19730430    71.1
19730501 19730531    94.3
19730601 19730630    74.4
19730701 19730731    37.1
19730801 19730831    72.1
19730901 19730930    51.9
19731001 19731031    58.2
19731101 19731130    47.3
19731201 19731231    52.3
19740101 19740131    24.3
19740201 19740228    13.2
19740301 19740331    12.6
19740401 19740430   166.9
19740501 19740531    89.0
19740601 19740630    28.4
19740701 19740731   155.0
19740801 19740831    56.1
19740901 19740930    63.6
19741001 19741031    48.0
19741101 19741130    66.2
19741201 19741231    60.6
19750101 19750131    56.8
19750201 19750228     9.0
19750301 19750331    47.0
19750401 19750430    21.2
19750501 19750531   111.6
19750601 19750630    40.5
19750701 19750731    93.4
19750801 19750831    51.0
19750901 19750930    58.8
19751001 19751031    71.6
19751101 19751130    67.6
19751201 19751231    30.2
19760101 19760131    10.4
19760201 19760229    20.9
19760301 19760331    70.4
19760401 19760430     7.6
19760501 19760531    22.6
19760601 19760630    46.2
19760701 19760731    19.0
19760801 19760831    56.4
19760901 19760930    37.9
19761001 19761031    81.0
19761101 19761130    63.8
19761201 19761231   106.4
19770101 19770131    35.2
19770201 19770228    97.8
19770301 19770331    77.5
19770401 19770430    10.4
19770501 19770531    42.5
19770601 19770630    48.2
19770701 19770731    43.8
19770801 19770831    24.7
19770901 19770930    30.0
19771001 19771031    24.4
19771101 19771130    75.3
19771201 19771231     2.2
19780101 19780131    40.7
19780201 19780228    80.3
19780301 19780331    47.8
19780401 19780430    39.4
19780501 19780531    43.6
19780601 19780630    65.7
19780701 19780731    53.6
19780801 19780831    22.4
19780901 19780930    40.1
19781001 19781031    34.6
19781101 19781130    55.3
19781201 19781231    46.4
19790101 19790131    30.4
19790201 19790228    11.6
19790301 19790331    43.8
19790401 19790430    46.8
19790501 19790531    73.2
19790601 19790630    27.2
19790701 19790731    26.6
19790801 19790831    52.5
19790901 19790930    89.0
19791001 19791031    66.6
19791101 19791130    16.4
19791201 19791231    14.6
19800101 19800131    29.6
19800201 19800229    15.0
19800301 19800331    54.8
19800401 19800430    71.2
19800501 19800531    42.0
19800601 19800630    63.8
19800701 19800731    32.8
19800801 19800831    49.2
19800901 19800930    30.8
19801001 19801031    32.4
19801101 19801130    46.6
19801201 19801231    45.8
19810101 19810131    28.9
19810201 19810228    11.3
19810301 19810331    62.4
19810401 19810430    18.0
19810501 19810531    30.2
19810601 19810630    57.2
19810701 19810731    38.0
19810801 19810831   120.4
19810901 19810930    20.2
19811001 19811031    46.2
19811101 19811130    52.2
19811201 19811231    52.4
19820101 19820131    27.7
19820201 19820228     6.4
19820301 19820331    92.2
19820401 19820430    42.2
19820501 19820531    30.9
19820601 19820630    63.1
19820701 19820731    87.2
19820801 19820831    15.8
19820901 19820930    33.5
19821001 19821031     6.8
19821101 19821130    10.6
19821201 19821231    71.4
19830101 19830131    17.4
19830201 19830228     0.8
19830301 19830331    70.1
19830401 19830430   100.4
19830501 19830531    56.0
19830601 19830630    53.6
19830701 19830731    33.3
19830801 19830831    67.9
19830901 19830930    63.9
19831001 19831031    25.8
19831101 19831130    28.2
19831201 19831231    35.8
19840101 19840131    33.7
19840201 19840229    11.2
19840301 19840331    55.2
19840401 19840430    25.4
19840501 19840531    16.6
19840601 19840630    30.8
19840701 19840731    83.2
19840801 19840831   138.6
19840901 19840930    76.8
19841001 19841031    14.6
19841101 19841130    45.3
19841201 19841231    46.3
19850101 19850131    14.2
19850201 19850228    18.6
19850301 19850331    43.6
19850401 19850430    75.0
19850501 19850531   102.4
19850601 19850630    42.6
19850701 19850731    58.0
19850801 19850831    72.8
19850901 19850930    21.5
19851001 19851031    36.3
19851101 19851130    59.1
19851201 19851231   134.8
19860101 19860131    79.2
19860201 19860228    15.0
19860301 19860331    13.6
19860401 19860430    38.0
19860501 19860531   112.6
19860601 19860630    32.6
19860701 19860731    84.0
19860801 19860831    40.6
19860901 19860930    69.8
19861001 19861031    55.4
19861101 19861130     5.6
19861201 19861231    48.2
19870101 19870131    81.6
19870201 19870228     8.4
19870301 19870331    32.2
19870401 19870430    10.2
19870501 19870531   126.5
19870601 19870630    40.2
19870701 19870731    84.2
19870801 19870831    16.0
19870901 19870930    17.0
19871001 19871031    25.8
19871101 19871130    68.6
19871201 19871231    62.6
19880101 19880131    25.6
19880201 19880229    10.4
19880301 19880331    20.2
19880401 19880430    16.6
19880501 19880531   115.8
19880601 19880630    50.8
19880701 19880731    86.6
19880801 19880831    55.2
19880901 19880930    39.8
19881001 19881031    66.0
19881101 19881130    47.4
19881201 19881231    42.8
19890101 19890131    25.6
19890201 19890228    17.2
19890301 19890331    90.2
19890401 19890430    56.2
19890501 19890531    68.8
19890601 19890630    45.2
19890701 19890731   105.4
19890801 19890831    48.4
19890901 19890930    41.4
19891001 19891031    69.4
19891101 19891130    37.4
19891201 19891231    40.2
19900101 19900131     6.6
19900201 19900228    23.8
19900301 19900331    35.6
19900401 19900430   102.2
19900501 19900531    21.2
19900601 19900630    70.0
19900701 19900731    43.4
19900801 19900831    47.0
19900901 19900930    22.4
19901001 19901031    38.6
19901101 19901130    50.0
19901201 19901231    37.4
19910101 19910131    56.8
19910201 19910228     7.2
19910301 19910331    62.4
19910401 19910430    28.4
19910501 19910531     9.2
19910601 19910630    50.4
19910701 19910731    54.0
19910801 19910831   137.2
19910901 19910930    61.0
19911001 19911031    31.0
19911101 19911130    35.8
19911201 19911231    53.0
19920101 19920131    79.0
19920201 19920229    30.4
19920301 19920331     2.2
19920401 19920430    86.2
19920501 19920531    40.0
19920601 19920630    52.6
19920701 19920731    55.4
19920801 19920831    85.2
19920901 19920930    48.4
19921001 19921031    36.8
19921101 19921130    71.8
19921201 19921231    37.2
19930101 19930131    80.2
19930201 19930228    49.4
19930301 19930331    28.6
19930401 19930430    11.7
19930501 19930531    21.2
19930601 19930630    48.6
19930701 19930731    78.0
19930801 19930831    43.3
19930901 19930930    57.8
19931001 19931031    57.6
19931101 19931130    17.4
19931201 19931231   125.6
19940101 19940131    24.6
19940201 19940228    33.6
19940301 19940331    21.8
19940401 19940430    23.4
19940501 19940531    56.4
19940601 19940630    45.0
19940701 19940731    10.9
19940801 19940831    36.4
19940901 19940930    19.8
19941001 19941031    22.0
19941101 19941130    58.8
19941201 19941231    25.8
19950101 19950131   106.4
19950201 19950228    17.4
19950301 19950331    18.6
19950401 19950430    32.8
19950501 19950531    52.0
19950601 19950630    76.8
19950701 19950731    44.6
19950801 19950831    15.2
19950901 19950930    25.4
19951001 19951031    36.0
19951101 19951130    63.6
19951201 19951231    54.2
19960101 19960131    83.4
19960201 19960229    41.5
19960301 19960331    33.4
19960401 19960430    45.8
19960501 19960531    16.8
19960601 19960630    67.4
19960701 19960731    69.2
19960801 19960831    59.6
19960901 19960930    58.2
19961001 19961031    24.4
19961101 19961130    57.0
19961201 19961231    13.0
19970101 19970131    25.8
19970201 19970228    18.8
19970301 19970331    30.9
19970401 19970430     8.8
19970501 19970531    58.0
19970601 19970630    26.6
19970701 19970731     8.8
19970801 19970831    46.2
19970901 19970930   124.6
19971001 19971031    23.4
19971101 19971130    29.8
19971201 19971231     9.6
19980101 19980131   106.2
19980201 19980228    37.8
19980301 19980331     4.0
19980401 19980430   105.8
19980501 19980531    27.0
19980601 19980630    50.2
19980701 19980731    57.8
19980801 19980831    20.6
19980901 19980930    38.6
19981001 19981031    73.4
19981101 19981130    51.2
19981201 19981231    72.8
19990101 19990131    35.6
19990201 19990228    29.8
19990301 19990331    21.0
19990401 19990430    40.2
19990501 19990531    73.0
19990601 19990630    31.4
19990701 19990731    19.6
19990801 19990831    39.2
19990901 19990930    30.2
19991001 19991031    37.2
