PRCP       045022 19300901 20170630 missing_value=99999.9 WHYNOT STATION                            
19910401 19910430     0.0
19910501 19910531    21.0
19910601 19910630    11.0
19910701 19910731     4.6
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     4.0
19911101 19911130    31.0
19911201 19911231    70.0
19920101 19920131    25.0
19920201 19920229    54.0
19920301 19920331     0.0
19920401 19920430     3.0
19920501 19920531     9.0
19920601 19920630     0.0
19920701 19920731    11.0
19920801 19920831    11.0
19920901 19920930     6.0
19921001 19921031    49.0
19921101 19921130    35.0
19921201 19921231    49.0
19930101 19930131    39.0
19930201 19930228    19.0
19930301 19930331    13.0
19930401 19930430     0.0
19930501 19930531     4.0
19930601 19930630    24.0
19930701 19930731    15.0
19930801 19930831    30.0
19930901 19930930    19.0
19931001 19931031    26.0
19931101 19931130     4.0
19931201 19931231    33.0
19940101 19940131    23.0
19940201 19940228   139.0
19940301 19940331    40.0
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630    16.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     3.0
19941101 19941130    38.0
19941201 19941231     8.0
19950101 19950131   121.0
19950201 19950228    25.0
19950301 19950331     2.0
19950401 19950430     0.0
19950501 19950531    75.0
19950601 19950630    23.0
19950701 19950731     0.0
19950801 19950831     0.0
19950901 19950930    30.0
19951001 19951031    23.0
19951101 19951130    43.0
19951201 19951231     4.0
19960101 19960131    73.0
19960201 19960229    12.0
19960301 19960331    25.0
19960401 19960430    10.0
19960501 19960531     0.0
19960601 19960630    13.0
19960701 19960731    42.0
19960801 19960831    39.0
19960901 19960930    16.0
19961001 19961031    59.0
19961101 19961130    21.0
19961201 19961231    29.0
19970101 19970131    40.0
19970201 19970228    67.0
19970301 19970331    97.0
19970401 19970430     0.0
19970501 19970531    29.0
19970601 19970630    14.0
19970701 19970731     2.0
19970801 19970831     0.0
19970901 19970930    18.0
19971001 19971031     0.0
19971101 19971130    11.0
19971201 19971231    21.0
19980101 19980131   118.0
19980201 19980228    17.0
19980301 19980331     0.0
19980401 19980430    84.0
19980501 19980531     3.0
19980601 19980630    38.0
19980701 19980731    65.0
19980801 19980831    14.0
19980901 19980930    18.0
19981001 19981031     0.0
19981101 19981130    48.0
19981201 19981231     2.0
19990101 19990131    41.0
19990201 19990228    50.0
19990301 19990331    11.0
19990401 19990430    25.0
19990501 19990531    33.0
19990601 19990630    17.0
19990701 19990731     0.0
19990801 19990831     0.0
19990901 19990930     0.0
19991001 19991031    25.0
19991101 19991130   168.0
19991201 19991231   111.0
20000101 20000131    15.0
20000201 20000229   133.0
20000301 20000331    55.0
20000401 20000430   157.0
20000501 20000531    17.0
20000601 20000630     0.0
20000701 20000731     0.0
20000801 20000831    28.0
20000901 20000930     0.0
20001001 20001031    75.0
20001101 20001130   111.0
20001201 20001231    25.0
20010101 20010131     8.0
20010201 20010228    18.0
20010301 20010331    28.0
20010401 20010430     0.0
20010501 20010531     0.0
20010601 20010630    26.0
20010701 20010731     0.0
20010801 20010831     2.0
20010901 20010930     0.0
20011001 20011031    44.0
20011101 20011130    69.0
20011201 20011231     2.0
20020101 20020131    34.0
20020201 20020228   115.0
20020301 20020331     2.0
20020401 20020430     0.0
20020501 20020531     0.0
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     9.0
20021001 20021031     0.0
20021101 20021130     0.0
20021201 20021231     7.0
20030101 20030131     1.0
20030201 20030228    39.0
20030301 20030331    13.0
20030401 20030430    12.0
20030501 20030531    44.0
20030601 20030630    24.0
20030701 20030731    27.0
20030801 20030831    29.0
20030901 20030930     0.0
20031001 20031031    13.0
20031101 20031130    18.0
20031201 20031231    14.0
20040101 20040131   135.0
20040201 20040229    11.0
20040301 20040331    18.0
20040401 20040430    12.0
20040501 20040531    53.0
20040601 20040630     5.0
20040701 20040731     0.0
20040801 20040831    15.0
20040901 20040930    11.0
20041001 20041031     0.0
20041101 20041130    24.0
20041201 20041231     9.0
20050101 20050131     3.0
20050201 20050228    10.0
20050301 20050331     0.0
20050401 20050430     0.0
20050501 20050531     8.0
20050601 20050630    69.0
20050701 20050731     0.0
20050801 20050831    26.0
20050901 20050930     9.0
20051001 20051031    13.0
20051101 20051130    10.0
20051201 20051231     6.0
20060101 20060131    11.0
20060201 20060228    18.0
20060301 20060331     0.0
20060401 20060430     5.0
20060501 20060531     0.0
20060601 20060630    23.0
20060701 20060731    54.0
20060801 20060831     0.0
20060901 20060930     0.0
20061001 20061031     0.0
20061101 20061130     3.0
20061201 20061231    51.0
20070101 20070131    83.0
20070201 20070228     2.0
20070301 20070331    27.0
20070401 20070430     2.0
20070501 20070531    20.0
20070601 20070630     5.0
20070701 20070731     0.0
20070801 20070831     0.0
20070901 20070930     0.0
20071001 20071031    21.0
20071101 20071130    16.0
20071201 20071231    72.0
20080101 20080131    18.0
20080201 20080229    50.0
20080301 20080331     0.0
20080401 20080430     0.0
20080501 20080531     0.0
20080601 20080630    33.0
20080701 20080731     0.0
20080801 20080831    20.0
20080901 20080930    21.0
20081001 20081031     3.0
20081101 20081130    37.0
20081201 20081231    15.0
20090101 20090131    86.0
20090201 20090228     0.0
20090301 20090331     0.0
20090401 20090430    30.0
20090501 20090531    20.0
20090601 20090630     8.0
20090701 20090731     0.0
20090801 20090831     0.0
20090901 20090930     1.0
20091001 20091031    39.0
20091101 20091130    19.0
20091201 20091231    10.0
20100101 20100131    22.0
20100201 20100228   184.0
20100301 20100331   170.0
20100401 20100430     7.0
20100501 20100531    18.0
20100601 20100630     0.0
20100701 20100731    68.0
20100801 20100831    45.0
20100901 20100930    40.0
20101001 20101031    74.0
20101101 20101130   141.0
20101201 20101231   153.0
20110101 20110131   129.0
20110201 20110228    75.0
20110301 20110331   140.0
20110401 20110430     2.0
20110501 20110531     2.0
20110601 20110630     0.0
20110701 20110731    36.0
20110801 20110831     0.0
20110901 20110930    18.0
20111001 20111031     6.0
20111101 20111130    85.0
20111201 20111231    99.0
20120101 20120131    80.0
20120201 20120229    23.0
20120301 20120331   137.0
20120401 20120430     3.0
20120501 20120531    46.0
20120601 20120630     9.0
20120701 20120731 99999.9
20120801 20120831     0.0
20120901 20120930     0.0
20121001 20121031     0.0
20121101 20121130     9.0
20121201 20121231     5.0
20130101 20130131     7.0
20130201 20130228    59.0
20130301 20130331    56.0
20130401 20130430     0.0
20130501 20130531    28.0
20130601 20130630     0.0
20130701 20130731    11.0
20130801 20130831     0.0
20130901 20130930     0.0
20131001 20131031     0.0
20131101 20131130     0.0
20131201 20131231     0.0
20140101 20140131     7.0
20140201 20140228   118.0
20140301 20140331    17.0
20140401 20140430     0.0
20140501 20140531     0.0
20140601 20140630 99999.9
20140701 20140731 99999.9
20140801 20140831    31.0
20140901 20140930     0.0
20141001 20141031     0.0
20141101 20141130     9.5
20141201 20141231    35.0
20150101 20150131    63.5
20150201 20150228    15.0
20150301 20150331     2.5
20150401 20150430     0.0
20150501 20150531    14.0
20150601 20150630    65.0
20150701 20150731     0.0
20150801 20150831     0.0
20150901 20150930     0.0
20151001 20151031     0.0
20151101 20151130    18.0
20151201 20151231    20.0
20160101 20160131   147.0
20160201 20160229    18.0
20160301 20160331     8.0
20160401 20160430     0.0
20160501 20160531    22.0
20160601 20160630    60.0
20160701 20160731    23.0
20160801 20160831    37.0
20160901 20160930    86.0
20161001 20161031     5.0
20161101 20161130    10.0
20161201 20161231    55.0
20170101 20170131    95.0
20170201 20170228     0.0
20170301 20170331     0.0
20170401 20170430     3.0
20170501 20170531    28.0
20170601 20170630     1.0
