PRCP       007007 18910101 20161130 missing_value=99999.9 BOOLARDY                                  
19321101 19321130     0.0
19321201 19321231    80.2
19330101 19330131     0.0
19330201 19330228    29.0
19330301 19330331    83.3
19330401 19330430     0.0
19330501 19330531   100.3
19330601 19330630    31.3
19330701 19330731    19.1
19330801 19330831    35.1
19330901 19330930     5.6
19331001 19331031     2.8
19331101 19331130     0.0
19331201 19331231     0.0
19340101 19340131    26.4
19340201 19340228     0.5
19340301 19340331    77.1
19340401 19340430    72.6
19340501 19340531     1.3
19340601 19340630    31.2
19340701 19340731    17.5
19340801 19340831    12.7
19340901 19340930     3.3
19341001 19341031     0.0
19341101 19341130     0.0
19341201 19341231     0.0
19350101 19350131    15.7
19350201 19350228    12.7
19350301 19350331     5.3
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630     8.4
19350701 19350731     9.9
19350801 19350831    11.2
19350901 19350930     0.0
19351001 19351031     2.5
19351101 19351130     0.0
19351201 19351231     0.0
19360101 19360131    10.9
19360201 19360229     0.0
19360301 19360331     6.9
19360401 19360430     8.4
19360501 19360531     0.8
19360601 19360630    32.6
19360701 19360731     5.7
19360801 19360831     2.9
19360901 19360930     1.1
19361001 19361031     0.0
19361101 19361130     0.0
19361201 19361231    23.6
19370101 19370131     5.6
19370201 19370228    18.3
19370301 19370331    12.2
19370401 19370430    27.7
19370501 19370531    16.0
19370601 19370630    10.9
19370701 19370731     0.0
19370801 19370831    10.0
19370901 19370930     2.8
19371001 19371031     0.0
19371101 19371130    13.7
19371201 19371231     0.8
19380101 19380131    13.5
19380201 19380228    15.1
19380301 19380331    13.7
19380401 19380430     4.3
19380501 19380531     1.8
19380601 19380630    10.4
19380701 19380731    40.9
19380801 19380831     8.9
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130     6.9
19381201 19381231     1.3
19390101 19390131     6.9
19390201 19390228     5.9
19390301 19390331     1.8
19390401 19390430     4.0
19390501 19390531    13.4
19390601 19390630    36.2
19390701 19390731    22.8
19390801 19390831    15.3
19390901 19390930     0.0
19391001 19391031     4.5
19391101 19391130    22.9
19391201 19391231     1.5
19400101 19400131     8.3
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     3.3
19400501 19400531    19.1
19400601 19400630     1.5
19400701 19400731    53.2
19400801 19400831     2.5
19400901 19400930     1.6
19401001 19401031     3.6
19401101 19401130     0.5
19401201 19401231     0.0
19410101 19410131     6.1
19410201 19410228    18.8
19410301 19410331     0.0
19410401 19410430    12.7
19410501 19410531    20.3
19410601 19410630    28.4
19410701 19410731    21.6
19410801 19410831    95.4
19410901 19410930     0.8
19411001 19411031     0.0
19411101 19411130     4.8
19411201 19411231    62.8
19420101 19420131    20.9
19420201 19420228    67.8
19420301 19420331    44.5
19420401 19420430    15.0
19420501 19420531    28.5
19420601 19420630    31.3
19420701 19420731    14.6
