PRCP       022009 18791001 20171130 missing_value=99999.9 MINLATON                                  
19230401 19230430     4.4
19230501 19230531   124.5
19230601 19230630   103.5
19230701 19230731    86.1
19230801 19230831    95.1
19230901 19230930   102.3
19231001 19231031    46.9
19231101 19231130     6.8
19231201 19231231    45.9
19240101 19240131     8.1
19240201 19240229    54.1
19240301 19240331    11.4
19240401 19240430    16.3
19240501 19240531    72.2
19240601 19240630    73.2
19240701 19240731    17.0
19240801 19240831    56.6
19240901 19240930    55.7
19241001 19241031    76.8
19241101 19241130    41.2
19241201 19241231     3.1
19250101 19250131     8.6
19250201 19250228     8.4
19250301 19250331     0.3
19250401 19250430    31.3
19250501 19250531    63.2
19250601 19250630    36.9
19250701 19250731    43.5
19250801 19250831    45.2
19250901 19250930   112.2
19251001 19251031    22.9
19251101 19251130    15.5
19251201 19251231     2.0
19260101 19260131     0.0
19260201 19260228    13.2
19260301 19260331     7.6
19260401 19260430    42.9
19260501 19260531    89.4
19260601 19260630    40.3
19260701 19260731    48.7
19260801 19260831    78.8
19260901 19260930    78.3
19261001 19261031    50.3
19261101 19261130     5.8
19261201 19261231    33.0
19270101 19270131     5.1
19270201 19270228    27.7
19270301 19270331    25.6
19270401 19270430     7.6
19270501 19270531    58.8
19270601 19270630    36.8
19270701 19270731    62.5
19270801 19270831    77.8
19270901 19270930    19.3
19271001 19271031     8.7
19271101 19271130    73.1
19271201 19271231    29.1
19280101 19280131    19.1
19280201 19280229    38.8
19280301 19280331    18.6
19280401 19280430    13.4
19280501 19280531    43.7
19280601 19280630    88.8
19280701 19280731    58.4
19280801 19280831    17.4
19280901 19280930    27.6
19281001 19281031    66.6
19281101 19281130     9.4
19281201 19281231     3.4
19290101 19290131     7.7
19290201 19290228     7.6
19290301 19290331    10.2
19290401 19290430    17.4
19290501 19290531    24.2
19290601 19290630    67.4
19290701 19290731    43.2
19290801 19290831    47.1
19290901 19290930    46.1
19291001 19291031    16.0
19291101 19291130    21.6
19291201 19291231    37.3
19300101 19300131     0.0
19300201 19300228    12.2
19300301 19300331     1.3
19300401 19300430    25.5
19300501 19300531    17.0
19300601 19300630    20.9
19300701 19300731    76.3
19300801 19300831    66.1
19300901 19300930    55.3
19301001 19301031    48.1
19301101 19301130    12.5
19301201 19301231    21.6
19310101 19310131    10.3
19310201 19310228     1.6
19310301 19310331    19.4
19310401 19310430    29.2
19310501 19310531    65.8
19310601 19310630    75.3
19310701 19310731    83.2
19310801 19310831    36.4
19310901 19310930    69.0
19311001 19311031    14.0
19311101 19311130    10.7
19311201 19311231     6.1
19320101 19320131     5.3
19320201 19320229    40.1
19320301 19320331    19.4
19320401 19320430    89.2
19320501 19320531    37.6
19320601 19320630   116.3
19320701 19320731    61.1
19320801 19320831    66.8
19320901 19320930    36.8
19321001 19321031    42.6
19321101 19321130     6.1
19321201 19321231     4.3
19330101 19330131    12.8
19330201 19330228     0.0
19330301 19330331     7.1
19330401 19330430    14.2
19330501 19330531    77.7
19330601 19330630    24.4
19330701 19330731    46.3
19330801 19330831    76.5
19330901 19330930    72.5
19331001 19331031    18.4
19331101 19331130     8.6
19331201 19331231    12.3
19340101 19340131     7.4
19340201 19340228     5.2
19340301 19340331    11.9
19340401 19340430    29.0
19340501 19340531    13.5
19340601 19340630    31.1
19340701 19340731    28.7
19340801 19340831    74.6
19340901 19340930    73.2
19341001 19341031    52.1
19341101 19341130    44.6
19341201 19341231     6.3
19350101 19350131     8.7
19350201 19350228     0.6
19350301 19350331    34.7
19350401 19350430    37.9
19350501 19350531    36.5
19350601 19350630    59.8
19350701 19350731    50.8
19350801 19350831    37.0
19350901 19350930    45.9
19351001 19351031    74.7
19351101 19351130    21.9
19351201 19351231    22.6
