PRCP       091011 18960401 20170731 missing_value=99999.9 CAPE GRIM (WOOLNORTH)                     
19610401 19610430   165.7
19610501 19610531    53.6
19610601 19610630   102.4
19610701 19610731    81.7
19610801 19610831    63.4
19610901 19610930    31.7
19611001 19611031    58.4
19611101 19611130    64.9
19611201 19611231    70.0
19620101 19620131    23.4
19620201 19620228    53.7
19620301 19620331    77.4
19620401 19620430    26.1
19620501 19620531    97.1
19620601 19620630   148.2
19620701 19620731    59.0
19620801 19620831    95.7
19620901 19620930    81.0
19621001 19621031    85.7
19621101 19621130    50.6
19621201 19621231    31.3
19630101 19630131    86.4
19630201 19630228    40.9
19630301 19630331    41.3
19630401 19630430    25.4
19630501 19630531    50.8
19630601 19630630    77.8
19630701 19630731   117.8
19630801 19630831   125.6
19630901 19630930   109.1
19631001 19631031    74.4
19631101 19631130    42.6
19631201 19631231    17.4
19640101 19640131    44.8
19640201 19640229    83.4
19640301 19640331   125.8
19640401 19640430    69.0
19640501 19640531   112.3
19640601 19640630   146.9
19640701 19640731   206.7
19640801 19640831   151.4
19640901 19640930   134.7
19641001 19641031   106.1
19641101 19641130    44.3
19641201 19641231    71.2
19650101 19650131    20.2
19650201 19650228     6.8
19650301 19650331    71.5
19650401 19650430   112.1
19650501 19650531   151.7
19650601 19650630    73.9
19650701 19650731    90.8
19650801 19650831    48.6
19650901 19650930    82.1
19651001 19651031    43.1
19651101 19651130    59.3
19651201 19651231    43.9
19660101 19660131    34.4
19660201 19660228    34.2
19660301 19660331    76.9
19660401 19660430    86.0
19660501 19660531    62.6
19660601 19660630    86.7
19660701 19660731   183.0
19660801 19660831    89.5
19660901 19660930    85.7
19661001 19661031   143.5
19661101 19661130    62.3
19661201 19661231    40.5
19670101 19670131    40.4
19670201 19670228    12.0
19670301 19670331    35.6
19670401 19670430    24.9
19670501 19670531    35.7
19670601 19670630    74.2
19670701 19670731   168.7
19670801 19670831    74.7
19670901 19670930    63.7
19671001 19671031    29.9
19671101 19671130    51.7
19671201 19671231    52.9
19680101 19680131    30.1
19680201 19680229    26.7
19680301 19680331    54.5
19680401 19680430   179.7
19680501 19680531   255.4
19680601 19680630   115.6
19680701 19680731    98.5
19680801 19680831   167.8
19680901 19680930    75.5
19681001 19681031   114.3
19681101 19681130   100.2
19681201 19681231    19.7
19690101 19690131    31.5
19690201 19690228   158.3
19690301 19690331    62.6
19690401 19690430    69.6
19690501 19690531   109.9
19690601 19690630    67.6
19690701 19690731   116.5
19690801 19690831   123.6
19690901 19690930    53.9
19691001 19691031    59.4
19691101 19691130    73.4
19691201 19691231    50.6
19700101 19700131    28.0
19700201 19700228    13.2
19700301 19700331    36.7
19700401 19700430    89.4
19700501 19700531    90.5
19700601 19700630    95.5
19700701 19700731   151.1
19700801 19700831   150.5
19700901 19700930   105.5
19701001 19701031    54.7
19701101 19701130    70.0
19701201 19701231    81.3
19710101 19710131    35.2
19710201 19710228    37.6
19710301 19710331    36.5
19710401 19710430   125.9
19710501 19710531   109.2
19710601 19710630   171.3
19710701 19710731    48.5
19710801 19710831   146.6
19710901 19710930   169.9
19711001 19711031   130.7
19711101 19711130    59.3
19711201 19711231   110.4
19720101 19720131    48.2
19720201 19720229    92.3
19720301 19720331    15.7
19720401 19720430    58.9
19720501 19720531    37.7
19720601 19720630    69.7
19720701 19720731   194.8
19720801 19720831   130.5
19720901 19720930    50.6
19721001 19721031    33.9
19721101 19721130    37.5
19721201 19721231    18.4
19730101 19730131    56.3
19730201 19730228    51.3
19730301 19730331    87.5
19730401 19730430   106.5
19730501 19730531   162.8
19730601 19730630   126.2
19730701 19730731    54.2
19730801 19730831   113.6
19730901 19730930   118.2
19731001 19731031   119.9
19731101 19731130    36.5
19731201 19731231    53.7
19740101 19740131    17.0
19740201 19740228    27.8
19740301 19740331    12.2
19740401 19740430    83.6
19740501 19740531    39.6
19740601 19740630    70.6
19740701 19740731   212.2
19740801 19740831   109.0
19740901 19740930   175.0
19741001 19741031    71.0
19741101 19741130    26.4
19741201 19741231   144.6
19750101 19750131    62.7
19750201 19750228     3.8
19750301 19750331   152.8
19750401 19750430    42.0
19750501 19750531   173.6
19750601 19750630   136.5
19750701 19750731   217.2
19750801 19750831   122.8
19750901 19750930   132.6
19751001 19751031    81.6
19751101 19751130   118.0
19751201 19751231    52.0
19760101 19760131    27.4
19760201 19760229    24.0
19760301 19760331    59.8
19760401 19760430    59.4
19760501 19760531    82.2
19760601 19760630    98.0
19760701 19760731   111.2
19760801 19760831   167.8
19760901 19760930    76.2
19761001 19761031    74.7
19761101 19761130    84.0
19761201 19761231    80.1
19770101 19770131    67.2
19770201 19770228    45.0
19770301 19770331   141.4
19770401 19770430    66.4
19770501 19770531   129.2
19770601 19770630   116.9
19770701 19770731    82.0
19770801 19770831   113.0
19770901 19770930    21.8
19771001 19771031    77.4
19771101 19771130   149.6
19771201 19771231    28.0
19780101 19780131    24.6
19780201 19780228    41.2
19780301 19780331    74.4
19780401 19780430    63.8
19780501 19780531    85.4
19780601 19780630    77.1
19780701 19780731   173.2
19780801 19780831    91.2
19780901 19780930    51.6
19781001 19781031    89.0
19781101 19781130    70.6
19781201 19781231    96.0
19790101 19790131    71.2
19790201 19790228    50.4
19790301 19790331    61.8
19790401 19790430    59.0
19790501 19790531    98.4
19790601 19790630   124.9
19790701 19790731    77.8
19790801 19790831   139.8
19790901 19790930   221.0
19791001 19791031   123.0
19791101 19791130    72.2
19791201 19791231    65.0
19800101 19800131    27.8
19800201 19800229    28.4
19800301 19800331    30.6
19800401 19800430    61.0
19800501 19800531    94.0
19800601 19800630   149.4
19800701 19800731   114.5
19800801 19800831   114.2
19800901 19800930   113.2
19801001 19801031    49.4
19801101 19801130    62.8
19801201 19801231    31.2
19810101 19810131    21.8
19810201 19810228    12.4
19810301 19810331    62.7
19810401 19810430   108.0
19810501 19810531    85.9
19810601 19810630   129.8
19810701 19810731   112.4
19810801 19810831   180.2
19810901 19810930    75.4
19811001 19811031    61.4
19811101 19811130    52.6
19811201 19811231    22.2
19820101 19820131    46.6
19820201 19820228    29.8
19820301 19820331    79.1
19820401 19820430    72.3
19820501 19820531   105.6
19820601 19820630   103.8
19820701 19820731    60.0
19820801 19820831    28.3
19820901 19820930    73.6
19821001 19821031    49.0
19821101 19821130    23.6
19821201 19821231    21.7
19830101 19830131    34.6
19830201 19830228     4.4
19830301 19830331   129.2
19830401 19830430    86.0
19830501 19830531    63.8
19830601 19830630    94.2
19830701 19830731   121.0
19830801 19830831    80.4
19830901 19830930    58.8
19831001 19831031    32.2
19831101 19831130    60.6
19831201 19831231    21.0
19840101 19840131    24.6
19840201 19840229    21.4
19840301 19840331   108.6
19840401 19840430    50.2
19840501 19840531    51.4
19840601 19840630    74.9
19840701 19840731   101.6
19840801 19840831   156.4
19840901 19840930   146.2
19841001 19841031    58.4
19841101 19841130    33.4
19841201 19841231    80.2
19850101 19850131    37.2
19850201 19850228    10.4
19850301 19850331    31.9
19850401 19850430    79.0
19850501 19850531   100.8
19850601 19850630   131.2
19850701 19850731   112.6
19850801 19850831    88.0
19850901 19850930    21.9
19851001 19851031    79.0
19851101 19851130   110.8
19851201 19851231   100.9
19860101 19860131    30.8
19860201 19860228    20.8
19860301 19860331    26.6
19860401 19860430   103.4
19860501 19860531   106.8
19860601 19860630    95.3
19860701 19860731   137.4
19860801 19860831    46.8
19860901 19860930    91.2
19861001 19861031   119.6
19861101 19861130    25.6
19861201 19861231    88.0
19870101 19870131    45.6
19870201 19870228    40.6
19870301 19870331    55.6
19870401 19870430    55.6
19870501 19870531   181.0
19870601 19870630    81.4
19870701 19870731    81.6
19870801 19870831    44.0
19870901 19870930    56.6
19871001 19871031    63.2
19871101 19871130    85.4
19871201 19871231    50.7
19880101 19880131    26.4
19880201 19880229    24.0
19880301 19880331    18.0
19880401 19880430    28.4
19880501 19880531   213.6
19880601 19880630    86.6
19880701 19880731   144.4
19880801 19880831   139.6
19880901 19880930    99.6
19881001 19881031   130.1
19881101 19881130   105.0
19881201 19881231    53.0
19890101 19890131    61.8
19890201 19890228    24.2
19890301 19890331    51.2
19890401 19890430   119.2
19890501 19890531   103.6
19890601 19890630    84.8
19890701 19890731   158.4
19890801 19890831    88.4
19890901 19890930   105.8
19891001 19891031   119.6
19891101 19891130    26.8
19891201 19891231    38.0
19900101 19900131    21.8
19900201 19900228   159.4
19900301 19900331    42.3
19900401 19900430    78.0
19900501 19900531    47.0
19900601 19900630   159.0
19900701 19900731   130.4
19900801 19900831   107.6
19900901 19900930    94.9
19901001 19901031    72.1
19901101 19901130    47.8
19901201 19901231    54.4
19910101 19910131    44.4
19910201 19910228     9.6
19910301 19910331    74.2
19910401 19910430    96.0
19910501 19910531    28.6
19910601 19910630   132.1
19910701 19910731   126.2
19910801 19910831   236.0
19910901 19910930    86.4
19911001 19911031    29.6
19911101 19911130   125.2
19911201 19911231    52.6
19920101 19920131    83.8
