PRCP       043038 18970901 20180131 missing_value=99999.9 WALLUMBILLA POST OFFICE                   
19401101 19401130    54.3
19401201 19401231    94.3
19410101 19410131   221.4
19410201 19410228     0.0
19410301 19410331   125.6
19410401 19410430     9.7
19410501 19410531    59.7
19410601 19410630    16.2
19410701 19410731     6.9
19410801 19410831     0.0
19410901 19410930     1.5
19411001 19411031    15.4
19411101 19411130    64.3
19411201 19411231    32.0
19420101 19420131    79.4
19420201 19420228    63.9
19420301 19420331    18.3
19420401 19420430    72.4
19420501 19420531    36.1
19420601 19420630    22.7
19420701 19420731    54.0
19420801 19420831     6.8
19420901 19420930     2.0
19421001 19421031    58.9
19421101 19421130    88.7
19421201 19421231   139.9
19430101 19430131    58.1
19430201 19430228    21.1
19430301 19430331     2.8
19430401 19430430    42.7
19430501 19430531    42.5
19430601 19430630    27.2
19430701 19430731     3.1
19430801 19430831    35.1
19430901 19430930   101.7
19431001 19431031    44.0
19431101 19431130    68.3
19431201 19431231    44.7
19440101 19440131     8.4
19440201 19440229    59.1
19440301 19440331    15.7
19440401 19440430    20.3
19440501 19440531     1.8
19440601 19440630    21.6
19440701 19440731    50.1
19440801 19440831    63.5
19440901 19440930    35.9
19441001 19441031    21.6
19441101 19441130    31.0
19441201 19441231    43.2
19450101 19450131    68.5
19450201 19450228    33.6
19450301 19450331    11.9
19450401 19450430    58.6
19450501 19450531    10.6
19450601 19450630   104.0
19450701 19450731    46.0
19450801 19450831    18.3
19450901 19450930     2.8
19451001 19451031    16.1
19451101 19451130    71.0
19451201 19451231    42.0
19460101 19460131    54.9
19460201 19460228     5.8
19460301 19460331     0.0
19460401 19460430    36.6
19460501 19460531     2.3
19460601 19460630     0.0
19460701 19460731     1.3
19460801 19460831     0.0
19460901 19460930    44.7
19461001 19461031    11.9
19461101 19461130     8.8
19461201 19461231    53.4
19470101 19470131    35.8
19470201 19470228   212.4
19470301 19470331    70.1
19470401 19470430     1.8
19470501 19470531    35.6
19470601 19470630     6.1
19470701 19470731     2.1
19470801 19470831    36.1
19470901 19470930    67.1
19471001 19471031    86.7
19471101 19471130    96.7
19471201 19471231   226.5
19480101 19480131    21.9
19480201 19480229    44.0
19480301 19480331    44.9
19480401 19480430     8.4
19480501 19480531    75.7
19480601 19480630    60.9
19480701 19480731    47.7
19480801 19480831     0.0
19480901 19480930    82.8
19481001 19481031    11.0
19481101 19481130    35.8
19481201 19481231    93.8
19490101 19490131    72.9
19490201 19490228    93.6
19490301 19490331    84.6
19490401 19490430     6.6
19490501 19490531     4.6
19490601 19490630    31.5
19490701 19490731    11.7
19490801 19490831     0.0
19490901 19490930    27.3
19491001 19491031   159.8
19491101 19491130    71.4
19491201 19491231    34.3
19500101 19500131    60.3
19500201 19500228   212.1
19500301 19500331    19.5
19500401 19500430    53.9
19500501 19500531    37.3
19500601 19500630    66.3
19500701 19500731   123.6
19500801 19500831    14.5
19500901 19500930    19.0
19501001 19501031    89.0
19501101 19501130   196.9
19501201 19501231     0.5
19510101 19510131    94.2
19510201 19510228    23.1
19510301 19510331    31.5
19510401 19510430     1.0
19510501 19510531     4.1
19510601 19510630    10.0
19510701 19510731     2.0
19510801 19510831    11.1
19510901 19510930    14.0
19511001 19511031    41.4
19511101 19511130    48.8
19511201 19511231    33.0
19520101 19520131    18.5
19520201 19520229    57.3
19520301 19520331   123.3
19520401 19520430    39.5
19520501 19520531    41.7
19520601 19520630    11.2
19520701 19520731    26.5
19520801 19520831    13.8
19520901 19520930    12.5
19521001 19521031   115.0
19521101 19521130     8.2
19521201 19521231    49.4
19530101 19530131   156.9
19530201 19530228   229.6
19530301 19530331    27.5
19530401 19530430    35.3
19530501 19530531    27.4
19530601 19530630     0.8
19530701 19530731     0.8
19530801 19530831    62.2
19530901 19530930     0.0
19531001 19531031    66.7
19531101 19531130    29.2
19531201 19531231    21.6
19540101 19540131   135.3
19540201 19540228   267.7
19540301 19540331    36.5
19540401 19540430    17.1
19540501 19540531    11.7
19540601 19540630    22.1
19540701 19540731   193.9
19540801 19540831    68.8
19540901 19540930    28.6
19541001 19541031   177.0
19541101 19541130    71.5
19541201 19541231    39.6
19550101 19550131   167.7
19550201 19550228   114.6
19550301 19550331    43.7
19550401 19550430    85.9
19550501 19550531    98.8
19550601 19550630     6.2
19550701 19550731    68.9
19550801 19550831    12.7
19550901 19550930    59.5
19551001 19551031    70.6
19551101 19551130     7.2
19551201 19551231    84.3
19560101 19560131   123.2
19560201 19560229   138.7
19560301 19560331   121.9
19560401 19560430    65.5
19560501 19560531    76.0
19560601 19560630    85.9
19560701 19560731    40.3
19560801 19560831     0.8
19560901 19560930    16.8
19561001 19561031    15.7
19561101 19561130    97.1
19561201 19561231   116.9
19570101 19570131    50.3
19570201 19570228    37.1
19570301 19570331    27.4
19570401 19570430    26.4
19570501 19570531     0.8
19570601 19570630    38.1
19570701 19570731    21.9
19570801 19570831     9.7
19570901 19570930     2.0
19571001 19571031    24.9
19571101 19571130    12.4
19571201 19571231    11.7
19580101 19580131    70.1
19580201 19580228    70.2
19580301 19580331   109.9
19580401 19580430    20.1
19580501 19580531     2.3
19580601 19580630   159.3
19580701 19580731    14.8
19580801 19580831    32.1
19580901 19580930     6.9
19581001 19581031    46.3
19581101 19581130    21.6
19581201 19581231   189.2
19590101 19590131   148.2
19590201 19590228   170.5
19590301 19590331    88.2
19590401 19590430    15.2
19590501 19590531    44.2
19590601 19590630     5.1
19590701 19590731    68.7
19590801 19590831     0.5
19590901 19590930    10.7
19591001 19591031    91.4
19591101 19591130    30.2
19591201 19591231   195.5
19600101 19600131    11.4
19600201 19600229    69.8
19600301 19600331    35.3
19600401 19600430    25.5
19600501 19600531    44.4
19600601 19600630    29.7
19600701 19600731     9.6
19600801 19600831    27.2
19600901 19600930    12.0
19601001 19601031    34.6
19601101 19601130    51.7
19601201 19601231    25.6
19610101 19610131    15.5
19610201 19610228   131.6
19610301 19610331    66.9
19610401 19610430    22.7
19610501 19610531    38.1
19610601 19610630    23.1
19610701 19610731    67.9
19610801 19610831    28.5
19610901 19610930     8.6
19611001 19611031    56.4
19611101 19611130   132.9
19611201 19611231   248.2
19620101 19620131   151.9
19620201 19620228    23.6
19620301 19620331   146.7
19620401 19620430   108.7
19620501 19620531     8.1
19620601 19620630    16.2
19620701 19620731    30.3
19620801 19620831    13.5
19620901 19620930    27.7
19621001 19621031    30.1
19621101 19621130    21.3
19621201 19621231   143.5
19630101 19630131   104.0
19630201 19630228    43.7
19630301 19630331   202.6
19630401 19630430     3.8
19630501 19630531    42.5
19630601 19630630    28.0
19630701 19630731     0.0
19630801 19630831    58.1
19630901 19630930     3.8
19631001 19631031    15.9
19631101 19631130    92.7
19631201 19631231    44.5
19640101 19640131    17.0
19640201 19640229    60.9
19640301 19640331    46.0
19640401 19640430     8.9
19640501 19640531    64.4
19640601 19640630    17.0
19640701 19640731    18.0
19640801 19640831    28.5
19640901 19640930    71.5
19641001 19641031    57.6
19641101 19641130    33.0
19641201 19641231    47.7
19650101 19650131    26.4
19650201 19650228    46.0
19650301 19650331     0.8
19650401 19650430    29.2
19650501 19650531    11.4
19650601 19650630     4.4
19650701 19650731    54.6
19650801 19650831    23.8
19650901 19650930    53.8
19651001 19651031    32.2
19651101 19651130    51.0
19651201 19651231   125.9
19660101 19660131    38.7
19660201 19660228    52.8
19660301 19660331    59.1
19660401 19660430     8.4
19660501 19660531     9.1
19660601 19660630   100.7
19660701 19660731     3.6
19660801 19660831   112.5
19660901 19660930     9.6
19661001 19661031    25.9
19661101 19661130    42.7
19661201 19661231    40.8
19670101 19670131    72.3
19670201 19670228    44.5
19670301 19670331    54.6
19670401 19670430     3.3
19670501 19670531    25.9
19670601 19670630    93.2
19670701 19670731    21.6
19670801 19670831    33.2
19670901 19670930     0.0
19671001 19671031    55.8
19671101 19671130    34.8
19671201 19671231   183.0
19680101 19680131    63.5
19680201 19680229    76.2
19680301 19680331    73.2
19680401 19680430    36.3
19680501 19680531    23.4
19680601 19680630    10.4
19680701 19680731    66.6
19680801 19680831    46.2
19680901 19680930    41.2
19681001 19681031    26.9
19681101 19681130     5.3
19681201 19681231    95.1
19690101 19690131    37.5
19690201 19690228     0.5
19690301 19690331    89.6
19690401 19690430     4.6
19690501 19690531    88.4
19690601 19690630    50.6
19690701 19690731     7.7
19690801 19690831     9.7
19690901 19690930    14.5
19691001 19691031    79.8
19691101 19691130    99.1
19691201 19691231    70.1
19700101 19700131    77.8
19700201 19700228    37.4
19700301 19700331    35.5
19700401 19700430    11.9
19700501 19700531    11.7
19700601 19700630    28.7
19700701 19700731     0.0
19700801 19700831     4.1
19700901 19700930    70.4
19701001 19701031    54.1
19701101 19701130    86.3
19701201 19701231   194.2
19710101 19710131   160.5
19710201 19710228   131.1
19710301 19710331    40.9
19710401 19710430     6.6
19710501 19710531    53.1
19710601 19710630     4.3
19710701 19710731    21.0
19710801 19710831    55.9
19710901 19710930    56.8
19711001 19711031    35.2
19711101 19711130    20.0
19711201 19711231   188.3
19720101 19720131   105.7
19720201 19720229    93.6
19720301 19720331     1.3
19720401 19720430    29.9
19720501 19720531    14.5
19720601 19720630     0.5
19720701 19720731     0.0
19720801 19720831    32.0
19720901 19720930    33.1
19721001 19721031   103.1
19721101 19721130   143.4
19721201 19721231    79.0
19730101 19730131    67.3
19730201 19730228    88.5
19730301 19730331    24.6
19730401 19730430     0.0
19730501 19730531    15.0
19730601 19730630    10.2
19730701 19730731   151.0
19730801 19730831    58.8
19730901 19730930    90.9
19731001 19731031    55.4
19731101 19731130   117.8
19731201 19731231    91.5
19740101 19740131   158.6
19740201 19740228     3.6
19740301 19740331     9.0
19740401 19740430    94.4
19740501 19740531    44.4
19740601 19740630    13.6
19740701 19740731    14.0
19740801 19740831    35.6
19740901 19740930    31.4
19741001 19741031    48.2
19741101 19741130    61.0
19741201 19741231    16.2
19750101 19750131   173.0
19750201 19750228    96.6
19750301 19750331    57.2
19750401 19750430     4.1
19750501 19750531     0.0
19750601 19750630    21.6
19750701 19750731    47.2
19750801 19750831    16.9
19750901 19750930    63.2
19751001 19751031    71.0
19751101 19751130    28.4
19751201 19751231   117.4
19760101 19760131    61.6
19760201 19760229    78.4
19760301 19760331    32.8
19760401 19760430     0.0
19760501 19760531    12.2
19760601 19760630     7.6
19760701 19760731    33.4
19760801 19760831     3.4
19760901 19760930    75.4
19761001 19761031    56.0
19761101 19761130    81.0
19761201 19761231    43.4
19770101 19770131    96.8
19770201 19770228    39.8
19770301 19770331    94.2
19770401 19770430    29.9
19770501 19770531   118.0
19770601 19770630     3.0
19770701 19770731     5.0
19770801 19770831     5.0
19770901 19770930     0.2
19771001 19771031    14.2
19771101 19771130    57.6
19771201 19771231     6.8
19780101 19780131   200.0
19780201 19780228    82.9
19780301 19780331    49.0
19780401 19780430    27.0
19780501 19780531    60.0
19780601 19780630    60.8
19780701 19780731    85.4
19780801 19780831    79.0
19780901 19780930    70.6
19781001 19781031    21.0
19781101 19781130    71.0
19781201 19781231    93.6
19790101 19790131    12.0
19790201 19790228    33.0
19790301 19790331   184.0
19790401 19790430    10.0
19790501 19790531    13.0
19790601 19790630    23.0
19790701 19790731    12.0
19790801 19790831    14.2
19790901 19790930    17.6
19791001 19791031    51.2
19791101 19791130    61.6
19791201 19791231    19.6
19800101 19800131    22.8
19800201 19800229    39.4
19800301 19800331    22.8
19800401 19800430     7.8
19800501 19800531    55.5
19800601 19800630     1.4
19800701 19800731    38.1
19800801 19800831    12.0
19800901 19800930     0.0
19801001 19801031    65.2
19801101 19801130    42.8
19801201 19801231    56.7
19810101 19810131    59.1
19810201 19810228    77.0
19810301 19810331    17.9
19810401 19810430    42.8
19810501 19810531    86.8
19810601 19810630    52.8
19810701 19810731    37.0
19810801 19810831     9.4
19810901 19810930     0.0
19811001 19811031    57.1
19811101 19811130   123.8
19811201 19811231    78.8
19820101 19820131   146.3
19820201 19820228    28.9
19820301 19820331    53.1
19820401 19820430    18.0
19820501 19820531    25.8
19820601 19820630     0.8
19820701 19820731     8.0
19820801 19820831     3.8
19820901 19820930     9.4
19821001 19821031    40.4
19821101 19821130     1.0
19821201 19821231    72.7
19830101 19830131    49.4
19830201 19830228    23.2
19830301 19830331    12.6
19830401 19830430   129.2
19830501 19830531   215.4
19830601 19830630    93.3
19830701 19830731    22.2
19830801 19830831    32.4
19830901 19830930    16.6
19831001 19831031    35.6
19831101 19831130   181.3
19831201 19831231    58.8
19840101 19840131   203.1
19840201 19840229    32.5
19840301 19840331    21.6
19840401 19840430    61.8
19840501 19840531     4.0
19840601 19840630    41.2
19840701 19840731   163.8
19840801 19840831    45.0
19840901 19840930    23.4
19841001 19841031    80.7
19841101 19841130    12.6
19841201 19841231   126.1
19850101 19850131    69.8
19850201 19850228    98.4
19850301 19850331    38.2
19850401 19850430     0.0
19850501 19850531    23.8
19850601 19850630    54.6
19850701 19850731    43.4
19850801 19850831    47.4
19850901 19850930     6.4
19851001 19851031    94.2
19851101 19851130    44.6
19851201 19851231    91.4
19860101 19860131    29.0
19860201 19860228    92.4
19860301 19860331     0.0
19860401 19860430    14.3
19860501 19860531    27.2
19860601 19860630     0.0
19860701 19860731    57.2
19860801 19860831    20.6
19860901 19860930    21.2
19861001 19861031    94.8
19861101 19861130    60.4
19861201 19861231    35.0
19870101 19870131   134.2
19870201 19870228    24.0
19870301 19870331    17.0
19870401 19870430     1.4
19870501 19870531    18.6
19870601 19870630    23.4
19870701 19870731     2.0
19870801 19870831    34.6
19870901 19870930     2.0
19871001 19871031    57.6
