PRCP       016032 19030101 20170430 missing_value=99999.9 NONNING                                   
19540401 19540430    89.9
19540501 19540531     2.3
19540601 19540630    39.2
19540701 19540731     3.8
19540801 19540831    20.3
19540901 19540930    13.0
19541001 19541031    39.7
19541101 19541130    26.7
19541201 19541231    20.9
19550101 19550131     2.8
19550201 19550228    19.9
19550301 19550331    72.4
19550401 19550430    58.6
19550501 19550531    49.8
19550601 19550630    64.8
19550701 19550731    21.1
19550801 19550831    48.2
19550901 19550930    21.8
19551001 19551031    21.2
19551101 19551130    27.3
19551201 19551231     4.3
19560101 19560131     3.8
19560201 19560229    49.6
19560301 19560331    12.4
19560401 19560430    12.4
19560501 19560531    66.1
19560601 19560630    47.6
19560701 19560731   119.3
19560801 19560831    16.0
19560901 19560930    30.5
19561001 19561031    43.7
19561101 19561130    10.2
19561201 19561231     0.0
19570101 19570131     0.0
19570201 19570228     3.1
19570301 19570331    10.7
19570401 19570430     4.4
19570501 19570531     4.8
19570601 19570630    14.0
19570701 19570731    20.1
19570801 19570831    17.6
19570901 19570930    19.2
19571001 19571031     7.3
19571101 19571130     6.3
19571201 19571231    30.3
19580101 19580131     3.0
19580201 19580228     0.0
19580301 19580331    48.5
19580401 19580430    11.9
19580501 19580531    34.5
19580601 19580630     0.0
19580701 19580731    29.8
19580801 19580831    57.7
19580901 19580930    57.6
19581001 19581031    21.3
19581101 19581130    10.5
19581201 19581231    30.5
19590101 19590131     1.3
19590201 19590228    16.0
19590301 19590331    17.3
19590401 19590430     1.6
19590501 19590531     3.0
19590601 19590630    13.2
19590701 19590731    31.0
19590801 19590831     7.9
19590901 19590930     9.7
19591001 19591031     6.1
19591101 19591130    18.8
19591201 19591231    33.3
19600101 19600131    18.6
19600201 19600229    47.2
19600301 19600331     2.0
19600401 19600430    25.2
19600501 19600531    54.1
19600601 19600630    20.8
19600701 19600731    62.3
19600801 19600831    22.7
19600901 19600930    63.1
19601001 19601031     1.3
19601101 19601130     9.9
19601201 19601231    29.7
19610101 19610131     0.0
19610201 19610228     7.6
19610301 19610331     9.7
19610401 19610430    86.8
19610501 19610531     0.0
19610601 19610630     2.6
19610701 19610731    25.6
19610801 19610831    30.3
