PRCP       006055 19040101 20180131 missing_value=99999.9 WOOLGORONG                                
19831201 19831231    42.4
19840101 19840131     2.8
19840201 19840229    37.5
19840301 19840331    54.9
19840401 19840430    24.4
19840501 19840531   133.4
19840601 19840630    16.2
19840701 19840731    15.0
19840801 19840831    20.2
19840901 19840930    23.6
19841001 19841031    39.4
19841101 19841130     0.0
19841201 19841231     4.0
19850101 19850131     0.0
19850201 19850228    54.2
19850301 19850331     0.0
19850401 19850430     0.0
19850501 19850531    18.2
19850601 19850630    23.6
19850701 19850731    43.0
19850801 19850831    19.4
19850901 19850930     3.4
19851001 19851031     0.0
19851101 19851130     0.0
19851201 19851231     0.0
19860101 19860131    68.8
19860201 19860228    27.8
19860301 19860331     3.0
19860401 19860430     0.0
19860501 19860531    16.4
19860601 19860630    88.8
19860701 19860731    36.0
19860801 19860831     9.4
19860901 19860930    21.4
19861001 19861031    12.3
19861101 19861130     0.0
19861201 19861231     0.0
19870101 19870131     8.0
19870201 19870228    25.8
19870301 19870331    22.3
19870401 19870430     9.4
19870501 19870531    20.2
19870601 19870630    28.2
19870701 19870731    20.2
19870801 19870831    10.0
19870901 19870930     1.0
19871001 19871031     0.0
19871101 19871130     1.6
19871201 19871231     0.0
19880101 19880131     1.8
19880201 19880229    17.2
19880301 19880331    14.6
19880401 19880430    11.0
19880501 19880531    73.4
19880601 19880630    25.2
19880701 19880731    32.6
19880801 19880831    25.8
19880901 19880930     0.0
19881001 19881031     0.0
19881101 19881130    13.0
19881201 19881231    37.0
19890101 19890131     0.0
19890201 19890228     7.0
19890301 19890331    38.8
19890401 19890430    14.2
19890501 19890531    49.0
19890601 19890630    35.2
19890701 19890731    31.2
19890801 19890831     1.8
19890901 19890930     2.0
19891001 19891031     5.0
19891101 19891130     1.4
19891201 19891231     0.0
19900101 19900131    45.4
19900201 19900228     5.0
19900301 19900331    23.0
19900401 19900430    29.8
19900501 19900531     9.0
19900601 19900630    23.2
19900701 19900731    24.4
19900801 19900831    37.0
19900901 19900930     5.0
19901001 19901031     2.5
19901101 19901130     0.0
19901201 19901231     6.0
19910101 19910131     3.0
19910201 19910228    16.0
19910301 19910331     4.6
19910401 19910430     7.0
19910501 19910531    19.6
19910601 19910630    53.0
19910701 19910731    39.0
19910801 19910831     6.6
19910901 19910930     4.0
19911001 19911031     5.2
19911101 19911130     5.0
19911201 19911231    21.0
19920101 19920131    24.8
19920201 19920229     0.0
19920301 19920331    55.4
19920401 19920430   118.8
19920501 19920531    23.4
19920601 19920630    72.4
19920701 19920731     3.4
19920801 19920831    93.4
19920901 19920930    24.0
19921001 19921031     6.6
19921101 19921130     6.2
19921201 19921231     0.0
19930101 19930131     9.8
19930201 19930228    21.2
19930301 19930331    11.4
19930401 19930430    17.6
19930501 19930531    30.8
19930601 19930630    36.0
19930701 19930731    22.2
19930801 19930831    27.8
19930901 19930930    12.6
19931001 19931031     0.0
19931101 19931130    43.4
19931201 19931231    21.4
19940101 19940131     0.0
19940201 19940228    42.4
19940301 19940331    41.4
19940401 19940430     0.0
19940501 19940531    25.4
19940601 19940630    18.0
19940701 19940731    14.0
19940801 19940831    57.6
19940901 19940930     0.0
19941001 19941031     0.0
19941101 19941130     0.0
19941201 19941231     0.0
19950101 19950131     2.2
19950201 19950228    57.8
19950301 19950331     6.2
19950401 19950430    48.2
19950501 19950531     5.8
19950601 19950630    35.4
19950701 19950731    65.6
19950801 19950831     4.6
19950901 19950930     6.6
19951001 19951031     6.2
19951101 19951130    23.4
19951201 19951231    14.0
19960101 19960131     0.0
19960201 19960229    47.2
19960301 19960331     2.0
19960401 19960430    63.6
19960501 19960531     6.0
19960601 19960630    63.6
19960701 19960731    94.4
19960801 19960831    28.2
19960901 19960930     5.0
19961001 19961031     4.4
19961101 19961130    17.0
19961201 19961231     5.4
19970101 19970131     0.0
19970201 19970228    79.4
19970301 19970331     0.0
19970401 19970430    72.4
19970501 19970531    30.2
19970601 19970630    22.8
19970701 19970731    42.3
19970801 19970831    65.0
19970901 19970930    20.4
19971001 19971031     6.4
19971101 19971130     3.0
19971201 19971231     4.0
19980101 19980131     3.0
19980201 19980228     0.0
19980301 19980331    19.8
19980401 19980430    12.0
19980501 19980531    54.0
19980601 19980630    47.2
19980701 19980731    90.4
19980801 19980831    25.2
19980901 19980930     7.2
19981001 19981031    23.4
19981101 19981130     0.0
19981201 19981231    25.6
19990101 19990131     0.0
19990201 19990228     4.4
19990301 19990331    70.2
19990401 19990430    28.2
19990501 19990531    89.4
19990601 19990630     8.2
19990701 19990731    31.2
19990801 19990831     1.8
19990901 19990930    12.0
19991001 19991031     5.0
19991101 19991130     0.0
19991201 19991231    24.2
20000101 20000131    67.2
20000201 20000229     5.2
