PRCP       008088 18960101 20171231 missing_value=99999.9 MINGENEW POST OFFICE                      
19600501 19600531    81.5
19600601 19600630    36.0
19600701 19600731   152.9
19600801 19600831    17.8
19600901 19600930    17.7
19601001 19601031     7.6
19601101 19601130     0.0
19601201 19601231     0.0
19610101 19610131     6.6
19610201 19610228     0.5
19610301 19610331     2.1
19610401 19610430   116.9
19610501 19610531    34.6
19610601 19610630   101.5
19610701 19610731    52.0
19610801 19610831    54.1
19610901 19610930    10.7
19611001 19611031     3.6
19611101 19611130     1.5
19611201 19611231     2.0
19620101 19620131    14.7
19620201 19620228     1.8
19620301 19620331     5.1
19620401 19620430     9.7
19620501 19620531   154.7
19620601 19620630    74.6
19620701 19620731    53.8
19620801 19620831    20.1
19620901 19620930    21.8
19621001 19621031    24.2
19621101 19621130    12.5
19621201 19621231     3.9
19630101 19630131    23.6
19630201 19630228    60.2
19630301 19630331     4.3
19630401 19630430     8.7
19630501 19630531   157.5
19630601 19630630   143.9
19630701 19630731    98.3
19630801 19630831    81.4
19630901 19630930    16.5
19631001 19631031     3.0
19631101 19631130     6.9
19631201 19631231     6.9
19640101 19640131     0.0
19640201 19640229     1.0
19640301 19640331    13.0
19640401 19640430    36.3
19640501 19640531     4.3
19640601 19640630   179.8
19640701 19640731   140.2
19640801 19640831    46.5
19640901 19640930    24.6
19641001 19641031    29.2
19641101 19641130     1.5
19641201 19641231     3.6
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331    24.3
19650401 19650430     5.9
19650501 19650531    54.6
19650601 19650630   157.4
19650701 19650731    98.0
19650801 19650831    70.3
19650901 19650930    17.8
19651001 19651031    41.6
19651101 19651130    40.1
19651201 19651231     1.1
19660101 19660131     0.8
19660201 19660228    11.9
19660301 19660331     2.5
19660401 19660430    92.3
19660501 19660531     6.3
19660601 19660630    77.5
19660701 19660731    56.3
19660801 19660831    46.6
19660901 19660930    51.4
19661001 19661031    11.8
19661101 19661130     0.0
19661201 19661231     0.3
19670101 19670131    10.6
19670201 19670228     1.8
19670301 19670331     1.3
19670401 19670430    16.7
19670501 19670531    81.8
19670601 19670630   125.8
19670701 19670731    82.6
19670801 19670831    43.0
19670901 19670930    28.7
19671001 19671031    13.2
19671101 19671130     1.0
19671201 19671231    32.7
19680101 19680131    25.5
19680201 19680229    17.6
19680301 19680331    26.9
19680401 19680430    53.4
19680501 19680531    35.1
19680601 19680630   218.7
19680701 19680731    67.9
19680801 19680831    55.2
19680901 19680930    45.3
19681001 19681031    20.7
