PRCP       055045 19030101 20171231 missing_value=99999.9 CURLEWIS (PINE CLIFF)                     
19900901 19900930    35.0
19901001 19901031    53.0
19901101 19901130    11.6
19901201 19901231    16.8
19910101 19910131   134.2
19910201 19910228    74.4
19910301 19910331    25.0
19910401 19910430     1.0
19910501 19910531   147.2
19910601 19910630    57.4
19910701 19910731    54.8
19910801 19910831     0.4
19910901 19910930    23.0
19911001 19911031     3.8
19911101 19911130    43.8
19911201 19911231   135.6
19920101 19920131    32.0
19920201 19920229   199.0
19920301 19920331    34.4
19920401 19920430    37.2
19920501 19920531    35.6
19920601 19920630    10.6
19920701 19920731    37.0
19920801 19920831    68.0
19920901 19920930    19.6
19921001 19921031    15.6
19921101 19921130   101.4
19921201 19921231   114.6
19930101 19930131    35.6
19930201 19930228    58.6
19930301 19930331    32.4
19930401 19930430     0.0
19930501 19930531    85.0
19930601 19930630   109.4
19930701 19930731   101.2
19930801 19930831    22.6
19930901 19930930    54.2
19931001 19931031   139.0
19931101 19931130    43.0
19931201 19931231    93.2
19940101 19940131    65.4
19940201 19940228    76.5
19940301 19940331    60.8
19940401 19940430     3.8
19940501 19940531     0.4
19940601 19940630    18.8
19940701 19940731    18.0
19940801 19940831     7.8
19940901 19940930     1.4
19941001 19941031    13.2
19941101 19941130    62.6
19941201 19941231    23.0
19950101 19950131   151.4
19950201 19950228    40.2
19950301 19950331     0.4
19950401 19950430     0.0
19950501 19950531    68.4
19950601 19950630    27.4
19950701 19950731    20.6
19950801 19950831     0.0
19950901 19950930    64.6
19951001 19951031    27.0
19951101 19951130   103.4
19951201 19951231    65.6
19960101 19960131   193.8
19960201 19960229     4.8
19960301 19960331    31.8
19960401 19960430     1.8
19960501 19960531    46.4
19960601 19960630    39.8
19960701 19960731    48.2
19960801 19960831    71.0
19960901 19960930    26.6
19961001 19961031    41.4
19961101 19961130    60.4
19961201 19961231   112.8
19970101 19970131   135.0
19970201 19970228   172.6
19970301 19970331    15.8
19970401 19970430     0.0
19970501 19970531    40.8
19970601 19970630    19.0
19970701 19970731    13.4
19970801 19970831    10.8
19970901 19970930   103.8
19971001 19971031    52.4
19971101 19971130    54.6
19971201 19971231   139.4
19980101 19980131    20.4
19980201 19980228    52.2
19980301 19980331     1.6
19980401 19980430    49.0
19980501 19980531   101.6
19980601 19980630   105.4
19980701 19980731   194.4
19980801 19980831    69.0
19980901 19980930   115.4
19981001 19981031    84.4
19981101 19981130    99.4
