PRCP       010039 19100101 20171231 missing_value=99999.9 DOODARDING WELL                           
19511001 19511031     4.5
19511101 19511130    12.8
19511201 19511231    14.2
19520101 19520131    13.0
19520201 19520229     0.0
19520301 19520331     4.6
19520401 19520430     4.4
19520501 19520531    42.3
19520601 19520630    16.6
19520701 19520731    59.2
19520801 19520831    24.0
19520901 19520930    25.3
19521001 19521031    22.5
19521101 19521130     4.6
19521201 19521231    17.8
19530101 19530131     0.0
19530201 19530228    26.7
19530301 19530331    55.5
19530401 19530430    39.4
19530501 19530531    69.1
19530601 19530630    56.7
19530701 19530731    35.5
19530801 19530831    37.6
19530901 19530930    10.1
19531001 19531031    17.7
19531101 19531130     7.2
19531201 19531231     0.0
19540101 19540131    10.8
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     2.3
19540501 19540531    63.5
19540601 19540630    23.9
19540701 19540731    48.4
19540801 19540831    36.6
19540901 19540930    16.9
19541001 19541031     6.3
19541101 19541130     6.9
19541201 19541231    22.9
19550101 19550131    15.2
19550201 19550228    99.7
19550301 19550331     2.8
19550401 19550430    26.3
19550501 19550531    33.9
19550601 19550630    16.8
19550701 19550731    26.6
19550801 19550831    77.1
19550901 19550930    41.7
19551001 19551031    19.9
19551101 19551130     0.3
19551201 19551231     2.8
19560101 19560131     7.6
19560201 19560229     0.0
19560301 19560331     0.0
19560401 19560430     5.9
19560501 19560531    80.1
19560601 19560630    71.8
19560701 19560731    69.4
19560801 19560831     2.4
19560901 19560930    11.0
19561001 19561031    21.0
19561101 19561130    38.1
19561201 19561231     3.0
19570101 19570131     8.4
19570201 19570228     1.0
19570301 19570331     7.9
19570401 19570430    10.9
19570501 19570531    50.6
19570601 19570630   139.5
19570701 19570731    14.5
19570801 19570831    33.6
19570901 19570930     5.1
19571001 19571031     6.6
19571101 19571130     0.0
19571201 19571231     0.0
19580101 19580131     0.5
19580201 19580228    11.4
19580301 19580331     0.0
19580401 19580430     2.3
19580501 19580531    86.3
19580601 19580630    36.8
19580701 19580731   129.2
19580801 19580831    40.4
19580901 19580930    45.2
19581001 19581031     8.8
19581101 19581130     3.4
19581201 19581231    16.3
19590101 19590131     8.4
19590201 19590228     4.8
19590301 19590331    11.9
19590401 19590430     2.6
19590501 19590531     7.1
19590601 19590630    77.7
19590701 19590731    23.7
19590801 19590831    67.2
19590901 19590930    14.0
19591001 19591031    17.6
19591101 19591130    18.8
19591201 19591231     3.6
19600101 19600131    16.7
19600201 19600229     8.1
19600301 19600331    18.0
19600401 19600430    10.5
19600501 19600531    83.6
19600601 19600630    20.5
19600701 19600731    96.6
19600801 19600831    10.7
19600901 19600930    42.9
19601001 19601031     1.8
19601101 19601130     4.3
19601201 19601231     0.0
19610101 19610131    61.2
19610201 19610228     6.7
19610301 19610331    22.8
19610401 19610430    59.8
19610501 19610531    15.5
19610601 19610630    79.6
19610701 19610731    38.8
19610801 19610831    24.8
19610901 19610930     7.6
19611001 19611031     6.0
19611101 19611130     0.0
19611201 19611231     4.3
19620101 19620131    11.3
19620201 19620228    21.6
19620301 19620331    10.0
19620401 19620430     3.8
19620501 19620531    78.4
19620601 19620630    56.2
19620701 19620731    52.6
19620801 19620831    18.2
19620901 19620930    22.0
19621001 19621031    21.1
19621101 19621130     8.3
19621201 19621231    12.2
19630101 19630131    30.3
19630201 19630228    43.0
19630301 19630331    16.8
19630401 19630430    13.2
19630501 19630531   115.1
19630601 19630630   113.8
19630701 19630731    76.6
19630801 19630831    99.9
19630901 19630930    15.1
19631001 19631031     3.1
19631101 19631130     0.0
19631201 19631231     7.4
19640101 19640131     1.3
19640201 19640229    20.0
19640301 19640331    10.7
19640401 19640430    10.7
19640501 19640531     3.1
19640601 19640630    91.6
19640701 19640731    79.5
19640801 19640831    40.7
19640901 19640930     7.2
19641001 19641031    20.8
19641101 19641130     5.4
19641201 19641231     6.7
19650101 19650131     6.1
19650201 19650228     4.6
19650301 19650331     5.3
19650401 19650430    17.6
19650501 19650531    68.2
19650601 19650630    91.1
19650701 19650731    85.0
19650801 19650831    52.7
19650901 19650930    19.3
19651001 19651031    28.4
19651101 19651130    79.6
19651201 19651231    13.6
19660101 19660131    12.4
19660201 19660228    15.0
19660301 19660331     0.0
19660401 19660430    72.3
19660501 19660531     6.1
19660601 19660630    82.9
19660701 19660731    60.8
19660801 19660831    27.3
19660901 19660930    25.9
19661001 19661031    36.6
19661101 19661130     9.9
19661201 19661231     1.3
19670101 19670131    11.4
19670201 19670228     1.0
19670301 19670331     0.0
19670401 19670430    11.2
19670501 19670531    58.2
19670601 19670630    56.1
19670701 19670731    66.4
19670801 19670831    27.7
19670901 19670930     6.6
19671001 19671031    10.7
19671101 19671130    10.2
19671201 19671231     5.0
19680101 19680131    79.8
19680201 19680229     6.3
19680301 19680331    42.8
19680401 19680430    23.8
19680501 19680531    15.7
19680601 19680630   153.7
19680701 19680731    41.0
19680801 19680831    29.3
19680901 19680930    27.9
19681001 19681031     9.4
19681101 19681130     1.5
19681201 19681231     0.5
19690101 19690131     2.0
19690201 19690228     4.3
19690301 19690331    16.0
19690401 19690430    26.6
19690501 19690531    18.2
19690601 19690630    39.5
19690701 19690731    28.6
19690801 19690831    17.0
19690901 19690930    14.2
19691001 19691031     2.3
19691101 19691130     6.3
19691201 19691231     0.9
19700101 19700131     0.0
19700201 19700228    95.1
19700301 19700331    11.5
19700401 19700430    23.1
19700501 19700531    18.4
19700601 19700630    67.0
19700701 19700731    21.0
19700801 19700831    18.1
19700901 19700930    39.9
19701001 19701031    16.5
19701101 19701130    15.1
19701201 19701231    10.9
19710101 19710131     6.9
19710201 19710228     9.8
19710301 19710331   125.5
19710401 19710430     3.0
19710501 19710531    13.5
19710601 19710630    31.5
19710701 19710731    37.9
19710801 19710831    39.8
19710901 19710930    38.4
19711001 19711031    26.1
19711101 19711130    16.1
19711201 19711231     1.6
19720101 19720131     2.0
19720201 19720229    13.8
19720301 19720331     3.8
19720401 19720430     9.4
19720501 19720531    18.5
19720601 19720630    62.0
19720701 19720731    43.7
19720801 19720831    54.0
19720901 19720930    14.4
19721001 19721031    10.3
19721101 19721130     1.3
19721201 19721231     0.8
19730101 19730131     5.6
19730201 19730228    18.3
19730301 19730331     0.8
19730401 19730430    10.4
19730501 19730531    23.2
19730601 19730630    69.5
19730701 19730731    67.5
19730801 19730831    62.2
19730901 19730930    76.8
19731001 19731031    22.6
19731101 19731130    10.2
19731201 19731231     0.0
19740101 19740131     0.0
19740201 19740228     0.6
19740301 19740331    34.3
19740401 19740430    61.5
19740501 19740531    94.0
19740601 19740630    46.4
19740701 19740731    56.6
19740801 19740831    50.5
19740901 19740930    11.7
19741001 19741031    23.2
19741101 19741130     8.8
19741201 19741231     0.0
19750101 19750131     3.0
19750201 19750228     7.0
19750301 19750331     6.0
19750401 19750430    51.6
19750501 19750531    24.1
19750601 19750630    35.1
19750701 19750731    67.6
19750801 19750831    26.3
19750901 19750930    26.8
19751001 19751031    46.5
19751101 19751130     4.6
19751201 19751231    16.6
19760101 19760131    13.4
19760201 19760229    44.0
19760301 19760331     0.0
19760401 19760430    23.2
19760501 19760531    38.0
19760601 19760630    21.4
19760701 19760731     5.3
19760801 19760831    62.6
19760901 19760930    19.2
19761001 19761031    16.6
19761101 19761130    35.8
19761201 19761231     0.0
19770101 19770131     1.4
19770201 19770228     4.0
19770301 19770331     0.0
19770401 19770430    15.0
19770501 19770531    29.0
19770601 19770630    53.0
19770701 19770731    12.5
19770801 19770831    34.6
19770901 19770930     5.1
19771001 19771031    24.8
19771101 19771130     4.0
19771201 19771231    10.4
19780101 19780131    22.8
19780201 19780228    18.0
19780301 19780331     6.0
19780401 19780430    23.4
19780501 19780531    21.6
19780601 19780630    30.1
19780701 19780731    45.4
19780801 19780831    12.4
19780901 19780930    28.0
19781001 19781031    20.0
19781101 19781130    19.0
19781201 19781231   116.0
19790101 19790131     2.0
19790201 19790228    66.0
19790301 19790331    14.8
19790401 19790430    15.2
19790501 19790531    32.6
19790601 19790630    51.2
19790701 19790731    21.8
19790801 19790831    46.4
19790901 19790930    19.2
19791001 19791031     1.6
19791101 19791130    17.6
19791201 19791231     3.2
19800101 19800131     0.0
19800201 19800229     3.4
19800301 19800331     1.0
19800401 19800430    26.8
19800501 19800531    17.6
19800601 19800630    22.6
19800701 19800731    40.2
19800801 19800831    19.8
19800901 19800930     6.6
19801001 19801031    11.2
19801101 19801130     7.0
19801201 19801231     0.2
19810101 19810131     4.2
19810201 19810228    31.0
19810301 19810331     1.2
19810401 19810430     0.0
19810501 19810531    81.2
19810601 19810630    34.6
19810701 19810731    29.6
19810801 19810831    35.6
19810901 19810930    15.0
19811001 19811031    14.0
19811101 19811130    15.4
19811201 19811231    38.0
19820101 19820131    74.2
19820201 19820228     0.0
19820301 19820331     2.6
19820401 19820430     0.8
19820501 19820531    23.8
19820601 19820630    52.0
19820701 19820731    22.2
19820801 19820831    49.0
19820901 19820930    31.2
19821001 19821031    12.4
19821101 19821130     1.6
19821201 19821231     2.0
19830101 19830131     0.0
19830201 19830228     1.0
19830301 19830331    35.0
19830401 19830430    12.0
19830501 19830531    14.6
19830601 19830630    87.6
19830701 19830731    64.8
19830801 19830831    32.2
19830901 19830930    16.9
19831001 19831031     0.0
19831101 19831130    68.4
19831201 19831231    28.7
19840101 19840131     0.0
19840201 19840229     9.8
19840301 19840331    64.8
19840401 19840430    32.6
19840501 19840531   114.6
19840601 19840630    18.2
19840701 19840731    41.7
19840801 19840831    22.0
19840901 19840930    23.2
19841001 19841031     9.8
19841101 19841130    11.4
19841201 19841231     5.6
19850101 19850131     0.0
19850201 19850228     6.3
19850301 19850331    24.2
19850401 19850430     2.4
19850501 19850531    44.8
19850601 19850630    16.8
19850701 19850731    72.0
19850801 19850831    29.4
19850901 19850930    25.8
19851001 19851031     2.8
19851101 19851130     7.4
19851201 19851231     3.4
19860101 19860131     8.6
19860201 19860228    43.2
19860301 19860331     5.8
19860401 19860430     6.0
19860501 19860531    60.0
19860601 19860630    55.4
19860701 19860731    43.2
19860801 19860831    41.4
19860901 19860930    27.6
19861001 19861031     8.0
19861101 19861130    30.0
19861201 19861231     0.0
19870101 19870131     0.0
19870201 19870228     0.0
19870301 19870331     4.6
19870401 19870430    25.8
19870501 19870531    35.8
19870601 19870630    48.4
19870701 19870731    47.8
19870801 19870831    30.2
19870901 19870930     9.2
19871001 19871031    19.2
19871101 19871130    19.0
19871201 19871231    19.2
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331    25.6
19880401 19880430    29.4
19880501 19880531    55.8
19880601 19880630    65.2
19880701 19880731    45.4
19880801 19880831    57.8
19880901 19880930    18.4
19881001 19881031     8.4
19881101 19881130     5.6
19881201 19881231    66.8
19890101 19890131     8.2
19890201 19890228    23.7
19890301 19890331    19.0
19890401 19890430    28.0
19890501 19890531    44.4
19890601 19890630    66.6
19890701 19890731    41.0
19890801 19890831    13.6
19890901 19890930     4.2
19891001 19891031    15.0
19891101 19891130     3.6
19891201 19891231     0.0
19900101 19900131   113.0
19900201 19900228    13.4
19900301 19900331    31.0
19900401 19900430    12.8
19900501 19900531     6.6
19900601 19900630    39.2
19900701 19900731    57.6
19900801 19900831    29.4
19900901 19900930    28.8
19901001 19901031    40.2
19901101 19901130     2.2
19901201 19901231     0.0
19910101 19910131    12.7
19910201 19910228     0.0
19910301 19910331     8.2
