PRCP       016022 19050701 20171231 missing_value=99999.9 KONDOOLKA                                 
19671101 19671130     1.5
19671201 19671231     4.0
19680101 19680131    77.7
19680201 19680229    74.9
19680301 19680331    33.8
19680401 19680430    34.2
19680501 19680531    56.9
19680601 19680630    82.8
19680701 19680731    42.3
19680801 19680831    64.4
19680901 19680930    13.0
19681001 19681031    18.2
19681101 19681130    22.6
19681201 19681231    28.9
19690101 19690131     9.7
19690201 19690228    60.7
19690301 19690331    46.8
19690401 19690430     9.4
19690501 19690531    53.8
19690601 19690630    29.1
19690701 19690731    38.0
19690801 19690831    50.9
19690901 19690930    37.7
19691001 19691031     1.5
19691101 19691130     0.0
19691201 19691231     0.0
19700101 19700131     3.0
19700201 19700228     0.8
19700301 19700331     0.0
19700401 19700430     9.7
19700501 19700531    18.0
19700601 19700630    22.7
19700701 19700731     9.8
19700801 19700831    38.8
19700901 19700930    52.3
19701001 19701031     7.1
19701101 19701130    16.7
19701201 19701231    15.5
19710101 19710131     3.6
19710201 19710228     4.6
19710301 19710331    39.3
19710401 19710430    41.5
19710501 19710531    18.9
19710601 19710630    29.8
19710701 19710731    29.7
19710801 19710831    37.4
19710901 19710930     9.8
19711001 19711031     7.6
19711101 19711130    54.4
19711201 19711231    23.3
19720101 19720131     1.0
19720201 19720229     2.6
19720301 19720331     0.0
19720401 19720430     6.6
19720501 19720531     2.6
19720601 19720630     7.2
19720701 19720731    28.9
19720801 19720831    69.0
19720901 19720930     8.2
19721001 19721031    16.5
19721101 19721130    13.7
19721201 19721231     4.8
19730101 19730131     7.4
19730201 19730228    66.5
19730301 19730331    25.4
19730401 19730430    21.9
19730501 19730531    35.6
19730601 19730630    62.4
19730701 19730731    74.7
19730801 19730831   100.5
19730901 19730930    38.1
19731001 19731031    46.0
19731101 19731130     7.4
19731201 19731231    63.2
19740101 19740131    50.8
19740201 19740228     3.8
19740301 19740331     5.3
19740401 19740430    34.2
19740501 19740531    72.0
19740601 19740630    29.2
19740701 19740731    88.0
19740801 19740831    53.8
19740901 19740930    93.6
19741001 19741031    92.6
19741101 19741130     6.6
19741201 19741231     7.6
19750101 19750131     1.4
19750201 19750228    66.4
19750301 19750331    11.6
19750401 19750430    13.0
19750501 19750531    25.4
19750601 19750630     0.0
19750701 19750731    44.2
19750801 19750831    28.4
19750901 19750930    55.0
19751001 19751031    56.0
19751101 19751130    12.4
19751201 19751231    16.2
19760101 19760131     6.5
19760201 19760229    24.0
19760301 19760331    16.4
19760401 19760430     0.0
19760501 19760531     7.2
19760601 19760630    26.8
19760701 19760731     5.2
19760801 19760831     8.6
19760901 19760930    38.4
19761001 19761031   141.6
19761101 19761130    55.4
19761201 19761231     0.0
19770101 19770131    12.8
19770201 19770228    24.0
19770301 19770331    16.4
19770401 19770430     0.0
19770501 19770531    38.2
19770601 19770630    30.2
19770701 19770731    12.2
19770801 19770831    24.7
19770901 19770930    16.7
19771001 19771031     7.3
19771101 19771130    73.4
19771201 19771231    10.4
19780101 19780131    24.0
19780201 19780228     0.0
19780301 19780331     2.8
19780401 19780430     7.4
19780501 19780531    19.0
19780601 19780630    38.0
19780701 19780731    70.2
19780801 19780831    27.2
19780901 19780930    67.6
19781001 19781031     9.4
19781101 19781130    39.7
19781201 19781231     4.2
19790101 19790131     1.2
19790201 19790228     0.4
19790301 19790331    11.0
19790401 19790430    36.5
19790501 19790531    56.9
19790601 19790630    16.3
19790701 19790731    12.5
19790801 19790831    51.6
19790901 19790930    83.0
19791001 19791031    13.8
19791101 19791130    72.0
19791201 19791231     2.4
19800101 19800131     1.6
19800201 19800229     0.0
19800301 19800331     0.0
19800401 19800430    39.0
19800501 19800531    38.2
19800601 19800630    28.5
19800701 19800731    47.2
19800801 19800831     4.6
19800901 19800930     8.0
19801001 19801031    34.4
19801101 19801130    53.0
19801201 19801231    14.0
19810101 19810131    54.9
19810201 19810228    26.6
19810301 19810331    24.0
19810401 19810430     0.0
19810501 19810531    17.6
19810601 19810630    87.2
19810701 19810731    29.6
19810801 19810831    29.9
19810901 19810930     0.4
19811001 19811031     6.8
19811101 19811130    22.4
19811201 19811231     2.2
19820101 19820131     4.6
19820201 19820228    13.8
19820301 19820331    54.4
19820401 19820430     9.4
19820501 19820531     5.2
19820601 19820630    32.8
19820701 19820731    10.8
19820801 19820831     1.0
19820901 19820930    14.4
19821001 19821031     1.2
19821101 19821130     0.0
19821201 19821231     8.6
19830101 19830131     0.0
19830201 19830228    12.0
19830301 19830331    33.2
19830401 19830430    58.2
19830501 19830531    11.9
19830601 19830630     8.0
19830701 19830731    42.2
19830801 19830831    27.4
19830901 19830930    22.8
19831001 19831031     7.0
19831101 19831130    16.2
19831201 19831231     6.8
19840101 19840131     2.0
19840201 19840229     0.0
19840301 19840331    11.0
19840401 19840430    14.0
19840501 19840531    11.6
19840601 19840630    32.8
19840701 19840731    65.6
19840801 19840831    26.7
19840901 19840930    66.2
19841001 19841031    29.4
19841101 19841130     1.2
19841201 19841231     6.8
19850101 19850131     4.0
19850201 19850228     0.0
19850301 19850331     4.4
19850401 19850430     3.4
19850501 19850531     7.2
19850601 19850630    14.6
19850701 19850731    13.6
19850801 19850831    60.6
19850901 19850930    10.6
19851001 19851031    41.6
19851101 19851130    13.4
19851201 19851231    33.0
19860101 19860131     0.0
19860201 19860228     7.2
19860301 19860331     0.0
19860401 19860430     7.0
19860501 19860531     8.8
19860601 19860630    17.6
19860701 19860731    72.2
19860801 19860831    38.4
19860901 19860930     8.4
19861001 19861031    53.2
19861101 19861130    23.0
19861201 19861231    14.8
19870101 19870131    10.8
19870201 19870228    20.0
19870301 19870331     0.4
19870401 19870430    13.0
19870501 19870531    40.8
19870601 19870630    16.8
19870701 19870731    42.0
19870801 19870831    33.8
19870901 19870930    36.0
19871001 19871031     9.6
19871101 19871130     1.6
19871201 19871231    24.2
19880101 19880131     9.6
19880201 19880229     5.2
19880301 19880331    12.2
19880401 19880430     0.0
19880501 19880531    25.2
19880601 19880630    16.4
19880701 19880731    14.4
19880801 19880831     8.2
19880901 19880930    25.4
19881001 19881031     8.4
19881101 19881130    19.8
19881201 19881231     9.4
19890101 19890131     0.0
19890201 19890228     0.0
19890301 19890331    33.4
19890401 19890430    12.6
19890501 19890531    39.0
19890601 19890630    45.4
19890701 19890731    72.4
19890801 19890831    15.4
19890901 19890930 99999.9
19891001 19891031    11.2
19891101 19891130     8.2
19891201 19891231    33.6
19900101 19900131     6.4
19900201 19900228    10.8
