PRCP       009561 19050101 20180131 missing_value=99999.9 KENDENUP POST OFFICE                      
19621101 19621130    23.1
19621201 19621231    38.0
19630101 19630131    22.8
19630201 19630228    17.9
19630301 19630331    61.9
19630401 19630430    26.9
19630501 19630531   143.3
19630601 19630630    73.8
19630701 19630731    96.8
19630801 19630831    93.8
19630901 19630930    74.9
19631001 19631031    42.3
19631101 19631130    13.5
19631201 19631231     7.4
19640101 19640131     8.7
19640201 19640229     3.6
19640301 19640331     4.1
19640401 19640430    38.4
19640501 19640531    16.1
19640601 19640630   116.6
19640701 19640731   158.1
19640801 19640831    90.4
19640901 19640930    54.0
19641001 19641031    79.4
19641101 19641130    13.0
19641201 19641231    22.6
19650101 19650131    27.4
19650201 19650228     9.0
19650301 19650331    74.9
19650401 19650430    16.9
19650501 19650531    72.6
19650601 19650630    80.9
19650701 19650731    38.6
19650801 19650831    99.1
19650901 19650930    58.3
19651001 19651031   101.3
19651101 19651130    59.0
19651201 19651231    56.5
19660101 19660131     8.2
19660201 19660228    22.6
19660301 19660331     3.5
19660401 19660430    37.2
19660501 19660531    34.4
19660601 19660630   118.8
19660701 19660731    53.9
19660801 19660831    41.8
19660901 19660930    66.4
19661001 19661031    70.2
19661101 19661130    15.1
19661201 19661231    21.5
19670101 19670131     4.4
19670201 19670228    37.1
19670301 19670331    29.3
19670401 19670430    38.1
19670501 19670531    82.2
19670601 19670630    79.0
19670701 19670731   110.1
19670801 19670831    87.8
19670901 19670930    29.7
19671001 19671031    27.9
19671101 19671130    10.7
19671201 19671231    18.4
19680101 19680131    20.7
19680201 19680229     3.3
19680301 19680331    77.3
19680401 19680430    42.3
19680501 19680531    41.1
19680601 19680630   109.8
19680701 19680731    74.7
19680801 19680831    55.2
19680901 19680930    90.6
19681001 19681031    39.6
19681101 19681130     5.3
19681201 19681231     2.1
19690101 19690131     2.6
19690201 19690228    15.0
19690301 19690331    15.5
19690401 19690430    34.2
19690501 19690531    29.9
19690601 19690630    90.0
19690701 19690731    88.5
19690801 19690831    50.7
19690901 19690930    27.4
19691001 19691031    14.6
19691101 19691130    33.7
19691201 19691231    13.6
19700101 19700131     0.8
19700201 19700228    33.3
19700301 19700331     4.8
19700401 19700430    67.6
19700501 19700531    41.5
19700601 19700630   110.4
19700701 19700731    56.9
19700801 19700831    34.4
19700901 19700930    73.8
19701001 19701031    39.7
19701101 19701130    18.4
19701201 19701231    16.8
19710101 19710131    40.3
19710201 19710228    14.1
19710301 19710331    61.6
19710401 19710430    25.8
19710501 19710531    92.7
19710601 19710630    36.9
19710701 19710731    44.0
19710801 19710831    57.4
19710901 19710930    82.0
19711001 19711031    69.3
19711101 19711130    83.7
19711201 19711231    17.5
19720101 19720131    11.3
19720201 19720229    11.7
19720301 19720331     8.9
19720401 19720430    28.8
19720501 19720531    59.3
19720601 19720630    38.1
19720701 19720731    81.5
19720801 19720831    63.9
19720901 19720930    20.9
19721001 19721031    44.8
19721101 19721130     2.1
19721201 19721231    20.3
19730101 19730131     5.3
19730201 19730228     2.8
19730301 19730331     2.1
19730401 19730430    48.4
19730501 19730531    73.9
19730601 19730630    61.5
19730701 19730731   101.0
19730801 19730831    75.0
19730901 19730930    80.1
19731001 19731031    79.7
19731101 19731130    55.7
19731201 19731231    17.6
19740101 19740131     7.4
19740201 19740228    24.0
19740301 19740331    12.4
19740401 19740430    40.0
19740501 19740531    97.8
19740601 19740630    49.4
19740701 19740731   122.5
19740801 19740831    40.2
19740901 19740930    27.1
19741001 19741031    36.7
19741101 19741130    59.8
19741201 19741231     1.2
19750101 19750131     5.4
19750201 19750228     3.6
19750301 19750331    13.4
19750401 19750430    74.6
19750501 19750531   108.8
19750601 19750630    50.3
19750701 19750731   105.3
19750801 19750831    47.1
19750901 19750930    43.0
19751001 19751031    57.7
19751101 19751130    25.0
19751201 19751231     4.7
19760101 19760131    57.8
19760201 19760229    11.6
19760301 19760331    24.8
19760401 19760430    80.7
19760501 19760531    73.2
19760601 19760630    45.3
19760701 19760731    57.4
19760801 19760831    77.6
19760901 19760930    44.4
19761001 19761031    92.4
19761101 19761130    50.1
19761201 19761231     5.7
19770101 19770131    13.8
19770201 19770228     2.4
19770301 19770331     3.1
19770401 19770430    29.2
19770501 19770531   128.3
19770601 19770630    58.0
19770701 19770731    60.4
19770801 19770831    72.3
19770901 19770930    40.0
19771001 19771031   100.0
19771101 19771130    22.6
19771201 19771231    20.5
19780101 19780131    29.5
19780201 19780228    77.1
19780301 19780331    11.1
19780401 19780430     7.2
19780501 19780531    66.2
19780601 19780630   113.8
19780701 19780731    94.7
19780801 19780831    36.9
19780901 19780930    58.3
19781001 19781031    42.2
19781101 19781130    23.8
19781201 19781231    25.4
19790101 19790131    17.6
19790201 19790228    38.1
19790301 19790331    22.9
19790401 19790430     8.6
19790501 19790531    82.3
19790601 19790630    62.4
19790701 19790731    84.6
19790801 19790831    41.6
19790901 19790930    66.2
19791001 19791031    35.0
19791101 19791130    64.8
19791201 19791231     3.2
19800101 19800131     7.0
19800201 19800229    48.0
19800301 19800331     1.2
19800401 19800430    60.2
19800501 19800531    31.8
19800601 19800630    66.6
19800701 19800731    77.4
19800801 19800831    75.0
19800901 19800930    39.8
19801001 19801031    94.4
19801101 19801130    30.6
19801201 19801231    11.4
19810101 19810131     8.0
19810201 19810228     8.6
19810301 19810331     9.6
19810401 19810430    71.0
19810501 19810531    52.6
19810601 19810630    92.2
19810701 19810731    79.8
19810801 19810831    65.6
19810901 19810930    31.6
