PRCP       077030 18860901 20160731 missing_value=99999.9 NARRAPORT                                 
19640401 19640430    58.7
19640501 19640531    23.4
19640601 19640630    32.3
19640701 19640731    73.6
19640801 19640831    38.2
19640901 19640930    82.0
19641001 19641031    87.0
19641101 19641130    17.8
19641201 19641231    12.3
19650101 19650131     1.6
19650201 19650228     0.0
19650301 19650331     3.8
19650401 19650430    23.7
19650501 19650531    39.7
19650601 19650630    19.1
19650701 19650731    51.3
19650801 19650831    67.2
19650901 19650930    21.8
19651001 19651031     5.1
19651101 19651130    36.8
19651201 19651231    40.6
19660101 19660131    12.8
19660201 19660228    36.0
19660301 19660331    20.6
19660401 19660430     3.8
19660501 19660531    14.6
19660601 19660630    15.2
19660701 19660731    30.1
19660801 19660831    25.0
19660901 19660930    67.4
19661001 19661031    42.9
19661101 19661130    22.4
19661201 19661231    43.7
19670101 19670131     7.4
19670201 19670228     8.1
19670301 19670331     3.4
19670401 19670430     1.8
19670501 19670531    15.5
19670601 19670630    26.7
19670701 19670731    25.1
19670801 19670831    29.9
19670901 19670930    12.9
19671001 19671031    10.5
19671101 19671130     2.3
19671201 19671231    16.0
19680101 19680131    27.7
19680201 19680229     2.3
19680301 19680331    49.4
19680401 19680430    26.5
19680501 19680531    55.2
19680601 19680630    45.6
19680701 19680731    46.1
19680801 19680831    80.4
19680901 19680930    23.9
19681001 19681031    37.9
19681101 19681130    18.6
19681201 19681231    36.4
19690101 19690131     2.1
19690201 19690228    61.6
19690301 19690331   123.5
19690401 19690430    25.2
19690501 19690531    44.8
19690601 19690630     6.4
19690701 19690731    39.1
19690801 19690831    46.6
19690901 19690930    32.6
19691001 19691031    13.8
19691101 19691130    22.3
19691201 19691231    19.9
19700101 19700131    29.7
19700201 19700228     2.0
19700301 19700331    22.9
19700401 19700430    74.9
19700501 19700531    16.3
19700601 19700630    30.2
19700701 19700731    10.7
19700801 19700831    36.8
19700901 19700930    40.1
19701001 19701031     9.9
19701101 19701130    55.6
19701201 19701231    19.6
19710101 19710131    61.2
19710201 19710228    39.0
19710301 19710331    42.5
19710401 19710430    65.4
19710501 19710531    20.6
19710601 19710630    25.7
19710701 19710731    20.3
19710801 19710831    22.7
19710901 19710930    28.6
19711001 19711031    23.0
19711101 19711130    74.7
19711201 19711231     8.4
19720101 19720131    23.1
19720201 19720229    26.5
19720301 19720331     6.4
19720401 19720430    22.9
19720501 19720531    26.6
19720601 19720630    15.3
19720701 19720731    14.2
19720801 19720831    34.6
19720901 19720930    18.8
19721001 19721031    12.2
19721101 19721130    36.3
19721201 19721231     5.3
19730101 19730131    45.0
19730201 19730228   170.7
19730301 19730331    19.2
19730401 19730430    18.7
19730501 19730531    41.6
19730601 19730630    52.0
19730701 19730731    44.7
19730801 19730831    75.4
19730901 19730930    53.4
19731001 19731031    85.7
19731101 19731130    27.4
19731201 19731231     9.1
19740101 19740131    77.8
19740201 19740228    19.2
19740301 19740331    73.8
19740401 19740430    65.6
19740501 19740531    49.2
19740601 19740630    12.7
19740701 19740731    35.0
19740801 19740831    50.0
19740901 19740930    52.8
19741001 19741031    70.4
19741101 19741130     2.4
19741201 19741231     4.4
19750101 19750131    15.0
19750201 19750228     4.0
19750301 19750331    13.0
19750401 19750430    13.6
19750501 19750531    45.6
19750601 19750630     2.6
19750701 19750731    47.2
19750801 19750831    33.4
19750901 19750930    70.0
19751001 19751031   154.0
19751101 19751130    10.2
19751201 19751231    31.4
19760101 19760131    23.6
19760201 19760229    52.2
19760301 19760331     6.0
19760401 19760430     3.2
19760501 19760531    15.2
19760601 19760630    14.4
19760701 19760731    29.8
19760801 19760831    21.8
19760901 19760930    18.2
19761001 19761031    38.4
19761101 19761130    38.2
19761201 19761231    15.0
19770101 19770131     3.2
19770201 19770228    40.4
19770301 19770331     8.0
19770401 19770430    33.4
19770501 19770531    48.4
19770601 19770630    25.8
19770701 19770731     9.8
19770801 19770831    14.4
19770901 19770930    26.6
19771001 19771031    20.0
19771101 19771130    24.2
19771201 19771231     0.0
19780101 19780131    12.8
19780201 19780228     3.2
19780301 19780331    17.0
