PRCP       050018 18890601 20180131 missing_value=99999.9 DANDALOO (KELVIN)                         
19440401 19440430     5.9
19440501 19440531    35.5
19440601 19440630     9.2
19440701 19440731    12.4
19440801 19440831    63.0
19440901 19440930    14.5
19441001 19441031    14.4
19441101 19441130     8.9
19441201 19441231     3.6
19450101 19450131    94.0
19450201 19450228    35.8
19450301 19450331     4.3
19450401 19450430    44.2
19450501 19450531    89.4
19450601 19450630    81.1
19450701 19450731    26.4
19450801 19450831    28.4
19450901 19450930     0.0
19451001 19451031    20.6
19451101 19451130    26.1
19451201 19451231     6.9
19460101 19460131    51.6
19460201 19460228   115.8
19460301 19460331    90.7
19460401 19460430    18.3
19460501 19460531    18.6
19460601 19460630     9.8
19460701 19460731    12.4
19460801 19460831     2.6
19460901 19460930    13.0
19461001 19461031    23.2
19461101 19461130    20.6
19461201 19461231    42.8
19470101 19470131    11.9
19470201 19470228   104.6
19470301 19470331    48.0
19470401 19470430    14.3
19470501 19470531    36.6
19470601 19470630    21.4
19470701 19470731    68.0
19470801 19470831    26.9
19470901 19470930    51.6
19471001 19471031    62.9
19471101 19471130    54.0
19471201 19471231    98.6
19480101 19480131    21.1
19480201 19480229    79.9
19480301 19480331    21.5
19480401 19480430    46.1
19480501 19480531    60.2
19480601 19480630   100.5
19480701 19480731     9.9
19480801 19480831    22.6
19480901 19480930    52.8
19481001 19481031    11.2
19481101 19481130    21.3
19481201 19481231    21.1
19490101 19490131    21.5
19490201 19490228    41.7
19490301 19490331   156.2
19490401 19490430    28.4
19490501 19490531    31.4
19490601 19490630    27.0
19490701 19490731    15.5
19490801 19490831    28.1
19490901 19490930    61.1
19491001 19491031    89.4
19491101 19491130    44.8
19491201 19491231     8.6
19500101 19500131    49.1
19500201 19500228   114.5
19500301 19500331   150.3
19500401 19500430    70.7
19500501 19500531    18.1
19500601 19500630    70.6
19500701 19500731    80.8
19500801 19500831    38.9
19500901 19500930    80.3
19501001 19501031   199.7
19501101 19501130   216.0
19501201 19501231    16.2
19510101 19510131    41.7
19510201 19510228    32.1
19510301 19510331    20.6
19510401 19510430    29.7
19510501 19510531    50.1
19510601 19510630    47.0
19510701 19510731    30.7
19510801 19510831    48.4
19510901 19510930    17.5
19511001 19511031    11.9
19511101 19511130    12.2
19511201 19511231    11.2
19520101 19520131     1.5
19520201 19520229    12.2
19520301 19520331    70.8
19520401 19520430    75.8
19520501 19520531    50.6
19520601 19520630    30.8
19520701 19520731    67.3
19520801 19520831   109.5
19520901 19520930    16.0
19521001 19521031    39.7
19521101 19521130    27.2
19521201 19521231    28.5
19530101 19530131    53.1
19530201 19530228    59.6
19530301 19530331     5.1
19530401 19530430    14.1
19530501 19530531    58.6
19530601 19530630     8.2
19530701 19530731     2.0
19530801 19530831    35.4
19530901 19530930    15.0
19531001 19531031    32.3
19531101 19531130    30.1
19531201 19531231    29.8
19540101 19540131    50.9
19540201 19540228    58.7
19540301 19540331     0.0
19540401 19540430    31.7
19540501 19540531     0.0
19540601 19540630    26.1
19540701 19540731    10.7
19540801 19540831    20.8
19540901 19540930    20.6
19541001 19541031   104.7
19541101 19541130    59.5
19541201 19541231    73.1
19550101 19550131    76.0
19550201 19550228   229.5
19550301 19550331    10.7
19550401 19550430    25.4
19550501 19550531    30.7
19550601 19550630    26.5
19550701 19550731    34.4
19550801 19550831    34.3
19550901 19550930    35.3
19551001 19551031    80.1
19551101 19551130    43.6
19551201 19551231     8.5
19560101 19560131   104.7
19560201 19560229   266.9
19560301 19560331   177.9
19560401 19560430    75.4
19560501 19560531    92.4
19560601 19560630    76.5
19560701 19560731    78.0
19560801 19560831    16.6
19560901 19560930    25.2
19561001 19561031    80.6
19561101 19561130     0.0
19561201 19561231     9.6
19570101 19570131    22.6
19570201 19570228    51.5
19570301 19570331    14.4
19570401 19570430    15.2
19570501 19570531     1.8
19570601 19570630    17.5
19570701 19570731    36.9
19570801 19570831    22.6
19570901 19570930     0.0
19571001 19571031    22.5
19571101 19571130     8.3
19571201 19571231    31.5
19580101 19580131    71.6
19580201 19580228    18.8
19580301 19580331    82.8
19580401 19580430    37.8
19580501 19580531    53.7
19580601 19580630    16.3
19580701 19580731    47.7
19580801 19580831    37.2
19580901 19580930    78.2
19581001 19581031    39.2
19581101 19581130     2.0
19581201 19581231    22.9
19590101 19590131   125.1
19590201 19590228   154.5
19590301 19590331   193.9
19590401 19590430   214.3
19590501 19590531     6.9
19590601 19590630    26.3
19590701 19590731    50.8
19590801 19590831     2.0
19590901 19590930     3.8
19591001 19591031    44.4
19591101 19591130    11.7
19591201 19591231    29.8
19600101 19600131    72.5
19600201 19600229    19.6
19600301 19600331    12.0
19600401 19600430    55.1
19600501 19600531    31.5
19600601 19600630     7.4
19600701 19600731    61.0
19600801 19600831    72.7
19600901 19600930    37.1
19601001 19601031    33.8
19601101 19601130    51.6
19601201 19601231    27.1
19610101 19610131    42.7
19610201 19610228    19.6
19610301 19610331    37.3
19610401 19610430    56.1
19610501 19610531     9.4
19610601 19610630    20.9
19610701 19610731    39.3
19610801 19610831    58.2
19610901 19610930     1.0
19611001 19611031    25.7
19611101 19611130   109.5
19611201 19611231   106.2
19620101 19620131    75.6
19620201 19620228    26.4
19620301 19620331    42.7
19620401 19620430     4.6
19620501 19620531    55.5
19620601 19620630    11.0
19620701 19620731    34.3
19620801 19620831    65.2
19620901 19620930    16.5
19621001 19621031    32.5
19621101 19621130     8.1
19621201 19621231   139.1
19630101 19630131   124.0
19630201 19630228    18.7
19630301 19630331    53.8
19630401 19630430    22.1
19630501 19630531    53.0
19630601 19630630    64.1
19630701 19630731    36.3
19630801 19630831    46.2
19630901 19630930    25.4
19631001 19631031    18.5
19631101 19631130    35.9
19631201 19631231    56.4
19640101 19640131    30.5
19640201 19640229    11.4
19640301 19640331    29.0
19640401 19640430    54.5
19640501 19640531    52.8
19640601 19640630    41.1
19640701 19640731    19.6
19640801 19640831    21.9
19640901 19640930    67.9
19641001 19641031    57.0
19641101 19641130    11.9
19641201 19641231     6.3
19650101 19650131     0.5
19650201 19650228     3.5
19650301 19650331     8.9
19650401 19650430     1.5
19650501 19650531    25.7
19650601 19650630    11.4
19650701 19650731    18.0
19650801 19650831    28.8
19650901 19650930    17.3
19651001 19651031    45.3
19651101 19651130     8.2
19651201 19651231    42.4
19660101 19660131     6.1
19660201 19660228    17.2
19660301 19660331    48.5
19660401 19660430    12.2
19660501 19660531    25.6
19660601 19660630     4.8
19660701 19660731    14.7
19660801 19660831    58.5
19660901 19660930    45.2
19661001 19661031    62.7
19661101 19661130    64.0
19661201 19661231    45.4
19670101 19670131    27.7
19670201 19670228     7.3
19670301 19670331    26.9
19670401 19670430     0.0
19670501 19670531    19.8
19670601 19670630    37.0
19670701 19670731     1.5
19670801 19670831    27.6
19670901 19670930     3.3
19671001 19671031    23.9
19671101 19671130    12.2
19671201 19671231     2.0
19680101 19680131   174.1
19680201 19680229    25.1
19680301 19680331    42.7
19680401 19680430    42.2
19680501 19680531    90.2
19680601 19680630    12.2
19680701 19680731    40.9
19680801 19680831    26.6
19680901 19680930    35.1
19681001 19681031    10.0
19681101 19681130    24.9
19681201 19681231    91.2
19690101 19690131     8.7
19690201 19690228    52.6
19690301 19690331   111.8
19690401 19690430    78.8
19690501 19690531    69.5
19690601 19690630    46.6
19690701 19690731    62.9
19690801 19690831    31.5
19690901 19690930    36.2
19691001 19691031   146.2
19691101 19691130    87.1
19691201 19691231     3.6
19700101 19700131    58.8
19700201 19700228    32.0
19700301 19700331    79.5
19700401 19700430    34.0
19700501 19700531    24.9
19700601 19700630     7.6
19700701 19700731     1.0
19700801 19700831    38.3
19700901 19700930    57.6
19701001 19701031    75.2
19701101 19701130    28.4
19701201 19701231    38.3
19710101 19710131   199.4
19710201 19710228    91.4
19710301 19710331    25.2
19710401 19710430    37.4
19710501 19710531    10.2
19710601 19710630     9.4
19710701 19710731    42.2
19710801 19710831    41.5
19710901 19710930    23.9
19711001 19711031     2.3
19711101 19711130    74.7
19711201 19711231    96.7
19720101 19720131   135.0
19720201 19720229    27.0
19720301 19720331    12.7
19720401 19720430     6.4
19720501 19720531    16.6
19720601 19720630    12.8
19720701 19720731     7.9
19720801 19720831    18.7
19720901 19720930    10.7
19721001 19721031    41.4
19721101 19721130    36.6
19721201 19721231     4.5
19730101 19730131    34.9
19730201 19730228   236.7
19730301 19730331    22.9
19730401 19730430    30.6
19730501 19730531    38.1
19730601 19730630    71.5
19730701 19730731    37.9
19730801 19730831    66.6
19730901 19730930    36.9
19731001 19731031    85.2
19731101 19731130    85.1
19731201 19731231    57.8
19740101 19740131    85.9
19740201 19740228    70.4
19740301 19740331    20.2
19740401 19740430   113.8
19740501 19740531    36.0
19740601 19740630    13.8
19740701 19740731    28.0
19740801 19740831    37.8
19740901 19740930    68.6
19741001 19741031    62.6
19741101 19741130    31.4
19741201 19741231     0.0
19750101 19750131     7.8
19750201 19750228    60.0
19750301 19750331    21.8
19750401 19750430     6.6
19750501 19750531     3.0
19750601 19750630    53.4
19750701 19750731    30.6
19750801 19750831    52.0
19750901 19750930   126.2
19751001 19751031    90.8
19751101 19751130     3.8
19751201 19751231    68.0
19760101 19760131   275.4
19760201 19760229   165.0
19760301 19760331    32.2
19760401 19760430    19.6
19760501 19760531    14.2
19760601 19760630    38.2
19760701 19760731    46.0
19760801 19760831    13.2
19760901 19760930    35.6
19761001 19761031   118.2
19761101 19761130    44.0
19761201 19761231    42.8
19770101 19770131    25.6
19770201 19770228    76.0
19770301 19770331    85.8
19770401 19770430     0.0
19770501 19770531   147.2
19770601 19770630    15.6
19770701 19770731     5.0
19770801 19770831    12.4
19770901 19770930    18.4
19771001 19771031    21.4
19771101 19771130     2.2
19771201 19771231    14.2
19780101 19780131    89.8
19780201 19780228     5.4
19780301 19780331    79.0
19780401 19780430     1.0
19780501 19780531   109.2
19780601 19780630    72.8
19780701 19780731    69.8
19780801 19780831     8.8
19780901 19780930    87.2
19781001 19781031    10.0
19781101 19781130   100.0
19781201 19781231    73.4
19790101 19790131     2.8
19790201 19790228     0.0
19790301 19790331    23.8
19790401 19790430    52.4
19790501 19790531    87.2
19790601 19790630    18.8
19790701 19790731    30.2
19790801 19790831    22.8
19790901 19790930    36.6
19791001 19791031    26.4
19791101 19791130    32.4
19791201 19791231     0.0
19800101 19800131    24.0
19800201 19800229    35.4
19800301 19800331    26.4
19800401 19800430    16.4
19800501 19800531    75.8
19800601 19800630    41.6
19800701 19800731    28.0
19800801 19800831    15.8
19800901 19800930     0.0
19801001 19801031    39.6
19801101 19801130     4.4
19801201 19801231    26.8
19810101 19810131    16.2
19810201 19810228    66.8
19810301 19810331     1.6
19810401 19810430    18.4
19810501 19810531    67.4
19810601 19810630    54.0
19810701 19810731    68.8
19810801 19810831     7.8
19810901 19810930    11.4
19811001 19811031    59.2
19811101 19811130    66.0
19811201 19811231    10.8
19820101 19820131    38.4
19820201 19820228     5.6
19820301 19820331   213.6
19820401 19820430    19.0
19820501 19820531     6.4
19820601 19820630     3.0
19820701 19820731     2.0
19820801 19820831     0.0
19820901 19820930    13.4
19821001 19821031    16.4
19821101 19821130     1.6
19821201 19821231    10.6
19830101 19830131    19.6
19830201 19830228     5.4
19830301 19830331    89.6
19830401 19830430    34.0
19830501 19830531   136.4
19830601 19830630    17.4
19830701 19830731    51.2
19830801 19830831    54.2
19830901 19830930    27.6
19831001 19831031    61.2
19831101 19831130    79.8
19831201 19831231    40.4
19840101 19840131   296.2
19840201 19840229    46.6
19840301 19840331    18.6
19840401 19840430    34.6
19840501 19840531     1.2
19840601 19840630     0.0
19840701 19840731    92.6
19840801 19840831    54.4
19840901 19840930    28.8
19841001 19841031    55.6
19841101 19841130    27.8
19841201 19841231    10.4
19850101 19850131     1.2
19850201 19850228    41.0
19850301 19850331   100.6
19850401 19850430    33.0
19850501 19850531    37.4
