PRCP       090135 18900101 20180131 missing_value=99999.9 CASTERTON SHOWGROUNDS                     
19490601 19490630    39.4
19490701 19490731    37.3
19490801 19490831    29.0
19490901 19490930    37.7
19491001 19491031   117.2
19491101 19491130    76.0
19491201 19491231    14.2
19500101 19500131    16.6
19500201 19500228    22.6
19500301 19500331    18.0
19500401 19500430    27.0
19500501 19500531    32.6
19500601 19500630    27.3
19500701 19500731    58.2
19500801 19500831    55.7
19500901 19500930    95.2
19501001 19501031    46.0
19501101 19501130    20.9
19501201 19501231    25.5
19510101 19510131    17.8
19510201 19510228    39.7
19510301 19510331     1.4
19510401 19510430    87.4
19510501 19510531   116.0
19510601 19510630    58.6
19510701 19510731   107.4
19510801 19510831    99.3
19510901 19510930    34.2
19511001 19511031    82.0
19511101 19511130    35.3
19511201 19511231    49.1
19520101 19520131    74.7
19520201 19520229    30.0
19520301 19520331    10.7
19520401 19520430    73.9
19520501 19520531   109.0
19520601 19520630   114.9
19520701 19520731    63.0
19520801 19520831    83.4
19520901 19520930    88.8
19521001 19521031    58.6
19521101 19521130   132.6
19521201 19521231    54.0
19530101 19530131    16.2
19530201 19530228     7.8
19530301 19530331     4.3
19530401 19530430    38.8
19530501 19530531    66.8
19530601 19530630    87.7
19530701 19530731   113.1
19530801 19530831    88.3
19530901 19530930    80.9
19531001 19531031    61.6
19531101 19531130    85.3
19531201 19531231    55.0
19540101 19540131    19.0
19540201 19540228     7.7
19540301 19540331    20.4
19540401 19540430    71.7
19540501 19540531    42.1
19540601 19540630    73.9
19540701 19540731    41.2
19540801 19540831    48.9
19540901 19540930    51.6
19541001 19541031    45.5
19541101 19541130    58.8
19541201 19541231    28.8
19550101 19550131     6.8
19550201 19550228    33.7
19550301 19550331    10.7
19550401 19550430    64.2
19550501 19550531    89.4
19550601 19550630    94.1
19550701 19550731    55.6
19550801 19550831   149.8
19550901 19550930    60.5
19551001 19551031    51.9
19551101 19551130    47.0
19551201 19551231    35.5
19560101 19560131    21.5
19560201 19560229     1.0
