PRCP       040014 18920501 20120930 missing_value=99999.9 BEAUDESERT                                
19371001 19371031    78.0
19371101 19371130   172.7
19371201 19371231   152.5
19380101 19380131   168.5
19380201 19380228    88.8
19380301 19380331   111.2
19380401 19380430    30.8
19380501 19380531   193.1
19380601 19380630    11.3
19380701 19380731    21.0
19380801 19380831    36.3
19380901 19380930    30.8
19381001 19381031   134.0
19381101 19381130    58.7
19381201 19381231    14.6
19390101 19390131    82.6
19390201 19390228    29.5
19390301 19390331   263.5
19390401 19390430    96.7
19390501 19390531    42.7
19390601 19390630    57.4
19390701 19390731    28.5
19390801 19390831    49.0
19390901 19390930     3.0
19391001 19391031    51.5
19391101 19391130   140.8
19391201 19391231   128.2
19400101 19400131   149.1
19400201 19400229   146.9
19400301 19400331   143.7
19400401 19400430     9.9
19400501 19400531    27.1
19400601 19400630     6.8
19400701 19400731     0.5
19400801 19400831    20.4
19400901 19400930    50.8
19401001 19401031    55.1
19401101 19401130   103.8
19401201 19401231   150.0
19410101 19410131   294.2
19410201 19410228    56.9
19410301 19410331   115.3
19410401 19410430    50.9
19410501 19410531    27.3
19410601 19410630    36.0
19410701 19410731     8.6
19410801 19410831     7.6
19410901 19410930    17.6
19411001 19411031     4.3
19411101 19411130    18.8
19411201 19411231    63.1
19420101 19420131    63.6
19420201 19420228   230.5
19420301 19420331    74.4
19420401 19420430    27.9
19420501 19420531    46.2
19420601 19420630    36.3
19420701 19420731    45.7
19420801 19420831    40.0
19420901 19420930    14.7
19421001 19421031   179.9
19421101 19421130   110.9
19421201 19421231   319.7
19430101 19430131   132.5
19430201 19430228    65.0
19430301 19430331    26.1
19430401 19430430    32.8
19430501 19430531    18.0
19430601 19430630    33.1
19430701 19430731     4.6
19430801 19430831    34.3
19430901 19430930    61.2
19431001 19431031   137.4
19431101 19431130   129.5
19431201 19431231   220.4
19440101 19440131   161.7
19440201 19440229    95.1
19440301 19440331    24.0
19440401 19440430     4.1
19440501 19440531    60.8
19440601 19440630    15.8
19440701 19440731    63.2
