PRCP       033060 18930101 20180131 missing_value=99999.9 PLEYSTOWE SUGAR MILL                      
19520201 19520229   348.6
19520301 19520331    68.1
19520401 19520430    94.5
19520501 19520531    34.3
19520601 19520630    91.0
19520701 19520731    13.2
19520801 19520831    18.9
19520901 19520930    11.4
19521001 19521031    47.4
19521101 19521130    96.5
19521201 19521231    43.0
19530101 19530131   582.6
19530201 19530228   353.9
19530301 19530331   108.7
19530401 19530430   121.1
19530501 19530531    26.4
19530601 19530630    21.6
19530701 19530731     0.5
19530801 19530831   120.6
19530901 19530930     0.8
19531001 19531031    62.5
19531101 19531130    44.0
19531201 19531231    35.9
19540101 19540131   763.1
19540201 19540228   645.3
19540301 19540331   347.2
19540401 19540430   446.6
19540501 19540531    13.7
19540601 19540630    21.0
19540701 19540731    20.3
19540801 19540831    36.3
19540901 19540930    26.5
19541001 19541031   166.7
19541101 19541130    85.7
19541201 19541231    48.6
19550101 19550131   143.9
19550201 19550228   743.7
19550301 19550331  1018.0
19550401 19550430   207.9
19550501 19550531   585.7
19550601 19550630    26.7
19550701 19550731     6.9
19550801 19550831     1.8
19550901 19550930     5.1
19551001 19551031    48.2
19551101 19551130    37.9
19551201 19551231    43.1
19560101 19560131   430.1
19560201 19560229   531.6
19560301 19560331   688.7
19560401 19560430   143.5
19560501 19560531   146.3
19560601 19560630   160.3
19560701 19560731    52.2
19560801 19560831    41.6
19560901 19560930    20.8
19561001 19561031    31.0
19561101 19561130   151.6
19561201 19561231   331.2
19570101 19570131   218.2
19570201 19570228   102.7
19570301 19570331   166.3
19570401 19570430    23.0
19570501 19570531    62.5
19570601 19570630    64.4
19570701 19570731    78.0
19570801 19570831    73.8
19570901 19570930     0.0
19571001 19571031     8.1
19571101 19571130    85.4
19571201 19571231    11.9
19580101 19580131   400.1
19580201 19580228  1486.8
19580301 19580331   168.6
19580401 19580430   566.6
19580501 19580531    34.9
19580601 19580630   127.7
19580701 19580731     4.8
19580801 19580831    33.6
19580901 19580930    37.7
19581001 19581031     0.0
19581101 19581130    65.3
19581201 19581231   245.4
19590101 19590131   393.1
19590201 19590228   347.7
19590301 19590331   290.6
19590401 19590430   121.7
19590501 19590531   119.5
19590601 19590630    24.7
19590701 19590731     4.6
19590801 19590831     5.5
19590901 19590930     6.6
19591001 19591031     9.4
19591101 19591130    94.0
19591201 19591231   455.1
19600101 19600131   861.8
19600201 19600229   414.4
19600301 19600331   241.7
19600401 19600430    23.2
19600501 19600531    83.2
19600601 19600630    12.4
19600701 19600731    18.4
19600801 19600831     2.8
19600901 19600930     8.9
19601001 19601031    60.2
19601101 19601130    53.2
19601201 19601231   174.2
19610101 19610131    54.3
19610201 19610228   383.8
19610301 19610331    72.8
19610401 19610430    87.3
19610501 19610531    46.5
19610601 19610630    40.9
19610701 19610731    11.2
19610801 19610831    51.8
19610901 19610930     2.4
19611001 19611031     6.9
19611101 19611130   225.8
19611201 19611231    75.4
19620101 19620131   388.1
19620201 19620228   230.6
19620301 19620331   178.6
19620401 19620430   114.1
19620501 19620531    17.8
19620601 19620630    11.3
19620701 19620731    20.7
