PRCP       088060 18840201 20180131 missing_value=99999.9 WALLABY CREEK WEIR                        
19251101 19251130    86.0
19251201 19251231    24.5
19260101 19260131    57.5
19260201 19260228     2.3
19260301 19260331    47.4
19260401 19260430   114.6
19260501 19260531   111.8
19260601 19260630   158.1
19260701 19260731    92.2
19260801 19260831   103.5
19260901 19260930    57.3
19261001 19261031   124.1
19261101 19261130    62.3
19261201 19261231    42.0
19270101 19270131    22.4
19270201 19270228    26.4
19270301 19270331    22.6
19270401 19270430    37.7
19270501 19270531    88.8
19270601 19270630    87.1
19270701 19270731   137.1
19270801 19270831   140.5
19270901 19270930    97.8
19271001 19271031   114.5
19271101 19271130    25.4
19271201 19271231    65.2
19280101 19280131   101.0
19280201 19280229   167.4
19280301 19280331   115.8
19280401 19280430    97.5
19280501 19280531    99.2
19280601 19280630   147.2
19280701 19280731    90.5
19280801 19280831    28.7
19280901 19280930    92.8
19281001 19281031   148.2
19281101 19281130    25.9
19281201 19281231    52.2
19290101 19290131    45.5
19290201 19290228    53.3
19290301 19290331    56.5
19290401 19290430   152.1
19290501 19290531   124.3
19290601 19290630   102.9
19290701 19290731    85.2
19290801 19290831    98.9
19290901 19290930    80.8
19291001 19291031   104.9
19291101 19291130    78.8
19291201 19291231   170.2
19300101 19300131     2.6
19300201 19300228    65.9
19300301 19300331    29.1
19300401 19300430    52.7
19300501 19300531   181.5
19300601 19300630    72.5
19300701 19300731    90.1
19300801 19300831   178.8
19300901 19300930    96.7
19301001 19301031   166.5
19301101 19301130    91.8
19301201 19301231   274.9
19310101 19310131    76.3
19310201 19310228    27.7
19310301 19310331   277.3
19310401 19310430   116.3
19310501 19310531   155.2
19310601 19310630   301.4
19310701 19310731   105.3
19310801 19310831   134.9
19310901 19310930    82.3
19311001 19311031    71.2
19311101 19311130   166.7
19311201 19311231    31.0
19320101 19320131     5.7
19320201 19320229    54.7
19320301 19320331   166.4
19320401 19320430   224.7
19320501 19320531    37.5
19320601 19320630   177.4
19320701 19320731   102.5
19320801 19320831   182.1
19320901 19320930    45.4
19321001 19321031   166.9
19321101 19321130    16.9
19321201 19321231   120.3
19330101 19330131    84.2
19330201 19330228    12.5
19330301 19330331    71.5
19330401 19330430    34.0
19330501 19330531   103.2
19330601 19330630    54.9
19330701 19330731   155.9
19330801 19330831   108.3
19330901 19330930   172.1
19331001 19331031    84.2
19331101 19331130    77.8
19331201 19331231   225.4
19340101 19340131   199.4
19340201 19340228    70.6
19340301 19340331    30.6
19340401 19340430   192.3
19340501 19340531     2.9
19340601 19340630    85.5
19340701 19340731   123.5
19340801 19340831   143.7
19340901 19340930    57.2
19341001 19341031   243.4
19341101 19341130   207.5
19341201 19341231   168.9
19350101 19350131   105.7
19350201 19350228   110.9
19350301 19350331    59.2
19350401 19350430   360.8
19350501 19350531    94.4
19350601 19350630   116.4
19350701 19350731   132.5
19350801 19350831   119.0
19350901 19350930    99.7
19351001 19351031   101.0
19351101 19351130    69.7
19351201 19351231    92.1
19360101 19360131    45.3
19360201 19360229    19.3
19360301 19360331    11.5
19360401 19360430   152.3
19360501 19360531    60.3
19360601 19360630   127.8
19360701 19360731   185.7
19360801 19360831   162.4
19360901 19360930    62.7
19361001 19361031    99.1
19361101 19361130    88.2
19361201 19361231    98.7
19370101 19370131    93.6
19370201 19370228    56.9
19370301 19370331    51.6
19370401 19370430    48.2
19370501 19370531    70.4
19370601 19370630    63.7
19370701 19370731    88.5
19370801 19370831   107.0
19370901 19370930   115.1
19371001 19371031   217.9
19371101 19371130    31.3
19371201 19371231    65.9
19380101 19380131    64.2
19380201 19380228    59.2
19380301 19380331    75.7
19380401 19380430   144.4
19380501 19380531    26.5
19380601 19380630   149.2
19380701 19380731    82.6
19380801 19380831    76.1
19380901 19380930    26.7
19381001 19381031    12.0
19381101 19381130    27.3
19381201 19381231    21.7
19390101 19390131    15.8
19390201 19390228   258.8
19390301 19390331    51.2
19390401 19390430   236.3
19390501 19390531    98.7
19390601 19390630   194.5
