PRCP       015528 19520201 20170131 missing_value=99999.9 YUENDUMU                                  
19920701 19920731     0.0
19920801 19920831    26.4
19920901 19920930    29.9
19921001 19921031    16.5
19921101 19921130     5.0
19921201 19921231     8.0
19930101 19930131     8.6
19930201 19930228    82.0
19930301 19930331    11.0
19930401 19930430     4.0
19930501 19930531    36.4
19930601 19930630    52.8
19930701 19930731     0.0
19930801 19930831     6.2
19930901 19930930    31.4
19931001 19931031    25.8
19931101 19931130    75.6
19931201 19931231    44.0
19940101 19940131    32.6
19940201 19940228    53.4
19940301 19940331     0.4
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630     2.0
19940701 19940731     0.0
19940801 19940831     0.4
19940901 19940930     0.6
19941001 19941031     2.6
19941101 19941130    25.0
19941201 19941231    53.3
19950101 19950131   111.6
19950201 19950228     5.3
19950301 19950331    28.8
19950401 19950430     0.0
19950501 19950531     9.6
19950601 19950630    11.2
19950701 19950731     5.6
19950801 19950831     0.0
19950901 19950930     6.4
19951001 19951031     2.2
19951101 19951130    51.0
19951201 19951231     3.0
19960101 19960131    28.0
19960201 19960229    16.0
19960301 19960331     0.4
19960401 19960430    43.0
19960501 19960531     6.2
19960601 19960630     5.4
19960701 19960731     5.6
19960801 19960831     0.2
19960901 19960930     0.2
19961001 19961031    13.3
19961101 19961130     0.4
19961201 19961231    50.2
19970101 19970131    86.4
19970201 19970228   152.4
19970301 19970331     0.0
19970401 19970430     0.0
19970501 19970531    81.7
19970601 19970630     0.2
19970701 19970731     0.4
19970801 19970831     0.1
19970901 19970930     5.2
19971001 19971031    39.0
19971101 19971130    18.3
19971201 19971231    72.5
19980101 19980131    29.9
19980201 19980228    15.5
19980301 19980331     1.3
19980401 19980430    54.2
19980501 19980531     0.0
19980601 19980630    17.2
19980701 19980731     9.8
19980801 19980831     5.7
19980901 19980930    34.3
19981001 19981031    37.1
19981101 19981130    20.5
19981201 19981231    33.7
19990101 19990131    35.2
19990201 19990228    86.1
19990301 19990331    29.7
19990401 19990430     0.0
19990501 19990531     0.0
19990601 19990630     2.5
19990701 19990731     0.0
19990801 19990831     0.0
19990901 19990930    10.9
19991001 19991031    21.7
19991101 19991130    28.6
19991201 19991231   126.0
20000101 20000131    87.0
20000201 20000229   300.7
20000301 20000331    53.8
20000401 20000430   156.7
20000501 20000531    14.6
20000601 20000630     0.0
20000701 20000731     0.0
20000801 20000831     3.6
20000901 20000930     0.0
20001001 20001031    84.3
20001101 20001130    67.1
20001201 20001231   119.3
20010101 20010131   124.2
20010201 20010228   113.8
20010301 20010331   276.4
20010401 20010430     0.0
20010501 20010531     0.0
20010601 20010630    26.9
20010701 20010731    28.7
20010801 20010831     0.0
20010901 20010930     1.0
20011001 20011031    34.6
20011101 20011130    50.6
20011201 20011231   129.7
20020101 20020131    16.9
20020201 20020228    77.1
20020301 20020331     4.6
20020401 20020430     0.0
20020501 20020531     0.0
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     3.2
20021001 20021031     0.0
20021101 20021130    41.2
20021201 20021231    33.1
20030101 20030131    95.0
20030201 20030228   140.5
20030301 20030331     1.6
20030401 20030430     7.5
20030501 20030531     0.0
20030601 20030630     0.0
20030701 20030731     0.0
20030801 20030831     1.0
20030901 20030930     2.8
20031001 20031031     0.2
20031101 20031130    33.1
20031201 20031231   120.3
20040101 20040131    43.0
20040201 20040229   167.2
20040301 20040331    69.4
20040401 20040430     0.0
20040501 20040531   126.9
20040601 20040630     8.0
20040701 20040731     0.0
20040801 20040831     2.0
20040901 20040930     7.7
20041001 20041031     8.6
20041101 20041130    10.1
20041201 20041231    31.3
20050101 20050131    17.3
20050201 20050228     3.6
20050301 20050331     2.5
20050401 20050430     0.0
20050501 20050531     0.0
20050601 20050630    42.2
20050701 20050731    39.3
20050801 20050831     0.0
20050901 20050930     4.6
20051001 20051031    99.9
20051101 20051130    39.5
20051201 20051231    73.4
20060101 20060131   128.8
20060201 20060228    28.1
20060301 20060331    49.5
20060401 20060430   102.6
20060501 20060531     8.3
20060601 20060630     0.0
20060701 20060731    16.5
20060801 20060831     0.2
20060901 20060930     0.0
20061001 20061031     7.4
20061101 20061130    13.6
20061201 20061231    25.1
20070101 20070131   233.8
20070201 20070228     0.0
20070301 20070331    92.6
20070401 20070430     0.0
20070501 20070531    11.9
20070601 20070630     9.1
20070701 20070731     0.0
20070801 20070831     5.0
20070901 20070930     0.0
20071001 20071031     2.6
20071101 20071130    13.8
20071201 20071231     3.6
20080101 20080131     6.2
20080201 20080229    38.0
20080301 20080331     4.0
20080401 20080430     0.0
20080501 20080531     0.0
