PRCP       043026 19100101 20101231 missing_value=99999.9 NORMANDY                                  
19640101 19640131    17.7
19640201 19640229    77.4
19640301 19640331    97.3
19640401 19640430    14.5
19640501 19640531    69.4
19640601 19640630     7.4
19640701 19640731    13.7
19640801 19640831    47.5
19640901 19640930    89.4
19641001 19641031    74.5
19641101 19641130    48.1
19641201 19641231    31.5
19650101 19650131    34.1
19650201 19650228     6.6
19650301 19650331     0.0
19650401 19650430    17.3
19650501 19650531     5.0
19650601 19650630     3.3
19650701 19650731    41.6
19650801 19650831    14.3
19650901 19650930    41.6
19651001 19651031    23.1
19651101 19651130    28.5
19651201 19651231   152.3
19660101 19660131    60.4
19660201 19660228    45.3
19660301 19660331     4.6
19660401 19660430     3.0
19660501 19660531    18.3
19660601 19660630    37.4
19660701 19660731     7.2
19660801 19660831   155.7
19660901 19660930    11.2
19661001 19661031    22.4
19661101 19661130    19.8
19661201 19661231    17.5
19670101 19670131   154.7
19670201 19670228    39.7
19670301 19670331    32.7
19670401 19670430     0.0
19670501 19670531    27.9
19670601 19670630    59.2
19670701 19670731     8.4
19670801 19670831    44.0
19670901 19670930     0.0
19671001 19671031    29.7
19671101 19671130    15.5
19671201 19671231   168.4
19680101 19680131   107.4
19680201 19680229    43.5
19680301 19680331    42.4
19680401 19680430    42.0
19680501 19680531    38.7
19680601 19680630    10.7
19680701 19680731    53.4
19680801 19680831    38.9
19680901 19680930    28.1
19681001 19681031     1.3
19681101 19681130     1.3
19681201 19681231    59.0
19690101 19690131    71.9
19690201 19690228     8.1
19690301 19690331   117.8
19690401 19690430     1.0
19690501 19690531    65.0
19690601 19690630    13.7
19690701 19690731     8.1
19690801 19690831     9.6
19690901 19690930    18.8
19691001 19691031    75.0
19691101 19691130    92.5
19691201 19691231    42.3
19700101 19700131    61.7
19700201 19700228    68.4
19700301 19700331    13.7
19700401 19700430    13.7
19700501 19700531     5.0
19700601 19700630    10.2
19700701 19700731     0.0
19700801 19700831     6.9
19700901 19700930    86.9
19701001 19701031    22.1
19701101 19701130    52.1
19701201 19701231   232.0
19710101 19710131   107.3
19710201 19710228    51.3
19710301 19710331    43.7
19710401 19710430     6.4
19710501 19710531    14.7
19710601 19710630    21.8
19710701 19710731    50.6
19710801 19710831    88.9
19710901 19710930    61.7
19711001 19711031    46.5
19711101 19711130    36.8
