PRCP       014015 19010401 20180131 missing_value=99999.9 DARWIN AIRPORT                            
19781001 19781031   245.2
19781101 19781130   268.8
19781201 19781231   244.8
19790101 19790131   444.2
19790201 19790228   142.6
19790301 19790331   228.3
19790401 19790430    37.6
19790501 19790531    64.4
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930     2.6
19791001 19791031    75.6
19791101 19791130    37.4
19791201 19791231   164.4
19800101 19800131   694.0
19800201 19800229   361.4
19800301 19800331   235.6
19800401 19800430    38.8
19800501 19800531     0.0
19800601 19800630     0.0
19800701 19800731     0.0
19800801 19800831    31.6
19800901 19800930     0.0
19801001 19801031    61.8
19801101 19801130   159.4
19801201 19801231   262.2
19810101 19810131   905.8
19810201 19810228   214.2
19810301 19810331   419.8
19810401 19810430    51.6
19810501 19810531     7.2
19810601 19810630     0.0
19810701 19810731     1.4
19810801 19810831    36.6
19810901 19810930   129.8
19811001 19811031    29.4
19811101 19811130   142.8
19811201 19811231   225.8
19820101 19820131   644.0
19820201 19820228   224.6
19820301 19820331   278.2
19820401 19820430    51.2
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     7.8
19820901 19820930    15.6
19821001 19821031     1.2
19821101 19821130   184.0
19821201 19821231    88.0
19830101 19830131   216.0
19830201 19830228   272.0
19830301 19830331   676.0
19830401 19830430   209.4
19830501 19830531    14.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     0.0
19830901 19830930    18.0
19831001 19831031   146.0
19831101 19831130   157.4
19831201 19831231   177.4
19840101 19840131   418.6
19840201 19840229   586.2
19840301 19840331   358.6
19840401 19840430   150.8
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731     0.0
19840801 19840831    45.4
19840901 19840930    66.6
19841001 19841031    33.0
19841101 19841130   162.2
19841201 19841231   127.4
19850101 19850131   281.4
19850201 19850228   299.8
19850301 19850331   229.2
19850401 19850430   189.6
19850501 19850531     0.0
19850601 19850630     0.0
19850701 19850731     0.0
19850801 19850831     0.0
19850901 19850930     1.0
19851001 19851031    82.0
19851101 19851130    58.4
19851201 19851231    92.4
19860101 19860131   660.4
19860201 19860228   267.2
19860301 19860331   282.8
19860401 19860430   100.2
19860501 19860531    14.6
19860601 19860630     2.8
19860701 19860731     5.2
19860801 19860831    11.0
19860901 19860930     5.6
19861001 19861031   169.8
19861101 19861130   103.2
19861201 19861231   115.0
19870101 19870131   607.2
19870201 19870228   381.4
19870301 19870331    93.0
19870401 19870430    82.8
19870501 19870531   145.8
19870601 19870630     0.0
19870701 19870731     0.2
19870801 19870831     0.0
19870901 19870930    21.8
19871001 19871031     2.4
19871101 19871130   104.0
19871201 19871231   539.2
19880101 19880131   233.4
19880201 19880229   277.8
19880301 19880331   334.6
19880401 19880430    19.6
19880501 19880531    74.8
19880601 19880630     0.0
19880701 19880731     0.2
19880801 19880831    51.2
19880901 19880930    48.8
19881001 19881031   161.8
19881101 19881130   248.0
19881201 19881231   402.8
19890101 19890131   267.8
19890201 19890228   161.8
19890301 19890331   573.8
19890401 19890430   184.6
19890501 19890531     4.0
19890601 19890630     1.8
19890701 19890731     0.0
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031    25.0
19891101 19891130    40.2
19891201 19891231   221.4
19900101 19900131   305.0
19900201 19900228   152.8
19900301 19900331   219.4
19900401 19900430   151.0
19900501 19900531    59.6
19900601 19900630     1.2
19900701 19900731     0.0
19900801 19900831     0.0
19900901 19900930     0.0
19901001 19901031     6.0
19901101 19901130   158.8
19901201 19901231   289.6
19910101 19910131   922.2
19910201 19910228   578.2
19910301 19910331   185.0
19910401 19910430    77.6
19910501 19910531     0.8
19910601 19910630     0.0
19910701 19910731     0.2
19910801 19910831     0.0
19910901 19910930     0.2
19911001 19911031    15.6
19911101 19911130   177.0
19911201 19911231    18.8
19920101 19920131   318.6
19920201 19920229   129.8
19920301 19920331   162.6
19920401 19920430   215.8
19920501 19920531     1.2
19920601 19920630     0.2
19920701 19920731     0.0
19920801 19920831     0.2
19920901 19920930     5.4
19921001 19921031   148.4
19921101 19921130   185.0
19921201 19921231   240.2
19930101 19930131   494.8
19930201 19930228   271.2
19930301 19930331   168.4
19930401 19930430     8.8
19930501 19930531    16.8
19930601 19930630     0.0
19930701 19930731     0.0
19930801 19930831     3.0
19930901 19930930    14.2
19931001 19931031    32.4
19931101 19931130    90.6
19931201 19931231   468.8
19940101 19940131   277.6
19940201 19940228   435.0
19940301 19940331   368.0
19940401 19940430    19.8
19940501 19940531    17.8
19940601 19940630     0.4
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031    34.6
19941101 19941130    66.2
19941201 19941231   361.2
19950101 19950131   940.4
19950201 19950228   249.4
19950301 19950331   600.8
19950401 19950430   129.0
19950501 19950531    44.6
19950601 19950630     0.6
