PRCP       010658 19040801 20171231 missing_value=99999.9 WONNAMINTA                                
19590101 19590131     0.0
19590201 19590228    16.0
19590301 19590331     7.4
19590401 19590430    16.5
19590501 19590531    16.3
19590601 19590630   189.3
19590701 19590731    47.5
19590801 19590831    84.5
19590901 19590930    38.7
19591001 19591031    19.6
19591101 19591130    13.6
19591201 19591231    38.1
19600101 19600131    50.5
19600201 19600229     3.0
19600301 19600331    84.8
19600401 19600430    13.3
19600501 19600531    93.2
19600601 19600630    49.5
19600701 19600731   168.5
19600801 19600831    37.3
19600901 19600930    37.4
19601001 19601031     4.1
19601101 19601130     5.3
19601201 19601231     0.0
19610101 19610131    18.8
19610201 19610228     3.6
19610301 19610331    29.9
19610401 19610430    42.8
19610501 19610531     5.8
19610601 19610630   118.6
19610701 19610731    94.3
19610801 19610831    78.2
19610901 19610930    18.5
19611001 19611031    15.6
19611101 19611130     0.5
19611201 19611231     8.7
19620101 19620131    33.5
19620201 19620228     8.4
19620301 19620331     0.0
19620401 19620430     2.6
19620501 19620531    99.2
19620601 19620630    96.1
19620701 19620731    72.7
19620801 19620831    60.5
19620901 19620930    34.5
19621001 19621031    48.3
19621101 19621130    36.6
19621201 19621231     8.4
19630101 19630131     5.1
19630201 19630228    18.6
19630301 19630331    23.7
19630401 19630430    29.3
19630501 19630531   128.4
19630601 19630630   130.1
19630701 19630731   115.4
19630801 19630831   116.2
19630901 19630930    62.7
19631001 19631031    26.8
19631101 19631130    25.7
19631201 19631231     0.0
19640101 19640131     0.0
19640201 19640229     3.1
19640301 19640331     5.1
19640401 19640430    61.3
19640501 19640531    30.8
19640601 19640630   232.8
19640701 19640731   189.3
19640801 19640831    97.4
19640901 19640930    29.5
19641001 19641031    40.7
19641101 19641130     4.1
19641201 19641231    15.0
19650101 19650131     1.3
19650201 19650228     6.9
19650301 19650331     8.2
19650401 19650430     7.4
19650501 19650531    80.8
19650601 19650630   115.1
19650701 19650731    51.0
19650801 19650831   104.9
19650901 19650930    42.5
19651001 19651031    63.8
19651101 19651130    74.7
19651201 19651231    45.7
19660101 19660131     1.8
19660201 19660228     5.4
19660301 19660331     4.9
19660401 19660430    24.2
19660501 19660531    35.5
19660601 19660630   116.1
19660701 19660731   120.9
19660801 19660831    38.6
19660901 19660930    52.7
19661001 19661031    38.4
19661101 19661130     3.3
19661201 19661231    17.2
19670101 19670131     0.8
19670201 19670228    12.4
19670301 19670331     8.9
19670401 19670430    51.0
19670501 19670531   129.4
19670601 19670630   163.5
19670701 19670731   109.6
19670801 19670831    45.2
19670901 19670930    20.8
19671001 19671031    17.7
19671101 19671130     7.9
19671201 19671231     4.1
19680101 19680131    10.7
19680201 19680229    29.7
19680301 19680331    75.3
19680401 19680430    58.1
19680501 19680531    73.2
19680601 19680630   144.6
19680701 19680731    50.3
19680801 19680831    50.3
19680901 19680930    73.7
19681001 19681031    25.0
19681101 19681130     5.6
19681201 19681231     0.0
19690101 19690131     2.1
19690201 19690228     0.0
19690301 19690331    15.0
19690401 19690430    34.6
19690501 19690531    48.3
19690601 19690630    88.4
19690701 19690731    32.8
19690801 19690831    32.2
19690901 19690930    19.9
19691001 19691031     1.8
19691101 19691130    16.5
19691201 19691231     7.9
19700101 19700131     0.0
19700201 19700228    52.5
19700301 19700331     3.1
19700401 19700430    35.5
19700501 19700531    64.4
19700601 19700630   152.8
19700701 19700731    40.6
19700801 19700831    45.8
19700901 19700930    58.0
19701001 19701031    41.8
19701101 19701130    23.9
19701201 19701231     2.3
19710101 19710131    21.3
19710201 19710228    46.0
19710301 19710331    70.9
19710401 19710430     7.3
19710501 19710531    64.0
19710601 19710630    49.9
19710701 19710731    65.4
19710801 19710831    55.2
19710901 19710930    83.0
19711001 19711031    36.8
19711101 19711130    20.5
19711201 19711231     0.3
19720101 19720131     0.0
19720201 19720229     8.2
19720301 19720331     0.0
19720401 19720430     7.4
19720501 19720531    20.3
19720601 19720630    73.2
19720701 19720731    80.3
19720801 19720831    90.4
19720901 19720930    14.5
19721001 19721031    19.5
19721101 19721130    28.5
19721201 19721231     0.0
19730101 19730131    27.3
19730201 19730228     0.0
19730301 19730331     2.0
19730401 19730430    30.8
19730501 19730531    65.1
19730601 19730630   117.9
19730701 19730731    80.4
19730801 19730831    79.8
19730901 19730930    91.6
19731001 19731031    20.1
19731101 19731130    12.3
19731201 19731231     0.0
19740101 19740131     0.0
19740201 19740228     0.0
19740301 19740331     4.2
19740401 19740430    67.4
19740501 19740531   146.2
19740601 19740630    49.6
19740701 19740731   136.8
19740801 19740831    70.2
19740901 19740930    32.7
19741001 19741031    53.8
19741101 19741130    26.0
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228     0.0
19750301 19750331     9.9
19750401 19750430    60.4
19750501 19750531    71.4
19750601 19750630    73.5
19750701 19750731   100.9
19750801 19750831    33.7
19750901 19750930    33.5
19751001 19751031    31.5
19751101 19751130    12.6
19751201 19751231     0.0
19760101 19760131    34.8
19760201 19760229    81.6
19760301 19760331    14.2
19760401 19760430    62.4
19760501 19760531    43.1
19760601 19760630    29.2
19760701 19760731    41.3
19760801 19760831    87.1
19760901 19760930    32.6
19761001 19761031    26.4
19761101 19761130    30.9
19761201 19761231     2.0
19770101 19770131     2.4
19770201 19770228     2.8
19770301 19770331     1.2
19770401 19770430     9.2
19770501 19770531    57.6
19770601 19770630    41.8
19770701 19770731    40.5
19770801 19770831    92.6
19770901 19770930    23.4
19771001 19771031   106.9
19771101 19771130    12.8
19771201 19771231    16.0
19780101 19780131    10.6
19780201 19780228    33.4
19780301 19780331     9.4
19780401 19780430    10.6
19780501 19780531    57.2
19780601 19780630   101.0
19780701 19780731   137.6
19780801 19780831    30.8
19780901 19780930    49.7
19781001 19781031    28.6
19781101 19781130    10.7
19781201 19781231    21.2
19790101 19790131     1.7
19790201 19790228    30.3
19790301 19790331    10.6
19790401 19790430    15.8
19790501 19790531    34.4
19790601 19790630    69.8
19790701 19790731    57.8
19790801 19790831    43.6
19790901 19790930    31.2
19791001 19791031    10.8
19791101 19791130    28.8
19791201 19791231     0.6
19800101 19800131     0.0
19800201 19800229    57.2
19800301 19800331     0.6
19800401 19800430    74.0
19800501 19800531    57.6
19800601 19800630    75.0
19800701 19800731    57.4
19800801 19800831    63.2
19800901 19800930    29.2
19801001 19801031    59.0
19801101 19801130     7.0
19801201 19801231    76.2
19810101 19810131     2.2
19810201 19810228    22.4
19810301 19810331     6.6
19810401 19810430    23.2
19810501 19810531    87.4
19810601 19810630    68.8
19810701 19810731    76.6
19810801 19810831    80.0
19810901 19810930    30.4
19811001 19811031    18.2
19811101 19811130    51.8
19811201 19811231     6.6
19820101 19820131   163.6
19820201 19820228     1.8
19820301 19820331    16.8
19820401 19820430     0.0
19820501 19820531    18.0
19820601 19820630    78.8
19820701 19820731    54.6
19820801 19820831    63.4
19820901 19820930    70.2
19821001 19821031    36.8
19821101 19821130    42.0
19821201 19821231     9.2
19830101 19830131     0.0
19830201 19830228    11.8
19830301 19830331     0.4
19830401 19830430    10.8
19830501 19830531    27.8
19830601 19830630   216.0
19830701 19830731   108.8
19830801 19830831    89.4
19830901 19830930    89.0
19831001 19831031     6.6
19831101 19831130    58.4
19831201 19831231    25.8
19840101 19840131     0.0
19840201 19840229     4.4
19840301 19840331    22.4
19840401 19840430    33.2
19840501 19840531   119.4
19840601 19840630    68.0
19840701 19840731    36.2
19840801 19840831    42.0
19840901 19840930    63.6
19841001 19841031    18.6
19841101 19841130    54.6
19841201 19841231     9.0
19850101 19850131     0.0
19850201 19850228     9.4
19850301 19850331    12.2
19850401 19850430    36.8
19850501 19850531    20.8
19850601 19850630    64.6
19850701 19850731   142.0
19850801 19850831    85.6
19850901 19850930    20.8
19851001 19851031    14.6
19851101 19851130    24.2
19851201 19851231     0.8
19860101 19860131     2.2
19860201 19860228    59.4
19860301 19860331    11.4
19860401 19860430     5.0
19860501 19860531    53.4
19860601 19860630    87.2
19860701 19860731    47.4
19860801 19860831    61.6
19860901 19860930    16.4
19861001 19861031    15.4
19861101 19861130    24.8
19861201 19861231     3.8
19870101 19870131     0.4
19870201 19870228     0.0
19870301 19870331     8.0
19870401 19870430    56.8
19870501 19870531    22.6
19870601 19870630    41.4
19870701 19870731   142.6
19870801 19870831    47.0
19870901 19870930    39.2
19871001 19871031    10.0
19871101 19871130    29.0
19871201 19871231    18.8
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331    13.0
19880401 19880430    33.6
19880501 19880531    71.0
19880601 19880630    92.6
19880701 19880731   105.2
19880801 19880831    57.6
19880901 19880930    71.2
19881001 19881031    22.2
19881101 19881130    19.4
19881201 19881231    79.0
19890101 19890131    14.0
19890201 19890228    28.0
19890301 19890331     0.4
19890401 19890430    27.0
19890501 19890531   107.4
19890601 19890630    40.8
19890701 19890731    64.6
19890801 19890831    60.8
19890901 19890930    26.2
19891001 19891031    47.4
19891101 19891130     1.4
19891201 19891231     2.8
19900101 19900131   135.0
19900201 19900228     6.8
19900301 19900331    19.2
19900401 19900430    46.4
19900501 19900531    45.6
19900601 19900630    25.4
19900701 19900731   132.6
19900801 19900831    46.6
19900901 19900930    34.4
19901001 19901031    37.0
19901101 19901130     3.8
19901201 19901231     4.6
19910101 19910131     0.0
19910201 19910228    28.8
19910301 19910331     0.4
19910401 19910430    46.0
19910501 19910531    32.8
19910601 19910630    85.0
19910701 19910731   104.2
19910801 19910831    65.0
19910901 19910930    56.0
19911001 19911031    24.0
19911101 19911130    24.0
19911201 19911231    13.2
19920101 19920131    10.8
19920201 19920229    36.2
19920301 19920331    68.4
19920401 19920430    40.2
19920501 19920531    42.2
19920601 19920630   124.0
19920701 19920731    59.4
19920801 19920831   109.0
19920901 19920930    50.2
19921001 19921031     9.6
19921101 19921130    51.4
19921201 19921231    13.0
19930101 19930131     0.6
19930201 19930228    41.4
19930301 19930331    44.0
19930401 19930430     3.2
19930501 19930531    78.0
19930601 19930630    67.0
19930701 19930731    73.0
19930801 19930831    64.0
19930901 19930930    61.4
19931001 19931031     8.0
19931101 19931130    55.8
19931201 19931231     3.2
19940101 19940131     0.0
19940201 19940228     0.0
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531   101.6
19940601 19940630    70.2
19940701 19940731    54.0
19940801 19940831    70.4
19940901 19940930    31.0
19941001 19941031    16.0
19941101 19941130    10.0
19941201 19941231     0.0
19950101 19950131     4.4
19950201 19950228     3.0
19950301 19950331     1.8
19950401 19950430     7.4
19950501 19950531    77.0
19950601 19950630    79.2
19950701 19950731   131.6
19950801 19950831    34.8
19950901 19950930    57.8
19951001 19951031    51.6
19951101 19951130     6.4
19951201 19951231    22.8
19960101 19960131     0.0
19960201 19960229     0.0
19960301 19960331     4.8
19960401 19960430    12.4
