PRCP       025015 19060801 20171130 missing_value=99999.9 PINNAROO                                  
19541201 19541231    65.5
19550101 19550131    20.4
19550201 19550228    53.0
19550301 19550331    10.4
19550401 19550430     5.4
19550501 19550531    67.0
19550601 19550630    79.4
19550701 19550731    22.4
19550801 19550831    44.2
19550901 19550930    34.5
19551001 19551031    35.6
19551101 19551130    22.1
19551201 19551231     9.3
19560101 19560131     7.3
19560201 19560229    13.0
19560301 19560331    57.5
19560401 19560430    27.4
19560501 19560531    90.7
19560601 19560630    37.6
19560701 19560731    55.5
19560801 19560831    36.7
19560901 19560930    37.3
19561001 19561031    81.0
19561101 19561130    22.7
19561201 19561231     2.0
19570101 19570131     0.3
19570201 19570228    15.7
19570301 19570331     8.2
19570401 19570430    10.4
19570501 19570531    16.4
19570601 19570630    18.0
19570701 19570731    29.3
19570801 19570831    39.5
19570901 19570930    14.6
19571001 19571031    24.8
19571101 19571130     9.6
19571201 19571231     1.6
19580101 19580131     4.9
19580201 19580228     0.8
19580301 19580331    11.7
19580401 19580430    10.7
19580501 19580531    45.3
19580601 19580630     2.8
19580701 19580731    45.8
19580801 19580831    57.7
19580901 19580930    30.9
19581001 19581031    44.8
19581101 19581130    39.2
19581201 19581231     3.8
19590101 19590131     1.8
19590201 19590228    16.8
19590301 19590331    34.8
19590401 19590430     0.5
19590501 19590531    12.7
19590601 19590630     5.4
19590701 19590731    11.4
19590801 19590831    24.2
19590901 19590930    21.3
19591001 19591031    43.9
19591101 19591130    13.5
19591201 19591231    14.0
19600101 19600131    29.5
19600201 19600229    41.1
19600301 19600331     2.9
19600401 19600430    31.4
19600501 19600531    48.5
19600601 19600630    14.6
19600701 19600731    35.9
19600801 19600831    18.5
19600901 19600930    60.3
19601001 19601031    13.4
19601101 19601130    46.2
19601201 19601231    13.5
19610101 19610131     0.0
19610201 19610228    16.7
19610301 19610331     7.9
19610401 19610430    68.5
19610501 19610531     9.7
19610601 19610630    26.1
19610701 19610731    43.4
19610801 19610831    20.7
19610901 19610930    32.9
19611001 19611031    10.6
19611101 19611130    44.9
19611201 19611231    28.4
19620101 19620131    36.1
19620201 19620228     2.3
19620301 19620331    18.6
19620401 19620430     2.6
19620501 19620531    31.7
19620601 19620630    28.5
19620701 19620731    12.8
19620801 19620831    21.3
19620901 19620930    27.6
19621001 19621031    25.1
19621101 19621130     5.8
19621201 19621231    62.6
19630101 19630131    48.8
19630201 19630228     5.6
19630301 19630331     1.9
19630401 19630430    37.6
19630501 19630531    47.9
19630601 19630630   107.7
19630701 19630731    35.5
19630801 19630831    46.9
19630901 19630930    19.3
19631001 19631031    10.1
19631101 19631130     3.3
19631201 19631231     3.6
19640101 19640131    10.5
19640201 19640229     2.6
19640301 19640331     6.7
19640401 19640430    41.7
19640501 19640531    16.0
19640601 19640630    20.4
19640701 19640731    33.8
19640801 19640831    26.6
19640901 19640930   105.4
19641001 19641031    49.5
19641101 19641130    51.1
19641201 19641231    33.4
19650101 19650131     0.5
19650201 19650228     0.0
19650301 19650331     8.2
19650401 19650430    14.0
19650501 19650531    28.5
19650601 19650630    14.5
19650701 19650731    39.4
19650801 19650831    50.2
19650901 19650930    25.4
19651001 19651031     1.5
19651101 19651130    33.4
19651201 19651231    13.4
19660101 19660131    14.8
19660201 19660228    31.6
19660301 19660331     7.4
19660401 19660430     5.4
19660501 19660531    25.3
19660601 19660630    14.9
19660701 19660731    61.2
19660801 19660831    12.6
19660901 19660930    23.7
19661001 19661031    24.7
19661101 19661130     7.4
19661201 19661231    69.6
19670101 19670131     0.0
19670201 19670228    39.1
19670301 19670331     4.1
19670401 19670430     0.0
19670501 19670531    17.3
19670601 19670630     7.1
19670701 19670731    30.4
19670801 19670831    26.9
19670901 19670930    20.1
19671001 19671031    10.0
19671101 19671130     0.0
19671201 19671231    15.5
19680101 19680131    34.5
19680201 19680229    15.5
19680301 19680331    34.6
19680401 19680430    29.5
19680501 19680531    62.3
19680601 19680630    45.9
19680701 19680731    35.0
19680801 19680831    46.4
19680901 19680930    14.1
19681001 19681031    49.4
19681101 19681130    28.2
19681201 19681231    25.9
19690101 19690131     1.6
19690201 19690228   163.8
19690301 19690331    65.5
19690401 19690430     8.2
19690501 19690531    48.0
19690601 19690630     7.2
19690701 19690731    51.3
19690801 19690831    14.4
19690901 19690930    36.6
19691001 19691031     0.0
19691101 19691130    15.0
19691201 19691231    28.5
19700101 19700131    15.6
19700201 19700228     2.1
19700301 19700331    11.1
19700401 19700430    62.9
19700501 19700531    19.4
19700601 19700630    31.7
19700701 19700731    12.5
19700801 19700831    36.6
19700901 19700930    39.8
19701001 19701031    12.0
19701101 19701130    68.9
19701201 19701231    26.9
19710101 19710131     0.0
19710201 19710228     4.6
19710301 19710331    20.9
19710401 19710430    77.0
19710501 19710531    61.9
19710601 19710630    40.7
19710701 19710731     8.3
19710801 19710831    51.1
19710901 19710930    41.2
19711001 19711031    16.7
19711101 19711130    43.7
19711201 19711231     7.7
19720101 19720131    22.1
19720201 19720229    11.5
19720301 19720331     0.0
19720401 19720430    25.1
19720501 19720531    17.6
19720601 19720630     6.1
19720701 19720731    33.5
19720801 19720831    39.1
19720901 19720930    19.9
19721001 19721031    10.4
19721101 19721130    26.5
19721201 19721231     5.1
19730101 19730131    11.5
19730201 19730228   127.2
19730301 19730331    18.1
19730401 19730430    33.3
19730501 19730531    28.4
19730601 19730630    48.0
19730701 19730731    67.2
19730801 19730831    37.7
19730901 19730930    24.9
19731001 19731031   166.0
19731101 19731130    27.9
19731201 19731231    13.0
19740101 19740131   130.4
19740201 19740228    20.8
19740301 19740331    22.3
19740401 19740430    58.0
19740501 19740531    46.4
19740601 19740630    11.4
19740701 19740731    61.6
19740801 19740831    41.0
19740901 19740930    60.8
19741001 19741031    68.4
19741101 19741130     3.4
19741201 19741231     1.2
19750101 19750131     3.8
19750201 19750228     0.2
19750301 19750331    25.8
19750401 19750430     5.7
19750501 19750531    27.4
19750601 19750630     9.4
19750701 19750731    45.8
19750801 19750831    24.2
19750901 19750930    48.3
19751001 19751031   150.0
19751101 19751130    12.8
19751201 19751231    13.8
19760101 19760131    10.2
19760201 19760229    13.6
19760301 19760331     4.2
19760401 19760430     9.2
19760501 19760531     1.4
19760601 19760630    24.0
19760701 19760731    22.6
19760801 19760831    23.2
19760901 19760930    35.4
19761001 19761031    46.2
19761101 19761130    47.0
19761201 19761231    18.4
19770101 19770131     7.4
19770201 19770228     7.2
19770301 19770331    21.8
19770401 19770430     6.2
19770501 19770531    32.8
19770601 19770630    32.8
19770701 19770731    14.4
19770801 19770831    11.6
19770901 19770930    21.6
19771001 19771031    25.0
19771101 19771130    35.6
19771201 19771231     6.0
19780101 19780131    23.0
19780201 19780228     0.0
19780301 19780331    23.4
19780401 19780430    11.2
19780501 19780531    26.6
19780601 19780630    56.8
19780701 19780731    90.4
19780801 19780831    63.0
19780901 19780930    34.4
19781001 19781031    42.0
19781101 19781130    75.6
19781201 19781231     7.4
19790101 19790131    57.0
19790201 19790228    35.8
19790301 19790331    12.8
19790401 19790430    21.4
19790501 19790531    50.2
19790601 19790630    19.2
19790701 19790731    13.4
19790801 19790831    29.8
19790901 19790930    79.4
19791001 19791031    44.8
19791101 19791130    44.8
19791201 19791231     8.4
19800101 19800131     0.6
19800201 19800229     0.0
19800301 19800331    10.8
19800401 19800430    42.4
19800501 19800531    29.2
19800601 19800630    52.4
19800701 19800731    41.0
19800801 19800831    21.0
19800901 19800930     8.8
19801001 19801031    62.8
19801101 19801130     9.2
19801201 19801231     4.4
19810101 19810131     4.0
19810201 19810228    23.8
19810301 19810331     4.4
19810401 19810430     0.4
19810501 19810531    35.4
19810601 19810630    83.6
19810701 19810731    65.6
19810801 19810831    63.8
19810901 19810930    26.2
19811001 19811031    29.8
19811101 19811130    28.8
19811201 19811231     4.4
19820101 19820131    17.0
19820201 19820228    12.4
19820301 19820331    15.6
19820401 19820430    26.8
19820501 19820531     9.2
19820601 19820630    37.6
19820701 19820731     2.0
19820801 19820831    10.2
19820901 19820930     4.8
19821001 19821031     3.6
19821101 19821130     0.0
19821201 19821231     5.0
19830101 19830131     6.0
19830201 19830228     0.0
19830301 19830331    83.6
19830401 19830430    45.2
19830501 19830531    31.6
19830601 19830630    17.0
19830701 19830731    34.4
19830801 19830831    50.6
19830901 19830930    44.8
19831001 19831031    30.6
19831101 19831130    17.0
19831201 19831231    28.2
19840101 19840131    43.6
19840201 19840229     3.6
19840301 19840331    13.4
19840401 19840430     7.2
19840501 19840531    16.4
19840601 19840630     2.8
19840701 19840731    48.2
19840801 19840831    87.2
19840901 19840930    29.0
19841001 19841031    11.4
19841101 19841130    27.4
19841201 19841231     4.8
19850101 19850131     7.0
19850201 19850228    11.8
19850301 19850331     6.4
19850401 19850430    10.8
19850501 19850531    27.8
19850601 19850630    26.8
19850701 19850731    12.2
19850801 19850831    86.2
19850901 19850930    18.4
19851001 19851031    55.0
19851101 19851130    21.0
19851201 19851231    22.2
19860101 19860131     0.8
19860201 19860228     0.0
19860301 19860331     0.0
19860401 19860430    26.0
19860501 19860531    29.4
19860601 19860630    12.4
19860701 19860731    64.7
19860801 19860831    78.2
19860901 19860930    45.0
19861001 19861031    53.8
19861101 19861130    21.8
19861201 19861231    44.8
19870101 19870131    15.6
19870201 19870228    34.8
19870301 19870331    13.4
19870401 19870430    17.6
19870501 19870531    32.4
19870601 19870630    47.8
19870701 19870731    35.4
19870801 19870831    30.2
19870901 19870930     5.8
19871001 19871031    43.8
19871101 19871130     4.4
19871201 19871231    43.4
19880101 19880131    19.0
19880201 19880229    20.0
19880301 19880331     8.0
19880401 19880430     8.4
19880501 19880531    44.8
19880601 19880630    57.6
19880701 19880731    23.8
19880801 19880831    12.8
19880901 19880930    40.8
19881001 19881031    12.6
19881101 19881130    38.8
19881201 19881231    12.9
19890101 19890131    10.1
19890201 19890228     8.4
19890301 19890331    12.4
19890401 19890430     0.9
19890501 19890531    31.8
19890601 19890630    42.7
19890701 19890731    41.4
19890801 19890831    40.3
19890901 19890930    31.3
19891001 19891031     9.8
19891101 19891130     9.6
19891201 19891231    21.0
19900101 19900131     8.2
19900201 19900228    14.0
19900301 19900331    10.0
19900401 19900430    13.8
19900501 19900531    14.2
19900601 19900630    33.8
19900701 19900731    43.9
19900801 19900831    39.4
19900901 19900930    20.0
19901001 19901031    12.2
19901101 19901130    19.8
19901201 19901231    12.8
19910101 19910131    32.0
19910201 19910228     0.0
19910301 19910331     6.6
19910401 19910430    15.8
19910501 19910531     1.0
19910601 19910630    49.4
19910701 19910731    77.3
19910801 19910831    44.2
19910901 19910930    27.2
19911001 19911031     0.4
19911101 19911130    21.3
19911201 19911231     0.8
19920101 19920131     7.4
19920201 19920229     8.0
19920301 19920331    19.0
19920401 19920430    50.2
19920501 19920531    36.4
19920601 19920630    24.8
19920701 19920731    22.0
19920801 19920831    75.4
19920901 19920930    79.8
19921001 19921031    44.8
19921101 19921130    54.6
19921201 19921231    71.6
19930101 19930131    27.8
19930201 19930228     5.4
19930301 19930331     5.9
19930401 19930430     0.6
19930501 19930531    26.8
19930601 19930630    13.6
19930701 19930731    48.2
19930801 19930831    27.0
19930901 19930930    83.0
19931001 19931031    38.4
19931101 19931130    33.8
19931201 19931231    15.4
19940101 19940131     7.0
19940201 19940228    15.6
19940301 19940331     0.0
19940401 19940430     0.2
19940501 19940531     9.0
19940601 19940630    72.8
19940701 19940731    19.6
19940801 19940831    16.0
19940901 19940930    23.6
19941001 19941031    13.4
19941101 19941130    19.0
19941201 19941231     1.8
19950101 19950131    24.4
19950201 19950228    29.2
19950301 19950331     0.8
19950401 19950430    44.2
19950501 19950531    35.4
19950601 19950630    68.6
19950701 19950731    71.4
19950801 19950831    10.6
19950901 19950930    18.8
19951001 19951031    52.2
19951101 19951130     3.2
19951201 19951231     3.4
19960101 19960131    34.0
19960201 19960229    13.6
19960301 19960331    25.6
19960401 19960430    10.4
19960501 19960531    14.2
19960601 19960630    45.6
19960701 19960731    53.6
19960801 19960831    60.5
19960901 19960930    50.6
19961001 19961031    19.2
19961101 19961130     3.8
19961201 19961231    10.4
19970101 19970131    36.4
19970201 19970228    22.4
19970301 19970331     5.6
19970401 19970430     0.0
19970501 19970531    22.8
19970601 19970630    10.4
19970701 19970731    12.6
19970801 19970831    36.0
19970901 19970930    53.8
19971001 19971031    28.6
19971101 19971130    17.0
19971201 19971231    15.8
19980101 19980131    19.2
19980201 19980228    25.6
19980301 19980331     6.2
19980401 19980430    55.4
19980501 19980531    15.2
19980601 19980630    29.2
19980701 19980731    37.8
19980801 19980831    26.2
