PRCP       051033 19230101 20171231 missing_value=99999.9 NYNGAN (MUDALL)                           
19940601 19940630    15.8
19940701 19940731    11.4
19940801 19940831    12.4
19940901 19940930    10.0
19941001 19941031    14.7
19941101 19941130    14.2
19941201 19941231     7.0
19950101 19950131   304.3
19950201 19950228     1.8
19950301 19950331     0.0
19950401 19950430     0.0
19950501 19950531    77.2
19950601 19950630    16.4
19950701 19950731    12.2
19950801 19950831     1.0
19950901 19950930    19.8
19951001 19951031    18.2
19951101 19951130    79.0
19951201 19951231     6.2
19960101 19960131    27.8
19960201 19960229     2.0
19960301 19960331     0.0
19960401 19960430    16.6
19960501 19960531   194.6
19960601 19960630    24.2
19960701 19960731    55.2
19960801 19960831    22.0
19960901 19960930    20.2
19961001 19961031    27.8
19961101 19961130     7.2
19961201 19961231    34.4
19970101 19970131    38.0
19970201 19970228    43.4
19970301 19970331     3.4
19970401 19970430     2.6
19970501 19970531    53.0
19970601 19970630     5.6
19970701 19970731     3.2
19970801 19970831     9.4
19970901 19970930    91.0
19971001 19971031    23.0
19971101 19971130    10.8
19971201 19971231    38.8
19980101 19980131    72.4
19980201 19980228    32.0
19980301 19980331     0.0
19980401 19980430    40.2
19980501 19980531     8.4
19980601 19980630    31.4
19980701 19980731   101.2
19980801 19980831   107.0
19980901 19980930   114.2
19981001 19981031    28.0
19981101 19981130    44.8
19981201 19981231     7.8
19990101 19990131    58.0
19990201 19990228    40.2
19990301 19990331   110.0
19990401 19990430    55.8
19990501 19990531     5.8
19990601 19990630    30.2
19990701 19990731    45.0
19990801 19990831    27.6
19990901 19990930    22.2
19991001 19991031    88.0
19991101 19991130    73.8
19991201 19991231   127.2
20000101 20000131    47.2
20000201 20000229    32.8
20000301 20000331   116.8
20000401 20000430    71.2
20000501 20000531   112.6
20000601 20000630    10.6
20000701 20000731    20.2
20000801 20000831    20.0
20000901 20000930     7.0
20001001 20001031    49.2
20001101 20001130   155.8
20001201 20001231    45.4
20010101 20010131     9.2
20010201 20010228    77.4
20010301 20010331    53.8
20010401 20010430    35.4
20010501 20010531    17.8
20010601 20010630    38.8
20010701 20010731    76.8
20010801 20010831     6.2
20010901 20010930    20.6
20011001 20011031    58.0
20011101 20011130    12.2
20011201 20011231    25.2
20020101 20020131    50.6
20020201 20020228    95.6
20020301 20020331    15.0
20020401 20020430    17.8
20020501 20020531    26.4
20020601 20020630     5.6
20020701 20020731     0.0
20020801 20020831     0.6
20020901 20020930    58.6
20021001 20021031     9.2
20021101 20021130     0.8
20021201 20021231     4.0
20030101 20030131    39.8
20030201 20030228    61.6
20030301 20030331     5.0
20030401 20030430    41.2
20030501 20030531     9.8
20030601 20030630    43.6
20030701 20030731    29.2
20030801 20030831    90.0
20030901 20030930     0.0
20031001 20031031    40.0
20031101 20031130    11.8
20031201 20031231    15.8
