PRCP       008066 19070901 20171231 missing_value=99999.9 KOKARDINE                                 
19680901 19680930    29.8
19681001 19681031    14.0
19681101 19681130     0.8
19681201 19681231     1.3
19690101 19690131     1.3
19690201 19690228     0.5
19690301 19690331     7.6
19690401 19690430    27.3
19690501 19690531    19.9
19690601 19690630    50.5
19690701 19690731    23.4
19690801 19690831    10.7
19690901 19690930    15.8
19691001 19691031     0.5
19691101 19691130     6.6
19691201 19691231     4.4
19700101 19700131     0.0
19700201 19700228    89.2
19700301 19700331     3.6
19700401 19700430    28.9
19700501 19700531    25.4
19700601 19700630    83.5
19700701 19700731    25.3
19700801 19700831    29.3
19700901 19700930    36.4
19701001 19701031    10.8
19701101 19701130    21.3
19701201 19701231    21.6
19710101 19710131     2.0
19710201 19710228     7.7
19710301 19710331   190.9
19710401 19710430    28.8
19710501 19710531    27.2
19710601 19710630    31.5
19710701 19710731    27.8
19710801 19710831    39.9
19710901 19710930    31.6
19711001 19711031    19.8
19711101 19711130     8.5
19711201 19711231     1.1
19720101 19720131     0.0
19720201 19720229    19.3
19720301 19720331     2.8
19720401 19720430     6.6
19720501 19720531    21.8
19720601 19720630    95.2
19720701 19720731    80.9
19720801 19720831    43.5
19720901 19720930    11.4
19721001 19721031     8.5
19721101 19721130     0.0
19721201 19721231     0.0
19730101 19730131     7.6
19730201 19730228     1.5
19730301 19730331     0.5
19730401 19730430     4.9
19730501 19730531    36.0
19730601 19730630    60.1
19730701 19730731    90.8
19730801 19730831    53.1
19730901 19730930    78.4
19731001 19731031    10.4
19731101 19731130    15.0
19731201 19731231     0.0
19740101 19740131     0.0
19740201 19740228     0.4
19740301 19740331    52.0
19740401 19740430    80.2
19740501 19740531    86.6
19740601 19740630    58.8
19740701 19740731    75.4
19740801 19740831    37.2
19740901 19740930    16.8
19741001 19741031    26.4
19741101 19741130     1.2
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228     4.8
19750301 19750331    32.6
19750401 19750430    29.0
19750501 19750531    43.4
19750601 19750630    34.8
19750701 19750731    72.6
19750801 19750831    26.6
19750901 19750930    22.4
19751001 19751031    58.2
19751101 19751130     1.6
19751201 19751231     5.0
19760101 19760131    10.6
19760201 19760229    15.0
19760301 19760331     0.0
19760401 19760430    24.4
19760501 19760531    33.2
19760601 19760630    25.0
19760701 19760731    14.4
19760801 19760831    46.2
19760901 19760930    25.6
19761001 19761031    15.0
19761101 19761130    15.0
19761201 19761231     0.0
19770101 19770131     1.0
19770201 19770228     2.2
19770301 19770331     5.0
19770401 19770430    19.4
19770501 19770531    41.0
19770601 19770630    36.6
19770701 19770731    19.8
19770801 19770831    54.6
19770901 19770930     8.8
19771001 19771031    19.8
19771101 19771130     2.4
19771201 19771231    32.6
19780101 19780131    30.0
19780201 19780228    61.8
19780301 19780331     0.0
19780401 19780430    23.8
19780501 19780531    18.6
19780601 19780630    24.8
19780701 19780731    84.6
19780801 19780831    15.0
19780901 19780930    30.8
19781001 19781031    18.0
19781101 19781130    12.2
19781201 19781231    45.8
19790101 19790131     2.0
19790201 19790228    21.8
19790301 19790331    16.6
19790401 19790430    21.8
19790501 19790531    28.2
19790601 19790630    62.8
19790701 19790731    23.4
19790801 19790831    47.8
19790901 19790930     7.2
19791001 19791031     2.4
19791101 19791130    25.4
19791201 19791231     0.0
19800101 19800131     3.0
19800201 19800229     4.6
19800301 19800331     0.4
19800401 19800430    33.6
19800501 19800531    35.2
19800601 19800630    28.8
19800701 19800731    50.2
19800801 19800831    26.6
19800901 19800930     6.0
19801001 19801031    15.0
19801101 19801130     1.4
19801201 19801231     3.0
19810101 19810131     4.0
19810201 19810228    21.6
19810301 19810331     0.8
19810401 19810430     8.2
19810501 19810531   100.4
19810601 19810630    52.4
19810701 19810731    48.2
19810801 19810831    43.6
19810901 19810930    11.0
19811001 19811031    22.2
19811101 19811130    31.4
19811201 19811231    37.4
19820101 19820131    77.2
19820201 19820228     6.0
19820301 19820331     3.0
19820401 19820430     0.2
19820501 19820531    32.0
19820601 19820630    72.8
19820701 19820731    15.2
19820801 19820831    56.4
19820901 19820930    40.2
19821001 19821031    19.0
19821101 19821130     6.6
19821201 19821231    10.4
19830101 19830131     0.0
19830201 19830228     0.0
19830301 19830331    11.0
19830401 19830430    10.6
19830501 19830531    23.2
19830601 19830630   102.0
19830701 19830731    61.8
19830801 19830831    44.2
19830901 19830930    41.4
19831001 19831031     2.0
19831101 19831130    53.4
19831201 19831231    35.6
19840101 19840131     0.0
19840201 19840229    10.8
19840301 19840331   102.0
19840401 19840430    80.6
19840501 19840531   107.4
19840601 19840630    16.0
19840701 19840731    42.8
19840801 19840831    17.2
19840901 19840930    19.0
19841001 19841031     9.8
19841101 19841130    18.4
19841201 19841231     6.8
19850101 19850131     0.0
19850201 19850228    43.0
19850301 19850331    27.6
19850401 19850430     3.0
19850501 19850531    95.0
19850601 19850630    22.8
19850701 19850731    84.0
19850801 19850831    60.8
19850901 19850930    31.2
19851001 19851031    13.0
19851101 19851130     3.8
19851201 19851231     5.0
19860101 19860131    12.0
19860201 19860228    45.6
19860301 19860331     6.6
19860401 19860430    10.2
19860501 19860531    48.4
19860601 19860630    74.6
19860701 19860731    54.0
19860801 19860831    42.6
19860901 19860930    11.8
19861001 19861031    18.8
19861101 19861130    22.0
19861201 19861231     1.2
19870101 19870131     0.0
19870201 19870228     0.0
19870301 19870331    11.0
19870401 19870430    37.6
19870501 19870531    44.8
19870601 19870630    37.4
19870701 19870731    47.6
19870801 19870831    30.4
19870901 19870930    10.2
19871001 19871031    30.4
19871101 19871130    23.6
19871201 19871231    33.4
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331    23.8
19880401 19880430    13.0
19880501 19880531    68.4
19880601 19880630    65.6
19880701 19880731    56.6
19880801 19880831    57.6
19880901 19880930    18.4
19881001 19881031    20.2
19881101 19881130     9.0
19881201 19881231    21.4
19890101 19890131    13.8
19890201 19890228    19.4
19890301 19890331     0.8
19890401 19890430    31.4
19890501 19890531    77.9
19890601 19890630    72.4
19890701 19890731    37.2
19890801 19890831    19.4
19890901 19890930    10.0
19891001 19891031     8.5
19891101 19891130     0.0
19891201 19891231     0.8
19900101 19900131    92.4
19900201 19900228    36.2
19900301 19900331    40.8
19900401 19900430    17.8
19900501 19900531    22.4
19900601 19900630    33.2
19900701 19900731    64.2
19900801 19900831    46.0
19900901 19900930    29.6
19901001 19901031    34.2
19901101 19901130     2.6
19901201 19901231     4.6
19910101 19910131     6.2
19910201 19910228     2.6
19910301 19910331    10.6
19910401 19910430    17.4
19910501 19910531    31.4
19910601 19910630    52.8
19910701 19910731    73.4
19910801 19910831    29.0
19910901 19910930    17.6
19911001 19911031    13.2
19911101 19911130    25.6
19911201 19911231    57.8
19920101 19920131    12.2
19920201 19920229    43.6
19920301 19920331    18.0
19920401 19920430    72.6
19920501 19920531     8.2
19920601 19920630    53.2
19920701 19920731    24.0
19920801 19920831    70.4
19920901 19920930    40.4
19921001 19921031    13.4
19921101 19921130    13.8
19921201 19921231     3.2
19930101 19930131     0.0
19930201 19930228     1.8
19930301 19930331     7.2
19930401 19930430    26.6
19930501 19930531   109.2
19930601 19930630    73.6
19930701 19930731    36.6
19930801 19930831    56.4
19930901 19930930    19.6
19931001 19931031    14.8
19931101 19931130    38.2
19931201 19931231     4.0
19940101 19940131     0.0
19940201 19940228     6.2
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531    43.0
19940601 19940630    23.8
19940701 19940731    20.2
19940801 19940831    48.8
19940901 19940930    13.8
19941001 19941031     0.6
19941101 19941130     0.0
19941201 19941231     0.4
19950101 19950131     6.6
19950201 19950228     9.6
19950301 19950331    14.2
19950401 19950430    17.0
19950501 19950531    56.0
19950601 19950630    54.6
19950701 19950731   106.6
19950801 19950831    15.2
19950901 19950930    27.8
19951001 19951031    12.4
19951101 19951130     9.6
19951201 19951231    25.0
19960101 19960131     0.0
19960201 19960229     4.2
19960301 19960331     1.2
19960401 19960430    33.4
19960501 19960531    29.6
19960601 19960630    60.6
19960701 19960731    91.2
19960801 19960831    46.0
19960901 19960930    48.6
19961001 19961031    13.4
19961101 19961130    20.4
19961201 19961231     0.0
19970101 19970131     0.0
19970201 19970228    27.2
19970301 19970331     0.0
19970401 19970430    49.0
19970501 19970531    30.2
19970601 19970630    16.2
19970701 19970731    34.0
19970801 19970831    34.2
19970901 19970930    34.6
19971001 19971031    10.0
19971101 19971130    27.2
19971201 19971231     0.4
