PRCP       010112 19070101 20180131 missing_value=99999.9 NUNGARIN POST OFFICE                      
19930101 19930131     0.1
19930201 19930228     1.7
19930301 19930331     9.9
19930401 19930430    16.2
19930501 19930531   104.6
19930601 19930630    54.5
19930701 19930731    20.7
19930801 19930831    43.9
19930901 19930930    22.6
19931001 19931031     8.1
19931101 19931130    69.0
19931201 19931231     0.2
19940101 19940131     0.0
19940201 19940228     6.8
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531    39.0
19940601 19940630    24.8
19940701 19940731    24.6
19940801 19940831    50.2
19940901 19940930    18.8
19941001 19941031     0.0
19941101 19941130     0.0
19941201 19941231    18.0
19950101 19950131    13.4
19950201 19950228    32.0
19950301 19950331    52.2
19950401 19950430    11.8
19950501 19950531    40.8
19950601 19950630    46.6
19950701 19950731    98.4
19950801 19950831    25.8
19950901 19950930    35.2
19951001 19951031    24.6
19951101 19951130     2.0
19951201 19951231    13.4
19960101 19960131     0.0
19960201 19960229     2.0
19960301 19960331    10.0
19960401 19960430    36.4
19960501 19960531    21.6
19960601 19960630    63.4
19960701 19960731    81.0
19960801 19960831    46.2
19960901 19960930    49.0
19961001 19961031    13.6
19961101 19961130    34.4
19961201 19961231     0.0
19970101 19970131     0.0
19970201 19970228    37.2
19970301 19970331    14.8
19970401 19970430    28.2
19970501 19970531    23.6
19970601 19970630    20.2
19970701 19970731    36.0
19970801 19970831    33.2
19970901 19970930    28.6
19971001 19971031     3.6
19971101 19971130    13.8
19971201 19971231     0.4
19980101 19980131     1.4
19980201 19980228     0.0
19980301 19980331     5.0
19980401 19980430    62.2
19980501 19980531    27.2
19980601 19980630    78.4
19980701 19980731    45.6
19980801 19980831    48.6
19980901 19980930    17.6
19981001 19981031     4.0
19981101 19981130     1.8
19981201 19981231    12.8
19990101 19990131    14.6
19990201 19990228     4.6
19990301 19990331   106.0
19990401 19990430    22.0
19990501 19990531    98.4
19990601 19990630    33.4
19990701 19990731    53.2
19990801 19990831    49.5
19990901 19990930    39.3
19991001 19991031    19.0
19991101 19991130     7.6
19991201 19991231    17.8
20000101 20000131    94.0
20000201 20000229     0.4
20000301 20000331    86.6
20000401 20000430    17.2
20000501 20000531     7.8
20000601 20000630    13.2
20000701 20000731    46.0
20000801 20000831    35.2
20000901 20000930    13.8
20001001 20001031     5.6
20001101 20001130     2.2
20001201 20001231     1.8
20010101 20010131   116.4
20010201 20010228    24.2
20010301 20010331     0.0
20010401 20010430     2.2
20010501 20010531    32.0
20010601 20010630    17.2
20010701 20010731    56.1
20010801 20010831    25.4
20010901 20010930    29.4
20011001 20011031    12.6
20011101 20011130    18.8
20011201 20011231     5.7
20020101 20020131    11.0
20020201 20020228     2.6
20020301 20020331     7.6
20020401 20020430    40.4
20020501 20020531     8.4
20020601 20020630    20.6
20020701 20020731    22.8
20020801 20020831    26.8
20020901 20020930    20.1
20021001 20021031    11.2
20021101 20021130    19.2
20021201 20021231    29.6
