PRCP       003030 18910101 20180131 missing_value=99999.9 BIDYADANGA                                
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     2.3
19651101 19651130     0.0
19651201 19651231     4.1
19660101 19660131    90.9
19660201 19660228   151.3
19660301 19660331    41.2
19660401 19660430    35.4
19660501 19660531     9.2
19660601 19660630    64.8
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031     0.0
19661101 19661130     2.5
19661201 19661231     0.0
19670101 19670131   151.6
19670201 19670228   202.3
19670301 19670331    83.2
19670401 19670430     0.0
19670501 19670531     3.0
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130     0.3
19671201 19671231     0.0
19680101 19680131    53.9
19680201 19680229   148.7
19680301 19680331   100.6
19680401 19680430    28.4
19680501 19680531   119.2
19680601 19680630   274.7
19680701 19680731    18.1
19680801 19680831     5.9
19680901 19680930     0.0
19681001 19681031     0.0
19681101 19681130     0.0
19681201 19681231     6.4
19690101 19690131    93.8
19690201 19690228   197.9
19690301 19690331    21.6
19690401 19690430     0.0
19690501 19690531    45.0
19690601 19690630     0.0
19690701 19690731     0.0
19690801 19690831     1.8
19690901 19690930     0.5
19691001 19691031     1.6
19691101 19691130     0.3
19691201 19691231     2.8
19700101 19700131    35.6
19700201 19700228    32.8
19700301 19700331     6.6
19700401 19700430   101.7
19700501 19700531    74.2
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930     0.0
19701001 19701031     0.0
19701101 19701130     0.5
19701201 19701231   176.8
19710101 19710131   114.5
19710201 19710228    60.4
19710301 19710331   117.0
19710401 19710430    18.5
19710501 19710531     0.0
19710601 19710630    13.2
19710701 19710731     0.0
19710801 19710831     0.0
19710901 19710930     0.0
19711001 19711031     0.0
19711101 19711130     0.0
19711201 19711231   533.1
19720101 19720131    95.3
19720201 19720229     2.1
19720301 19720331   147.8
19720401 19720430    29.2
19720501 19720531     0.0
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     0.5
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130     0.6
19721201 19721231    16.8
19730101 19730131   197.2
19730201 19730228     9.7
19730301 19730331    66.8
19730401 19730430     0.0
19730501 19730531    42.6
19730601 19730630    45.3
19730701 19730731     0.0
19730801 19730831     7.4
19730901 19730930     0.0
19731001 19731031     0.0
19731101 19731130     0.0
19731201 19731231    77.4
19740101 19740131   464.2
19740201 19740228    68.8
19740301 19740331    93.2
19740401 19740430    85.0
19740501 19740531    62.6
19740601 19740630     0.0
19740701 19740731    17.8
19740801 19740831     0.0
19740901 19740930    59.4
19741001 19741031     0.0
19741101 19741130     0.0
19741201 19741231     4.0
19750101 19750131    83.0
19750201 19750228   172.2
19750301 19750331     8.0
19750401 19750430     2.4
19750501 19750531     0.0
19750601 19750630    11.0
19750701 19750731     0.0
19750801 19750831     0.0
19750901 19750930     0.0
19751001 19751031    52.0
19751101 19751130     0.0
19751201 19751231    78.0
19760101 19760131   327.0
19760201 19760229   161.0
19760301 19760331    75.8
19760401 19760430     1.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     1.0
19760901 19760930     0.0
19761001 19761031     0.0
19761101 19761130     0.0
19761201 19761231     0.0
19770101 19770131   124.0
19770201 19770228   130.0
19770301 19770331   155.2
19770401 19770430     0.0
19770501 19770531    43.6
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     1.4
19770901 19770930     1.6
19771001 19771031     0.0
19771101 19771130     0.0
19771201 19771231    34.0
19780101 19780131   354.7
19780201 19780228   130.1
19780301 19780331    54.8
19780401 19780430    34.0
19780501 19780531   126.3
19780601 19780630     2.9
19780701 19780731    50.1
19780801 19780831     9.3
19780901 19780930     0.0
19781001 19781031     0.0
19781101 19781130     0.0
19781201 19781231     0.0
19790101 19790131     1.2
19790201 19790228    51.6
19790301 19790331   214.8
19790401 19790430     0.0
19790501 19790531    70.0
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831     1.0
19790901 19790930     0.0
19791001 19791031    14.0
19791101 19791130     0.0
19791201 19791231    45.6
19800101 19800131   147.0
19800201 19800229   251.4
19800301 19800331    22.0
19800401 19800430   119.0
19800501 19800531    10.0
19800601 19800630     0.0
19800701 19800731     3.0
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031     0.0
19801101 19801130     3.0
19801201 19801231    41.0
19810101 19810131   338.0
19810201 19810228   362.0
19810301 19810331   103.0
19810401 19810430     0.0
19810501 19810531     0.0
