PRCP       041011 19090101 20140228 missing_value=99999.9 CAMBOOYA POST OFFICE                      
19810301 19810331    63.2
19810401 19810430   121.6
19810501 19810531    25.4
19810601 19810630    56.8
19810701 19810731    35.4
19810801 19810831    26.0
19810901 19810930    15.1
19811001 19811031    14.4
19811101 19811130   101.3
19811201 19811231   201.4
19820101 19820131    64.6
19820201 19820228    90.1
19820301 19820331   103.9
19820401 19820430    55.7
19820501 19820531    23.3
19820601 19820630    27.9
19820701 19820731    13.0
19820801 19820831     7.9
19820901 19820930    55.6
19821001 19821031    61.2
19821101 19821130    21.3
19821201 19821231    82.8
19830101 19830131    36.6
19830201 19830228    15.6
19830301 19830331    86.3
19830401 19830430    80.6
19830501 19830531   229.2
19830601 19830630   129.1
19830701 19830731    43.3
19830801 19830831    35.1
19830901 19830930    39.2
19831001 19831031    98.1
19831101 19831130   121.6
19831201 19831231    77.8
19840101 19840131   128.4
19840201 19840229    59.5
19840301 19840331    25.0
19840401 19840430   145.9
19840501 19840531     5.7
19840601 19840630    39.2
19840701 19840731   129.6
19840801 19840831    26.1
19840901 19840930    44.3
19841001 19841031    17.6
19841101 19841130    65.7
19841201 19841231    75.8
19850101 19850131   100.2
19850201 19850228    23.3
19850301 19850331    23.4
19850401 19850430    62.9
19850501 19850531    36.7
19850601 19850630    46.1
19850701 19850731    32.0
19850801 19850831    51.4
19850901 19850930    30.7
19851001 19851031    95.0
19851101 19851130    61.2
19851201 19851231   146.0
19860101 19860131   112.4
19860201 19860228   140.8
19860301 19860331    10.0
19860401 19860430     4.8
19860501 19860531    80.2
19860601 19860630     6.2
19860701 19860731    53.0
19860801 19860831    26.0
19860901 19860930     7.4
19861001 19861031    83.6
19861101 19861130    93.0
19861201 19861231    81.4
19870101 19870131    59.8
19870201 19870228    10.2
19870301 19870331    41.4
19870401 19870430    12.6
19870501 19870531    44.0
19870601 19870630    20.0
19870701 19870731    32.8
19870801 19870831    30.8
19870901 19870930     7.6
19871001 19871031   126.9
19871101 19871130    16.8
19871201 19871231   147.4
19880101 19880131    86.2
19880201 19880229   117.6
19880301 19880331    48.2
19880401 19880430   290.8
19880501 19880531    21.4
19880601 19880630    50.2
19880701 19880731    65.4
19880801 19880831    75.4
19880901 19880930    37.8
19881001 19881031     8.0
19881101 19881130    30.0
19881201 19881231   148.2
19890101 19890131    95.5
19890201 19890228    49.2
19890301 19890331   130.5
19890401 19890430   111.0
19890501 19890531    47.0
19890601 19890630    19.6
19890701 19890731    26.6
19890801 19890831    23.8
19890901 19890930    10.2
19891001 19891031    76.0
19891101 19891130   106.8
19891201 19891231   139.6
19900101 19900131    51.9
19900201 19900228    90.3
19900301 19900331    46.6
19900401 19900430    77.8
19900501 19900531   131.7
19900601 19900630    24.3
19900701 19900731    25.0
19900801 19900831    17.6
19900901 19900930    46.8
19901001 19901031    30.6
19901101 19901130    29.0
19901201 19901231    35.2
19910101 19910131   181.5
19910201 19910228   151.7
19910301 19910331     8.4
19910401 19910430     0.4
19910501 19910531    23.4
19910601 19910630    12.8
19910701 19910731    34.0
19910801 19910831     0.0
19910901 19910930     3.6
19911001 19911031    31.2
19911101 19911130   112.7
19911201 19911231   110.6
19920101 19920131   104.0
19920201 19920229   146.6
19920301 19920331    37.2
19920401 19920430 99999.9
19920501 19920531    80.2
19920601 19920630 99999.9
19920701 19920731 99999.9
19920801 19920831 99999.9
19920901 19920930 99999.9
19921001 19921031 99999.9
19921101 19921130 99999.9
19921201 19921231 99999.9
19930101 19930131 99999.9
19930201 19930228 99999.9
19930301 19930331 99999.9
19930401 19930430     2.2
19930501 19930531    46.6
19930601 19930630    24.0
19930701 19930731    41.4
19930801 19930831 99999.9
19930901 19930930    36.4
19931001 19931031    72.8
19931101 19931130    48.4
19931201 19931231    83.6
19940101 19940131 99999.9
19940201 19940228   101.2
19940301 19940331   140.2
19940401 19940430 99999.9
19940501 19940531 99999.9
19940601 19940630     8.4
19940701 19940731 99999.9
19940801 19940831 99999.9
19940901 19940930 99999.9
19941001 19941031    32.8
19941101 19941130 99999.9
19941201 19941231 99999.9
19950101 19950131 99999.9
19950201 19950228 99999.9
19950301 19950331 99999.9
19950401 19950430 99999.9
19950501 19950531 99999.9
19950601 19950630 99999.9
19950701 19950731 99999.9
19950801 19950831 99999.9
19950901 19950930 99999.9
19951001 19951031 99999.9
19951101 19951130 99999.9
19951201 19951231 99999.9
19960101 19960131   221.2
19960201 19960229    41.2
19960301 19960331    16.8
19960401 19960430    21.4
19960501 19960531   291.6
19960601 19960630     6.2
19960701 19960731    30.8
19960801 19960831    41.8
19960901 19960930    13.4
19961001 19961031    37.3
19961101 19961130    79.0
19961201 19961231   132.7
19970101 19970131    21.4
19970201 19970228   129.8
19970301 19970331     2.0
19970401 19970430    16.0
19970501 19970531    41.6
19970601 19970630    10.0
19970701 19970731    11.2
19970801 19970831     3.2
19970901 19970930    64.0
