PRCP       010636 19061001 20121231 missing_value=99999.9 THE OAKS                                  
19540801 19540831    23.1
19540901 19540930    15.2
19541001 19541031     4.6
19541101 19541130    26.7
19541201 19541231     0.0
19550101 19550131     1.5
19550201 19550228   217.4
19550301 19550331    11.2
19550401 19550430    55.8
19550501 19550531    45.0
19550601 19550630    33.0
19550701 19550731    43.5
19550801 19550831   117.0
19550901 19550930    53.4
19551001 19551031    44.4
19551101 19551130     2.8
19551201 19551231     6.6
19560101 19560131     0.0
19560201 19560229     9.1
19560301 19560331    12.5
19560401 19560430    14.2
19560501 19560531    84.2
19560601 19560630    71.9
19560701 19560731    71.1
19560801 19560831    12.0
19560901 19560930    16.1
19561001 19561031    11.7
19561101 19561130    24.2
19561201 19561231     6.8
19570101 19570131    18.7
19570201 19570228     2.8
19570301 19570331     5.9
19570401 19570430    19.0
19570501 19570531    51.1
19570601 19570630    90.8
19570701 19570731    19.6
19570801 19570831    38.6
19570901 19570930     7.2
19571001 19571031    17.6
19571101 19571130     0.0
19571201 19571231     8.9
19580101 19580131     7.4
19580201 19580228    25.7
19580301 19580331     0.0
19580401 19580430     6.9
19580501 19580531    77.0
19580601 19580630    21.6
19580701 19580731   163.4
19580801 19580831    22.9
19580901 19580930    58.2
19581001 19581031    22.2
19581101 19581130    31.0
19581201 19581231    43.2
19590101 19590131     0.0
19590201 19590228     5.4
19590301 19590331    18.9
19590401 19590430    12.7
19590501 19590531    16.6
19590601 19590630    99.2
19590701 19590731    17.5
19590801 19590831    47.2
19590901 19590930    43.4
19591001 19591031    20.9
19591101 19591130    20.3
19591201 19591231    28.7
19600101 19600131    53.0
19600201 19600229     0.0
19600301 19600331    48.8
19600401 19600430    14.0
19600501 19600531    63.5
19600601 19600630    40.4
19600701 19600731   114.3
19600801 19600831    16.5
19600901 19600930    47.2
19601001 19601031     4.4
19601101 19601130     3.0
19601201 19601231     9.6
19610101 19610131    26.7
19610201 19610228    11.7
19610301 19610331     8.4
19610401 19610430    96.7
19610501 19610531    12.7
19610601 19610630    69.4
19610701 19610731    67.8
19610801 19610831    42.2
19610901 19610930    27.1
19611001 19611031    18.7
19611101 19611130     0.0
19611201 19611231     5.1
19620101 19620131    14.5
19620201 19620228     8.6
19620301 19620331     0.0
19620401 19620430     1.5
19620501 19620531    77.0
19620601 19620630    50.8
19620701 19620731    35.2
19620801 19620831    34.9
19620901 19620930    15.5
19621001 19621031    47.4
19621101 19621130    12.7
19621201 19621231     5.8
19630101 19630131     0.6
19630201 19630228    22.5
19630301 19630331    14.0
19630401 19630430    50.5
19630501 19630531    68.5
19630601 19630630    77.0
19630701 19630731    53.4
19630801 19630831    79.9
19630901 19630930    42.8
19631001 19631031    19.3
19631101 19631130    15.5
19631201 19631231     4.6
19640101 19640131     0.0
19640201 19640229     1.6
19640301 19640331     6.6
19640401 19640430    97.8
19640501 19640531    27.4
19640601 19640630   124.3
19640701 19640731   109.2
19640801 19640831    65.7
19640901 19640930    28.0
19641001 19641031    32.4
19641101 19641130     2.3
19641201 19641231     9.2
19650101 19650131     0.0
19650201 19650228     5.1
19650301 19650331     4.1
19650401 19650430     3.1
19650501 19650531    55.9
19650601 19650630    56.5
19650701 19650731    47.6
19650801 19650831    69.7
19650901 19650930    26.7
19651001 19651031    87.2
19651101 19651130    42.1
19651201 19651231    13.3
19660101 19660131     2.3
19660201 19660228     6.1
19660301 19660331     1.3
19660401 19660430    45.7
19660501 19660531    16.3
19660601 19660630    88.0
19660701 19660731    68.1
19660801 19660831    33.6
19660901 19660930    41.9
19661001 19661031    38.2
19661101 19661130     1.8
19661201 19661231     9.1
19670101 19670131     0.0
19670201 19670228    11.7
19670301 19670331    12.4
19670401 19670430    17.3
19670501 19670531   102.9
19670601 19670630    90.6
19670701 19670731    65.8
