PRCP       033082 18980101 20180131 missing_value=99999.9 STRATHMORE                                
19370601 19370630    18.5
19370701 19370731    16.3
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031    10.2
19371101 19371130    81.0
19371201 19371231    43.9
19380101 19380131   127.3
19380201 19380228    86.9
19380301 19380331    54.4
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630     0.0
19380701 19380731    56.4
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031    99.5
19381101 19381130    36.8
19381201 19381231    40.6
19390101 19390131    62.7
19390201 19390228    65.8
19390301 19390331   119.0
19390401 19390430     0.0
19390501 19390531     0.0
19390601 19390630    41.7
19390701 19390731     0.0
19390801 19390831    11.7
19390901 19390930     0.0
19391001 19391031     0.0
19391101 19391130    39.6
19391201 19391231    57.2
19400101 19400131    81.5
19400201 19400229   434.5
19400301 19400331   133.1
19400401 19400430   433.3
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831   134.7
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130    62.2
19401201 19401231    66.1
19410101 19410131   253.0
19410201 19410228     9.9
19410301 19410331   142.5
19410401 19410430    80.3
19410501 19410531    55.1
19410601 19410630    42.5
19410701 19410731     6.4
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     0.0
19411101 19411130    24.7
19411201 19411231    42.1
19420101 19420131    65.8
19420201 19420228   142.3
19420301 19420331    29.5
19420401 19420430    15.8
19420501 19420531    14.8
19420601 19420630    50.6
19420701 19420731    74.4
19420801 19420831    10.2
19420901 19420930     0.0
19421001 19421031    20.8
19421101 19421130    33.8
19421201 19421231   263.5
19430101 19430131    59.6
19430201 19430228   257.5
19430301 19430331     2.5
19430401 19430430     0.0
19430501 19430531     0.0
19430601 19430630    39.4
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930    22.3
19431001 19431031    80.6
19431101 19431130     0.0
19431201 19431231    69.8
19440101 19440131    37.8
19440201 19440229    79.2
19440301 19440331   248.8
19440401 19440430    40.5
19440501 19440531     0.0
19440601 19440630     9.1
19440701 19440731     5.6
19440801 19440831    18.8
19440901 19440930     0.0
19441001 19441031    18.0
19441101 19441130    23.4
19441201 19441231   117.0
19450101 19450131    85.3
19450201 19450228    43.4
19450301 19450331   252.0
19450401 19450430     9.7
19450501 19450531     0.0
19450601 19450630    42.9
19450701 19450731    30.8
19450801 19450831     0.0
19450901 19450930    19.3
19451001 19451031    28.7
19451101 19451130     1.8
19451201 19451231    16.8
19460101 19460131   157.3
19460201 19460228    89.2
19460301 19460331   270.8
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031    24.6
19461101 19461130    26.2
19461201 19461231    13.2
19470101 19470131    76.7
19470201 19470228   541.7
19470301 19470331   107.9
19470401 19470430     0.0
19470501 19470531    21.1
19470601 19470630     0.0
19470701 19470731     0.0
19470801 19470831     9.1
19470901 19470930    41.2
19471001 19471031     0.0
19471101 19471130    57.5
19471201 19471231    46.6
19480101 19480131    27.1
19480201 19480229    55.2
19480301 19480331    34.8
19480401 19480430    55.4
19480501 19480531     0.0
19480601 19480630     8.9
19480701 19480731     0.0
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130    27.4
19481201 19481231   123.7
19490101 19490131    96.9
19490201 19490228   195.1
19490301 19490331   166.2
19490401 19490430     0.0
19490501 19490531     0.0
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031    29.7
19491101 19491130   182.8
19491201 19491231    35.3
19500101 19500131    93.8
19500201 19500228    78.4
19500301 19500331   314.4
19500401 19500430    54.1
19500501 19500531    24.6
19500601 19500630    29.0
19500701 19500731   239.5
19500801 19500831     5.4
19500901 19500930     5.6
19501001 19501031    13.2
19501101 19501130   209.2
19501201 19501231    28.7
19510101 19510131   410.7
19510201 19510228    58.6
19510301 19510331     0.0
19510401 19510430     0.0
19510501 19510531    11.4
19510601 19510630    32.5
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031    25.4
19511101 19511130     0.0
19511201 19511231    52.8
19520101 19520131    98.1
19520201 19520229   106.7
19520301 19520331    76.0
19520401 19520430    39.9
19520501 19520531     0.0
19520601 19520630    41.1
19520701 19520731     2.5
19520801 19520831    15.7
19520901 19520930     0.0
19521001 19521031    24.4
19521101 19521130    48.3
19521201 19521231    76.1
19530101 19530131   284.0
19530201 19530228   203.8
19530301 19530331    19.4
19530401 19530430     0.0
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831    42.2
19530901 19530930     0.0
19531001 19531031     0.0
19531101 19531130    10.4
19531201 19531231   111.3
19540101 19540131   280.2
19540201 19540228   338.0
19540301 19540331   138.1
19540401 19540430   139.0
19540501 19540531     0.0
19540601 19540630    64.2
19540701 19540731    24.3
19540801 19540831     0.0
19540901 19540930     0.0
19541001 19541031     9.9
19541101 19541130    36.9
19541201 19541231   105.4
19550101 19550131   131.9
19550201 19550228   312.5
19550301 19550331   346.4
19550401 19550430    33.8
19550501 19550531   210.3
19550601 19550630     9.4
19550701 19550731     0.0
19550801 19550831     0.0
