PRCP       018033 19081001 20171231 missing_value=99999.9 GOODE                                     
19990501 19990531    12.2
19990601 19990630    14.4
19990701 19990731     9.0
19990801 19990831    11.6
19990901 19990930    41.1
19991001 19991031    46.8
19991101 19991130     9.6
19991201 19991231     6.2
20000101 20000131    48.8
20000201 20000229    22.4
20000301 20000331    23.6
20000401 20000430    14.4
20000501 20000531    19.0
20000601 20000630    25.4
20000701 20000731    33.4
20000801 20000831    83.4
20000901 20000930    24.4
20001001 20001031    31.4
20001101 20001130     6.2
20001201 20001231     3.2
20010101 20010131     4.0
20010201 20010228    12.6
20010301 20010331     0.8
20010401 20010430     5.2
20010501 20010531    35.4
20010601 20010630    42.0
20010701 20010731    22.0
20010801 20010831    37.0
20010901 20010930    85.8
20011001 20011031    17.8
20011101 20011130    36.6
20011201 20011231    44.8
20020101 20020131     6.6
20020201 20020228     0.0
20020301 20020331     1.4
20020401 20020430     7.6
20020501 20020531    26.2
20020601 20020630    47.4
20020701 20020731    33.6
20020801 20020831     9.8
20020901 20020930    23.8
20021001 20021031    12.2
20021101 20021130    14.9
20021201 20021231    14.4
20030101 20030131    13.4
20030201 20030228    18.2
20030301 20030331     4.8
20030401 20030430     3.2
20030501 20030531     5.4
20030601 20030630    27.6
20030701 20030731    26.6
20030801 20030831    64.6
20030901 20030930     1.4
20031001 20031031    39.4
20031101 20031130    11.2
20031201 20031231    55.0
20040101 20040131     1.0
20040201 20040229     1.4
20040301 20040331    11.0
20040401 20040430    20.2
20040501 20040531    14.0
20040601 20040630    47.6
20040701 20040731    46.0
20040801 20040831   103.0
20040901 20040930    28.6
20041001 20041031     2.0
20041101 20041130    13.0
20041201 20041231     7.8
