PRCP       003023 19030101 20110131 missing_value=99999.9 ROEBUCK PLAINS                            
19610201 19610228   201.1
19610301 19610331    71.4
19610401 19610430     0.0
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     6.4
19611101 19611130    15.0
19611201 19611231     4.3
19620101 19620131   340.7
19620201 19620228   572.2
19620301 19620331     6.4
19620401 19620430     0.0
19620501 19620531    16.5
19620601 19620630     0.0
19620701 19620731     0.0
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     0.0
19621101 19621130    10.2
19621201 19621231    49.8
19630101 19630131   248.4
19630201 19630228   151.5
19630301 19630331    24.9
19630401 19630430     0.0
19630501 19630531    31.7
19630601 19630630     2.8
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130     0.0
19631201 19631231    60.7
19640101 19640131   520.9
19640201 19640229    32.8
19640301 19640331    35.8
19640401 19640430     0.0
19640501 19640531    86.4
19640601 19640630     0.0
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     0.0
19641001 19641031     0.0
19641101 19641130     0.0
19641201 19641231    58.4
19650101 19650131    25.4
19650201 19650228    54.4
19650301 19650331   225.5
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630     8.2
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031    12.7
19651101 19651130     0.0
19651201 19651231    19.8
19660101 19660131   112.6
19660201 19660228    88.6
19660301 19660331    56.9
19660401 19660430    21.9
19660501 19660531    31.3
19660601 19660630    78.0
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031     0.0
19661101 19661130     0.0
19661201 19661231     8.9
19670101 19670131   220.5
19670201 19670228   341.4
19670301 19670331    89.6
19670401 19670430     0.0
19670501 19670531     0.0
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031    14.0
19671101 19671130    38.4
19671201 19671231    30.7
19680101 19680131   142.2
19680201 19680229   129.8
19680301 19680331   337.4
19680401 19680430    17.5
19680501 19680531   117.6
19680601 19680630   208.6
19680701 19680731    11.4
19680801 19680831     0.0
19680901 19680930     0.0
19681001 19681031     0.0
19681101 19681130     0.0
19681201 19681231    16.0
19690101 19690131   175.2
19690201 19690228   182.6
19690301 19690331     2.8
19690401 19690430     0.0
19690501 19690531    57.4
19690601 19690630     0.0
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031     0.0
19691101 19691130     0.0
19691201 19691231     0.0
19700101 19700131    11.7
19700201 19700228    97.5
19700301 19700331    14.5
19700401 19700430    82.8
19700501 19700531    27.1
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930     0.0
19701001 19701031     0.0
19701101 19701130    47.8
19701201 19701231   349.0
19710101 19710131    66.0
19710201 19710228   165.7
19710301 19710331   145.5
19710401 19710430    45.7
19710501 19710531     4.1
19710601 19710630    15.8
19710701 19710731     0.0
19710801 19710831     0.0
19710901 19710930     0.0
19711001 19711031     0.0
19711101 19711130     0.0
19711201 19711231   127.0
19720101 19720131    12.1
19720201 19720229    52.8
19720301 19720331   115.8
19720401 19720430    16.3
19720501 19720531     0.0
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130     4.8
19721201 19721231    49.5
19730101 19730131   332.9
19730201 19730228     7.6
19730301 19730331   152.4
19730401 19730430    64.1
19730501 19730531    12.4
19730601 19730630    43.0
19730701 19730731     2.5
19730801 19730831     0.0
19730901 19730930     0.0
19731001 19731031     0.0
19731101 19731130     2.0
19731201 19731231   112.1
19740101 19740131   974.5
19740201 19740228    93.4
19740301 19740331    73.8
19740401 19740430    68.1
19740501 19740531    70.6
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    18.0
19740901 19740930    52.2
19741001 19741031     0.0
19741101 19741130     9.8
19741201 19741231    94.6
19750101 19750131    74.6
19750201 19750228   163.4
19750301 19750331    20.8
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630    18.0
19750701 19750731     0.0
19750801 19750831     0.0
19750901 19750930     0.0
19751001 19751031    50.0
19751101 19751130     4.2
19751201 19751231   115.0
19760101 19760131   474.0
19760201 19760229   225.6
19760301 19760331   149.2
19760401 19760430     1.4
19760501 19760531     1.4
19760601 19760630     3.9
19760701 19760731     0.8
19760801 19760831     2.8
19760901 19760930     0.0
19761001 19761031     0.0
19761101 19761130     0.0
19761201 19761231    34.2
19770101 19770131    70.6
19770201 19770228   141.4
19770301 19770331   105.8
19770401 19770430     7.2
19770501 19770531    14.4
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031     0.0
19771101 19771130     0.0
19771201 19771231    68.8
19780101 19780131   696.4
19780201 19780228   197.2
19780301 19780331   117.8
19780401 19780430    13.0
19780501 19780531    60.4
19780601 19780630    11.6
19780701 19780731    14.4
19780801 19780831    20.2
19780901 19780930     0.0
19781001 19781031     0.0
19781101 19781130    28.4
19781201 19781231     1.2
19790101 19790131    15.0
19790201 19790228   113.8
19790301 19790331   160.6
19790401 19790430    15.0
19790501 19790531    60.6
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930     0.0
19791001 19791031     9.0
19791101 19791130     2.6
19791201 19791231   127.0
19800101 19800131   105.1
19800201 19800229   321.4
19800301 19800331    38.2
19800401 19800430    29.2
19800501 19800531    27.2
19800601 19800630     0.0
19800701 19800731     0.0
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031     0.0
19801101 19801130     0.0
19801201 19801231     0.0
19810101 19810131   547.0
19810201 19810228   478.6
19810301 19810331   164.0
19810401 19810430     0.0
19810501 19810531     0.0
19810601 19810630     0.0
19810701 19810731     0.0
19810801 19810831     0.0
19810901 19810930     0.0
19811001 19811031     0.0
19811101 19811130     0.0
19811201 19811231    92.0
19820101 19820131   673.0
19820201 19820228   228.9
19820301 19820331   164.2
19820401 19820430     0.0
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     0.0
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231    38.6
19830101 19830131    56.7
19830201 19830228    81.6
19830301 19830331   107.0
19830401 19830430    51.0
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     0.0
19830901 19830930     0.0
19831001 19831031     0.0
19831101 19831130    46.6
19831201 19831231    26.8
19840101 19840131   137.8
19840201 19840229   127.0
19840301 19840331   218.2
19840401 19840430     0.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731     0.0
19840801 19840831     0.0
19840901 19840930    61.4
19841001 19841031     0.0
19841101 19841130     0.0
19841201 19841231    88.5
19850101 19850131    70.2
19850201 19850228    93.1
19850301 19850331    97.2
19850401 19850430    40.0
19850501 19850531     0.0
19850601 19850630     0.0
19850701 19850731     0.0
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031     0.0
19851101 19851130     0.0
19851201 19851231    54.0
19860101 19860131   147.6
19860201 19860228    45.0
19860301 19860331    22.8
19860401 19860430    12.0
19860501 19860531     0.0
19860601 19860630    39.5
19860701 19860731     0.0
19860801 19860831     0.0
19860901 19860930     0.0
19861001 19861031     0.0
19861101 19861130     0.0
19861201 19861231     0.0
19870101 19870131   237.2
19870201 19870228   263.4
19870301 19870331     0.0
19870401 19870430    16.2
19870501 19870531     0.0
19870601 19870630     0.0
19870701 19870731     8.0
19870801 19870831     0.0
19870901 19870930     0.0
19871001 19871031     0.0
19871101 19871130     0.0
19871201 19871231    56.0
19880101 19880131     5.4
19880201 19880229   154.0
19880301 19880331    99.4
19880401 19880430     0.0
19880501 19880531    65.0
19880601 19880630     0.0
19880701 19880731     0.0
19880801 19880831     0.0
19880901 19880930     0.0
19881001 19881031     0.0
19881101 19881130    75.0
19881201 19881231   124.2
19890101 19890131    36.2
19890201 19890228    72.4
19890301 19890331   204.8
19890401 19890430    16.4
19890501 19890531 99999.9
19890601 19890630 99999.9
19890701 19890731 99999.9
19890801 19890831 99999.9
19890901 19890930 99999.9
19891001 19891031 99999.9
19891101 19891130 99999.9
19891201 19891231 99999.9
19900101 19900131   129.0
19900201 19900228    18.2
19900301 19900331    29.4
19900401 19900430     0.0
19900501 19900531     0.0
19900601 19900630     0.0
19900701 19900731     0.0
19900801 19900831     0.0
19900901 19900930     0.0
19901001 19901031     0.0
19901101 19901130    12.0
