PRCP       059019 19280101 20171231 missing_value=99999.9 THE RACECOURSE                            
19690501 19690531    98.8
19690601 19690630    72.7
19690701 19690731    16.9
19690801 19690831   189.4
19690901 19690930    31.3
19691001 19691031   127.7
19691101 19691130   101.7
19691201 19691231   106.4
19700101 19700131   227.8
19700201 19700228    96.8
19700301 19700331   120.1
19700401 19700430    50.3
19700501 19700531    13.2
19700601 19700630    27.7
19700701 19700731     1.3
19700801 19700831    37.2
19700901 19700930   119.0
19701001 19701031    53.4
19701101 19701130    84.3
19701201 19701231   205.3
19710101 19710131   273.8
19710201 19710228   339.9
19710301 19710331   167.3
19710401 19710430    93.6
19710501 19710531    26.5
19710601 19710630   130.1
19710701 19710731    54.8
19710801 19710831    40.3
19710901 19710930    75.6
19711001 19711031    18.5
19711101 19711130   139.7
19711201 19711231   190.5
19720101 19720131   222.6
19720201 19720229   147.5
19720301 19720331   165.2
19720401 19720430    36.4
19720501 19720531    76.5
19720601 19720630    53.6
19720701 19720731     3.3
19720801 19720831    28.6
19720901 19720930    59.2
19721001 19721031   334.1
19721101 19721130   133.1
19721201 19721231   136.8
19730101 19730131   123.6
19730201 19730228   177.4
19730301 19730331    46.3
19730401 19730430    31.4
19730501 19730531    72.1
19730601 19730630    24.1
19730701 19730731   396.8
19730801 19730831    15.2
19730901 19730930    33.0
19731001 19731031    80.3
19731101 19731130   121.7
19731201 19731231   196.2
19740101 19740131   432.7
19740201 19740228    63.8
19740301 19740331   337.8
19740401 19740430   166.2
19740501 19740531    63.0
19740601 19740630   183.3
19740701 19740731     9.2
19740801 19740831    63.8
19740901 19740930     9.6
19741001 19741031    85.8
19741101 19741130   128.5
19741201 19741231    90.0
19750101 19750131    83.0
19750201 19750228   104.8
19750301 19750331   170.0
19750401 19750430    51.2
19750501 19750531    33.0
19750601 19750630    62.4
19750701 19750731    22.0
19750801 19750831    13.0
19750901 19750930    91.8
19751001 19751031   102.8
19751101 19751130   360.2
19751201 19751231   197.2
19760101 19760131   179.2
19760201 19760229   264.2
19760301 19760331   194.6
19760401 19760430    54.6
19760501 19760531    47.2
