PRCP       040094 18960701 20180131 missing_value=99999.9 HARRISVILLE POST OFFICE                   
19421101 19421130    57.8
19421201 19421231   250.5
19430101 19430131   106.9
19430201 19430228    59.6
19430301 19430331    17.2
19430401 19430430    24.4
19430501 19430531    27.4
19430601 19430630    32.7
19430701 19430731     4.6
19430801 19430831    40.1
19430901 19430930    39.9
19431001 19431031   114.5
19431101 19431130    95.7
19431201 19431231   264.5
19440101 19440131   111.1
19440201 19440229    68.8
19440301 19440331    12.9
19440401 19440430     4.4
19440501 19440531    44.6
19440601 19440630    23.1
19440701 19440731    45.1
19440801 19440831    58.1
19440901 19440930    34.6
19441001 19441031    20.6
19441101 19441130    41.1
19441201 19441231    76.9
19450101 19450131    96.5
19450201 19450228   158.4
19450301 19450331    18.8
19450401 19450430    27.0
19450501 19450531    61.7
19450601 19450630   155.1
19450701 19450731    70.6
19450801 19450831    35.7
19450901 19450930    50.8
19451001 19451031    45.6
19451101 19451130    59.0
19451201 19451231    73.8
19460101 19460131   220.5
19460201 19460228   136.8
19460301 19460331   158.1
19460401 19460430    37.8
19460501 19460531     3.8
19460601 19460630     2.0
19460701 19460731     3.8
19460801 19460831     8.9
19460901 19460930   114.0
19461001 19461031    25.7
19461101 19461130    27.9
19461201 19461231    81.0
19470101 19470131   295.0
19470201 19470228   200.5
19470301 19470331   272.3
19470401 19470430    78.3
19470501 19470531    38.2
19470601 19470630    14.0
19470701 19470731     9.4
19470801 19470831     9.9
19470901 19470930    61.9
19471001 19471031    49.0
19471101 19471130    62.1
19471201 19471231   319.8
19480101 19480131    43.2
19480201 19480229    87.9
19480301 19480331    72.6
19480401 19480430    57.8
19480501 19480531    92.1
19480601 19480630   168.1
19480701 19480731    28.1
19480801 19480831    18.0
19480901 19480930    61.7
19481001 19481031     0.0
19481101 19481130    43.9
19481201 19481231    64.8
19490101 19490131    44.1
19490201 19490228   165.3
19490301 19490331   159.5
19490401 19490430     0.0
19490501 19490531     8.2
19490601 19490630    61.0
19490701 19490731    31.0
19490801 19490831     6.9
19490901 19490930    60.3
19491001 19491031   181.1
19491101 19491130    99.0
19491201 19491231    66.9
19500101 19500131   104.4
19500201 19500228   280.3
19500301 19500331    54.0
19500401 19500430    59.4
19500501 19500531    20.1
19500601 19500630   148.3
19500701 19500731   168.9
19500801 19500831    22.5
19500901 19500930    10.9
19501001 19501031   131.2
19501101 19501130   179.6
19501201 19501231    46.0
19510101 19510131   286.3
19510201 19510228    31.3
19510301 19510331    73.3
19510401 19510430    46.7
19510501 19510531    19.3
19510601 19510630    55.9
19510701 19510731     0.0
19510801 19510831    19.0
19510901 19510930    14.5
19511001 19511031    46.2
19511101 19511130     0.8
19511201 19511231    32.7
19520101 19520131    51.0
19520201 19520229    48.1
19520301 19520331    85.2
19520401 19520430   102.4
19520501 19520531    63.3
19520601 19520630    79.5
19520701 19520731     4.6
19520801 19520831    40.4
19520901 19520930    15.8
19521001 19521031   142.7
19521101 19521130    50.3
19521201 19521231    21.1
19530101 19530131   144.3
19530201 19530228   147.8
19530301 19530331   102.6
19530401 19530430    25.5
19530501 19530531    30.5
19530601 19530630     6.6
19530701 19530731     3.0
19530801 19530831    53.3
19530901 19530930     5.6
19531001 19531031    77.4
19531101 19531130    49.3
19531201 19531231   146.8
19540101 19540131   110.4
19540201 19540228   244.1
19540301 19540331    44.4
19540401 19540430    81.8
19540501 19540531    32.6
19540601 19540630    21.9
19540701 19540731   152.2
19540801 19540831    76.5
19540901 19540930    60.7
19541001 19541031   152.2
19541101 19541130    59.4
19541201 19541231    63.8
19550101 19550131    96.2
19550201 19550228    77.9
19550301 19550331   192.1
19550401 19550430    85.8
19550501 19550531   111.7
19550601 19550630    36.3
19550701 19550731    45.6
19550801 19550831    10.2
19550901 19550930    59.4
19551001 19551031    96.5
19551101 19551130    33.8
19551201 19551231   153.5
19560101 19560131   129.8
19560201 19560229   335.7
19560301 19560331   105.7
19560401 19560430   106.0
19560501 19560531   106.7
19560601 19560630    80.3
19560701 19560731    24.7
19560801 19560831     2.3
19560901 19560930     9.2
19561001 19561031    33.8
19561101 19561130    44.5
19561201 19561231   190.5
19570101 19570131    36.8
19570201 19570228    92.6
19570301 19570331    70.7
19570401 19570430     5.6
19570501 19570531     0.3
19570601 19570630    26.2
19570701 19570731    66.5
19570801 19570831    18.6
19570901 19570930     6.3
19571001 19571031    37.5
19571101 19571130    22.8
19571201 19571231    12.1
19580101 19580131    43.8
19580201 19580228   162.3
19580301 19580331    88.7
19580401 19580430    52.9
19580501 19580531     8.4
19580601 19580630   119.3
19580701 19580731     4.3
19580801 19580831    27.9
19580901 19580930    49.0
19581001 19581031    52.6
19581101 19581130    15.8
19581201 19581231   232.4
19590101 19590131   178.8
19590201 19590228    86.5
19590301 19590331    93.9
19590401 19590430    24.7
19590501 19590531    23.3
19590601 19590630     5.1
19590701 19590731    68.1
19590801 19590831     6.4
19590901 19590930    59.8
19591001 19591031   123.7
19591101 19591130   192.5
19591201 19591231   152.8
19600101 19600131    82.1
19600201 19600229   149.0
19600301 19600331    17.8
19600401 19600430    11.6
19600501 19600531    16.7
19600601 19600630    31.5
19600701 19600731    34.1
19600801 19600831    37.9
19600901 19600930     4.1
19601001 19601031    28.4
19601101 19601130   123.5
19601201 19601231    81.7
19610101 19610131    75.8
19610201 19610228   257.5
19610301 19610331    10.2
19610401 19610430    22.7
19610501 19610531    21.4
19610601 19610630    66.3
19610701 19610731    48.3
19610801 19610831    34.7
19610901 19610930    14.2
19611001 19611031   129.7
19611101 19611130   218.8
19611201 19611231   103.3
19620101 19620131   122.3
19620201 19620228    64.4
19620301 19620331   110.7
19620401 19620430    50.3
19620501 19620531    10.1
19620601 19620630    10.7
19620701 19620731   104.9
19620801 19620831    36.0
19620901 19620930    72.5
19621001 19621031    28.5
19621101 19621130    38.6
19621201 19621231   166.2
19630101 19630131    79.4
19630201 19630228    62.7
19630301 19630331   261.9
19630401 19630430    11.6
19630501 19630531   149.0
19630601 19630630     8.7
19630701 19630731     2.0
19630801 19630831    65.3
19630901 19630930    31.8
19631001 19631031    39.1
19631101 19631130    87.7
19631201 19631231   130.8
19640101 19640131   120.1
19640201 19640229   157.9
19640301 19640331   134.9
19640401 19640430    94.5
19640501 19640531    77.2
19640601 19640630    27.6
19640701 19640731    39.6
19640801 19640831    24.3
19640901 19640930   116.1
19641001 19641031    54.3
19641101 19641130    34.0
19641201 19641231   143.6
19650101 19650131    70.8
19650201 19650228    14.0
19650301 19650331     5.3
19650401 19650430    28.7
19650501 19650531    26.4
19650601 19650630    40.5
19650701 19650731   203.7
19650801 19650831    23.5
19650901 19650930    46.1
19651001 19651031    50.6
19651101 19651130    27.9
19651201 19651231   104.9
19660101 19660131    14.0
19660201 19660228    58.4
19660301 19660331   138.8
19660401 19660430    45.2
19660501 19660531     7.9
19660601 19660630   132.4
19660701 19660731     6.1
19660801 19660831   106.2
19660901 19660930    65.1
19661001 19661031    59.5
19661101 19661130   127.1
19661201 19661231    99.4
19670101 19670131   128.3
19670201 19670228    90.3
19670301 19670331   148.4
19670401 19670430    19.9
19670501 19670531    53.5
19670601 19670630   270.9
19670701 19670731    27.2
19670801 19670831    20.2
19670901 19670930     4.6
19671001 19671031    89.9
19671101 19671130    29.6
19671201 19671231    31.8
19680101 19680131   255.2
19680201 19680229    70.5
19680301 19680331    97.0
19680401 19680430    43.1
19680501 19680531    34.1
19680601 19680630     0.8
19680701 19680731    80.5
19680801 19680831    63.8
19680901 19680930    19.0
19681001 19681031    15.7
19681101 19681130    77.3
19681201 19681231   156.0
19690101 19690131    76.8
19690201 19690228    33.9
19690301 19690331    17.1
19690401 19690430    14.9
19690501 19690531   169.8
19690601 19690630    22.1
19690701 19690731    28.8
19690801 19690831    55.5
19690901 19690930    20.5
19691001 19691031   131.9
19691101 19691130    76.4
19691201 19691231    73.1
19700101 19700131   121.7
19700201 19700228    62.8
19700301 19700331   125.0
19700401 19700430    16.6
19700501 19700531    10.2
19700601 19700630    28.7
19700701 19700731    14.2
19700801 19700831    11.9
19700901 19700930    54.1
19701001 19701031   135.9
19701101 19701130    82.2
19701201 19701231   261.2
19710101 19710131   216.7
19710201 19710228   296.5
19710301 19710331    19.7
19710401 19710430     9.7
19710501 19710531    18.6
19710601 19710630     0.8
19710701 19710731    34.5
19710801 19710831    45.6
19710901 19710930    34.8
19711001 19711031    56.4
19711101 19711130   121.1
19711201 19711231   107.5
19720101 19720131   144.1
19720201 19720229    95.6
19720301 19720331    79.5
19720401 19720430    86.6
19720501 19720531    16.8
19720601 19720630    17.1
19720701 19720731     0.8
19720801 19720831    30.0
19720901 19720930    12.0
19721001 19721031   320.9
19721101 19721130    66.9
19721201 19721231    90.4
19730101 19730131   105.0
19730201 19730228   147.9
19730301 19730331    25.6
19730401 19730430     7.7
19730501 19730531    10.9
19730601 19730630    20.7
19730701 19730731   150.8
19730801 19730831    47.3
19730901 19730930    29.8
19731001 19731031    61.6
19731101 19731130   121.2
19731201 19731231   130.7
19740101 19740131   543.6
19740201 19740228    47.4
19740301 19740331   192.1
19740401 19740430    66.4
19740501 19740531    54.0
19740601 19740630    45.2
19740701 19740731     6.6
19740801 19740831    57.2
19740901 19740930    40.8
19741001 19741031    42.9
19741101 19741130   176.8
19741201 19741231    27.1
19750101 19750131   120.2
19750201 19750228   194.9
19750301 19750331   126.7
19750401 19750430    10.7
19750501 19750531     2.4
19750601 19750630    58.0
19750701 19750731    36.1
19750801 19750831    26.0
19750901 19750930    72.0
19751001 19751031    82.4
19751101 19751130   103.5
19751201 19751231   181.5
19760101 19760131    81.4
19760201 19760229   246.4
19760301 19760331    96.4
19760401 19760430    13.0
19760501 19760531    21.8
19760601 19760630     6.1
19760701 19760731    35.8
19760801 19760831     1.4
19760901 19760930    48.8
19761001 19761031    95.6
19761101 19761130   214.8
19761201 19761231    48.8
19770101 19770131    55.0
19770201 19770228   100.2
19770301 19770331   158.0
19770401 19770430    97.4
19770501 19770531    83.2
19770601 19770630     9.2
19770701 19770731     0.8
19770801 19770831     5.2
19770901 19770930     6.0
19771001 19771031    23.4
19771101 19771130    65.4
19771201 19771231    26.0
19780101 19780131    78.5
19780201 19780228    77.4
19780301 19780331   101.6
19780401 19780430    92.6
19780501 19780531    33.8
19780601 19780630    38.2
19780701 19780731    48.2
19780801 19780831    58.0
19780901 19780930    74.2
19781001 19781031    36.6
19781101 19781130   170.4
19781201 19781231   148.4
19790101 19790131    69.4
19790201 19790228    97.2
19790301 19790331    97.2
19790401 19790430    66.4
19790501 19790531    17.6
19790601 19790630    79.0
19790701 19790731    31.0
19790801 19790831     7.4
19790901 19790930     3.3
19791001 19791031    37.9
19791101 19791130   171.8
19791201 19791231   106.6
19800101 19800131   100.6
19800201 19800229    80.6
19800301 19800331     6.2
19800401 19800430    10.6
19800501 19800531   239.1
19800601 19800630     5.0
19800701 19800731    39.5
19800801 19800831    25.0
19800901 19800930     0.4
19801001 19801031    65.8
19801101 19801130    11.6
19801201 19801231   102.7
19810101 19810131   103.7
19810201 19810228   294.0
19810301 19810331    40.1
19810401 19810430    65.0
19810501 19810531    51.1
19810601 19810630    33.0
19810701 19810731    37.8
19810801 19810831    16.6
19810901 19810930     7.4
19811001 19811031    18.1
19811101 19811130   189.0
19811201 19811231   209.8
19820101 19820131   167.7
19820201 19820228    62.8
19820301 19820331    97.0
19820401 19820430    29.0
19820501 19820531    65.0
19820601 19820630     2.8
19820701 19820731     5.4
19820801 19820831     4.8
19820901 19820930    68.2
19821001 19821031    76.2
19821101 19821130    11.0
19821201 19821231   155.6
19830101 19830131    60.0
19830201 19830228    26.2
19830301 19830331    86.2
19830401 19830430    93.8
19830501 19830531   199.4
19830601 19830630   142.2
19830701 19830731    61.2
19830801 19830831    26.2
19830901 19830930    34.6
19831001 19831031   158.2
19831101 19831130   124.0
19831201 19831231   125.2
19840101 19840131    78.2
19840201 19840229    31.6
19840301 19840331    71.8
19840401 19840430   102.2
19840501 19840531     8.8
19840601 19840630    48.0
19840701 19840731    89.6
19840801 19840831    20.6
19840901 19840930    54.6
19841001 19841031    62.6
19841101 19841130    69.4
19841201 19841231    71.8
19850101 19850131   102.6
19850201 19850228    65.8
19850301 19850331    77.8
19850401 19850430    75.8
19850501 19850531    32.6
19850601 19850630    42.8
19850701 19850731    36.0
19850801 19850831    38.6
19850901 19850930    36.4
19851001 19851031    88.2
19851101 19851130    34.6
19851201 19851231   211.6
19860101 19860131    38.6
19860201 19860228   111.4
19860301 19860331    39.8
19860401 19860430     3.0
19860501 19860531    66.8
19860601 19860630     0.0
19860701 19860731    41.0
19860801 19860831    44.6
19860901 19860930    12.0
19861001 19861031    96.8
19861101 19861130    85.8
19861201 19861231   117.4
19870101 19870131   157.2
19870201 19870228    34.2
19870301 19870331    95.4
19870401 19870430    11.6
19870501 19870531    71.4
19870601 19870630    26.2
19870701 19870731    24.6
19870801 19870831    40.2
19870901 19870930     4.2
19871001 19871031   130.4
19871101 19871130    45.0
19871201 19871231   106.4
19880101 19880131    95.8
19880201 19880229    84.6
19880301 19880331    65.4
19880401 19880430   348.8
19880501 19880531    11.6
19880601 19880630    94.4
19880701 19880731    92.8
19880801 19880831    78.4
19880901 19880930    40.2
19881001 19881031    13.8
19881101 19881130    41.9
19881201 19881231    91.8
19890101 19890131   109.8
19890201 19890228    68.2
19890301 19890331    95.2
19890401 19890430   256.8
19890501 19890531   113.2
19890601 19890630    25.6
19890701 19890731    33.8
19890801 19890831    44.0
19890901 19890930     9.4
19891001 19891031    67.4
19891101 19891130   134.2
19891201 19891231   147.6
19900101 19900131    98.0
19900201 19900228   148.2
19900301 19900331   105.2
19900401 19900430   183.0
19900501 19900531   138.6
19900601 19900630    20.6
19900701 19900731    19.4
19900801 19900831     4.6
19900901 19900930    20.2
19901001 19901031    27.0
19901101 19901130    45.4
19901201 19901231    87.2
19910101 19910131   157.6
19910201 19910228    97.2
19910301 19910331    26.2
19910401 19910430     7.0
19910501 19910531    36.4
19910601 19910630    11.2
19910701 19910731    24.6
19910801 19910831     0.0
19910901 19910930     7.2
19911001 19911031    65.4
19911101 19911130    37.0
19911201 19911231   376.8
19920101 19920131    77.6
19920201 19920229   170.0
19920301 19920331   114.6
19920401 19920430    46.6
19920501 19920531    75.8
