PRCP       094063 18901101 20110630 missing_value=99999.9 SORELL (WHITLEA)                          
19410801 19410831    71.8
19410901 19410930    27.9
19411001 19411031    43.5
19411101 19411130    32.3
19411201 19411231   127.0
19420101 19420131    13.2
19420201 19420228    25.9
19420301 19420331    32.1
19420401 19420430    17.0
19420501 19420531    62.8
19420601 19420630    37.0
19420701 19420731    39.5
19420801 19420831    61.0
19420901 19420930    51.9
19421001 19421031    42.8
19421101 19421130    19.3
19421201 19421231    38.8
19430101 19430131    45.7
19430201 19430228    67.9
19430301 19430331    12.8
19430401 19430430    59.7
19430501 19430531    18.5
19430601 19430630    45.3
19430701 19430731    25.2
19430801 19430831    47.4
19430901 19430930    71.7
19431001 19431031    19.0
19431101 19431130    77.5
19431201 19431231    56.9
19440101 19440131   112.7
19440201 19440229    20.5
19440301 19440331    46.6
19440401 19440430    42.8
19440501 19440531    85.6
19440601 19440630    21.9
19440701 19440731    19.8
19440801 19440831    17.5
19440901 19440930    52.3
19441001 19441031    67.5
19441101 19441130    22.6
19441201 19441231    66.3
19450101 19450131    60.0
19450201 19450228    37.9
19450301 19450331    13.0
19450401 19450430    17.6
19450501 19450531    16.0
19450601 19450630    11.1
19450701 19450731    22.9
19450801 19450831    65.0
19450901 19450930    53.4
19451001 19451031    25.7
19451101 19451130    16.1
19451201 19451231    38.9
19460101 19460131    10.8
19460201 19460228    58.2
19460301 19460331   162.3
19460401 19460430    42.6
19460501 19460531    32.5
19460601 19460630    57.7
19460701 19460731    73.1
19460801 19460831    75.1
19460901 19460930    54.2
19461001 19461031    36.2
19461101 19461130    55.8
19461201 19461231    60.1
19470101 19470131    13.4
19470201 19470228    28.8
19470301 19470331    73.3
19470401 19470430    35.2
19470501 19470531    78.5
19470601 19470630   132.3
19470701 19470731    56.8
19470801 19470831    38.5
19470901 19470930    32.3
19471001 19471031   146.8
19471101 19471130    40.1
19471201 19471231   108.3
19480101 19480131    26.4
19480201 19480229    29.3
19480301 19480331    32.7
19480401 19480430    75.5
19480501 19480531    39.3
19480601 19480630    16.1
19480701 19480731    26.4
19480801 19480831     7.1
19480901 19480930    41.1
19481001 19481031    81.3
19481101 19481130    63.6
19481201 19481231    44.6
19490101 19490131    94.9
19490201 19490228    27.4
19490301 19490331    26.2
19490401 19490430    18.9
19490501 19490531    69.1
19490601 19490630    32.2
19490701 19490731    44.1
19490801 19490831    15.3
19490901 19490930    20.1
19491001 19491031    74.7
19491101 19491130    77.2
19491201 19491231    24.4
19500101 19500131    28.5
19500201 19500228    18.5
19500301 19500331    42.2
19500401 19500430    23.4
19500501 19500531    57.1
19500601 19500630    39.7
19500701 19500731    11.5
19500801 19500831    71.1
19500901 19500930    16.3
19501001 19501031    96.1
19501101 19501130    66.2
19501201 19501231    40.8
19510101 19510131    50.6
19510201 19510228    37.4
19510301 19510331    28.2
19510401 19510430   116.8
19510501 19510531    22.9
19510601 19510630    29.4
19510701 19510731    39.1
19510801 19510831    26.8
19510901 19510930    15.2
19511001 19511031    58.0
19511101 19511130    46.6
19511201 19511231    76.3
19520101 19520131    32.3
19520201 19520229    44.8
19520301 19520331    21.0
19520401 19520430   116.1
19520501 19520531    87.4
19520601 19520630    79.9
19520701 19520731    37.0
19520801 19520831    11.5
19520901 19520930    53.2
19521001 19521031   120.5
19521101 19521130    49.2
19521201 19521231    41.0
19530101 19530131    58.8
19530201 19530228   104.2
19530301 19530331    86.9
19530401 19530430    41.1
19530501 19530531    63.7
19530601 19530630    66.6
19530701 19530731    33.5
19530801 19530831    47.8
19530901 19530930   105.1
19531001 19531031    30.2
19531101 19531130   108.8
19531201 19531231    64.2
19540101 19540131    28.9
19540201 19540228    86.8
19540301 19540331    22.8
19540401 19540430    33.1
19540501 19540531    35.3
19540601 19540630   158.8
19540701 19540731    12.5
19540801 19540831    33.4
19540901 19540930    11.2
19541001 19541031    12.5
19541101 19541130    70.7
19541201 19541231    18.2
19550101 19550131    12.8
19550201 19550228    14.0
19550301 19550331    24.6
19550401 19550430    77.0
19550501 19550531    39.2
19550601 19550630    42.9
19550701 19550731    45.5
19550801 19550831    22.5
19550901 19550930    34.1
19551001 19551031    64.6
19551101 19551130    15.6
19551201 19551231   108.9
19560101 19560131    65.8
19560201 19560229    95.4
19560301 19560331    42.6
19560401 19560430    38.6
19560501 19560531   119.0
19560601 19560630    81.9
19560701 19560731    64.2
19560801 19560831    30.4
19560901 19560930    34.1
19561001 19561031   109.7
19561101 19561130    48.6
19561201 19561231    14.9
19570101 19570131    14.0
19570201 19570228    43.7
19570301 19570331    34.2
19570401 19570430    57.6
19570501 19570531    49.1
19570601 19570630    13.2
19570701 19570731    16.2
19570801 19570831    18.9
19570901 19570930   140.2
19571001 19571031    53.4
19571101 19571130    92.5
19571201 19571231    36.3
19580101 19580131     3.1
19580201 19580228    50.1
19580301 19580331    43.9
19580401 19580430    61.2
19580501 19580531   198.8
19580601 19580630    35.9
19580701 19580731    51.7
19580801 19580831   134.7
19580901 19580930    20.5
19581001 19581031   105.5
19581101 19581130    35.4
19581201 19581231   120.1
19590101 19590131    59.7
19590201 19590228    39.6
19590301 19590331     8.4
19590401 19590430    44.5
19590501 19590531    19.9
19590601 19590630    40.5
19590701 19590731    55.3
19590801 19590831    12.8
19590901 19590930    62.7
19591001 19591031    11.8
19591101 19591130    27.1
19591201 19591231   110.9
19600101 19600131    51.2
19600201 19600229    30.2
19600301 19600331    13.5
19600401 19600430   244.0
19600501 19600531    95.7
19600601 19600630    11.8
19600701 19600731    36.0
19600801 19600831    49.2
19600901 19600930    66.1
19601001 19601031    50.7
19601101 19601130    53.2
19601201 19601231    12.1
19610101 19610131    34.5
19610201 19610228    19.8
19610301 19610331    22.3
19610401 19610430    62.6
19610501 19610531    30.5
19610601 19610630    39.7
19610701 19610731    80.7
19610801 19610831    37.2
19610901 19610930    18.3
19611001 19611031    41.6
19611101 19611130    10.0
19611201 19611231    31.4
19620101 19620131    24.9
19620201 19620228    20.1
19620301 19620331    33.8
19620401 19620430    53.1
19620501 19620531    69.9
19620601 19620630    25.8
19620701 19620731    76.8
19620801 19620831    69.1
19620901 19620930    64.8
19621001 19621031    83.1
19621101 19621130    11.2
19621201 19621231    30.9
19630101 19630131    27.8
19630201 19630228    38.6
19630301 19630331    38.2
19630401 19630430     6.9
19630501 19630531    43.6
19630601 19630630    27.5
19630701 19630731    72.6
19630801 19630831    26.1
19630901 19630930    28.5
19631001 19631031    21.2
19631101 19631130    21.4
19631201 19631231    21.0
19640101 19640131    14.1
19640201 19640229   192.9
19640301 19640331    43.1
19640401 19640430    25.4
19640501 19640531    32.2
19640601 19640630    64.5
19640701 19640731    65.5
19640801 19640831    25.1
19640901 19640930    25.5
19641001 19641031    35.8
19641101 19641130    24.5
19641201 19641231    91.3
19650101 19650131    45.0
19650201 19650228     4.4
19650301 19650331    41.3
19650401 19650430    97.8
19650501 19650531    25.2
19650601 19650630     7.9
19650701 19650731     8.4
19650801 19650831    43.6
19650901 19650930    27.2
19651001 19651031    27.8
19651101 19651130    62.1
19651201 19651231    24.7
19660101 19660131     9.3
19660201 19660228    50.6
19660301 19660331    94.7
19660401 19660430    54.7
19660501 19660531    35.2
19660601 19660630     6.3
19660701 19660731    86.7
19660801 19660831    38.7
19660901 19660930    72.2
19661001 19661031    99.7
19661101 19661130    14.4
19661201 19661231    32.2
19670101 19670131    16.3
19670201 19670228     4.9
19670301 19670331    20.7
19670401 19670430    20.4
19670501 19670531    13.8
19670601 19670630     7.9
19670701 19670731   155.7
19670801 19670831    51.8
19670901 19670930    62.6
19671001 19671031    15.8
19671101 19671130    41.2
19671201 19671231    74.3
19680101 19680131    20.7
19680201 19680229    38.9
19680301 19680331    34.4
19680401 19680430    25.7
19680501 19680531    58.1
19680601 19680630    25.7
19680701 19680731    12.4
19680801 19680831    45.5
19680901 19680930    13.0
19681001 19681031    15.3
19681101 19681130    62.6
19681201 19681231    21.5
19690101 19690131    19.8
19690201 19690228   129.8
19690301 19690331    35.5
19690401 19690430    50.6
19690501 19690531   163.3
19690601 19690630    35.4
19690701 19690731    23.6
19690801 19690831    30.8
19690901 19690930    20.5
19691001 19691031    34.3
19691101 19691130   124.3
19691201 19691231   122.0
19700101 19700131   133.6
19700201 19700228    42.7
19700301 19700331    64.0
19700401 19700430    26.3
19700501 19700531    51.0
19700601 19700630    56.3
19700701 19700731    24.0
