PRCP       064008 18790401 20180131 missing_value=99999.9 COONABARABRAN (NAMOI STREET)              
19570701 19570731    21.0
19570801 19570831    45.0
19570901 19570930     1.0
19571001 19571031     4.1
19571101 19571130     5.3
19571201 19571231    96.3
19580101 19580131   109.0
19580201 19580228   103.2
19580301 19580331    21.1
19580401 19580430    22.6
19580501 19580531    67.1
19580601 19580630    61.4
19580701 19580731     7.7
19580801 19580831    49.3
19580901 19580930   101.2
19581001 19581031   115.1
19581101 19581130    19.9
19581201 19581231    53.4
19590101 19590131    89.5
19590201 19590228   297.9
19590301 19590331   137.1
19590401 19590430   111.0
19590501 19590531    13.7
19590601 19590630    36.6
19590701 19590731    50.4
19590801 19590831     2.5
19590901 19590930    28.9
19591001 19591031    49.0
19591101 19591130    86.8
19591201 19591231    83.0
19600101 19600131    90.5
19600201 19600229    47.0
19600301 19600331    42.4
19600401 19600430     9.4
19600501 19600531    67.3
19600601 19600630    14.7
19600701 19600731    70.4
19600801 19600831    27.6
19600901 19600930    76.1
19601001 19601031    36.6
19601101 19601130    89.1
19601201 19601231    80.5
19610101 19610131    32.0
19610201 19610228   131.1
19610301 19610331   199.3
19610401 19610430    48.0
19610501 19610531    10.2
19610601 19610630     7.1
19610701 19610731    47.7
19610801 19610831    63.8
19610901 19610930     3.6
19611001 19611031    36.4
19611101 19611130   109.4
19611201 19611231    75.8
19620101 19620131    78.8
19620201 19620228    36.2
19620301 19620331    50.5
19620401 19620430    70.8
19620501 19620531    56.1
19620601 19620630    14.4
19620701 19620731    62.3
19620801 19620831    66.1
19620901 19620930    45.0
19621001 19621031    99.1
19621101 19621130    45.5
19621201 19621231    64.1
19630101 19630131   230.7
19630201 19630228    64.9
19630301 19630331    86.8
19630401 19630430    49.1
19630501 19630531   119.5
19630601 19630630    63.2
19630701 19630731    24.1
19630801 19630831    68.9
19630901 19630930    72.2
19631001 19631031    34.0
19631101 19631130    87.6
19631201 19631231    61.5
19640101 19640131    72.4
19640201 19640229    81.0
19640301 19640331    58.5
19640401 19640430   118.1
19640501 19640531    43.0
19640601 19640630    38.7
19640701 19640731    36.9
19640801 19640831    37.2
19640901 19640930   135.0
19641001 19641031    93.7
19641101 19641130    16.8
19641201 19641231    21.8
19650101 19650131     4.6
19650201 19650228     1.1
19650301 19650331     0.3
19650401 19650430     9.2
19650501 19650531     7.4
19650601 19650630    20.8
19650701 19650731    12.5
19650801 19650831    50.7
19650901 19650930    49.2
19651001 19651031   119.2
19651101 19651130    48.3
19651201 19651231   228.9
19660101 19660131     1.3
19660201 19660228    39.1
19660301 19660331    53.1
19660401 19660430    43.7
19660501 19660531    19.0
19660601 19660630    60.8
19660701 19660731    24.9
19660801 19660831   147.1
19660901 19660930    59.4
19661001 19661031    93.3
19661101 19661130   136.6
19661201 19661231    68.1
19670101 19670131    36.3
19670201 19670228     4.8
19670301 19670331   201.6
19670401 19670430     0.0
19670501 19670531    35.1
19670601 19670630    60.7
19670701 19670731    16.0
19670801 19670831    28.7
19670901 19670930     6.1
19671001 19671031    63.1
19671101 19671130     3.8
19671201 19671231    49.1
19680101 19680131   365.0
19680201 19680229    26.1
19680301 19680331    48.9
19680401 19680430    15.7
19680501 19680531   132.4
19680601 19680630    14.7
19680701 19680731    38.0
19680801 19680831   117.1
19680901 19680930    34.9
19681001 19681031    21.4
19681101 19681130    14.5
19681201 19681231    57.3
19690101 19690131    58.5
19690201 19690228   106.7
19690301 19690331    84.1
19690401 19690430    47.0
19690501 19690531    38.6
19690601 19690630    89.0
19690701 19690731    69.9
19690801 19690831    64.3
19690901 19690930    43.8
19691001 19691031   188.6
19691101 19691130    97.2
19691201 19691231    58.5
19700101 19700131    97.0
19700201 19700228    50.8
19700301 19700331   111.3
19700401 19700430    78.3
19700501 19700531    24.6
19700601 19700630    11.8
19700701 19700731     0.3
19700801 19700831    48.8
19700901 19700930   129.9
19701001 19701031    29.5
19701101 19701130    83.9
19701201 19701231   181.5
19710101 19710131   300.6
19710201 19710228   254.9
19710301 19710331    33.1
19710401 19710430    14.3
19710501 19710531     9.9
19710601 19710630     2.0
19710701 19710731   136.6
19710801 19710831    69.0
19710901 19710930    69.1
19711001 19711031     6.2
19711101 19711130    85.4
19711201 19711231    48.6
19720101 19720131   153.4
19720201 19720229    63.0
19720301 19720331    10.7
19720401 19720430    30.0
19720501 19720531    13.5
19720601 19720630    17.6
19720701 19720731     6.6
19720801 19720831    32.5
19720901 19720930    20.2
19721001 19721031   142.8
19721101 19721130   157.4
19721201 19721231    33.8
19730101 19730131   218.9
19730201 19730228   231.7
19730301 19730331    42.5
19730401 19730430    31.6
19730501 19730531    46.9
19730601 19730630    62.2
19730701 19730731    68.3
19730801 19730831   101.1
19730901 19730930   111.8
19731001 19731031   226.1
19731101 19731130    87.2
19731201 19731231   130.2
19740101 19740131   302.2
19740201 19740228    40.4
19740301 19740331     4.2
19740401 19740430    90.6
19740501 19740531    16.0
19740601 19740630    35.3
19740701 19740731    34.6
19740801 19740831    55.7
19740901 19740930    50.8
19741001 19741031    95.0
19741101 19741130    40.0
19741201 19741231     0.4
19750101 19750131    83.2
19750201 19750228   118.2
