PRCP       032018 19100101 20151231 missing_value=99999.9 GLENEAGLE                                 
19900201 19900228    14.6
19900301 19900331   252.2
19900401 19900430    84.9
19900501 19900531    57.9
19900601 19900630   107.0
19900701 19900731     3.0
19900801 19900831     0.0
19900901 19900930     4.4
19901001 19901031     0.0
19901101 19901130     0.6
19901201 19901231    92.7
19910101 19910131   619.5
19910201 19910228   435.0
19910301 19910331     9.6
19910401 19910430    30.8
19910501 19910531     0.0
19910601 19910630     9.0
19910701 19910731     8.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130    76.0
19911201 19911231   230.5
19920101 19920131   172.4
19920201 19920229   200.2
19920301 19920331    35.8
19920401 19920430    12.4
19920501 19920531    35.4
19920601 19920630     1.2
19920701 19920731     7.9
19920801 19920831     0.0
19920901 19920930    66.9
19921001 19921031     2.0
19921101 19921130    28.4
19921201 19921231    52.4
19930101 19930131    75.8
19930201 19930228    78.3
19930301 19930331    20.2
19930401 19930430    25.6
19930501 19930531    12.8
19930601 19930630    18.6
19930701 19930731    50.9
19930801 19930831     7.0
19930901 19930930    10.2
19931001 19931031    10.4
19931101 19931130    70.0
19931201 19931231    17.8
19940101 19940131   120.5
19940201 19940228    38.0
19940301 19940331    47.2
19940401 19940430    19.8
19940501 19940531     7.0
19940601 19940630     9.6
19940701 19940731 99999.9
19940801 19940831 99999.9
19940901 19940930 99999.9
19941001 19941031 99999.9
19941101 19941130 99999.9
19941201 19941231 99999.9
19950101 19950131 99999.9
19950201 19950228 99999.9
19950301 19950331 99999.9
19950401 19950430 99999.9
19950501 19950531 99999.9
19950601 19950630 99999.9
19950701 19950731 99999.9
19950801 19950831 99999.9
19950901 19950930 99999.9
19951001 19951031 99999.9
19951101 19951130 99999.9
19951201 19951231 99999.9
19960101 19960131 99999.9
19960201 19960229 99999.9
19960301 19960331 99999.9
19960401 19960430 99999.9
19960501 19960531 99999.9
19960601 19960630 99999.9
19960701 19960731 99999.9
19960801 19960831 99999.9
19960901 19960930 99999.9
19961001 19961031 99999.9
19961101 19961130 99999.9
19961201 19961231    74.0
19970101 19970131    47.7
19970201 19970228   129.4
19970301 19970331   335.0
19970401 19970430    32.0
19970501 19970531    44.4
19970601 19970630    15.8
19970701 19970731    11.4
19970801 19970831     6.0
19970901 19970930     6.7
19971001 19971031     4.4
19971101 19971130    23.0
19971201 19971231   249.3
19980101 19980131   361.1
19980201 19980228    84.0
19980301 19980331    98.2
19980401 19980430    30.4
19980501 19980531    55.6
19980601 19980630    22.2
19980701 19980731    27.8
19980801 19980831    14.0
19980901 19980930    40.9
19981001 19981031    54.2
19981101 19981130   155.0
19981201 19981231    78.8
19990101 19990131   235.5
19990201 19990228   369.2
