PRCP       003027 19090701 20180131 missing_value=99999.9 FOSSIL DOWNS                              
19671001 19671031     0.0
19671101 19671130    13.7
19671201 19671231    43.6
19680101 19680131   175.2
19680201 19680229   102.9
19680301 19680331   113.0
19680401 19680430    14.5
19680501 19680531    74.7
19680601 19680630     0.0
19680701 19680731    19.6
19680801 19680831     0.0
19680901 19680930    17.8
19681001 19681031     0.0
19681101 19681130    23.7
19681201 19681231    22.5
19690101 19690131   173.8
19690201 19690228   338.6
19690301 19690331   139.4
19690401 19690430     0.0
19690501 19690531     1.3
19690601 19690630     0.0
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031     5.4
19691101 19691130     1.0
19691201 19691231    16.2
19700101 19700131    61.1
19700201 19700228    50.1
19700301 19700331    93.5
19700401 19700430    39.6
19700501 19700531    19.8
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930     0.0
19701001 19701031     3.3
19701101 19701130    36.4
19701201 19701231    87.4
19710101 19710131   100.2
19710201 19710228   100.0
19710301 19710331   217.2
19710401 19710430     9.7
19710501 19710531     0.0
19710601 19710630     4.3
19710701 19710731     0.0
19710801 19710831     0.0
19710901 19710930     0.0
19711001 19711031     1.8
19711101 19711130    40.1
19711201 19711231   106.6
19720101 19720131    39.5
19720201 19720229    40.6
19720301 19720331    81.4
19720401 19720430     1.0
19720501 19720531     0.0
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.0
19721001 19721031     4.6
19721101 19721130     3.1
19721201 19721231    72.7
19730101 19730131   240.2
19730201 19730228    23.3
19730301 19730331    19.4
19730401 19730430    46.3
19730501 19730531    10.7
19730601 19730630    21.3
19730701 19730731     3.0
19730801 19730831    19.8
19730901 19730930     0.0
19731001 19731031    12.4
19731101 19731130   197.2
19731201 19731231    98.3
19740101 19740131   373.0
19740201 19740228    57.0
19740301 19740331    55.2
19740401 19740430   286.0
19740501 19740531    32.0
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831     3.0
19740901 19740930    74.0
19741001 19741031     3.0
19741101 19741130    35.0
19741201 19741231    58.0
19750101 19750131    82.3
19750201 19750228   174.6
19750301 19750331    10.5
19750401 19750430    72.4
19750501 19750531     0.0
19750601 19750630     1.0
19750701 19750731     7.3
19750801 19750831     0.0
19750901 19750930     9.5
19751001 19751031    64.5
19751101 19751130    64.0
19751201 19751231    33.4
19760101 19760131   369.2
19760201 19760229   174.0
19760301 19760331    39.2
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     1.2
19760901 19760930     1.5
19761001 19761031     0.3
19761101 19761130     0.0
19761201 19761231    82.4
19770101 19770131    17.5
19770201 19770228    79.9
19770301 19770331    30.2
19770401 19770430     1.6
19770501 19770531     4.0
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031     1.0
19771101 19771130    17.5
19771201 19771231   112.4
19780101 19780131   461.8
19780201 19780228   135.3
19780301 19780331    84.2
19780401 19780430    25.0
19780501 19780531    43.3
19780601 19780630    91.4
19780701 19780731    62.6
19780801 19780831     8.2
19780901 19780930     0.0
19781001 19781031     0.0
19781101 19781130     3.2
19781201 19781231    12.8
19790101 19790131    55.0
19790201 19790228    52.6
19790301 19790331   195.4
19790401 19790430     1.4
19790501 19790531    58.3
19790601 19790630     0.3
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930     0.0
19791001 19791031     0.4
19791101 19791130     2.8
19791201 19791231   107.2
19800101 19800131   131.0
19800201 19800229   266.6
19800301 19800331    56.8
19800401 19800430    14.2
19800501 19800531     2.9
19800601 19800630     0.0
19800701 19800731     0.0
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031     7.1
19801101 19801130    13.9
19801201 19801231    44.8
19810101 19810131   176.0
19810201 19810228   361.4
19810301 19810331    25.8
19810401 19810430     1.9
19810501 19810531     4.2
19810601 19810630     0.0
19810701 19810731     0.0
19810801 19810831     0.0
19810901 19810930     0.0
19811001 19811031     3.8
19811101 19811130    18.0
19811201 19811231    31.6
19820101 19820131   178.8
19820201 19820228   305.5
19820301 19820331   180.0
19820401 19820430     0.0
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     0.0
19821001 19821031     1.2
19821101 19821130    34.8
19821201 19821231   118.8
19830101 19830131    42.5
19830201 19830228    63.0
19830301 19830331   352.9
19830401 19830430    48.0
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831    10.8
19830901 19830930     0.0
19831001 19831031     0.0
19831101 19831130    31.4
19831201 19831231    30.4
19840101 19840131   432.2
19840201 19840229    70.8
19840301 19840331   449.6
19840401 19840430    11.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731     0.0
19840801 19840831     0.0
19840901 19840930     0.0
19841001 19841031     0.0
19841101 19841130    11.8
19841201 19841231    73.4
19850101 19850131   198.4
19850201 19850228   198.2
19850301 19850331    24.0
19850401 19850430     4.6
19850501 19850531     0.0
19850601 19850630     0.0
19850701 19850731     0.0
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031     0.0
19851101 19851130    27.2
19851201 19851231    44.6
19860101 19860131   501.5
19860201 19860228   170.6
19860301 19860331    10.2
19860401 19860430     0.4
19860501 19860531     0.0
19860601 19860630     4.7
19860701 19860731    21.4
19860801 19860831     0.0
19860901 19860930     1.0
19861001 19861031     4.8
19861101 19861130     4.2
19861201 19861231    17.5
19870101 19870131   201.1
19870201 19870228   223.1
19870301 19870331    27.2
19870401 19870430     7.4
19870501 19870531     0.0
19870601 19870630     5.0
19870701 19870731     0.0
19870801 19870831     0.0
19870901 19870930     0.0
19871001 19871031    13.0
19871101 19871130     0.0
19871201 19871231   207.4
19880101 19880131    90.4
19880201 19880229    25.0
19880301 19880331    40.9
19880401 19880430    39.0
19880501 19880531    12.6
19880601 19880630     0.0
19880701 19880731     0.0
19880801 19880831     0.0
19880901 19880930     0.0
19881001 19881031     4.0
19881101 19881130    20.3
19881201 19881231   103.4
19890101 19890131     4.2
19890201 19890228    58.6
19890301 19890331   241.5
19890401 19890430     0.0
19890501 19890531     0.5
19890601 19890630     0.0
19890701 19890731     0.0
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     0.0
19891101 19891130    12.0
19891201 19891231    78.8
19900101 19900131    85.6
19900201 19900228    69.8
19900301 19900331    20.2
19900401 19900430    18.5
19900501 19900531    10.4
19900601 19900630     0.0
19900701 19900731     0.0
19900801 19900831     0.0
19900901 19900930     0.0
19901001 19901031     0.0
19901101 19901130    39.8
19901201 19901231    67.6
19910101 19910131   365.6
19910201 19910228   307.2
19910301 19910331    55.1
19910401 19910430     1.8
19910501 19910531     0.0
19910601 19910630     1.7
19910701 19910731     8.4
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130     0.0
19911201 19911231    17.2
19920101 19920131    49.4
19920201 19920229    46.0
19920301 19920331    41.6
19920401 19920430    49.0
19920501 19920531    43.6
19920601 19920630     0.0
19920701 19920731     0.0
19920801 19920831     0.0
19920901 19920930     0.0
19921001 19921031     0.0
19921101 19921130     3.2
19921201 19921231     0.4
19930101 19930131   190.2
19930201 19930228   513.9
19930301 19930331     0.0
19930401 19930430     0.0
19930501 19930531     0.0
19930601 19930630    74.0
19930701 19930731     0.0
19930801 19930831     0.0
19930901 19930930     0.0
19931001 19931031     0.0
19931101 19931130     0.0
19931201 19931231   118.0
19940101 19940131   102.6
19940201 19940228   273.1
19940301 19940331   116.0
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630     0.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.6
19941001 19941031    16.6
19941101 19941130     0.0
19941201 19941231    67.1
19950101 19950131   267.0
19950201 19950228   336.3
19950301 19950331    49.0
19950401 19950430   109.4
19950501 19950531     0.0
19950601 19950630     0.0
19950701 19950731     4.4
19950801 19950831     0.0
19950901 19950930     0.0
19951001 19951031     0.0
19951101 19951130    41.5
19951201 19951231    82.4
19960101 19960131    44.6
19960201 19960229   134.0
19960301 19960331   291.5
19960401 19960430     5.0
19960501 19960531    14.0
19960601 19960630     0.0
19960701 19960731     0.0
19960801 19960831     0.0
19960901 19960930     0.0
19961001 19961031    26.6
19961101 19961130    28.0
19961201 19961231   181.4
19970101 19970131   206.8
19970201 19970228   112.0
19970301 19970331    42.0
19970401 19970430     0.0
19970501 19970531    53.0
19970601 19970630     0.0
19970701 19970731     0.0
19970801 19970831     0.0
19970901 19970930     0.0
19971001 19971031    33.0
19971101 19971130     0.0
19971201 19971231   114.4
19980101 19980131   141.4
19980201 19980228   175.4
19980301 19980331    97.0
19980401 19980430    12.2
19980501 19980531     0.0
19980601 19980630     0.0
19980701 19980731     0.0
19980801 19980831     0.0
19980901 19980930     0.0
19981001 19981031     0.0
19981101 19981130    23.5
19981201 19981231   165.0
19990101 19990131   116.0
19990201 19990228   148.4
19990301 19990331    86.6
19990401 19990430    38.0
19990501 19990531     0.0
19990601 19990630     0.0
19990701 19990731     0.0
19990801 19990831     0.0
19990901 19990930     0.0
19991001 19991031     0.0
19991101 19991130     9.7
19991201 19991231   138.6
20000101 20000131   258.9
20000201 20000229   123.7
20000301 20000331   264.6
20000401 20000430   121.0
20000501 20000531     0.0
20000601 20000630     0.0
20000701 20000731     0.0
20000801 20000831     0.0
20000901 20000930     0.0
20001001 20001031    28.0
20001101 20001130     0.0
20001201 20001231    86.0
20010101 20010131   132.0
20010201 20010228   364.4
20010301 20010331   172.4
20010401 20010430     0.0
20010501 20010531     0.0
20010601 20010630     0.0
20010701 20010731    31.6
20010801 20010831     0.0
20010901 20010930     0.0
20011001 20011031     0.0
20011101 20011130    49.4
20011201 20011231    99.7
20020101 20020131    88.3
20020201 20020228   345.6
20020301 20020331     2.0
20020401 20020430     0.0
20020501 20020531     0.0
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     0.0
20021001 20021031     0.0
20021101 20021130    17.0
20021201 20021231   101.8
20030101 20030131   203.2
20030201 20030228   258.5
20030301 20030331     4.6
20030401 20030430    32.0
20030501 20030531     0.0
20030601 20030630     0.0
20030701 20030731     0.0
20030801 20030831     0.0
20030901 20030930     0.0
20031001 20031031    11.0
20031101 20031130    21.4
20031201 20031231    85.2
20040101 20040131   176.0
20040201 20040229   310.6
20040301 20040331   170.4
20040401 20040430    12.3
20040501 20040531    50.0
20040601 20040630    71.4
20040701 20040731     0.0
20040801 20040831     0.0
20040901 20040930     0.0
20041001 20041031     2.0
20041101 20041130     6.4
20041201 20041231    46.4
20050101 20050131   109.6
20050201 20050228   112.6
20050301 20050331    40.3
20050401 20050430     0.0
20050501 20050531     0.0
20050601 20050630    50.0
20050701 20050731     0.0
