PRCP       035010 19310101 20101031 missing_value=99999.9 BLAIR ATHOL                               
19720101 19720131    51.1
19720201 19720229   143.8
19720301 19720331    78.0
19720401 19720430     0.0
19720501 19720531    40.9
19720601 19720630     6.1
19720701 19720731     0.8
19720801 19720831     0.5
19720901 19720930     0.8
19721001 19721031    27.0
19721101 19721130    47.8
19721201 19721231    13.5
19730101 19730131   166.6
19730201 19730228   136.1
19730301 19730331   128.6
19730401 19730430     5.4
19730501 19730531     7.4
19730601 19730630    13.0
19730701 19730731    18.2
19730801 19730831    11.4
19730901 19730930    43.7
19731001 19731031    27.1
19731101 19731130   146.2
19731201 19731231   384.7
19740101 19740131   404.4
19740201 19740228    34.4
19740301 19740331    79.4
19740401 19740430    70.8
19740501 19740531    44.4
19740601 19740630     0.0
19740701 19740731     4.6
19740801 19740831    59.8
19740901 19740930    17.0
19741001 19741031    49.0
19741101 19741130    48.4
19741201 19741231   119.8
19750101 19750131   241.6
19750201 19750228   140.6
19750301 19750331   197.6
19750401 19750430    30.8
19750501 19750531     0.0
19750601 19750630    56.2
19750701 19750731    13.0
19750801 19750831     6.6
19750901 19750930     1.5
19751001 19751031   101.4
19751101 19751130    12.0
19751201 19751231   270.4
19760101 19760131   172.0
19760201 19760229   149.2
19760301 19760331    55.4
19760401 19760430    13.0
19760501 19760531    20.6
19760601 19760630    12.2
19760701 19760731     2.4
19760801 19760831     3.8
19760901 19760930     7.8
19761001 19761031    48.8
19761101 19761130   123.8
19761201 19761231   141.6
19770101 19770131    60.6
19770201 19770228   160.8
19770301 19770331   157.4
19770401 19770430     0.0
19770501 19770531   119.5
19770601 19770630     2.6
19770701 19770731    55.8
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031     0.0
19771101 19771130    64.6
19771201 19771231    78.8
19780101 19780131    69.9
19780201 19780228   272.4
19780301 19780331     0.0
19780401 19780430    38.4
19780501 19780531    44.6
19780601 19780630    13.7
19780701 19780731   104.2
19780801 19780831    46.0
19780901 19780930    71.0
19781001 19781031    10.4
19781101 19781130    31.2
19781201 19781231   199.8
19790101 19790131    10.4
19790201 19790228   129.8
19790301 19790331   162.0
19790401 19790430     7.8
19790501 19790531     1.0
19790601 19790630    11.2
19790701 19790731     0.0
19790801 19790831     4.2
19790901 19790930     1.0
19791001 19791031    10.6
19791101 19791130    47.9
19791201 19791231    59.4
19800101 19800131   105.9
19800201 19800229    85.4
19800301 19800331    34.0
19800401 19800430     4.6
19800501 19800531    34.7
19800601 19800630     0.0
19800701 19800731    10.8
19800801 19800831    10.0
19800901 19800930     0.0
19801001 19801031     3.2
19801101 19801130     1.8
19801201 19801231   103.4
19810101 19810131   149.4
19810201 19810228   258.6
19810301 19810331     3.6
19810401 19810430    38.6
19810501 19810531    99.2
19810601 19810630    26.0
19810701 19810731    49.0
19810801 19810831    23.4
19810901 19810930     0.0
19811001 19811031     5.6
19811101 19811130    98.6
19811201 19811231    37.6
19820101 19820131   141.4
19820201 19820228    36.6
19820301 19820331    89.2
19820401 19820430     0.0
19820501 19820531     3.0
19820601 19820630     0.0
19820701 19820731    13.2
19820801 19820831     0.0
19820901 19820930     0.0
19821001 19821031     3.0
19821101 19821130     4.8
19821201 19821231    16.9
19830101 19830131   246.8
19830201 19830228    36.0
19830301 19830331    85.5
19830401 19830430   270.0
19830501 19830531   241.8
19830601 19830630    36.2
19830701 19830731     0.0
19830801 19830831     5.0
19830901 19830930     0.0
19831001 19831031    11.0
19831101 19831130   150.2
19831201 19831231    36.0
19840101 19840131    89.4
19840201 19840229    29.0
19840301 19840331    40.8
19840401 19840430     3.0
19840501 19840531     0.0
19840601 19840630     2.6
19840701 19840731   119.7
19840801 19840831     9.0
19840901 19840930    58.8
19841001 19841031    48.0
19841101 19841130    57.0
19841201 19841231   137.8
19850101 19850131    34.4
19850201 19850228    53.2
19850301 19850331    74.6
19850401 19850430    38.3
19850501 19850531    93.4
19850601 19850630    84.8
19850701 19850731    38.7
19850801 19850831     7.0
19850901 19850930     5.8
19851001 19851031    85.6
19851101 19851130    40.6
19851201 19851231    88.2
19860101 19860131    29.2
19860201 19860228    57.3
19860301 19860331     5.0
19860401 19860430    43.0
19860501 19860531    41.4
19860601 19860630    42.8
19860701 19860731    23.4
19860801 19860831    38.0
19860901 19860930    32.5
19861001 19861031   140.2
19861101 19861130    20.9
19861201 19861231    23.8
19870101 19870131   124.6
19870201 19870228    30.2
19870301 19870331    38.0
19870401 19870430    49.0
19870501 19870531     9.5
19870601 19870630    61.6
19870701 19870731    41.9
19870801 19870831    32.1
19870901 19870930    10.4
19871001 19871031    97.8
19871101 19871130    82.4
19871201 19871231   105.4
19880101 19880131    29.6
19880201 19880229    59.2
19880301 19880331   139.8
19880401 19880430    93.0
19880501 19880531    41.6
19880601 19880630    34.4
19880701 19880731    50.6
19880801 19880831    89.0
19880901 19880930     0.0
19881001 19881031    14.0
19881101 19881130    33.0
19881201 19881231   126.4
19890101 19890131    58.8
19890201 19890228   169.8
19890301 19890331    41.2
19890401 19890430   152.0
19890501 19890531   144.2
19890601 19890630    17.2
