PRCP       007049 18990101 20170331 missing_value=99999.9 MILEURA                                   
19380601 19380630    12.7
19380701 19380731    18.2
19380801 19380831     3.6
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130     6.8
19381201 19381231    16.0
19390101 19390131    18.3
19390201 19390228     4.3
19390301 19390331     8.1
19390401 19390430     4.0
19390501 19390531     6.6
19390601 19390630     9.9
19390701 19390731    32.5
19390801 19390831     5.4
19390901 19390930     0.0
19391001 19391031     6.3
19391101 19391130    14.8
19391201 19391231     0.0
19400101 19400131     9.7
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     1.3
19400501 19400531     8.4
19400601 19400630     0.8
19400701 19400731    28.2
19400801 19400831     1.3
19400901 19400930     2.8
19401001 19401031     5.1
19401101 19401130     7.4
19401201 19401231     0.0
19410101 19410131     1.8
19410201 19410228    33.0
19410301 19410331     0.0
19410401 19410430    26.5
19410501 19410531    14.8
19410601 19410630    15.6
19410701 19410731    18.8
19410801 19410831    23.4
19410901 19410930     1.3
19411001 19411031     5.1
19411101 19411130    15.3
19411201 19411231    18.5
19420101 19420131   106.3
19420201 19420228    67.6
19420301 19420331    40.1
19420401 19420430     2.1
19420501 19420531    61.8
19420601 19420630    44.4
19420701 19420731    22.4
19420801 19420831    14.2
19420901 19420930     0.0
19421001 19421031     0.0
19421101 19421130     0.0
19421201 19421231    15.0
19430101 19430131     5.1
19430201 19430228    26.2
19430301 19430331    18.6
19430401 19430430     0.0
19430501 19430531     3.6
19430601 19430630    10.5
19430701 19430731     0.6
19430801 19430831     0.8
19430901 19430930     0.0
19431001 19431031     0.0
19431101 19431130     2.8
19431201 19431231     6.0
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331     0.0
19440401 19440430     2.8
19440501 19440531     2.6
19440601 19440630     1.6
19440701 19440731    19.3
19440801 19440831    12.0
19440901 19440930     0.0
19441001 19441031     2.0
19441101 19441130     1.3
19441201 19441231     0.0
19450101 19450131     0.0
19450201 19450228   123.7
19450301 19450331    22.1
19450401 19450430     0.0
19450501 19450531     3.0
19450601 19450630   102.5
19450701 19450731     1.8
19450801 19450831    37.1
19450901 19450930     3.0
19451001 19451031     2.8
19451101 19451130     1.5
19451201 19451231    12.7
19460101 19460131     4.1
19460201 19460228    19.1
19460301 19460331    11.7
19460401 19460430     7.6
19460501 19460531     8.7
19460601 19460630     5.6
19460701 19460731    17.0
19460801 19460831     0.8
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130     0.0
19461201 19461231     0.0
19470101 19470131     4.8
19470201 19470228    23.6
19470301 19470331    10.2
19470401 19470430     0.0
19470501 19470531    40.7
19470601 19470630     9.6
19470701 19470731    51.2
19470801 19470831    64.9
19470901 19470930    10.2
19471001 19471031    47.7
19471101 19471130     0.0
19471201 19471231     0.0
19480101 19480131    16.8
19480201 19480229   119.6
19480301 19480331    50.6
19480401 19480430     7.6
19480501 19480531     0.0
19480601 19480630    92.7
19480701 19480731    26.5
19480801 19480831     8.4
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130    20.6
19481201 19481231     7.6
19490101 19490131     0.0
19490201 19490228   101.1
19490301 19490331     0.0
19490401 19490430     2.0
19490501 19490531    11.1
19490601 19490630    32.4
19490701 19490731     4.1
19490801 19490831    12.2
19490901 19490930    10.5
19491001 19491031     5.4
19491101 19491130    11.2
19491201 19491231     7.1
19500101 19500131    11.4
19500201 19500228    12.7
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    57.9
19500601 19500630    12.2
19500701 19500731    12.7
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031     3.0
19501101 19501130     0.0
19501201 19501231     0.0
19510101 19510131    27.5
19510201 19510228    21.4
19510301 19510331     6.6
19510401 19510430    24.0
19510501 19510531     2.0
19510601 19510630   163.0
19510701 19510731    16.6
19510801 19510831     3.6
19510901 19510930     2.3
19511001 19511031     1.0
19511101 19511130     0.0
19511201 19511231     0.0
19520101 19520131    36.6
19520201 19520229     3.8
19520301 19520331    13.2
19520401 19520430     0.0
19520501 19520531    33.7
19520601 19520630     0.0
19520701 19520731    24.4
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031     0.0
19521101 19521130     0.0
19521201 19521231     0.0
19530101 19530131     0.8
19530201 19530228     0.0
19530301 19530331    29.4
19530401 19530430     2.8
19530501 19530531    40.2
19530601 19530630    18.6
19530701 19530731     6.4
19530801 19530831     1.0
19530901 19530930     6.1
19531001 19531031    10.4
19531101 19531130     0.0
19531201 19531231     0.0
19540101 19540131     1.8
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     0.0
19540501 19540531    14.0
19540601 19540630    36.1
19540701 19540731     0.5
19540801 19540831     6.1
19540901 19540930     0.0
19541001 19541031     0.0
19541101 19541130     5.8
19541201 19541231     0.0
19550101 19550131    90.5
19550201 19550228    55.4
19550301 19550331     3.1
19550401 19550430     1.0
19550501 19550531     8.2
19550601 19550630    12.2
19550701 19550731    13.2
19550801 19550831     6.6
19550901 19550930     5.6
19551001 19551031     1.3
