PRCP       050031 18901001 20180131 missing_value=99999.9 PEAK HILL POST OFFICE                     
19290501 19290531    15.6
19290601 19290630    13.2
19290701 19290731     7.4
19290801 19290831    43.8
19290901 19290930    28.5
19291001 19291031    38.4
19291101 19291130    28.4
19291201 19291231    54.3
19300101 19300131    30.5
19300201 19300228    19.8
19300301 19300331    25.1
19300401 19300430    19.8
19300501 19300531    27.7
19300601 19300630    65.4
19300701 19300731    53.5
19300801 19300831    50.9
19300901 19300930     2.9
19301001 19301031    68.5
19301101 19301130    30.1
19301201 19301231   128.7
19310101 19310131    40.3
19310201 19310228    12.2
19310301 19310331   148.8
19310401 19310430    91.8
19310501 19310531   144.4
19310601 19310630   103.1
19310701 19310731    61.1
19310801 19310831     8.6
19310901 19310930    24.5
19311001 19311031    20.4
19311101 19311130    31.9
19311201 19311231    68.3
19320101 19320131     4.6
19320201 19320229    30.8
19320301 19320331    60.8
19320401 19320430    55.5
19320501 19320531    25.2
19320601 19320630    27.4
19320701 19320731    31.2
19320801 19320831    48.1
19320901 19320930    59.6
19321001 19321031    32.1
19321101 19321130    52.9
19321201 19321231    19.9
19330101 19330131    66.0
19330201 19330228     1.5
19330301 19330331    54.8
19330401 19330430   114.3
19330501 19330531    40.4
19330601 19330630    36.4
19330701 19330731    44.5
19330801 19330831    15.8
19330901 19330930    63.1
19331001 19331031    40.8
19331101 19331130    72.3
19331201 19331231    45.0
19340101 19340131    50.8
19340201 19340228    89.8
19340301 19340331     3.6
19340401 19340430    78.5
19340501 19340531     0.0
19340601 19340630    37.3
19340701 19340731    68.2
19340801 19340831    66.1
19340901 19340930    20.1
19341001 19341031   117.4
19341101 19341130   106.3
19341201 19341231    18.6
19350101 19350131    33.2
19350201 19350228    27.5
19350301 19350331     0.3
19350401 19350430    58.3
19350501 19350531    22.9
19350601 19350630    16.6
19350701 19350731    35.8
19350801 19350831    23.1
19350901 19350930    24.1
19351001 19351031    76.0
19351101 19351130    18.6
19351201 19351231    25.2
19360101 19360131    56.2
19360201 19360229    75.9
19360301 19360331    88.6
19360401 19360430    11.3
19360501 19360531    13.8
19360601 19360630    41.7
19360701 19360731    81.3
19360801 19360831    55.4
19360901 19360930    11.7
19361001 19361031    18.1
19361101 19361130     0.0
19361201 19361231    92.4
19370101 19370131    40.6
19370201 19370228    20.5
19370301 19370331    37.5
19370401 19370430    24.4
19370501 19370531    28.5
19370601 19370630    40.5
19370701 19370731     1.3
19370801 19370831    82.1
19370901 19370930    16.3
19371001 19371031    50.0
19371101 19371130    17.8
19371201 19371231     7.1
19380101 19380131    53.7
19380201 19380228    10.7
19380301 19380331     2.8
19380401 19380430    36.8
19380501 19380531    37.0
19380601 19380630    65.6
19380701 19380731    54.3
19380801 19380831    44.7
19380901 19380930    12.0
19381001 19381031   114.1
19381101 19381130    39.6
19381201 19381231    45.7
19390101 19390131    15.2
19390201 19390228    83.1
19390301 19390331    68.3
19390401 19390430    51.6
19390501 19390531     8.2
19390601 19390630    32.6
19390701 19390731    18.3
19390801 19390831    82.6
19390901 19390930    10.2
19391001 19391031    46.8
19391101 19391130    72.8
19391201 19391231    22.3
19400101 19400131    21.9
19400201 19400229     1.0
19400301 19400331    12.2
19400401 19400430    99.2
19400501 19400531    14.2
19400601 19400630     3.6
19400701 19400731    10.4
19400801 19400831    13.5
19400901 19400930    84.6
19401001 19401031     5.3
19401101 19401130    15.3
19401201 19401231    81.8
19410101 19410131   167.9
19410201 19410228     8.4
19410301 19410331    26.4
19410401 19410430     0.5
19410501 19410531    25.7
19410601 19410630    52.7
19410701 19410731    22.6
19410801 19410831    14.7
19410901 19410930    26.2
19411001 19411031    24.8
19411101 19411130    40.1
19411201 19411231    10.4
19420101 19420131     0.5
19420201 19420228    82.6
19420301 19420331    32.2
19420401 19420430     0.0
19420501 19420531   116.5
19420601 19420630    70.7
19420701 19420731    61.0
19420801 19420831    27.2
19420901 19420930    45.5
19421001 19421031    30.1
19421101 19421130    64.6
19421201 19421231    57.8
19430101 19430131    56.0
19430201 19430228    28.6
19430301 19430331     3.6
19430401 19430430    58.9
19430501 19430531    59.7
19430601 19430630    19.7
19430701 19430731    37.5
19430801 19430831    49.8
19430901 19430930    32.2
19431001 19431031    44.7
19431101 19431130   113.0
19431201 19431231    16.7
19440101 19440131     7.1
19440201 19440229     6.1
19440301 19440331    35.8
19440401 19440430    15.3
19440501 19440531    59.0
19440601 19440630     1.9
19440701 19440731    19.3
19440801 19440831    50.3
19440901 19440930    12.4
19441001 19441031    15.0
19441101 19441130     8.4
19441201 19441231     2.0
19450101 19450131   105.4
19450201 19450228    61.0
19450301 19450331     6.6
19450401 19450430    47.9
19450501 19450531    86.5
19450601 19450630    87.1
19450701 19450731    31.4
19450801 19450831    59.5
19450901 19450930     2.7
19451001 19451031    18.9
19451101 19451130    17.3
19451201 19451231    11.2
19460101 19460131    36.4
19460201 19460228    72.6
19460301 19460331    74.2
19460401 19460430    16.2
19460501 19460531    15.8
19460601 19460630    20.2
19460701 19460731    19.7
19460801 19460831     9.1
19460901 19460930    13.2
19461001 19461031    21.9
19461101 19461130    46.5
19461201 19461231    31.7
19470101 19470131     5.3
19470201 19470228   100.7
19470301 19470331    35.1
19470401 19470430    11.7
19470501 19470531    45.7
19470601 19470630    16.5
19470701 19470731    77.7
19470801 19470831    36.6
19470901 19470930    65.6
19471001 19471031    73.5
19471101 19471130   114.8
19471201 19471231   124.9
19480101 19480131    32.0
19480201 19480229    99.9
19480301 19480331    19.8
19480401 19480430    47.1
19480501 19480531    47.2
19480601 19480630    76.1
19480701 19480731    17.5
19480801 19480831    32.1
19480901 19480930    24.7
19481001 19481031    13.1
19481101 19481130    26.8
19481201 19481231    33.2
19490101 19490131    18.8
19490201 19490228    83.9
19490301 19490331    84.1
19490401 19490430    27.7
19490501 19490531    42.2
19490601 19490630    43.7
19490701 19490731    39.7
19490801 19490831    26.8
19490901 19490930    66.0
19491001 19491031    68.1
19491101 19491130    73.4
19491201 19491231    22.4
19500101 19500131   108.0
19500201 19500228   136.3
19500301 19500331   180.4
19500401 19500430    57.5
19500501 19500531    32.1
19500601 19500630   117.8
19500701 19500731    90.2
19500801 19500831    52.4
19500901 19500930    64.3
19501001 19501031   202.1
19501101 19501130   174.4
19501201 19501231     1.6
19510101 19510131    48.5
19510201 19510228    32.2
19510301 19510331    37.1
19510401 19510430    20.3
19510501 19510531    70.0
19510601 19510630    62.2
19510701 19510731    42.9
19510801 19510831    65.0
19510901 19510930    32.2
19511001 19511031    12.6
19511101 19511130    16.5
19511201 19511231    19.8
19520101 19520131     0.8
19520201 19520229    23.4
19520301 19520331   120.9
19520401 19520430    77.6
19520501 19520531    65.5
19520601 19520630    47.0
19520701 19520731    84.9
19520801 19520831    83.3
19520901 19520930    25.0
19521001 19521031    71.3
19521101 19521130    40.2
19521201 19521231    37.0
19530101 19530131    59.2
19530201 19530228    12.2
19530301 19530331    19.8
19530401 19530430    11.4
19530501 19530531    60.7
19530601 19530630    11.5
19530701 19530731     2.6
19530801 19530831    62.5
19530901 19530930    19.5
19531001 19531031    36.4
19531101 19531130    52.9
19531201 19531231    42.7
19540101 19540131   105.7
19540201 19540228    88.7
19540301 19540331     0.0
19540401 19540430    48.3
19540501 19540531     3.8
19540601 19540630    36.9
19540701 19540731     7.8
19540801 19540831    21.3
19540901 19540930    22.3
19541001 19541031   134.7
19541101 19541130   100.5
19541201 19541231    55.3
19550101 19550131    75.5
19550201 19550228   252.1
19550301 19550331     3.0
19550401 19550430     6.9
19550501 19550531    57.5
19550601 19550630    51.1
19550701 19550731    31.3
19550801 19550831    40.0
19550901 19550930    49.1
19551001 19551031    94.2
19551101 19551130    42.4
19551201 19551231    37.4
19560101 19560131   190.3
19560201 19560229   181.5
19560301 19560331   279.4
19560401 19560430    63.4
19560501 19560531    73.4
19560601 19560630    74.9
19560701 19560731    71.8
19560801 19560831    37.6
19560901 19560930    43.5
19561001 19561031    99.2
19561101 19561130    10.1
19561201 19561231     5.3
19570101 19570131    15.8
19570201 19570228    55.4
19570301 19570331    17.0
19570401 19570430    25.7
19570501 19570531     2.0
19570601 19570630    13.3
19570701 19570731    90.8
19570801 19570831    20.3
19570901 19570930     0.0
19571001 19571031    10.4
