PRCP       018031 19100101 20171231 missing_value=99999.9 GILLES DOWNS                              
19850201 19850228     0.0
19850301 19850331    29.5
19850401 19850430    14.0
19850501 19850531     9.2
19850601 19850630    11.0
19850701 19850731     8.8
19850801 19850831    77.6
19850901 19850930     6.0
19851001 19851031    35.8
19851101 19851130    16.6
19851201 19851231    11.2
19860101 19860131     0.0
19860201 19860228    11.4
19860301 19860331     0.8
19860401 19860430     0.0
19860501 19860531    18.1
19860601 19860630    20.6
19860701 19860731    63.8
19860801 19860831    41.6
19860901 19860930    14.4
19861001 19861031    41.8
19861101 19861130    23.8
19861201 19861231    19.8
19870101 19870131    36.4
19870201 19870228    24.4
19870301 19870331     6.6
19870401 19870430    10.6
19870501 19870531    38.4
19870601 19870630    14.8
19870701 19870731    13.0
19870801 19870831    19.4
19870901 19870930    18.2
19871001 19871031     5.2
19871101 19871130     9.0
19871201 19871231    14.6
19880101 19880131    12.0
19880201 19880229     4.0
19880301 19880331    20.0
19880401 19880430     7.4
19880501 19880531    34.4
19880601 19880630    33.2
19880701 19880731    23.0
19880801 19880831     1.6
19880901 19880930    24.3
19881001 19881031    12.2
19881101 19881130    20.0
19881201 19881231     4.4
19890101 19890131     0.0
19890201 19890228     0.0
19890301 19890331    48.0
19890401 19890430    13.6
19890501 19890531    33.8
19890601 19890630    43.4
19890701 19890731    35.6
19890801 19890831     8.2
19890901 19890930     8.0
19891001 19891031    22.6
19891101 19891130    35.2
19891201 19891231    67.0
19900101 19900131     6.2
19900201 19900228     7.0
19900301 19900331     2.2
19900401 19900430    16.8
19900501 19900531    20.8
19900601 19900630    34.2
19900701 19900731    27.8
19900801 19900831    26.8
19900901 19900930    22.2
19901001 19901031     7.6
19901101 19901130     0.0
19901201 19901231    27.0
19910101 19910131     5.2
19910201 19910228     0.0
19910301 19910331     7.8
19910401 19910430    13.2
19910501 19910531     7.0
19910601 19910630    80.8
19910701 19910731    18.4
19910801 19910831    15.4
19910901 19910930    12.0
19911001 19911031     1.8
19911101 19911130    54.0
19911201 19911231     0.6
19920101 19920131     5.8
19920201 19920229    22.6
19920301 19920331    65.8
19920401 19920430    34.8
19920501 19920531    37.0
19920601 19920630    13.0
19920701 19920731     7.0
19920801 19920831    36.6
19920901 19920930    57.2
19921001 19921031    48.6
19921101 19921130    27.2
19921201 19921231   111.0
19930101 19930131    55.6
19930201 19930228     5.2
19930301 19930331     3.8
19930401 19930430     1.6
19930501 19930531    24.8
19930601 19930630    13.0
19930701 19930731    22.2
19930801 19930831    11.8
19930901 19930930    34.4
19931001 19931031    60.4
19931101 19931130     3.2
19931201 19931231    58.6
19940101 19940131     4.2
19940201 19940228    16.6
19940301 19940331     0.0
19940401 19940430 99999.9
19940501 19940531     2.4
19940601 19940630    52.0
19940701 19940731    12.2
19940801 19940831     2.2
19940901 19940930     8.0
19941001 19941031     2.6
19941101 19941130    10.6
19941201 19941231     1.6
19950101 19950131    39.6
19950201 19950228     2.6
19950301 19950331    35.8
19950401 19950430     9.2
19950501 19950531    27.2
19950601 19950630    59.8
19950701 19950731    44.0
19950801 19950831     7.4
19950901 19950930    10.6
19951001 19951031    18.6
19951101 19951130    11.8
19951201 19951231     9.2
19960101 19960131     4.2
19960201 19960229     6.2
19960301 19960331     1.6
19960401 19960430     0.8
19960501 19960531     3.8
19960601 19960630    31.2
19960701 19960731    40.8
19960801 19960831    38.0
19960901 19960930    43.2
19961001 19961031    29.2
19961101 19961130     5.6
19961201 19961231     6.4
19970101 19970131    24.8
19970201 19970228    63.2
19970301 19970331     0.0
19970401 19970430     0.2
19970501 19970531    19.6
19970601 19970630     4.2
19970701 19970731     2.2
19970801 19970831    40.4
19970901 19970930    71.4
19971001 19971031    52.6
19971101 19971130    24.6
19971201 19971231    49.0
19980101 19980131     5.4
19980201 19980228    40.2
19980301 19980331     9.0
19980401 19980430    45.0
19980501 19980531     2.0
19980601 19980630    19.2
19980701 19980731    38.2
19980801 19980831    23.4
19980901 19980930    23.0
19981001 19981031    12.4
19981101 19981130    61.6
19981201 19981231    22.2
19990101 19990131    36.4
19990201 19990228     3.4
19990301 19990331    23.8
19990401 19990430     0.0
19990501 19990531    32.0
19990601 19990630    24.6
19990701 19990731     5.4
19990801 19990831     9.4
19990901 19990930    11.2
19991001 19991031    39.4
19991101 19991130    19.2
19991201 19991231    24.2
20000101 20000131     0.4
20000201 20000229    42.8
20000301 20000331     8.6
20000401 20000430    18.6
20000501 20000531    12.2
20000601 20000630     8.6
20000701 20000731    20.6
20000801 20000831    43.6
