PRCP       086131 18630101 20180131 missing_value=99999.9 YAN YEAN                                  
19240701 19240731    30.4
19240801 19240831   113.8
19240901 19240930    67.6
19241001 19241031   117.0
19241101 19241130   111.9
19241201 19241231    54.0
19250101 19250131    74.0
19250201 19250228    33.2
19250301 19250331    29.9
19250401 19250430    29.6
19250501 19250531    30.8
19250601 19250630    19.6
19250701 19250731    71.0
19250801 19250831    32.6
19250901 19250930    46.5
19251001 19251031    23.0
19251101 19251130    58.3
19251201 19251231     7.1
19260101 19260131    62.4
19260201 19260228     3.1
19260301 19260331    26.7
19260401 19260430    66.8
19260501 19260531    48.1
19260601 19260630    70.2
19260701 19260731    34.3
19260801 19260831    45.0
19260901 19260930    21.8
19261001 19261031    66.9
19261101 19261130    30.2
19261201 19261231    26.3
19270101 19270131    20.6
19270201 19270228    24.5
19270301 19270331    19.2
19270401 19270430    10.2
19270501 19270531    35.0
19270601 19270630    36.9
19270701 19270731    49.4
19270801 19270831    42.8
19270901 19270930    62.2
19271001 19271031    80.1
19271101 19271130    23.6
19271201 19271231    35.7
19280101 19280131    67.6
19280201 19280229   158.2
19280301 19280331    56.5
19280401 19280430    45.7
19280501 19280531    62.6
19280601 19280630    43.7
19280701 19280731    22.1
19280801 19280831    10.9
19280901 19280930    37.3
19281001 19281031    61.4
19281101 19281130    16.4
19281201 19281231    25.5
19290101 19290131    29.0
19290201 19290228    25.4
19290301 19290331    35.3
19290401 19290430   128.2
19290501 19290531    72.4
19290601 19290630    35.0
19290701 19290731    37.0
19290801 19290831    51.6
19290901 19290930    43.6
19291001 19291031    79.7
19291101 19291130    91.2
19291201 19291231    88.7
19300101 19300131     2.4
19300201 19300228    79.6
19300301 19300331    20.3
19300401 19300430    37.6
19300501 19300531   109.7
19300601 19300630    32.3
19300701 19300731    29.9
19300801 19300831    82.3
19300901 19300930    42.5
19301001 19301031    81.4
19301101 19301130    56.9
19301201 19301231   211.8
19310101 19310131    53.3
19310201 19310228    29.6
19310301 19310331   182.7
19310401 19310430    84.5
19310501 19310531    73.1
19310601 19310630   103.7
19310701 19310731    44.2
19310801 19310831    59.9
19310901 19310930    67.7
19311001 19311031    37.1
19311101 19311130   121.1
19311201 19311231    21.5
19320101 19320131     2.8
19320201 19320229    50.8
19320301 19320331    85.2
19320401 19320430   175.5
19320501 19320531    26.0
19320601 19320630    55.2
19320701 19320731    57.6
19320801 19320831   106.0
19320901 19320930    22.3
19321001 19321031   109.2
19321101 19321130     8.2
19321201 19321231   103.4
19330101 19330131    26.8
19330201 19330228    13.3
19330301 19330331    52.0
19330401 19330430    11.5
19330501 19330531    34.6
19330601 19330630    39.3
19330701 19330731    85.5
19330801 19330831    45.4
19330901 19330930    53.5
19331001 19331031    36.5
19331101 19331130    45.8
19331201 19331231   129.0
19340101 19340131   107.2
19340201 19340228    61.3
19340301 19340331    12.4
19340401 19340430   104.9
19340501 19340531     2.3
19340601 19340630    34.5
19340701 19340731    50.3
19340801 19340831    60.9
19340901 19340930    33.7
19341001 19341031   195.5
19341101 19341130   142.4
19341201 19341231    95.3
19350101 19350131    56.5
19350201 19350228    83.6
19350301 19350331    37.2
19350401 19350430   207.8
19350501 19350531    36.1
19350601 19350630    65.8
19350701 19350731    45.7
19350801 19350831    35.9
19350901 19350930    50.1
19351001 19351031    79.8
19351101 19351130    41.8
19351201 19351231    47.7
19360101 19360131    38.4
19360201 19360229    14.3
19360301 19360331     7.1
19360401 19360430    96.1
19360501 19360531    30.8
19360601 19360630    66.4
19360701 19360731    98.8
19360801 19360831    52.2
19360901 19360930    34.4
19361001 19361031    59.7
19361101 19361130    44.9
19361201 19361231    77.0
19370101 19370131    81.5
19370201 19370228    45.6
19370301 19370331    33.1
19370401 19370430    31.1
19370501 19370531    31.2
19370601 19370630    39.5
19370701 19370731    42.6
19370801 19370831    50.2
19370901 19370930    42.8
19371001 19371031   150.4
19371101 19371130    14.3
19371201 19371231    38.2
19380101 19380131    49.9
19380201 19380228    51.9
19380301 19380331    34.7
19380401 19380430    48.3
19380501 19380531    10.0
19380601 19380630    83.7
19380701 19380731    36.9
19380801 19380831    26.5
19380901 19380930    10.0
19381001 19381031    21.4
19381101 19381130    24.7
19381201 19381231     9.4
19390101 19390131    11.6
19390201 19390228   170.7
19390301 19390331    41.2
19390401 19390430   122.8
19390501 19390531    48.3
19390601 19390630    75.9
19390701 19390731    22.9
19390801 19390831   151.1
19390901 19390930    61.0
19391001 19391031    52.9
19391101 19391130   114.9
19391201 19391231    27.7
19400101 19400131    39.7
19400201 19400229    23.7
19400301 19400331    18.7
19400401 19400430    63.4
19400501 19400531    31.9
19400601 19400630    32.9
19400701 19400731    49.2
19400801 19400831    30.8
19400901 19400930    76.9
19401001 19401031    19.4
19401101 19401130    46.0
19401201 19401231    33.8
19410101 19410131   140.0
19410201 19410228    24.9
19410301 19410331    43.4
19410401 19410430    44.4
19410501 19410531    20.2
19410601 19410630   105.6
19410701 19410731    49.0
19410801 19410831    59.8
19410901 19410930    68.2
19411001 19411031    57.4
19411101 19411130    36.7
19411201 19411231   131.1
19420101 19420131    35.0
19420201 19420228    57.8
19420301 19420331    73.5
19420401 19420430    37.7
19420501 19420531   148.1
19420601 19420630    22.8
19420701 19420731    29.0
19420801 19420831    40.0
19420901 19420930    36.6
19421001 19421031    77.9
19421101 19421130    73.2
19421201 19421231    19.7
19430101 19430131    65.1
19430201 19430228    44.6
19430301 19430331     5.0
19430401 19430430    50.4
19430501 19430531    32.2
19430601 19430630    56.1
19430701 19430731    28.3
19430801 19430831    21.1
19430901 19430930    51.0
19431001 19431031    27.8
19431101 19431130    71.2
19431201 19431231    23.1
19440101 19440131    26.7
19440201 19440229     8.9
19440301 19440331    41.5
19440401 19440430    84.5
19440501 19440531   111.6
19440601 19440630    30.6
19440701 19440731    33.1
19440801 19440831    13.7
19440901 19440930    43.5
19441001 19441031    59.8
19441101 19441130    27.0
19441201 19441231    43.5
19450101 19450131    46.2
19450201 19450228     5.8
19450301 19450331     6.9
19450401 19450430    14.5
19450501 19450531    37.4
19450601 19450630    23.4
19450701 19450731    40.5
19450801 19450831    62.2
19450901 19450930    34.0
19451001 19451031    31.2
19451101 19451130    56.7
19451201 19451231    12.9
19460101 19460131    64.2
19460201 19460228   136.7
19460301 19460331    43.8
19460401 19460430    37.6
19460501 19460531    16.5
19460601 19460630    81.7
19460701 19460731    62.7
19460801 19460831    32.5
19460901 19460930    56.8
19461001 19461031    36.9
19461101 19461130    51.1
19461201 19461231    48.5
19470101 19470131     5.5
19470201 19470228    42.3
19470301 19470331   151.4
19470401 19470430    59.8
19470501 19470531    19.6
19470601 19470630    32.0
19470701 19470731    82.8
19470801 19470831    46.0
19470901 19470930    49.2
19471001 19471031    97.9
19471101 19471130    53.5
19471201 19471231    97.8
19480101 19480131    35.3
19480201 19480229    56.6
19480301 19480331     2.6
19480401 19480430    90.3
19480501 19480531    58.0
19480601 19480630    37.2
19480701 19480731    28.7
19480801 19480831    16.6
19480901 19480930    62.7
19481001 19481031    81.2
19481101 19481130    45.7
19481201 19481231    40.6
19490101 19490131    50.6
19490201 19490228    55.5
19490301 19490331   140.8
19490401 19490430    28.2
19490501 19490531    53.5
19490601 19490630    51.4
19490701 19490731    50.7
19490801 19490831    27.5
19490901 19490930    44.4
19491001 19491031   107.4
19491101 19491130   123.4
19491201 19491231    29.6
19500101 19500131    17.0
19500201 19500228    94.4
19500301 19500331    96.3
19500401 19500430    48.2
19500501 19500531    51.3
19500601 19500630    17.2
19500701 19500731    37.5
19500801 19500831    41.9
19500901 19500930    92.5
19501001 19501031    86.3
19501101 19501130    69.8
19501201 19501231    71.0
19510101 19510131    35.1
19510201 19510228   164.0
19510301 19510331     6.4
19510401 19510430    93.2
19510501 19510531    96.7
19510601 19510630    56.1
19510701 19510731    63.8
19510801 19510831    77.3
19510901 19510930    40.7
19511001 19511031    59.3
19511101 19511130    76.5
19511201 19511231    45.6
19520101 19520131    29.5
19520201 19520229    44.0
19520301 19520331    31.6
19520401 19520430    62.8
19520501 19520531    62.6
19520601 19520630   112.6
19520701 19520731   110.2
19520801 19520831    65.8
19520901 19520930    70.0
19521001 19521031    92.4
19521101 19521130   132.0
19521201 19521231    77.5
19530101 19530131    76.1
19530201 19530228    44.7
