PRCP       016027 19090501 20171130 missing_value=99999.9 MCDOUALL PEAK                             
19660801 19660831     5.1
19660901 19660930     0.0
19661001 19661031     1.5
19661101 19661130    27.5
19661201 19661231    40.9
19670101 19670131     2.8
19670201 19670228    14.7
19670301 19670331     0.0
19670401 19670430     0.0
19670501 19670531     5.4
19670601 19670630     0.0
19670701 19670731     3.0
19670801 19670831     6.4
19670901 19670930     2.8
19671001 19671031     6.4
19671101 19671130     2.8
19671201 19671231     0.8
19680101 19680131    27.4
19680201 19680229     4.8
19680301 19680331     0.0
19680401 19680430    40.7
19680501 19680531    25.7
19680601 19680630    17.0
19680701 19680731    33.2
19680801 19680831     6.3
19680901 19680930     9.7
19681001 19681031     0.0
19681101 19681130     8.7
19681201 19681231    11.7
19690101 19690131     3.6
19690201 19690228    25.0
19690301 19690331   106.4
19690401 19690430     1.0
19690501 19690531    21.4
19690601 19690630    21.8
19690701 19690731    20.3
19690801 19690831     9.7
19690901 19690930     9.6
19691001 19691031     3.8
19691101 19691130    16.0
19691201 19691231     0.8
19700101 19700131     0.0
19700201 19700228     0.0
19700301 19700331     0.0
19700401 19700430     1.3
19700501 19700531     1.3
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     6.1
19700901 19700930    17.7
19701001 19701031    11.4
19701101 19701130    14.2
19701201 19701231     1.5
19710101 19710131     0.0
19710201 19710228     2.8
19710301 19710331    29.9
19710401 19710430    15.2
19710501 19710531     0.0
19710601 19710630    25.9
19710701 19710731     6.6
19710801 19710831    34.6
19710901 19710930     1.3
19711001 19711031     0.0
19711101 19711130    43.7
19711201 19711231    24.9
19720101 19720131    47.7
19720201 19720229     0.0
19720301 19720331     0.0
19720401 19720430     0.0
19720501 19720531     0.0
19720601 19720630     1.5
19720701 19720731     0.6
19720801 19720831    10.4
19720901 19720930    10.2
19721001 19721031     0.0
19721101 19721130     2.5
19721201 19721231     0.0
19730101 19730131    15.5
19730201 19730228   116.8
19730301 19730331    29.9
19730401 19730430    10.7
19730501 19730531     8.8
19730601 19730630    50.9
19730701 19730731    59.2
19730801 19730831    56.1
19730901 19730930     9.9
19731001 19731031    23.4
19731101 19731130    15.0
19731201 19731231     7.6
19740101 19740131    40.4
19740201 19740228    12.6
19740301 19740331     2.6
19740401 19740430    27.6
19740501 19740531    74.4
19740601 19740630     3.4
19740701 19740731    22.4
19740801 19740831    16.0
19740901 19740930    35.8
19741001 19741031    64.7
19741101 19741130     7.4
19741201 19741231     2.6
19750101 19750131    11.0
19750201 19750228    14.8
19750301 19750331     4.2
19750401 19750430    11.6
19750501 19750531     5.0
19750601 19750630     8.0
19750701 19750731     8.4
19750801 19750831    19.6
19750901 19750930    28.6
19751001 19751031    50.8
19751101 19751130     4.6
19751201 19751231     0.6
19760101 19760131    74.0
19760201 19760229    16.8
19760301 19760331     0.0
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     4.4
19760901 19760930     7.0
19761001 19761031    62.9
19761101 19761130     9.4
19761201 19761231     4.2
19770101 19770131     0.0
19770201 19770228     3.2
19770301 19770331     1.6
19770401 19770430     0.0
19770501 19770531     7.8
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831    26.0
19770901 19770930    19.2
19771001 19771031     7.2
19771101 19771130    20.8
19771201 19771231     6.0
19780101 19780131    44.0
19780201 19780228     2.0
19780301 19780331     0.0
19780401 19780430     0.0
19780501 19780531    29.8
19780601 19780630    26.4
19780701 19780731    36.6
19780801 19780831    39.8
19780901 19780930     8.0
19781001 19781031     0.0
19781101 19781130     7.6
19781201 19781231     1.8
19790101 19790131     1.2
19790201 19790228    18.2
19790301 19790331     2.6
19790401 19790430    21.8
19790501 19790531    71.6
19790601 19790630    10.0
19790701 19790731     5.6
19790801 19790831    50.4
19790901 19790930    45.4
19791001 19791031     0.0
19791101 19791130    45.2
19791201 19791231     4.4
19800101 19800131    15.4
19800201 19800229    28.6
19800301 19800331     0.0
19800401 19800430    23.0
19800501 19800531    10.2
19800601 19800630     6.2
19800701 19800731    10.4
19800801 19800831     0.6
19800901 19800930     0.6
19801001 19801031     7.4
19801101 19801130     5.2
19801201 19801231    18.6
19810101 19810131    95.6
19810201 19810228    34.4
19810301 19810331    13.4
19810401 19810430     0.0
19810501 19810531    17.6
19810601 19810630     5.0
19810701 19810731     6.8
19810801 19810831     8.6
19810901 19810930    17.4
19811001 19811031     1.0
19811101 19811130    11.4
19811201 19811231    13.0
19820101 19820131    13.0
19820201 19820228    11.6
19820301 19820331    20.2
19820401 19820430     0.0
19820501 19820531     0.6
19820601 19820630    13.2
19820701 19820731     0.0
19820801 19820831     0.6
19820901 19820930     7.8
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231    17.0
19830101 19830131     4.8
19830201 19830228     0.0
19830301 19830331     8.8
19830401 19830430    11.6
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     1.2
19830801 19830831     1.0
19830901 19830930     2.4
19831001 19831031    17.2
19831101 19831130     3.8
19831201 19831231    37.8
19840101 19840131    34.4
19840201 19840229     0.0
19840301 19840331     0.6
19840401 19840430     7.0
19840501 19840531    10.4
19840601 19840630    31.8
19840701 19840731     8.0
19840801 19840831     6.4
19840901 19840930    12.2
19841001 19841031    15.0
19841101 19841130     5.8
19841201 19841231     0.0
19850101 19850131     2.8
19850201 19850228     0.0
19850301 19850331    53.0
19850401 19850430     0.0
19850501 19850531    11.4
19850601 19850630     0.0
19850701 19850731     1.8
19850801 19850831    34.4
19850901 19850930     0.0
19851001 19851031    38.0
19851101 19851130     3.4
19851201 19851231     0.0
19860101 19860131     0.0
19860201 19860228     7.0
19860301 19860331     0.0
19860401 19860430     0.0
19860501 19860531     7.4
19860601 19860630     5.6
19860701 19860731    47.6
19860801 19860831     0.8
19860901 19860930     0.4
19861001 19861031    23.2
19861101 19861130     2.0
19861201 19861231    34.0
19870101 19870131    92.6
19870201 19870228    39.6
19870301 19870331     0.0
19870401 19870430     2.6
19870501 19870531    10.2
19870601 19870630     5.4
19870701 19870731 99999.9
19870801 19870831     0.2
19870901 19870930    21.2
19871001 19871031     0.0
19871101 19871130     0.0
19871201 19871231    41.6
19880101 19880131     3.6
19880201 19880229     0.0
19880301 19880331    19.6
19880401 19880430     0.0
19880501 19880531    22.4
19880601 19880630     1.4
19880701 19880731     4.2
19880801 19880831     0.0
19880901 19880930     2.6
19881001 19881031     0.0
19881101 19881130    10.0
19881201 19881231   100.4
19890101 19890131     0.0
19890201 19890228     0.0
19890301 19890331   194.2
19890401 19890430     8.2
19890501 19890531    27.4
19890601 19890630    40.8
19890701 19890731     7.4
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     7.8
19891101 19891130    10.6
19891201 19891231    13.4
19900101 19900131    46.4
19900201 19900228    10.2
19900301 19900331     1.2
19900401 19900430     0.6
19900501 19900531    39.6
19900601 19900630     2.6
19900701 19900731     7.4
19900801 19900831    13.2
19900901 19900930     4.8
19901001 19901031     2.4
19901101 19901130     2.6
19901201 19901231    29.2
19910101 19910131     1.4
19910201 19910228     0.0
19910301 19910331    11.6
19910401 19910430     4.0
19910501 19910531     0.5
19910601 19910630    45.2
19910701 19910731     2.2
19910801 19910831     6.0
19910901 19910930     2.4
19911001 19911031     0.0
19911101 19911130    26.0
19911201 19911231     0.8
19920101 19920131     0.4
19920201 19920229    95.8
19920301 19920331    14.4
19920401 19920430     4.0
19920501 19920531    18.2
19920601 19920630     5.8
19920701 19920731     0.4
19920801 19920831    38.6
19920901 19920930    20.0
19921001 19921031    71.0
19921101 19921130     6.8
19921201 19921231    49.8
19930101 19930131    25.2
19930201 19930228     2.4
19930301 19930331     0.0
19930401 19930430     0.0
19930501 19930531    10.8
19930601 19930630     0.0
19930701 19930731    22.6
19930801 19930831     1.4
19930901 19930930    31.2
19931001 19931031    58.4
19931101 19931130    22.0
19931201 19931231    11.8
19940101 19940131     1.0
19940201 19940228    31.6
19940301 19940331     0.0
