PRCP       047031 18910501 20171231 missing_value=99999.9 STEPHENS CREEK RESERVOIR                  
19800501 19800531    24.4
19800601 19800630    15.7
19800701 19800731    18.0
19800801 19800831    27.1
19800901 19800930     1.5
19801001 19801031    22.2
19801101 19801130    19.4
19801201 19801231     4.0
19810101 19810131     9.2
19810201 19810228    12.4
19810301 19810331     1.2
19810401 19810430     0.0
19810501 19810531    76.8
19810601 19810630    15.4
19810701 19810731    41.2
19810801 19810831     5.4
19810901 19810930    13.6
19811001 19811031    11.4
19811101 19811130    16.1
19811201 19811231    14.6
19820101 19820131    20.8
19820201 19820228     0.0
19820301 19820331    23.2
19820401 19820430     2.0
19820501 19820531     1.0
19820601 19820630     3.6
19820701 19820731     1.6
19820801 19820831     0.6
19820901 19820930    18.0
19821001 19821031     0.2
19821101 19821130     0.0
19821201 19821231     0.2
19830101 19830131     0.6
19830201 19830228    13.4
19830301 19830331    17.8
19830401 19830430    19.8
19830501 19830531    14.2
19830601 19830630     3.2
19830701 19830731    25.8
19830801 19830831    34.6
19830901 19830930     6.6
19831001 19831031    75.6
19831101 19831130    66.8
19831201 19831231   103.6
19840101 19840131    91.0
19840201 19840229     0.8
19840301 19840331     8.8
19840401 19840430    56.2
19840501 19840531     1.0
19840601 19840630     7.0
19840701 19840731    35.4
19840801 19840831    13.2
19840901 19840930     9.8
19841001 19841031    13.0
19841101 19841130     1.4
19841201 19841231     7.0
19850101 19850131     3.8
19850201 19850228     0.0
19850301 19850331     4.0
19850401 19850430     4.4
19850501 19850531    48.6
19850601 19850630    15.8
19850701 19850731     1.8
19850801 19850831    44.2
19850901 19850930     1.2
19851001 19851031    43.0
19851101 19851130    18.0
19851201 19851231    14.6
19860101 19860131     0.0
19860201 19860228     2.4
19860301 19860331     0.0
19860401 19860430     0.4
19860501 19860531    20.2
19860601 19860630     0.8
19860701 19860731    15.0
19860801 19860831    28.4
19860901 19860930    24.2
19861001 19861031    48.8
19861101 19861130     7.8
19861201 19861231    38.6
19870101 19870131    29.4
19870201 19870228    36.4
19870301 19870331    39.8
