PRCP       009503 18970701 20140831 missing_value=99999.9 BOYANUP POST OFFICE                       
19490401 19490430   142.1
19490501 19490531    24.2
19490601 19490630   149.6
19490701 19490731   242.4
19490801 19490831   139.9
19490901 19490930    68.3
19491001 19491031   100.0
19491101 19491130    22.1
19491201 19491231     0.0
19500101 19500131    10.4
19500201 19500228     0.5
19500301 19500331     0.0
19500401 19500430     9.9
19500501 19500531   147.7
19500601 19500630   248.7
19500701 19500731   198.6
19500801 19500831   151.3
19500901 19500930   140.0
19501001 19501031    76.6
19501101 19501130    66.0
19501201 19501231    18.8
19510101 19510131    11.4
19510201 19510228    37.9
19510301 19510331     5.9
19510401 19510430    77.8
19510501 19510531    64.2
19510601 19510630   274.2
19510701 19510731   103.5
19510801 19510831    99.7
19510901 19510930    50.5
19511001 19511031    76.3
19511101 19511130    33.1
19511201 19511231    41.8
19520101 19520131     0.8
19520201 19520229     3.6
19520301 19520331    39.4
19520401 19520430     2.3
19520501 19520531   157.2
19520601 19520630   239.5
19520701 19520731   132.4
19520801 19520831   133.5
19520901 19520930    65.1
19521001 19521031    70.3
19521101 19521130    52.9
19521201 19521231     9.3
19530101 19530131     1.0
19530201 19530228    51.9
19530301 19530331     3.0
19530401 19530430    10.2
19530501 19530531   167.6
19530601 19530630   242.9
19530701 19530731   134.4
19530801 19530831    52.9
19530901 19530930    51.8
19531001 19531031   127.7
19531101 19531130    20.6
19531201 19531231     0.0
19540101 19540131    12.2
19540201 19540228     0.0
19540301 19540331     5.3
19540401 19540430    74.1
19540501 19540531   170.2
19540601 19540630   168.3
19540701 19540731   215.2
19540801 19540831    98.3
19540901 19540930    47.9
19541001 19541031    60.0
19541101 19541130    30.0
19541201 19541231     1.8
19550101 19550131     7.6
19550201 19550228    86.6
19550301 19550331     0.0
19550401 19550430    70.3
19550501 19550531   150.0
19550601 19550630    97.9
19550701 19550731   165.7
19550801 19550831   288.7
19550901 19550930   103.9
19551001 19551031    92.6
19551101 19551130    14.8
19551201 19551231    17.3
19560101 19560131     0.0
19560201 19560229     0.0
19560301 19560331    80.5
19560401 19560430    35.0
19560501 19560531   264.1
19560601 19560630   151.4
19560701 19560731   160.5
19560801 19560831    49.8
19560901 19560930    74.4
19561001 19561031    32.7
19561101 19561130    47.7
19561201 19561231     3.6
19570101 19570131     1.3
19570201 19570228     0.0
19570301 19570331    24.5
19570401 19570430    89.2
19570501 19570531   173.3
19570601 19570630   343.4
19570701 19570731    88.8
19570801 19570831   142.7
19570901 19570930    69.2
19571001 19571031    42.1
19571101 19571130     3.8
19571201 19571231     0.8
19580101 19580131    10.9
19580201 19580228     5.1
19580301 19580331     0.3
19580401 19580430    31.0
19580501 19580531   191.4
19580601 19580630   116.8
19580701 19580731   373.8
19580801 19580831    70.5
19580901 19580930    41.7
19581001 19581031    45.7
19581101 19581130    36.0
19581201 19581231     9.9
19590101 19590131     8.4
19590201 19590228     8.6
19590301 19590331     6.9
19590401 19590430    71.4
19590501 19590531    68.1
19590601 19590630   302.0
19590701 19590731   103.6
19590801 19590831   105.6
19590901 19590930    30.2
19591001 19591031   106.3
19591101 19591130    40.8
19591201 19591231    32.0
19600101 19600131    57.5
19600201 19600229    10.6
