PRCP       036026 18850101 20180131 missing_value=99999.9 ISISFORD POST OFFICE                      
19440701 19440731    12.8
19440801 19440831     5.3
19440901 19440930     7.3
19441001 19441031     2.8
19441101 19441130     7.3
19441201 19441231    39.1
19450101 19450131    25.4
19450201 19450228    12.2
19450301 19450331     0.8
19450401 19450430     4.7
19450501 19450531    24.1
19450601 19450630    40.6
19450701 19450731    70.4
19450801 19450831     1.3
19450901 19450930     0.0
19451001 19451031    64.8
19451101 19451130     3.0
19451201 19451231    15.7
19460101 19460131   116.3
19460201 19460228    23.4
19460301 19460331    11.4
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     2.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130    27.7
19461201 19461231    21.6
19470101 19470131    34.6
19470201 19470228   132.1
19470301 19470331    33.6
19470401 19470430     0.0
19470501 19470531    21.4
19470601 19470630    10.2
19470701 19470731     0.0
19470801 19470831    67.9
19470901 19470930    54.4
19471001 19471031    46.0
19471101 19471130    34.4
19471201 19471231    34.6
19480101 19480131    17.0
19480201 19480229    26.2
19480301 19480331     7.0
19480401 19480430     1.0
19480501 19480531     2.3
19480601 19480630    21.6
19480701 19480731    19.4
19480801 19480831     0.0
19480901 19480930     6.8
19481001 19481031    11.4
19481101 19481130    18.6
19481201 19481231    74.6
19490101 19490131    52.1
19490201 19490228   129.6
19490301 19490331   191.3
19490401 19490430     1.5
19490501 19490531     7.9
19490601 19490630    12.2
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930    37.8
19491001 19491031   141.5
19491101 19491130    20.9
19491201 19491231    33.5
19500101 19500131   230.8
19500201 19500228    60.7
19500301 19500331   265.6
19500401 19500430   241.5
19500501 19500531   115.1
19500601 19500630    28.5
19500701 19500731   115.1
19500801 19500831     2.3
19500901 19500930    30.5
19501001 19501031    96.1
19501101 19501130    40.4
19501201 19501231    82.5
19510101 19510131   174.0
19510201 19510228    18.3
19510301 19510331    33.7
19510401 19510430     0.5
19510501 19510531     0.8
19510601 19510630    53.6
19510701 19510731     0.0
19510801 19510831     0.5
19510901 19510930     1.5
19511001 19511031    29.2
19511101 19511130    55.6
19511201 19511231    60.4
19520101 19520131    10.7
19520201 19520229    36.6
19520301 19520331     6.9
19520401 19520430    47.8
19520501 19520531    91.0
19520601 19520630     4.6
19520701 19520731     0.8
19520801 19520831     4.3
19520901 19520930     1.5
19521001 19521031    50.8
19521101 19521130    53.1
19521201 19521231    15.8
19530101 19530131   236.5
19530201 19530228   117.0
19530301 19530331     0.0
19530401 19530430     7.9
19530501 19530531    22.6
19530601 19530630     0.0
19530701 19530731     1.3
19530801 19530831    24.6
19530901 19530930     0.0
19531001 19531031     6.9
19531101 19531130     6.9
19531201 19531231     3.8
19540101 19540131   214.9
19540201 19540228   168.5
19540301 19540331     0.0
19540401 19540430    44.4
19540501 19540531     0.0
19540601 19540630    12.4
19540701 19540731    29.8
19540801 19540831    33.5
19540901 19540930     4.5
19541001 19541031   123.4
19541101 19541130    14.0
19541201 19541231    67.8
19550101 19550131    79.0
19550201 19550228   175.8
19550301 19550331   226.1
19550401 19550430   104.7
19550501 19550531   106.2
19550601 19550630     5.9
19550701 19550731    33.6
19550801 19550831     8.8
19550901 19550930     0.0
19551001 19551031    44.2
19551101 19551130     0.0
19551201 19551231     4.8
19560101 19560131    29.1
19560201 19560229   119.1
19560301 19560331   201.6
19560401 19560430    65.5
19560501 19560531    41.6
19560601 19560630    16.8
19560701 19560731    84.3
19560801 19560831     4.8
19560901 19560930     0.8
19561001 19561031    29.5
19561101 19561130    37.3
19561201 19561231    90.2
19570101 19570131    81.0
19570201 19570228   110.5
19570301 19570331    38.1
19570401 19570430    35.7
19570501 19570531     4.6
19570601 19570630    33.5
19570701 19570731    44.2
19570801 19570831     2.5
19570901 19570930     0.0
19571001 19571031     6.1
19571101 19571130    34.5
19571201 19571231    70.2
19580101 19580131    64.3
19580201 19580228    59.2
19580301 19580331    40.6
19580401 19580430    33.8
19580501 19580531     0.3
19580601 19580630    25.2
19580701 19580731     0.0
19580801 19580831     6.4
19580901 19580930     4.8
19581001 19581031    33.3
19581101 19581130    25.7
19581201 19581231    39.2
19590101 19590131    51.8
