PRCP       095016 19100701 20180131 missing_value=99999.9 OSTERLEY                                  
19710601 19710630    57.6
19710701 19710731    40.4
19710801 19710831    71.3
19710901 19710930    84.3
19711001 19711031   113.9
19711101 19711130    91.5
19711201 19711231    39.6
19720101 19720131    81.0
19720201 19720229    41.1
19720301 19720331    14.9
19720401 19720430    51.1
19720501 19720531    13.7
19720601 19720630    17.1
19720701 19720731   148.4
19720801 19720831    58.3
19720901 19720930    83.8
19721001 19721031    32.3
19721101 19721130    42.6
19721201 19721231    49.2
19730101 19730131    48.2
19730201 19730228    49.8
19730301 19730331    61.6
19730401 19730430    69.9
19730501 19730531   142.4
19730601 19730630    78.7
19730701 19730731    22.5
19730801 19730831    21.0
19730901 19730930    77.8
19731001 19731031    93.1
19731101 19731130    17.2
19731201 19731231    56.8
19740101 19740131    11.4
19740201 19740228    17.2
19740301 19740331    27.6
19740401 19740430    73.1
19740501 19740531    45.8
19740601 19740630    86.3
19740701 19740731   180.6
19740801 19740831    31.6
19740901 19740930    48.0
19741001 19741031    62.0
19741101 19741130    12.2
19741201 19741231    98.9
19750101 19750131    57.7
19750201 19750228    17.8
19750301 19750331   110.7
19750401 19750430    44.5
19750501 19750531   148.0
19750601 19750630    59.8
19750701 19750731   183.7
19750801 19750831   145.5
19750901 19750930    61.5
19751001 19751031    68.4
19751101 19751130   198.1
19751201 19751231    35.4
19760101 19760131    34.9
19760201 19760229     3.7
19760301 19760331    37.0
19760401 19760430    50.9
19760501 19760531    38.6
19760601 19760630    45.7
19760701 19760731    39.6
19760801 19760831    85.7
19760901 19760930    33.0
19761001 19761031   105.2
19761101 19761130    87.4
19761201 19761231   105.8
19770101 19770131    44.4
19770201 19770228    43.6
19770301 19770331   104.6
19770401 19770430    32.8
19770501 19770531    48.4
19770601 19770630    31.4
19770701 19770731    37.2
19770801 19770831    38.6
19770901 19770930    43.6
19771001 19771031    27.0
19771101 19771130   102.0
19771201 19771231    45.8
19780101 19780131    11.8
19780201 19780228    67.6
19780301 19780331    22.4
19780401 19780430    26.2
19780501 19780531    49.0
19780601 19780630    53.2
19780701 19780731    96.4
19780801 19780831   106.2
19780901 19780930    30.0
19781001 19781031    54.2
19781101 19781130    97.0
19781201 19781231    46.4
19790101 19790131    38.6
19790201 19790228    51.4
19790301 19790331    65.4
19790401 19790430    38.6
19790501 19790531    23.4
19790601 19790630    16.8
19790701 19790731    26.2
19790801 19790831    60.6
19790901 19790930    84.8
19791001 19791031    61.6
19791101 19791130    15.0
19791201 19791231    43.6
19800101 19800131    15.8
19800201 19800229    40.8
19800301 19800331    31.6
19800401 19800430    49.6
19800501 19800531    38.0
19800601 19800630    40.4
19800701 19800731    31.2
19800801 19800831    98.8
19800901 19800930   184.8
19801001 19801031    90.0
19801101 19801130    62.8
19801201 19801231    18.0
19810101 19810131    12.6
19810201 19810228    16.4
19810301 19810331    70.7
19810401 19810430    92.2
19810501 19810531    46.7
19810601 19810630   113.4
19810701 19810731   105.1
19810801 19810831   118.2
19810901 19810930    65.6
19811001 19811031    68.2
19811101 19811130    34.4
19811201 19811231    52.4
19820101 19820131    36.4
19820201 19820228    10.4
19820301 19820331   101.5
19820401 19820430    16.0
19820501 19820531   106.4
19820601 19820630    13.4
19820701 19820731    23.0
19820801 19820831    27.2
19820901 19820930    95.7
19821001 19821031    29.7
19821101 19821130    65.8
19821201 19821231    49.2
19830101 19830131    26.4
19830201 19830228     6.2
19830301 19830331    52.8
19830401 19830430    62.6
19830501 19830531    31.2
19830601 19830630    56.7
19830701 19830731    43.4
19830801 19830831    38.0
19830901 19830930   101.8
19831001 19831031    55.5
19831101 19831130    29.3
19831201 19831231     9.4
19840101 19840131    19.2
19840201 19840229    16.6
19840301 19840331    20.4
19840401 19840430    56.6
19840501 19840531    30.0
19840601 19840630    55.2
19840701 19840731    34.4
19840801 19840831    52.2
19840901 19840930    64.6
19841001 19841031    60.5
19841101 19841130    49.4
19841201 19841231    64.6
19850101 19850131    53.0
19850201 19850228    14.0
19850301 19850331    73.8
19850401 19850430 99999.9
19850501 19850531 99999.9
19850601 19850630 99999.9
19850701 19850731 99999.9
19850801 19850831 99999.9
19850901 19850930 99999.9
19851001 19851031 99999.9
19851101 19851130 99999.9
19851201 19851231 99999.9
19860101 19860131 99999.9
19860201 19860228 99999.9
19860301 19860331 99999.9
19860401 19860430 99999.9
19860501 19860531    62.0
19860601 19860630    40.6
19860701 19860731 99999.9
19860801 19860831    54.4
19860901 19860930    42.8
19861001 19861031    87.8
19861101 19861130    26.4
19861201 19861231    67.6
19870101 19870131    49.2
19870201 19870228    55.0
19870301 19870331    74.4
19870401 19870430    24.0
19870501 19870531    74.6
19870601 19870630    31.4
19870701 19870731    38.6
19870801 19870831    22.6
19870901 19870930    51.2
19871001 19871031    70.6
19871101 19871130   135.8
19871201 19871231    20.8
19880101 19880131    41.0
19880201 19880229    13.6
19880301 19880331    15.4
19880401 19880430    35.4
19880501 19880531    93.6
19880601 19880630    61.2
19880701 19880731    99.6
19880801 19880831    45.0
19880901 19880930    67.0
19881001 19881031   279.0
19881101 19881130   110.0
19881201 19881231    24.6
19890101 19890131    59.0
19890201 19890228    24.2
19890301 19890331    32.2
19890401 19890430    44.0
19890501 19890531    27.2
19890601 19890630    29.4
19890701 19890731    41.2
19890801 19890831    45.0
19890901 19890930    26.6
19891001 19891031   121.2
