PRCP       012029 19010101 20180131 missing_value=99999.9 FRASER RANGE                              
19760601 19760630     8.2
19760701 19760731     9.6
19760801 19760831    13.2
19760901 19760930    14.2
19761001 19761031    36.0
19761101 19761130    26.2
19761201 19761231     2.4
19770101 19770131     0.0
19770201 19770228    15.0
19770301 19770331     0.0
19770401 19770430    19.6
19770501 19770531    24.6
19770601 19770630    12.2
19770701 19770731     7.0
19770801 19770831    24.4
19770901 19770930    16.6
19771001 19771031    34.6
19771101 19771130    23.0
19771201 19771231     5.0
19780101 19780131    20.0
19780201 19780228    37.8
19780301 19780331     0.0
19780401 19780430     0.0
19780501 19780531    15.4
19780601 19780630    32.0
19780701 19780731    68.2
19780801 19780831    18.2
19780901 19780930    37.4
19781001 19781031     5.6
19781101 19781130     0.0
19781201 19781231    22.2
19790101 19790131     0.0
19790201 19790228    91.1
19790301 19790331     0.0
19790401 19790430    49.2
19790501 19790531    22.8
19790601 19790630    19.5
19790701 19790731    31.6
19790801 19790831    28.2
19790901 19790930    22.4
19791001 19791031     0.0
19791101 19791130    33.8
19791201 19791231     0.0
19800101 19800131    29.4
19800201 19800229     0.0
19800301 19800331     0.0
19800401 19800430     0.0
19800501 19800531    92.4
19800601 19800630    71.5
19800701 19800731    15.9
19800801 19800831    14.0
19800901 19800930     0.0
19801001 19801031    11.0
19801101 19801130    11.0
19801201 19801231     0.0
19810101 19810131    47.0
19810201 19810228     0.0
19810301 19810331     9.0
19810401 19810430     2.5
19810501 19810531    39.3
19810601 19810630    42.8
19810701 19810731    31.6
19810801 19810831     7.5
19810901 19810930     0.0
19811001 19811031     0.0
19811101 19811130    78.0
19811201 19811231    19.0
19820101 19820131     0.0
19820201 19820228    19.0
19820301 19820331   123.6
19820401 19820430     0.0
19820501 19820531    39.4
19820601 19820630    26.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930    20.0
19821001 19821031    48.0
19821101 19821130    44.0
19821201 19821231    52.0
19830101 19830131    20.0
19830201 19830228     0.0
19830301 19830331    26.0
19830401 19830430     0.0
19830501 19830531    22.2
19830601 19830630    18.6
19830701 19830731    25.5
19830801 19830831    21.0
19830901 19830930    26.6
19831001 19831031    26.4
19831101 19831130    49.6
19831201 19831231   130.4
19840101 19840131     0.2
19840201 19840229     1.6
19840301 19840331    68.9
19840401 19840430    29.7
19840501 19840531    58.1
19840601 19840630     7.0
19840701 19840731    65.8
19840801 19840831    60.9
19840901 19840930    63.9
19841001 19841031    29.7
19841101 19841130    10.4
19841201 19841231     6.2
19850101 19850131     0.0
19850201 19850228    20.0
19850301 19850331    43.0
19850401 19850430     0.0
19850501 19850531    29.1
19850601 19850630    17.6
