PRCP       031011 19100101 20180131 missing_value=99999.9 CAIRNS AERO                               
19680701 19680731    31.6
19680801 19680831    11.7
19680901 19680930    31.3
19681001 19681031    10.2
19681101 19681130    14.1
19681201 19681231    33.9
19690101 19690131   634.7
19690201 19690228   241.0
19690301 19690331   386.2
19690401 19690430    56.1
19690501 19690531   105.0
19690601 19690630    84.5
19690701 19690731   145.0
19690801 19690831    28.0
19690901 19690930    18.5
19691001 19691031    29.4
19691101 19691130    13.0
19691201 19691231   196.6
19700101 19700131   287.6
19700201 19700228   332.2
19700301 19700331   668.1
19700401 19700430   166.9
19700501 19700531    31.6
19700601 19700630    22.3
19700701 19700731    16.0
19700801 19700831    63.8
19700901 19700930     2.5
19701001 19701031    27.9
19701101 19701130   334.8
19701201 19701231   136.9
19710101 19710131   114.6
19710201 19710228   549.5
19710301 19710331   699.2
19710401 19710430   329.3
19710501 19710531    20.1
19710601 19710630    33.3
19710701 19710731     8.5
19710801 19710831     8.7
19710901 19710930    11.5
19711001 19711031    13.9
19711101 19711130    35.8
19711201 19711231    87.6
19720101 19720131   700.4
19720201 19720229   864.0
19720301 19720331   801.0
19720401 19720430    79.4
19720501 19720531   102.1
19720601 19720630    71.4
19720701 19720731     3.0
19720801 19720831    11.2
19720901 19720930    97.2
19721001 19721031     0.0
19721101 19721130    18.8
19721201 19721231    31.6
19730101 19730131   166.4
19730201 19730228   274.9
19730301 19730331   540.0
19730401 19730430   398.8
19730501 19730531    72.5
19730601 19730630    61.4
19730701 19730731    24.2
19730801 19730831     6.5
19730901 19730930    22.6
19731001 19731031    78.0
19731101 19731130   287.1
19731201 19731231   919.4
19740101 19740131   346.9
19740201 19740228   717.8
19740301 19740331   764.4
19740401 19740430    74.4
19740501 19740531   173.0
19740601 19740630     8.6
19740701 19740731     2.6
19740801 19740831     9.4
19740901 19740930    10.4
19741001 19741031    18.4
19741101 19741130    73.4
19741201 19741231   299.2
19750101 19750131   169.8
19750201 19750228   539.8
19750301 19750331   308.4
19750401 19750430   158.4
19750501 19750531    88.6
19750601 19750630    70.2
19750701 19750731    30.8
19750801 19750831    30.6
19750901 19750930   101.2
19751001 19751031    71.1
19751101 19751130    94.0
19751201 19751231   765.1
19760101 19760131   180.6
19760201 19760229   401.8
19760301 19760331   461.2
19760401 19760430   425.4
19760501 19760531    42.0
19760601 19760630    26.2
19760701 19760731    41.0
19760801 19760831     5.8
19760901 19760930     8.6
19761001 19761031    25.2
19761101 19761130    60.4
19761201 19761231   321.9
19770101 19770131   353.3
19770201 19770228   960.8
19770301 19770331   559.4
19770401 19770430   472.0
19770501 19770531   109.1
19770601 19770630    22.4
19770701 19770731    14.2
19770801 19770831    31.6
19770901 19770930    41.3
19771001 19771031    36.6
19771101 19771130    80.0
19771201 19771231   103.2
19780101 19780131   516.7
19780201 19780228   220.4
19780301 19780331   127.2
19780401 19780430   137.8
19780501 19780531    87.1
19780601 19780630    15.0
19780701 19780731     9.0
19780801 19780831    39.2
19780901 19780930     7.2
19781001 19781031   139.8
19781101 19781130    74.2
19781201 19781231    51.4
19790101 19790131  1333.2
19790201 19790228   506.2
19790301 19790331   405.4
19790401 19790430   196.6
19790501 19790531    59.8
19790601 19790630   115.8
19790701 19790731    20.2
19790801 19790831    17.6
19790901 19790930    10.4
19791001 19791031    17.0
19791101 19791130    23.2
19791201 19791231   130.4
19800101 19800131   281.4
19800201 19800229   402.8
19800301 19800331   199.8
19800401 19800430   123.0
19800501 19800531    95.6
19800601 19800630    43.8
19800701 19800731    21.0
19800801 19800831    54.8
19800901 19800930     0.0
19801001 19801031    14.0
19801101 19801130   100.8
19801201 19801231   134.8
19810101 19810131  1417.4
19810201 19810228   585.2
19810301 19810331   175.0
19810401 19810430    82.8
19810501 19810531   121.4
19810601 19810630    17.0
19810701 19810731    59.0
19810801 19810831     0.2
19810901 19810930    88.6
19811001 19811031    48.4
19811101 19811130   139.4
19811201 19811231    59.2
19820101 19820131   206.4
19820201 19820228   189.6
19820301 19820331   293.6
19820401 19820430   391.8
19820501 19820531    42.6
19820601 19820630    15.0
19820701 19820731    10.6
19820801 19820831    80.8
19820901 19820930    17.8
19821001 19821031     3.8
19821101 19821130    93.0
19821201 19821231   100.4
19830101 19830131    99.6
19830201 19830228    58.4
19830301 19830331   803.6
19830401 19830430   172.2
19830501 19830531   299.0
19830601 19830630    14.8
19830701 19830731    13.6
19830801 19830831    45.6
19830901 19830930    60.4
19831001 19831031    68.0
19831101 19831130    61.8
19831201 19831231   124.8
19840101 19840131   222.4
19840201 19840229   546.2
19840301 19840331   336.4
19840401 19840430   216.2
19840501 19840531    46.4
19840601 19840630    63.6
19840701 19840731    26.8
19840801 19840831     4.0
19840901 19840930     0.8
19841001 19841031    38.4
19841101 19841130   136.0
19841201 19841231   114.8
19850101 19850131   651.8
19850201 19850228   608.8
19850301 19850331   611.8
19850401 19850430   160.4
19850501 19850531    91.6
19850601 19850630    18.0
19850701 19850731    14.0
19850801 19850831    12.4
19850901 19850930    17.6
19851001 19851031    95.0
19851101 19851130   171.6
19851201 19851231    37.2
19860101 19860131   450.2
19860201 19860228   261.4
19860301 19860331   243.6
19860401 19860430   271.4
19860501 19860531    34.6
19860601 19860630    76.2
19860701 19860731    19.2
19860801 19860831    24.6
19860901 19860930    16.0
19861001 19861031    40.6
19861101 19861130    61.8
19861201 19861231    78.6
19870101 19870131   297.0
19870201 19870228   427.8
19870301 19870331   226.8
19870401 19870430   307.4
19870501 19870531   102.6
19870601 19870630   144.2
19870701 19870731    41.4
19870801 19870831    16.0
19870901 19870930    63.2
19871001 19871031    13.0
19871101 19871130    62.8
19871201 19871231   291.2
19880101 19880131   133.2
19880201 19880229   159.8
19880301 19880331   338.4
19880401 19880430   103.8
19880501 19880531   101.6
19880601 19880630    34.2
19880701 19880731    39.4
19880801 19880831    31.8
19880901 19880930    87.6
19881001 19881031    34.8
19881101 19881130   275.8
19881201 19881231   261.8
19890101 19890131   327.4
19890201 19890228   246.2
19890301 19890331   520.2
19890401 19890430   550.6
19890501 19890531   160.2
19890601 19890630    42.8
19890701 19890731    14.6
19890801 19890831     0.8
19890901 19890930     5.6
19891001 19891031    82.8
19891101 19891130   372.0
