PRCP       080065 18930101 20180131 missing_value=99999.9 YARROWEYAH                                
19471001 19471031    47.1
19471101 19471130    33.2
19471201 19471231    71.9
19480101 19480131     9.2
19480201 19480229    79.1
19480301 19480331     0.0
19480401 19480430    35.5
19480501 19480531    51.8
19480601 19480630    57.5
19480701 19480731    25.1
19480801 19480831     8.2
19480901 19480930    28.5
19481001 19481031    44.5
19481101 19481130    26.3
19481201 19481231    66.5
19490101 19490131     4.3
19490201 19490228    58.4
19490301 19490331    72.5
19490401 19490430     7.6
19490501 19490531    56.3
19490601 19490630    24.9
19490701 19490731    32.0
19490801 19490831    10.5
19490901 19490930    37.1
19491001 19491031   102.3
19491101 19491130    71.0
19491201 19491231     0.8
19500101 19500131     0.0
19500201 19500228    74.7
19500301 19500331   180.8
19500401 19500430    45.4
19500501 19500531    44.5
19500601 19500630    26.0
19500701 19500731    30.7
19500801 19500831    21.3
19500901 19500930    29.7
19501001 19501031    63.9
19501101 19501130    55.4
19501201 19501231    20.7
19510101 19510131    31.0
19510201 19510228    67.4
19510301 19510331     1.0
19510401 19510430    18.0
19510501 19510531    65.2
19510601 19510630    73.3
19510701 19510731    57.5
19510801 19510831    60.4
19510901 19510930    23.1
19511001 19511031    47.1
19511101 19511130    11.2
19511201 19511231    12.5
19520101 19520131     3.6
19520201 19520229     1.8
19520301 19520331    17.3
19520401 19520430    52.8
19520501 19520531    79.5
19520601 19520630    80.1
19520701 19520731    20.9
19520801 19520831    43.3
19520901 19520930    43.0
19521001 19521031    98.1
19521101 19521130    80.2
19521201 19521231    55.2
19530101 19530131    33.8
19530201 19530228    22.4
19530301 19530331     9.2
19530401 19530430    35.3
19530501 19530531    21.9
19530601 19530630    53.7
19530701 19530731    34.9
19530801 19530831    71.7
19530901 19530930    61.4
19531001 19531031    77.5
19531101 19531130    22.8
19531201 19531231     4.0
19540101 19540131   183.0
19540201 19540228     7.4
19540301 19540331     2.3
19540401 19540430    35.2
19540501 19540531    18.7
19540601 19540630    56.9
19540701 19540731    18.0
19540801 19540831    42.6
19540901 19540930    25.9
19541001 19541031    39.7
19541101 19541130    79.5
19541201 19541231    87.5
19550101 19550131     6.4
19550201 19550228   179.4
19550301 19550331    32.7
19550401 19550430     2.9
19550501 19550531    63.7
19550601 19550630    60.9
19550701 19550731    57.9
19550801 19550831    64.0
19550901 19550930    81.1
19551001 19551031    63.2
19551101 19551130    35.1
19551201 19551231    38.7
19560101 19560131    84.4
19560201 19560229    12.1
19560301 19560331   224.8
19560401 19560430    62.1
19560501 19560531   160.9
19560601 19560630    81.3
19560701 19560731    92.9
19560801 19560831    39.6
19560901 19560930    45.5
19561001 19561031   114.3
19561101 19561130    31.8
19561201 19561231     4.8
19570101 19570131     0.0
19570201 19570228    36.0
19570301 19570331    26.4
19570401 19570430    11.7
19570501 19570531    10.4
19570601 19570630    73.3
19570701 19570731    62.7
19570801 19570831    26.8
19570901 19570930    18.6
19571001 19571031    46.3
19571101 19571130    16.1
19571201 19571231    32.7
19580101 19580131     5.8
19580201 19580228     9.7
19580301 19580331    15.8
19580401 19580430     3.5
19580501 19580531    41.6
19580601 19580630    14.3
19580701 19580731    72.0
19580801 19580831   109.3
19580901 19580930    30.4
19581001 19581031    63.5
19581101 19581130    48.5
19581201 19581231    13.2
19590101 19590131    32.5
19590201 19590228    25.7
19590301 19590331    34.6
19590401 19590430    85.4
19590501 19590531    18.5
19590601 19590630    52.6
19590701 19590731    13.9
19590801 19590831    26.9
19590901 19590930    34.5
19591001 19591031    92.6
19591101 19591130     2.5
19591201 19591231    21.6
19600101 19600131    73.7
19600201 19600229    13.5
19600301 19600331    33.4
19600401 19600430    20.8
19600501 19600531    96.3
19600601 19600630    11.4
19600701 19600731    78.7
19600801 19600831    46.3
19600901 19600930    92.5
19601001 19601031    14.7
19601101 19601130    11.0
19601201 19601231    59.4
19610101 19610131     4.6
19610201 19610228     5.8
19610301 19610331    23.9
19610401 19610430    44.7
19610501 19610531    14.5
19610601 19610630    25.5
19610701 19610731    48.1
19610801 19610831    57.2
19610901 19610930    20.7
19611001 19611031    19.0
19611101 19611130    41.2
19611201 19611231    17.6
19620101 19620131   114.6
19620201 19620228     0.0
19620301 19620331    51.4
19620401 19620430     6.8
19620501 19620531    66.9
19620601 19620630    44.0
19620701 19620731    15.5
19620801 19620831    45.7
19620901 19620930    49.0
19621001 19621031    32.0
19621101 19621130    18.3
19621201 19621231    34.1
19630101 19630131    74.9
19630201 19630228     9.9
19630301 19630331    38.6
19630401 19630430    12.7
19630501 19630531    95.5
19630601 19630630    86.8
19630701 19630731    43.9
19630801 19630831    33.8
19630901 19630930    44.0
19631001 19631031    90.9
19631101 19631130    15.7
19631201 19631231    55.5
19640101 19640131     5.6
19640201 19640229     8.4
19640301 19640331     7.6
19640401 19640430    55.6
19640501 19640531    27.2
19640601 19640630    43.4
19640701 19640731    65.3
19640801 19640831    25.5
19640901 19640930    62.5
19641001 19641031   117.3
19641101 19641130    35.0
19641201 19641231    15.0
19650101 19650131     1.3
19650201 19650228     4.1
19650301 19650331     0.0
19650401 19650430    15.2
19650501 19650531    45.7
19650601 19650630    10.9
19650701 19650731    41.4
19650801 19650831    52.6
19650901 19650930    50.7
19651001 19651031    22.4
19651101 19651130    40.4
19651201 19651231    77.8
19660101 19660131    29.3
19660201 19660228    36.0
19660301 19660331    69.4
19660401 19660430     5.5
19660501 19660531    56.9
19660601 19660630    29.7
19660701 19660731    29.2
19660801 19660831    72.0
19660901 19660930    65.3
19661001 19661031    56.1
19661101 19661130    68.3
19661201 19661231    73.3
19670101 19670131    23.9
19670201 19670228     3.3
19670301 19670331    16.0
19670401 19670430     4.8
19670501 19670531    11.6
19670601 19670630    52.4
19670701 19670731    16.2
19670801 19670831    43.7
19670901 19670930    18.5
19671001 19671031    26.1
19671101 19671130     0.0
19671201 19671231     3.3
19680101 19680131    31.9
19680201 19680229     0.0
19680301 19680331    20.9
19680401 19680430    48.4
19680501 19680531    77.2
19680601 19680630    38.3
19680701 19680731    54.6
19680801 19680831    38.8
19680901 19680930     5.4
19681001 19681031    30.2
19681101 19681130    30.2
19681201 19681231    96.8
19690101 19690131    13.0
19690201 19690228    95.3
19690301 19690331   117.3
19690401 19690430    61.2
19690501 19690531    53.9
19690601 19690630    12.9
19690701 19690731    72.0
19690801 19690831    39.3
19690901 19690930    19.1
19691001 19691031    18.0
19691101 19691130    31.8
19691201 19691231    14.2
19700101 19700131    82.8
19700201 19700228    18.1
19700301 19700331    76.0
19700401 19700430    72.9
19700501 19700531    19.4
19700601 19700630    22.9
19700701 19700731    16.8
19700801 19700831    83.0
19700901 19700930    89.9
19701001 19701031     8.0
19701101 19701130    60.8
19701201 19701231    19.3
19710101 19710131    40.4
19710201 19710228    45.8
19710301 19710331    45.1
19710401 19710430    25.7
19710501 19710531    20.9
19710601 19710630    22.5
19710701 19710731    45.0
19710801 19710831    30.0
19710901 19710930    16.5
19711001 19711031    15.7
19711101 19711130   121.8
19711201 19711231    38.8
19720101 19720131    14.7
19720201 19720229    94.1
19720301 19720331     1.0
19720401 19720430    33.8
19720501 19720531    14.0
