PRCP       017031 18850801 20141231 missing_value=99999.9 MARREE                                    
19390301 19390331    45.6
19390401 19390430     1.8
19390501 19390531     7.0
19390601 19390630    38.4
19390701 19390731     8.8
19390801 19390831     0.0
19390901 19390930     0.0
19391001 19391031     9.4
19391101 19391130     7.4
19391201 19391231     0.3
19400101 19400131    10.7
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430    30.5
19400501 19400531     9.6
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.3
19400901 19400930     1.5
19401001 19401031     1.5
19401101 19401130     0.0
19401201 19401231     0.0
19410101 19410131    77.4
19410201 19410228     8.9
19410301 19410331     6.9
19410401 19410430   215.9
19410501 19410531     1.0
19410601 19410630    17.9
19410701 19410731     7.6
19410801 19410831     1.8
19410901 19410930     0.3
19411001 19411031     8.6
19411101 19411130     9.1
19411201 19411231     0.0
19420101 19420131     8.4
19420201 19420228    30.2
19420301 19420331     0.3
19420401 19420430     2.3
19420501 19420531    49.1
19420601 19420630     8.7
19420701 19420731     9.2
19420801 19420831     1.8
19420901 19420930     3.3
19421001 19421031    30.2
19421101 19421130     0.0
19421201 19421231    13.0
19430101 19430131     3.8
19430201 19430228    37.8
19430301 19430331     3.8
19430401 19430430     7.0
19430501 19430531     0.3
19430601 19430630     0.0
19430701 19430731    13.4
19430801 19430831     6.4
19430901 19430930     0.0
19431001 19431031     0.5
19431101 19431130     3.3
19431201 19431231     0.0
19440101 19440131     9.1
19440201 19440229    36.8
19440301 19440331     6.9
19440401 19440430     0.8
19440501 19440531     0.0
19440601 19440630     2.5
19440701 19440731     0.5
19440801 19440831     4.1
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130     2.0
19441201 19441231    24.4
19450101 19450131     4.9
19450201 19450228     0.3
19450301 19450331    12.2
19450401 19450430     0.0
19450501 19450531     0.3
19450601 19450630    35.0
19450701 19450731    32.5
19450801 19450831    17.3
19450901 19450930     9.4
19451001 19451031    19.0
19451101 19451130     0.0
19451201 19451231     6.1
19460101 19460131    31.8
19460201 19460228    50.1
19460301 19460331     2.5
19460401 19460430    12.3
19460501 19460531     0.0
19460601 19460630     3.5
